#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	xthA//rfbC//ygiN//hyfA//
GO_0000023_6	argI//
GO_0000025_7	menC//
GO_0000027_7	queE//nrdA//ispU//lolD//potI//ybcM//arfB//cvpA//rho//secG//sgrT//apt//flgB//
GO_0000028_7	eutD//ydiK//pdxA//yieH//guaB//hipA//ybdZ//ade//fliD//
GO_0000032_8	motA//
GO_0000041_8	groL//yraJ//yggE//ptsP//pliG//phoU//yphD//metR//gspI//fepD//sdaB//hiuH//mprA//atoC//hyfA//hisS//cadB//yjaA//chbG//rcsD//gadA//ypjD//ftsA//yjcS//crp//dsdX//ccmE//galS//aroH//tsaE//avtA//yghG//rpmE//amiB//ybbW//yfiC//elbB//hinT//csiD//
GO_0000050_5	mgtL//yegD//ybiX//hflK//allD//gor//fryC//
GO_0000053_5	yidC//
GO_0000096_5	bluF//ybhG//yfcP//yfaU//mnmG//dgt//nikC//eutD//arfB//mngB//ldrA//dppB//gabP//cdsA//sucC//greA//ycbB//iscX//fimH//cvrA//prmA//
GO_0000097_6	ptsI//rzoR//crr//yaaJ//viaA//hybF//plsC//citC//livJ//ygeA//cstA//yadM//gpmM//proC//
GO_0000098_6	pinR//yfgO//plsB//znuC//gntU//
GO_0000101_6	artI//ltaE//shoB//ynbD//qseC//tdcD//fdoH//yciH//rutE//ypdF//uvrY//relE//cynX//kefB//dmsC//
GO_0000103_5	cyoD//sad//shiA//
GO_0000105_6	nmpC//lysO//cmoM//argG//csrA//leuO//atpD//rclR//
GO_0000154_7	gpsA//xisR//cobU//ybdR//ydcS//dcuD//proA//alr//kup//appC//rfbD//dtpC//mhpA//thiI//ydfK//cpxR//bamB//sxy//cynX//psuG//fiu//yggT//yjbF//gadB//bamA//betT//hemH//pabC//ydeP//rfaE//manA//cheZ//
