#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	xylB//bdm//fliZ//ybiH//
GO_0000023_6	patD//
GO_0000025_7	tar//
GO_0000027_7	secG//katE//elyC//mhpA//pdeD//pstB//dcyD//alsK//lldR//rihA//bamE//epd//yedF//
GO_0000028_7	barA//rutG//tomB//serA//pdxA//tolC//fecA//wzzB//yihS//
GO_0000032_8	rsmC//
GO_0000041_8	tag//secD//mdh//nhaB//dppA//rplF//lepA//dgoK//gadX//pfkB//glsA2//ygfI//waaQ//ypdI//ybiX//alkB//clsC//rzpR//flgB//waaL//nrfB//dinQ//livG//arnB//viaA//ybiJ//glpR//ydhJ//btuE//ltaE//recD//astC//leuO//paaC//proV//yafO//lon//ompA//ftsB//
GO_0000050_5	ygjH//glyS//speG//glpD//rpsL//trpE//alaS//
GO_0000053_5	lptC//
GO_0000096_5	glpT//purL//waaZ//cpsG//ypdI//mcbA//arnE//ubiE//gatA//tdcA//rbsA//higB//alpA//kefF//thiH//yraH//insB-2//rpsA//trpL//malS//sgcE//
GO_0000097_6	ftsW//recC//yedP//bacA//thrB//relB//cdd//hrpA//rhlE//rzpD//ybgQ//ubiG//caiE//zapC//
GO_0000098_6	sucA//secF//argT//envY//ibsB//
GO_0000101_6	nrdR//yfdO//malI//aaeB//rof//yjeI//lexA//mepH//glxK//cnu//ydaV//rbsB//ibaG//hisP//hicA//
GO_0000103_5	puuE//rlmF//xerD//
GO_0000105_6	ydhJ//sdhE//yjiY//iraP//wzzB//fucO//gutM//fnr//
GO_0000154_7	aceB//nagA//xisE//ybiI//hdhA//yhbO//fabH//yidP//kdpE//dinD//waaP//murF//phoA//yqcC//dnaA//atpD//ydiQ//leuB//hisD//yidA//tcyJ//def//ygfI//rutA//suhB//nadE//gadC//ydhQ//cpxR//ompN//cyoB//ybcL//
GO_0000160_5	yddA//ampG//insI-2//cas2//wzzB//yneJ//trkG//argB//rpsS//bioA//bglX//mltB//thiQ//ihfB//tsgA//ttdT//exoX//srlA//ghrB//ycbV//cbtA//tabA//chaC//cytR//araG//gabP//mmuM//lldR//frvR//ispB//dcuB//citX//pinQ//pliG//yddA//caiD//lysR//dctA//chbB//yciG//rlmC//lpoA//leuC//
GO_0000162_7	lsrB//ccmD//hisC//rutC//sbcD//nhaR//fliS//glmS//thrC//
GO_0000255_5	pfkB//yaaA//pyrE//groS//ycaN//
GO_0000256_6	mak//yjiR//cbrA//betI//ydjL//
GO_0000270_7	rplL//mraZ//rfbC//frlB//yhdJ//murB//narQ//sfmC//narW//feoA//ybaE//yhaC//eutB//dnaC//rpoS//glnP//yhdX//hcaT//yhfS//mngA//dam//fes//ruvB//hyi//dnaK//ybdO//yfeX//torY//glgA//recF//mrdA//rbsB//gph//nfuA//yjjQ//alsK//prc//yqgF//mutH//lsrR//aspS//idnK//zitB//yqeG//fecA//rhlB//rbsA//suhB//sucA//fepD//rutC//ppk//prpC//rfaG//kefC//grpE//tatA//mhpT//recF//amtB//ahpC//lysU//ilvB//
