#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	puuC//rplY//artM//fadB//
GO_0000023_6	frmB//
GO_0000025_7	gcvA//
GO_0000027_7	waaL//chbR//nuoN//ghxP//srkA//adk//ymjB//ybbN//uspB//cspA//der//rpoS//mraY//
GO_0000028_7	malX//yhjA//ccmC//murI//diaA//ydfD//yraN//dppF//csrA//
GO_0000032_8	xanP//
GO_0000041_8	ybgI//glpX//ybjN//ytfE//folM//uxuA//chpS//frdA//agp//cvrA//pncB//alpA//dctR//frsA//spoT//chbC//dnaQ//pckA//epmB//yfhH//tsaB//yiaL//rlmF//hycA//pdxA//insB-4//rfaF//rbbA//sufE//ycjP//fic//greA//nfuA//puuR//wzzE//gudX//gspE//queA//mtr//
GO_0000050_5	glyS//mrp//xylF//glk//gutQ//exoX//atpB//
GO_0000053_5	yihR//
GO_0000096_5	yqjA//fdnG//murA//ivbL//ybiY//rplE//smpB//casE//serB//otsB//nanR//ubiB//ampH//nrdD//sufC//yceK//malG//wcaJ//ybbY//moaD//mlaD//
GO_0000097_6	mscS//narI//pdeR//zapA//yoeB//wrbA//phnH//araE//ttdR//yeaV//pncB//rpiR//yegS//sbcB//
GO_0000098_6	rpsQ//cra//yadK//glcF//ynfH//
GO_0000101_6	menC//patZ//yeiL//yajQ//yddL//yehU//yeiL//zapE//pyrE//dctA//xthA//ymgA//fecD//dnaB//lptC//
GO_0000103_5	speA//yggW//kdpF//
GO_0000105_6	rzpD//acnA//ribB//recO//lrp//preT//fimZ//nlpD//
GO_0000154_7	exbD//uspG//yidD//rffG//rffC//pdeR//rimL//alsE//fabH//hypD//nusG//ydcZ//dnaX//rraA//bssS//sodB//yadV//yebQ//yqiG//ubiB//yjiR//recB//flgC//tolR//atpE//potH//flgH//uhpB//sfmA//ftsE//rluF//ybeQ//
GO_0000160_5	wzb//lamB//ycgR//pheA//ycjR//yfiE//ynbC//mntS//yigL//yaaY//chbB//yfhM//acnA//yedX//mltD//rnb//idi//mntS//lptG//mtfA//lplA//sugE//secB//rfaF//rhaA//cysM//yhfK//dauA//sxy//ytfR//gadA//rcnA//yejF//gstA//ftsP//folC//glgS//yqcG//ygiS//alsK//dcuB//osmF//plaP//
GO_0000162_7	yidR//rclA//ybdZ//iraD//dhaL//acrR//rplM//pinE//wecB//
GO_0000255_5	glgP//guaA//ade//rppH//cysK//
GO_0000256_6	mdtG//zapE//sgcE//tatA//ynfH//
GO_0000270_7	trmA//yeiG//aspA//malZ//pyrB//ydjJ//ycgB//galK//dusC//thiL//yfbR//ghxQ//yehU//mdtF//tag//ispB//sseA//tyrS//umpH//ccmE//rplD//narJ//acpT//patA//ycbV//hxpA//aes//ilvE//mraZ//erpA//narG//katG//xylR//recJ//yhjA//gpr//rsuA//trmI//cspD//sfmH//acpH//glxR//fryC//rfaB//rpmB//lacY//gsiC//pheA//nth//tmcA//fdoH//mdtA//yfdC//ynfK//dcuR//yqiG//carA//insA-2//gutQ//fadI//yjbG//yigL//secG//
GO_0000271_6	nei//argA//lsrB//mraY//ubiA//nanR//pspD//yfeR//sodC//pepA//uxuB//guaB//xdhB//rfbD//idi//tsx//putP//tbpA//clpB//hflC//ygdG//chbC//aaeB//fucO//mngA//yiiD//cobC//glnP//ung//glmU//yqeF//fadE//nrdR//yeaG//ftsI//yejE//torA//alaE//recC//nmpC//abgR//ybiA//idnK//rpsN//preA//bcr//hypF//mobA//fucO//exuR//
GO_0000272_6	lysS//nikE//yghB//rlmI//rcnR//ais//
GO_0000302_5	yibA//mocA//insI-2//casD//menB//bioD1//cyoB//ynfE//appC//fadM//ydeE//tag//ilvB//gadE//dppB//rihB//carA//frsA//ydeE//ypjD//ycbV//kduI//nanC//ynfF//secD//sgbE//pheA//ftsP//trmO//ispF//queE//
GO_0000303_6	fepC//vsr//
GO_0000305_5	zapC//atpG//yqaA//
GO_0000372_11	hxpA//
GO_0000375_9	bluF//
GO_0000376_10	rluF//
GO_0000413_9	helD//ebgA//yafE//tehA//uof//cyoE//pbpG//ispA//
GO_0000451_7	hisQ//ilvA//dsdX//yfgI//nrdR//
GO_0000453_8	yfbU//phnM//chaC//mreB//glmS//
GO_0000455_9	yhbX//yjgX//rhsD//cvrA//clcA//cadA//evgS//
GO_0000462_11	ghrB//soxS//
GO_0000469_8	arnB//
GO_0000470_10	pyrH//
GO_0000478_9	nadB//
GO_0000715_6	uxuR//
GO_0000716_7	putP//
GO_0000724_8	murG//
GO_0000725_7	serB//cobS//sufD//kduD//yiiE//cytR//
GO_0000726_7	focA//
GO_0000731_7	stpA//rimI//yaaY//fabR//yceK//hha//rpsP//
GO_0000737_7	asd//
GO_0000738_7	yjiY//rhaD//mhpC//
GO_0000746_4	hyaB//
GO_0000820_7	metE//
GO_0000902_5	slmA//
GO_0000910_4	cbpM//ygfI//skp//glnD//tatE//mnmC//pitA//yehD//aphA//crcB//rpsP//malF//rutD//acnA//mppA//tag//rhlB//agaV//
GO_0000917_6	ispU//clcB//ompN//ymfA//ftsE//
GO_0000918_6	mocA//ygfI//accD//lldP//
GO_0000920_3	basS//glsB//priB//rplY//chiP//
GO_0000921_6	prlF//
GO_0000966_8	ybhS//citG//fimI//pntB//
GO_0000967_10	adeP//yjfP//cas2//
GO_0001101_4	dgkA//argE//ompL//treA//nanR//waaG//mdtJ//phoA//csgE//hyfF//fabG//accD//appA//der//thiQ//elaB//uxuB//flgE//wecC//folM//rraA//hisC//mrdB//mepM//mdtN//pyrC//
GO_0001121_7	wzyE//pheS//
GO_0001123_8	lsrD//
GO_0001124_8	tnaC//
GO_0001407_7	glxK//dppB//solA//yaaA//
GO_0001505_4	spy//uvrC//mutL//lsrG//lpd//ralR//prlF//truD//asd//yghW//fdnG//hscC//radA//dinI//yadV//hns//
GO_0001510_5	panF//rpsK//rlmE//argA//menE//trkA//yebQ//lysO//tyrB//aslB//endA//ubiH//cysI//rppH//lpoA//paaD//pdeK//rseP//ghoS//astB//mobA//xylF//hofP//chbC//rusA//ykgO//atpC//yciK//hipA//nupC//yccS//nfsB//yadC//sodC//malS//ydjH//uxuR//ymgF//pth//dcp//
GO_0001514_8	allS//
GO_0001522_7	ilvN//adeP//yeeA//insH-6//rspB//nagE//bssR//cvpA//fucP//ftnA//ykgM//pgk//rzpD//
GO_0001539_4	rraA//atpC//pflB//trpE//hybD//yajR//ihfA//phnJ//uhpT//potA//hcaE//trmD//ftsY//rpsO//yehA//sixA//proW//melR//ftsK//plsB//gstB//mdtB//emrD//bglA//yfbU//flgK//yjjG//rmuC//rbsD//ppiA//psuT//
GO_0001558_5	mglA//hybC//casE//rluC//hdeB//yagG//potA//rrrD//
GO_0001561_6	parC//
GO_0001666_4	ybiW//
GO_0001676_6	lpd//fepB//rutE//
GO_0001680_11	rclB//
GO_0001682_11	rpsQ//
GO_0001731_7	erpA//
GO_0001762_6	tatA//
GO_0001887_4	ydiP//flhA//atpA//
GO_0001896_5	tktA//rutF//aspA//ypdF//
GO_0001907_5	wecB//pldB//ligB//ycbB//
GO_0001932_8	murD//csgF//
GO_0001934_9	rlmC//
GO_0002047_6	yiaB//waaJ//
