#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	map//yihV//trpR//yqjI//
GO_0000023_6	nadE//
GO_0000025_7	yfjR//
GO_0000027_7	tpx//yqiJ//alaS//apaH//cysW//cusR//nagA//allB//psd//dcyD//recX//malZ//tsaE//
GO_0000028_7	clpB//ugpE//yebK//trmJ//nrdE//mocA//sdiA//ldrD//dtd//
GO_0000032_8	paaA//
GO_0000041_8	miaB//ttdB//ycbV//mdlA//adeP//ivy//gor//yidD//djlC//yhiM//bglB//ybaQ//serS//lptG//xdhB//hisD//menF//rplP//rhtB//sxy//apt//ynjD//rcsD//secY//narG//rcsD//hyfC//aroF//acrA//argC//adeQ//livM//glrK//paaF//mutL//dhaK//hemB//potF//ybhA//
GO_0000050_5	rpsN//mdtN//betB//srlR//fnr//tesB//yqcG//
GO_0000053_5	gsiD//
GO_0000096_5	mreB//surA//agaD//sdhB//hicB//glcE//infB//poxB//rplD//yeaG//torZ//yejA//ybbW//nfi//gudP//rcsD//rmf//adeP//ybhR//yhhZ//acs//
GO_0000097_6	yebS//cheY//frwB//tap//aceA//mhpD//yjaA//agaC//murI//mqsA//appA//ftsB//yhiM//fliK//
GO_0000098_6	pppA//solA//fucK//dam//minD//
GO_0000101_6	yahD//ydeM//ftnA//rfaH//yggE//rfbB//yafS//pyrE//yabI//argH//ygdG//ldtD//yidL//ybcM//malK//
GO_0000103_5	ydjH//selU//aroD//
GO_0000105_6	lysP//ycdY//agaR//kdpA//trpB//dsbB//ccmA//ompL//
GO_0000154_7	yjhC//dfp//ynaE//rodZ//yjcE//ftsL//ttdR//gpp//dacD//ndk//phnK//aspA//pgpB//uspG//yddL//ftsK//ygaZ//csgG//sgcE//gabP//arnF//emrK//clpS//trkG//fadH//tatB//yahO//uvrY//yiaU//rnr//acrZ//cusF//
GO_0000160_5	folX//mhpA//ynfE//pgaC//glcE//yjhC//wcaC//iraP//murD//gcvH//nuoN//pyrE//yhcH//ulaE//ftsQ//metF//yfaV//frmB//mutS//oppC//yagF//bluF//pdxY//gltD//kdpF//ffh//yjcS//uidA//grxD//ampG//sanA//fumB//arfA//yadK//rihC//tesB//mdtI//rplL//phnI//sppA//mtlR//yjhP//insB-2//
GO_0000162_7	hisQ//cas1//topB//dfp//gltP//solA//ybgP//barA//mutY//
GO_0000255_5	dmsA//cmk//srlD//trmH//csgF//
GO_0000256_6	cptB//mdaB//bamA//ais//prmC//
GO_0000270_7	edd//xylH//ybfA//dnaQ//rplA//mdfA//frdA//pyrE//sdaB//yhjV//exoX//ihfA//dgcZ//fliS//setB//lpxB//aroA//araF//yhcD//sstT//rsmJ//araD//pinQ//yfaL//panC//gltD//modB//fepG//mepS//cra//dgoK//argK//proQ//agp//serB//eutD//murC//bhsA//fabA//ldrA//ydeT//menA//argP//dppC//ygjR//rna//hisQ//ynfL//gabD//csgE//ydiQ//feoC//rsuA//yijE//yciE//fixA//rhaT//hyfR//fucO//nagD//aroF//hfq//ftsB//
GO_0000271_6	dgcF//yidH//yeiL//yjfF//moaB//trpGD//cdaR//fdrA//envZ//pth//nhaA//oppD//hslU//yidK//mfd//waaA//flgG//yggX//yebG//opgG//yiaF//rpsR//nanR//frlC//yihU//narU//yadN//uspG//ung//glcA//secA//lexA//nrfD//waaL//ilvL//fimF//thiH//degP//uxuB//bglB//rtcB//uhpB//gspI//aas//dnaB//yieH//ymgA//entA//bioB//yahD//
GO_0000272_6	yheT//rbsB//asmA//napA//argI//rhaB//
GO_0000302_5	hycH//yjfF//fcl//pdxB//msrP//phoE//yphC//torI//hisD//ycfH//aer//basR//cheB//malY//rffT//chbC//dnaT//mnmA//narV//nanK//panF//fpr//pspF//plsB//fmt//hcp//deoB//pstS//secB//yhhT//lasT//
GO_0000303_6	tatD//ybdZ//
GO_0000305_5	rpsD//rpnA//slt//
GO_0000372_11	exbD//
GO_0000375_9	narP//
GO_0000376_10	atpC//
GO_0000413_9	yfdO//mutS//ynhF//psd//nikA//arnT//blr//gshA//
GO_0000451_7	purA//lhr//argT//dacC//sapF//
GO_0000453_8	torC//trpA//metF//dcd//ydcT//
GO_0000455_9	casB//lrp//cysS//rplW//yfjV//hslV//plsX//
GO_0000462_11	arnB//cheW//
GO_0000469_8	rcnR//
GO_0000470_10	yciF//
GO_0000478_9	cysK//
GO_0000715_6	sucC//
GO_0000716_7	rimI//
GO_0000724_8	nanR//
GO_0000725_7	sad//srmB//maoP//rffC//ptsN//mutT//
GO_0000726_7	tolR//
GO_0000731_7	kdsB//ygiB//waaH//mntH//mhpT//pinQ//kch//
GO_0000737_7	rfbC//
GO_0000738_7	oppD//ydcT//oppF//
GO_0000746_4	potD//
GO_0000820_7	rbn//
GO_0000902_5	rzpD//
GO_0000910_4	yheT//iscU//mtfA//serB//ybiO//rfaB//nlpD//kdsC//rbsA//katE//preA//modB//cpsB//gatY//hemA//alaE//fixA//gyrB//
GO_0000917_6	ulaC//cmoB//fadE//malQ//ispH//
GO_0000918_6	yjbH//eutD//yfcG//yiiM//
GO_0000920_3	yfiE//insI4//sbcB//hokB//yfcR//
GO_0000921_6	tolC//
GO_0000966_8	fieF//rclB//mglA//queE//
GO_0000967_10	yhhY//rlmB//deoB//
GO_0001101_4	hyaC//lptD//sapC//yjgX//gyrA//allB//birA//coaE//znuB//mdtK//phnK//prpB//ybiX//elyC//secB//lsrB//ypdF//murF//lit//hofC//ispA//fixC//cydA//mtnN//ycbU//malS//
GO_0001121_7	pheP//seqA//
GO_0001123_8	yejA//
GO_0001124_8	yghU//
GO_0001407_7	yhaM//yhaO//yihU//yjjU//
GO_0001505_4	tdcA//torY//ghxP//argA//cas3//aroP//rhaS//yciF//mdtP//mutS//prfA//ivbL//argK//betI//bepA//ydbK//
GO_0001510_5	cmtB//phoB//ybjD//alaA//mrcA//yjjU//glpF//crl//spoT//proP//kch//yfcQ//mtlR//glrK//fdhD//potD//thrS//glgC//ushA//sdaA//creC//hemC//tabA//dgcM//cadA//ynjD//proX//gatC//pgi//gabD//oppD//yqiI//kgtP//yqaE//purN//pagP//etp//yejF//ddlA//ansA//
GO_0001514_8	rlmI//
GO_0001522_7	alkB//ydaV//lnt//gsiA//yieH//tktB//yebQ//relE//hslV//yfdS//ascG//rsuA//fdoG//
GO_0001539_4	ansA//emrE//cadA//napF//tas//pepN//rhmR//sxy//glcD//ydhK//dacB//mltA//kdpB//cyoB//cdgI//dmlA//proP//ybeY//frmA//ldcC//dapA//alaE//dnaN//yjhH//sbp//exuT//rcsD//kdpD//yehB//idi//alsK//
GO_0001558_5	uidA//ssb//yhaJ//thyA//flgI//hofM//nhaA//mobA//
GO_0001561_6	yeaV//
GO_0001666_4	caiT//
GO_0001676_6	cysI//coaD//agaW//
GO_0001680_11	ppc//
GO_0001682_11	fixA//
GO_0001731_7	sdhE//
GO_0001762_6	yigL//
GO_0001887_4	ypdB//ynfK//sufB//
GO_0001896_5	fliM//gph//hybA//lpd//
GO_0001907_5	maa//rplA//sufA//csrA//
GO_0001932_8	pspC//hybD//
GO_0001934_9	mioC//
GO_0002047_6	norR//betA//
GO_0002097_8	rplY//opgG//cysQ//sbcB//malY//ispF//pppA//bolA//paaH//aaeA//proW//pspF//pgm//msrQ//hcaF//maeA//vsr//yjcS//uhpB//
GO_0002098_9	yecS//argH//tsgA//murI//casA//yidD//rpiA//recJ//envR//mdoG//ddlA//ibsD//kefC//
GO_0002099_9	priB//lacY//
GO_0002100_9	nrfB//
GO_0002101_9	ybbN//fepD//
GO_0002128_7	yiaF//dgcJ//recE//pckA//
GO_0002130_8	mtlR//
GO_0002131_9	creB//
GO_0002132_9	mltD//
GO_0002136_10	aroH//
GO_0002143_9	proX//epmB//rnpA//yfdS//ilvL//mdtA//
GO_0002181_7	kbp//nudF//
GO_0002183_5	uxaA//
GO_0002184_8	ansA//
GO_0002188_6	nanK//
GO_0002190_6	araC//
GO_0002192_8	pgi//
GO_0002252_3	tus//mcrB//ybhS//fadL//apt//cecR//mdtJ//yhaV//pabA//cspC//
GO_0002790_6	glyS//thrS//dsbC//adiA//yhaM//pgm//hemL//
GO_0002937_9	rlmH//
GO_0002938_8	nuoI//
GO_0002939_7	mdtJ//
GO_0002943_8	hisH//
GO_0002949_8	galP//mdfA//surE//yhcH//
GO_0003333_7	ypdF//trmD//yieK//zapC//lptA//yfcQ//nagK//fimH//ldtA//nuoL//pntA//pstA//rpsE//rseP//ivy//bamD//proV//lacZ//ygeX//fimC//yahD//secB//menE//minE//rpiA//napD//priA//dcm//zitB//cspA//pstA//bioD1//bacA//grpE//napC//yhcH//potB//yhcN//lgoD//dgoA//kdpF//uxuB//kup//rffC//yjjV//nuoG//araC//aqpZ//rffM//
GO_0005975_4	prmC//acrE//asr//nusA//yehC//nfsB//atpH//ybaK//kduD//btuR//ymfK//yahD//mobA//fdhD//alr//recG//yraJ//proB//rlmD//nrdI//sbmA//ascF//flgJ//recB//mntP//ompN//ybhJ//tdcR//lipA//ptrA//torI//fetB//nupX//fur//ldtC//ydiR//rhaB//ftsA//cheA//mlaF//hyfF//arfA//yohC//intE//yjiX//yjfF//yddL//queG//dgcN//ung//pyrG//ccmD//ydbD//cusB//bcr//glgB//gltL//prlF//nrdF//fliM//opgB//cbl//tbpA//mdtO//yeeA//rdgC//tonB//yibA//frvR//folC//gpp//zntR//rzpD//ycfJ//acrZ//emrD//ybfE//frc//uhpC//dusC//speF//yghG//ariR//tsgA//tgt//lgt//carB//alsK//narU//ssuC//pyrH//cyoB//hofO//rpsA//potG//stpA//yfjR//chbG//ghxQ//ibpB//yjeH//hipB//fadE//menC//rhlE//rclB//osmC//holB//dfp//gsiD//glcC//mraZ//wcaJ//ybjL//nrdF//yggE//rhaM//ftsZ//pdeL//clsB//ybjX//lpxM//tdcB//eutB//argI//rof//map//thiP//gabT//chbG//dtpC//rbsK//sbmC//acrZ//tauD//yjjG//ymjB//rpmJ//tdk//afuB//sdiA//lipB//dgoK//galK//hisG//ymjB//atpA//miaA//holB//yhdJ//yajO//ynbB//yfbV//agaB//yfhM//srlE//tilS//cof//tatB//maeA//glpD//pagP//ihfA//yqhC//hemD//mntR//mepM//pepB//lysP//ulaD//fliS//yccS//csgB//pgpC//fbp//malF//hemB//galS//rimJ//xisR//menA//maeA//trmH//yajO//yhgH//rpsD//iscA//yghO//pldB//nupX//rpsK//ycjR//speC//hisH//nac//creB//mpaA//amiC//yjiQ//glpB//tcyL//gmhB//fkpA//tyrS//ssb//mgtA//yihL//recO//yidP//napA//mrr//priC//ygeX//ygdG//yhaM//alaS//glpK//ynfE//fixA//ydiO//entE//csdE//rpmA//oppC//betT//yqjH//ykfI//nirB//mutH//yggW//menI//entH//manY//glcC//yheT//uhpA//puuP//lit//ydiV//ybdH//mltB//gspI//nth//lptE//rplO//cusA//mtn//ilvA//ypdA//yhaC//yiaB//yqgB//codB//ydcM//
