#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	araH//thiH//idnT//garR//
GO_0000023_6	gadW//
GO_0000025_7	ygeA//
GO_0000027_7	potE//cadB//yraN//ydgA//ytfP//fumA//chbC//ansB//xseB//yjfP//wzb//yccS//recN//
GO_0000028_7	fdrA//gltL//phnJ//flgA//ycgV//araG//glnD//ydeI//ymgC//
GO_0000032_8	mlaC//
GO_0000041_8	priC//ypjD//hycB//ampH//rpsO//rpsA//yifB//narP//fdoI//ilvD//mreC//elaB//dgcM//epmC//gntK//srlB//yidC//pdxH//rspB//sdhE//osmC//paaZ//caiD//yeeJ//atpD//cspB//asnS//pagP//lrp//tolB//ais//mscM//yghB//frmR//yadC//osmE//mreD//torA//ssuC//
GO_0000050_5	ugpE//bglX//ybbW//dgcN//rhmD//napC//ilvH//
GO_0000053_5	pspG//
GO_0000096_5	dxr//ybiV//rplE//ilvE//nfuA//tpx//hflK//ahpC//yafS//lpp//ydeT//yihQ//ydeP//mtgA//znuC//ybbN//glnH//ade//wzyE//phr//waaF//
GO_0000097_6	ydfH//dmsB//nemA//hybF//ascG//nanT//hslU//ortT//nusG//hypC//soxR//yjjW//cheZ//yhjX//
GO_0000098_6	araA//grxD//yfhM//proA//nanS//
GO_0000101_6	fimF//lapA//yfjV//tsf//araG//lsrG//thrC//lpxD//agaV//rihB//ybcC//bioB//secY//yagG//folP//
GO_0000103_5	ybdO//iclR//tomB//
GO_0000105_6	metG//narL//flhE//ubiA//abgA//rpnB//ibsA//speE//
GO_0000154_7	malY//topB//yraI//pheA//tktA//yciA//arcB//mtn//rlmE//cysS//pinR//ulaF//narY//fhuF//dinQ//csgD//glnA//hybA//yhcN//napD//yicJ//yccX//atpG//sdhA//yqeF//ybhS//sdaB//napF//tcdA//xylR//mdoD//feoB//
GO_0000160_5	umpH//paaG//rfaB//alaS//lldD//yjiM//yjjQ//hybO//ynfE//nudB//speF//kdsC//yieK//ldtA//yagJ//ulaD//rplI//idnK//mlc//rpsD//nagA//gshA//priA//cmoB//atpH//rcsA//yeiL//galU//flgC//gcvT//proA//glsB//yagI//ybjL//copA//ompT//ompG//fryA//ibsA//sufD//umpH//mtn//livJ//
GO_0000162_7	setB//priA//sixA//caiT//nmpC//yiaB//ibaG//cyoC//yegT//
GO_0000255_5	hslJ//yhfK//yfgO//gsiB//ribB//
GO_0000256_6	galS//add//hcp//surE//eptC//
GO_0000270_7	mioC//ypdI//pcnB//speF//ygeR//nupX//paaZ//roxA//gyrA//prfB//rzoR//mdtN//cheW//pntB//ybhD//menI//yggE//yihL//rplD//gntT//dgcZ//dadA//ydeM//ansA//rpsO//rluC//rplO//nfo//ydjL//kefF//radD//xisR//apaH//malE//dgcQ//sdhE//xylF//rclR//acrB//pyrD//yqjA//exbB//adiY//nac//agaD//torS//cspC//mhpC//trmL//yibT//fkpB//yciV//pphA//napC//dsbA//trmL//wcaJ//mltG//narG//yjcS//pykA//ugpC//malG//
GO_0000271_6	mdtF//yiaA//pyrC//tamA//npr//abpB//carA//ghoT//yaaA//yjjI//yejB//rpiR//frmA//emrY//yidP//pheA//ygcR//bioD1//prmA//osmE//fixC//yjjI//gntU//thiE//ybcL//narU//nlpA//rlmB//narZ//proV//proW//polA//glcC//ydcM//yrdA//gsiC//rnhA//zapC//garP//mioC//recC//thyA//hyfC//glrR//mntR//pdxH//ftsI//fimD//pagP//gabT//
GO_0000272_6	murE//mdtB//pntA//hipA//sufB//cspC//
GO_0000302_5	recX//yihL//cysD//ftsL//rpmJ//glgX//adiA//ydiF//rclA//mdtL//gadB//ispF//epd//rpmF//ytfP//ykfI//flgC//ldtA//rplQ//mrr//yehA//dps//creB//lpxH//leuS//rplA//flgC//mglC//hxpA//yceD//pspG//
GO_0000303_6	hipA//queF//
GO_0000305_5	plsX//zapA//wecA//
GO_0000372_11	yeeJ//
GO_0000375_9	ytfQ//
GO_0000376_10	rsmF//
GO_0000413_9	fruK//tdcE//setA//bdm//gabD//ynbB//rclA//secD//
GO_0000451_7	fre//yjiQ//bioP//rdgC//cptB//
GO_0000453_8	hsdM//poxB//stpA//cfa//relE//
GO_0000455_9	pck//yihR//hisD//dtpB//mntR//mngB//flgI//
GO_0000462_11	mdtB//insI3//
GO_0000469_8	ypdB//
GO_0000470_10	cdd//
GO_0000478_9	soxS//
GO_0000715_6	rfbC//
GO_0000716_7	sgbH//
GO_0000724_8	yieH//
GO_0000725_7	hprS//pcnB//yjhC//yejF//rsmI//yehU//
GO_0000726_7	ymgF//
GO_0000731_7	caiF//nagB//phnG//appB//treB//tdcB//acrD//
GO_0000737_7	dmlR//
GO_0000738_7	tatA//citC//lipB//
GO_0000746_4	yijO//
GO_0000820_7	ykgF//
GO_0000902_5	nrdE//
GO_0000910_4	rfaQ//sucD//yraR//ispU//yafO//acpT//lsrC//cobB//glpA//narV//menA//ydcI//osmF//ruvA//rplA//acpH//treF//queE//
GO_0000917_6	cpxP//aroH//cueR//pcm//agaI//
GO_0000918_6	umpG//arcC//ynfE//baeR//
GO_0000920_3	tig//narH//iscU//fdhF//panF//
GO_0000921_6	norV//
GO_0000966_8	ftsZ//cdsA//yhbO//ydiK//
GO_0000967_10	ibaG//ribB//gltS//
GO_0001101_4	crl//qorA//tsaB//rrrQ//amtB//ygcR//kdsC//yihV//marR//valS//uidR//ptrA//gadX//yggT//mgtA//elaD//nadA//dapA//crp//aroK//seqA//ivy//recC//valS//ynfK//yhgF//
GO_0001121_7	yfaE//folD//
GO_0001123_8	deoC//
GO_0001124_8	rpmB//
GO_0001407_7	puuA//cynX//glpF//glk//
GO_0001505_4	ydcM//nanA//modC//zapE//yfcA//sfmC//argO//yhbX//ydeM//livH//rlpA//rlmG//bssR//metG//melA//tusA//
GO_0001510_5	sufE//mukB//ampD//yhbX//tsaD//malS//speB//mpaA//selB//atpC//torS//kgtP//ascG//gadA//yggP//glpA//ilvD//ybcL//ade//ychF//phnN//mntS//rbsC//fabH//speG//opgB//pheS//exoX//nadK//luxS//zraR//insI-1//yjbF//tisB//atoC//nuoH//mreB//ispA//pta//yrbG//
GO_0001514_8	slyD//
GO_0001522_7	ybhR//frwD//dsbD//mdtC//dicC//srlB//yadK//nagA//ung//glk//pckA//xapB//aphA//
GO_0001539_4	fumC//hisQ//rppH//yrfG//sbcC//trpL//bsmA//pdeF//yibF//insB-4//nfo//rplS//rssA//aldB//dsbB//kbaY//lolD//ycjY//kup//ydfK//mhpD//rsmH//lpxC//alsE//ybbN//yidR//proS//atoC//fre//argE//lpoB//
GO_0001558_5	gadW//ynbD//pbpC//leuO//ftsK//araC//yiaJ//gltI//
GO_0001561_6	gadE//
GO_0001666_4	alsK//
GO_0001676_6	eutR//umpG//frdD//
GO_0001680_11	yqeA//
GO_0001682_11	yrfG//
GO_0001731_7	ydhJ//
GO_0001762_6	hybD//
GO_0001887_4	ydbD//dgcJ//ygdG//
GO_0001896_5	dgcF//insB-4//fdoG//pstA//
GO_0001907_5	mug//bglJ//ndk//yfdO//
GO_0001932_8	kduI//hupB//
GO_0001934_9	lyxK//
GO_0002047_6	gnd//tsx//
GO_0002097_8	yjfF//yggE//yabI//glgS//yijO//pflC//pnp//flgJ//ybhD//rpnD//yebG//folM//smpB//ssuA//nimT//uxaC//elbB//sppA//ybcC//
GO_0002098_9	patA//rlmG//asnS//melB//ybgQ//acrR//ygdG//alsC//arsR//ydiZ//mcbR//ebgR//yhaO//
GO_0002099_9	yaaJ//zapD//
GO_0002100_9	ybiI//
GO_0002101_9	hsrA//uof//
GO_0002128_7	yfcF//rpsK//rluB//lspA//
GO_0002130_8	mscM//
GO_0002131_9	dppB//
GO_0002132_9	yfaX//
GO_0002136_10	yadC//
GO_0002143_9	patA//yjtD//argA//hslO//ygeV//flgK//
GO_0002181_7	dnaX//rapZ//
GO_0002183_5	insB-2//
