#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	nupC//yciG//hisH//pta//
GO_0000023_6	frdB//
GO_0000025_7	ilvL//
GO_0000027_7	cadC//plsB//hisD//elaD//fhlA//selA//mhpA//pyrE//dgoK//bluF//arcC//ubiH//thiI//
GO_0000028_7	recD//uxuR//ychH//yehP//mnmE//ycgB//gadB//nrdI//phnN//
GO_0000032_8	yidK//
GO_0000041_8	glnK//cbpM//uidA//ldrB//phoR//insI1//nusG//fhuC//napF//xerD//opgC//dppD//wecE//hcaR//trxC//gspE//mnaT//ftsL//gnd//rpmF//yohD//yjhP//yhdW//feoA//insI-1//lpxM//baeS//rseB//plsC//glvB//nrdI//allC//bdcA//pdeH//lldR//ralR//bepA//mdtN//ibsC//
GO_0000050_5	plsX//mlaF//galM//yebS//sdhB//pnuC//rutF//
GO_0000053_5	eutD//
GO_0000096_5	acpH//oppB//waaJ//ravA//phnO//norV//perR//sapC//ybiJ//pphA//cspA//bssS//rpsK//yiaJ//chbF//hokE//ssuA//nuoE//umpG//galM//yceK//
GO_0000097_6	mltF//purF//mngA//dpiB//rhmR//wzb//insH-6//phoA//rpsO//opgD//flgA//trpS//eamB//yafS//
GO_0000098_6	malE//srlB//rffC//lpxC//dnaX//
GO_0000101_6	murF//yicJ//yciE//cynT//nrdI//narJ//uidA//ihfA//wecE//dgoR//hisQ//betT//ycbU//ilvL//glcB//
GO_0000103_5	brnQ//lldP//ldtE//
GO_0000105_6	shoB//trpD//dnaC//pstC//ldtD//ebgR//bisC//sulA//
GO_0000154_7	moeB//ybaK//purU//rplR//ada//mtlA//yahI//malI//ulaR//rtcB//viaA//nrdA//ycaO//murJ//lpxK//gltS//ccmF//stpA//ugpC//preT//lipB//rpoE//hmp//borD//yiaM//rpoE//yahN//glnS//cysI//insI-1//dcuA//frvA//
GO_0000160_5	exoX//yqjH//folC//yhcF//yabI//mlaF//dsbG//ygeV//fhuC//lpxB//yehZ//yajL//ccmH//dcp//grcA//frlC//yneE//gcvT//cydC//narL//ppk//yfcV//cynT//pdeF//cysN//rpmG//sapB//ttdB//avtA//appY//bioA//yejB//ftnB//nmpC//treF//yadK//rlmH//ymfA//parC//deoR//hisQ//creB//dut//
GO_0000162_7	rpsL//ligB//nadD//yhdZ//sufD//opgE//rpsT//tcyJ//yeeA//
GO_0000255_5	yehB//tolQ//wecB//asr//tisB//
GO_0000256_6	udk//sdhD//trmD//relA//ydiZ//
GO_0000270_7	nhaR//yqiI//fimC//ydjH//yfaX//insE-1//dsdA//bssS//dacD//rsmF//frr//ppiA//xylG//rpmC//dgcT//purC//yafN//efp//yigB//sufD//kbp//ampH//lit//rraB//tsaE//tdcD//ynjA//crfC//sstT//metN//folC//waaP//ycjW//pdeD//garD//ybjN//seqA//rnlB//insF-1//dppA//fdhF//nrfB//ldtE//dgoT//lgoD//fliD//mutH//bioD//ispB//yqiJ//yajL//ynbD//sfmA//yeiG//cvpA//rpsP//rayT//sucA//rcnB//lpxB//argF//ydaC//pal//
GO_0000271_6	cmoB//norW//murB//serS//serS//yajQ//hisQ//lpd//ccmA//mdtL//ravA//panF//rutD//nupC//lsrB//deoA//yehD//crp//ubiD//yghO//zipA//rplB//argI//mtfA//rpoE//cspC//dicC//ugpE//rpsD//lptA//cedA//cyoA//sppA//aldA//ftsN//fdhF//yegS//treB//fiu//sufS//qseC//hofO//gapC//priA//ydaC//agaA//pppA//gltP//tusE//modA//
GO_0000272_6	uhpC//mrp//phnN//yhdH//mlaC//lysU//
GO_0000302_5	dgt//mnmA//yjbG//yaiV//gltK//tdh//abgA//narH//sad//phnM//arnF//waaB//lrhA//rutG//acrA//exbD//cysP//yeaV//ydbD//ribC//pabC//envZ//alaC//hxpB//tas//dfp//prfC//deoR//yidC//fbp//ldtB//
GO_0000303_6	rplX//rbsD//
GO_0000305_5	sucD//dnaQ//rssA//
GO_0000372_11	tsf//
GO_0000375_9	ydcO//
GO_0000376_10	mdtG//
GO_0000413_9	rcsF//proA//ubiE//cheB//mdtF//zapA//pflA//nlpD//
GO_0000451_7	rlmI//yccX//ygbN//sdaA//era//
GO_0000453_8	speC//rpnB//kefG//uraA//rpmE//
GO_0000455_9	proV//fnr//psd//hisH//tesB//pflA//sspB//
GO_0000462_11	potB//aes//
GO_0000469_8	yphC//
GO_0000470_10	glnK//
GO_0000478_9	ydiO//
GO_0000715_6	fabA//
GO_0000716_7	yidQ//
GO_0000724_8	feoB//
GO_0000725_7	gntU//yhbO//qorA//hycH//betA//rsgA//
GO_0000726_7	eutK//
GO_0000731_7	pphB//ydcT//ykfI//nuoB//citX//mdtJ//coaD//
GO_0000737_7	leuD//
GO_0000738_7	eptA//ndk//yacG//
GO_0000746_4	tpx//
GO_0000820_7	fdnH//
GO_0000902_5	bioD//
GO_0000910_4	rsmB//mppA//zur//mgtL//dinJ//yafN//paaA//bcp//mdtQ//pitB//mdtE//setB//rho//citX//wecB//feoC//dnaE//tcyN//
GO_0000917_6	hpt//rbsC//kdgK//moaE//metB//
GO_0000918_6	arcA//pnuC//cysI//yadV//
GO_0000920_3	rpsO//yagG//dtd//feoC//murF//
GO_0000921_6	ypdA//
GO_0000966_8	kdgR//yqiI//ygeV//nlpI//
GO_0000967_10	flgF//pheS//ahr//
GO_0001101_4	tauD//ivy//queF//trkG//hemH//yehX//cedA//gsiC//ybbN//motA//nrdE//dppB//yijE//sdiA//hha//lysR//yneJ//nudG//dut//yjeI//cyoB//clpB//trmA//ybdO//arcB//osmE//
GO_0001121_7	dtpD//ydiR//
GO_0001123_8	ybiI//
GO_0001124_8	yadV//
GO_0001407_7	uspC//hypC//cmtA//fixC//
