#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	mgrB//mdtB//icd//yqgB//
GO_0000023_6	phoQ//
GO_0000025_7	fucA//
GO_0000027_7	pfkA//asmA//metF//ybdG//osmY//ggt//ccmH//zntR//lysR//frlB//ttdA//arsC//pstC//
GO_0000028_7	lldR//malS//yiiE//ahr//glnA//paaJ//proQ//shoB//dmsB//
GO_0000032_8	glk//
GO_0000041_8	tamB//insB-2//sppA//fryC//cadB//rrrD//ftsY//nuoG//ydfD//citX//yghU//entA//cysD//bcsA//ydaV//eutR//dsbC//purD//paaX//srlD//yciK//kbaZ//mhpC//cynT//ftsB//pstS//lacY//pyrG//arsB//pntA//yddM//speC//mutM//cusB//nrdI//ascB//pyrG//yeeL//recT//
GO_0000050_5	selB//dppA//holD//cutA//cecR//glyA//lepA//
GO_0000053_5	uacT//
GO_0000096_5	mgrB//def//tas//ampD//gyrB//yegV//tatC//setB//yegS//gnsB//fkpA//rlmA//gapC//groS//holA//surA//cpoB//uidC//pspG//yhaC//dgcQ//
GO_0000097_6	hybE//dpiA//hiuH//gpr//raiA//pfkA//yiaJ//hypB//tyrR//ariR//potB//dtpB//yhjA//bolA//
GO_0000098_6	serS//hslJ//bioB//nuoL//lolB//
GO_0000101_6	dut//ccmF//nanR//msrB//alaC//yehB//mocA//hlyE//tktA//yihS//tusC//dnaX//yjjB//csdE//raiA//
GO_0000103_5	bamA//nrdD//yoaA//
GO_0000105_6	yifB//msrB//ybhA//cmoA//hybG//sfmF//yedA//tar//
GO_0000154_7	yrdA//yfcG//tktB//pldB//zraS//pflB//yjjG//aqpZ//dsbC//cspG//ccmD//murC//adeP//appC//murA//citT//speA//ruvC//trmH//dxs//dgcE//murE//flhD//queE//rpmC//metE//puuP//livK//metI//yfiF//mgsA//ilvB//
GO_0000160_5	hflK//livM//cueR//ybiV//yfdK//dnaB//fucP//ytfT//mmuM//smpB//ybaQ//yjbB//serS//lspA//ftnB//ydcR//napB//nusA//narW//nagA//ibsB//queE//fabH//adhE//cysC//napB//amiA//ydcZ//xylH//chbG//leuC//tqsA//eco//mgtL//mioC//ldrB//glmU//dhaL//rplC//phoQ//cheR//ybcQ//kbaY//
GO_0000162_7	hflD//ssuC//acrA//alsE//flgH//murI//pckA//lysP//yddL//
GO_0000255_5	ecpR//lysO//tcyN//bcsA//tauD//
GO_0000256_6	hfq//abgB//rtcR//phoA//qseB//
GO_0000270_7	mdlB//dgoD//ydiR//baeR//hisA//envZ//hipB//yggF//yieL//allR//argB//tyrS//glnD//ilvB//cusB//iscX//tauA//rsuA//yfhM//nrdF//azoR//pitB//ycjQ//csdE//trmL//cdaR//rclA//tsaE//msrB//hyfF//mdtC//tdcF//osmC//minE//msrQ//atpH//ugpB//ugpC//hofM//mcbR//nudB//ppsR//acpH//trxC//betI//sbcB//blc//rutR//narV//ttdB//flgM//ybfA//dmsB//ybgQ//mntS//ispF//mnmE//ibpA//pckA//copA//rho//pspG//yjjX//
