#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	gcd//nadA//dnaA//hypA//
GO_0000023_6	insI-2//
GO_0000025_7	envC//
GO_0000027_7	murD//ygeW//pntA//xylH//pepT//ygeX//yhjR//cysU//hemL//yadM//ibsD//rutC//lsrC//
GO_0000028_7	pncB//frmR//abgR//phnK//glgX//phnL//ymgA//ybcF//orn//
GO_0000032_8	malI//
GO_0000041_8	rlmH//ydjH//rof//ydhQ//malX//zapE//fpr//hypE//rnt//mazG//thrC//mutM//yedA//lpxC//hyaD//queE//yfdK//ettA//secB//yehB//basR//yfdK//yadG//yfbV//iscR//yghB//rfaC//dusC//acrR//uspB//rfaD//rplS//hns//tsr//radA//rfbD//dinJ//thrC//cysG//
GO_0000050_5	rspB//torY//mhpD//tisB//acrA//chaA//eutK//
GO_0000053_5	rlpA//
GO_0000096_5	ybiJ//cysS//ybaE//nlpD//emrD//pbpG//eptA//ycfL//yhhT//amtB//fadJ//amiA//upp//hypA//nagB//adk//udp//tdk//yccX//secG//asnC//
GO_0000097_6	htpG//yjtD//yjjG//dppF//glgA//ibaG//dcp//ycjY//yjjX//cspD//ais//fucA//gpr//ydjM//
GO_0000098_6	elfC//cbpM//betB//rutG//amiB//
GO_0000101_6	ftsA//glgS//mfd//maoP//sfsB//hflX//insA-1//cydB//lapB//dbpA//rplR//eutN//xseA//metB//ubiE//
GO_0000103_5	eptC//prfC//cysK//
GO_0000105_6	wecE//sfmA//ilvH//dhaL//ybhA//hcaF//cheY//hycB//
GO_0000154_7	mraY//setB//pheM//ftsX//nadC//rpmG//ibsD//yehU//napA//yjjI//cysE//edd//aroD//sstT//ravA//mppA//sapA//trpL//ybdG//hxpA//flgD//mdtI//creC//gntT//mntS//cho//elfA//minD//fliG//ftsH//yebC//ypdC//
GO_0000160_5	yahK//yedX//lpxH//tcdA//mreC//garR//torZ//sufC//yeaE//uspG//symE//pdeF//yciK//rffG//fepD//ftsZ//cdgI//ycbB//casA//rutE//ygcR//glgS//nikE//yihI//ppc//wcaJ//psuT//betB//rplK//yjhB//envR//rihB//cbeA//ygdG//yagG//hrpA//yihU//rimI//asnA//mutY//sgrR//sulA//yfgO//
GO_0000162_7	mdoD//ybdR//dnaT//rodZ//dinQ//gor//moaC//nikE//ccmC//
GO_0000255_5	prpD//dgt//dapD//emrB//dsdC//
GO_0000256_6	potB//dhaK//metI//yihI//agaB//
GO_0000270_7	atoS//moeA//uxaC//cstA//sgcA//mdh//fdx//sbcB//gatC//glrR//parE//nuoI//sdhB//cspA//tag//hybE//mngA//uvrY//fliK//recA//ligA//ccmA//rnr//argC//ahpC//fliM//rbsB//treR//ldtE//lpxC//cydA//uxuR//gudD//nimT//zinT//dacD//ccmG//cyaY//ynaI//waaU//ybhF//alaC//efeO//uvrB//nrdB//aroD//rimL//bglH//cysM//cmk//curA//flgM//tynA//rhmD//ycgB//rlmC//wzzB//hda//ebgR//fdoI//csgE//gntR//metR//
GO_0000271_6	ravA//rutB//efp//rseC//yfiE//sgcA//sufD//dnaN//fic//ydiQ//pdxB//citC//marA//sgcR//murF//cyoA//sutR//entB//yidC//garK//cbrA//bdcA//yggP//ompR//speC//diaA//malX//uraA//yehZ//ycjP//aidB//ybiO//tusB//sseA//yhjV//tsaE//gudP//paoC//cas2//ispA//ppsR//proP//bssR//relE//tauB//rarD//ppsA//glsA1//folA//ygcW//
GO_0000272_6	ybgP//ydhQ//queC//comR//bluF//suhB//
GO_0000302_5	frlB//mdtB//rsmE//lapA//uxuR//yafN//nudC//lepB//yejE//yjfF//pyrH//yahO//hyaA//ycjY//gltI//purN//frwD//speA//xylR//rpsP//bcsA//mltB//dacB//asnA//btuC//waaL//hypA//borD//epmC//mepM//birA//
GO_0000303_6	ibsD//livJ//
GO_0000305_5	rarA//rpsR//ypdC//
GO_0000372_11	dgoK//
GO_0000375_9	mlaB//
