#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgrR//ygeW//metI//ilvD//
GO_0000023_6	pyrB//
GO_0000025_7	ychO//
GO_0000027_7	mfd//tyrS//plsC//ybcF//yajO//clpS//yhjR//adhE//mreD//rhoL//tktB//abpA//pbpC//
GO_0000028_7	yciH//ybdN//galP//clpB//nrfG//ruvC//rplE//yddM//secM//
GO_0000032_8	fdhD//
GO_0000041_8	ileS//ibsA//aroA//yhjC//thrC//gatD//rffC//tqsA//ttdR//gnd//entA//mdtL//lysU//narI//osmE//ydeE//nrfC//narH//pnuC//sapF//cycA//nadA//wcaJ//nadE//yqcG//glmU//ssuE//cspE//betB//coaD//tsx//ftnB//dauA//ydiK//atpB//yoaA//edd//lpcA//yihU//
GO_0000050_5	rof//rplO//nlpE//dnaJ//ygiB//ppsR//chbB//
GO_0000053_5	hrpA//
GO_0000096_5	yeiG//minE//thiL//yhcD//bglH//ruvB//rtcB//fhuB//mdaB//fruB//yjjB//rfaE//yadK//appY//chbG//yfdK//tpiA//mgrB//ydbD//sgcA//betI//
GO_0000097_6	fadM//ynfE//yjgX//ybhR//hyfC//mepA//yqeF//truD//gspF//adk//yciE//nfsB//nagA//trmH//
GO_0000098_6	trg//pabA//cyaA//ilvD//zitB//
GO_0000101_6	dtpD//ilvL//ydjJ//secD//fliG//agaD//oxc//ilvA//katE//opgD//uxuB//slt//menA//murE//araD//
GO_0000103_5	insI1//glcE//dapB//
GO_0000105_6	ccmE//eutN//dacA//bamB//mreD//rnr//srlB//relB//
GO_0000154_7	abgT//feaR//rimL//dacC//dcm//nanT//ppiA//yahI//rseB//cspA//kdsA//hcp//rnhB//fruA//yegS//galU//oppF//rpmB//kdsD//oppA//hypF//plsX//zitB//dinG//fabR//queF//ybgQ//alsC//thrB//ypdA//dcuC//potC//
GO_0000160_5	hybB//agp//gor//glpR//dmlR//cbrA//rutG//ghoT//atpG//valS//trkH//suhB//rsuA//yidE//cas3//dinI//nirD//btuB//galS//wzc//aslB//yraN//flgC//marR//cheR//xylB//ydcT//copA//lsrC//astC//lldD//ahpC//cpdB//flgF//dgt//eutN//psuT//rluE//pckA//hdeD//rapA//secB//acrE//
GO_0000162_7	cysP//lipA//yraH//ybaM//elaA//nagB//dcyD//rsmE//paaZ//
GO_0000255_5	ubiG//abpA//dgcJ//fnr//glpF//
GO_0000256_6	fbp//patD//purT//menH//gapC//
GO_0000270_7	flhD//fliM//fumC//yraI//rsmA//dcd//pnuC//yehD//deoR//iap//ubiX//lpcA//ghxP//yeiG//dgoK//proB//fabG//sufA//dnaQ//hemA//nimT//mdtA//dtpC//deoD//thiH//tig//cirA//def//purL//fepG//fhuB//manZ//lpd//rfaH//yihQ//cvrA//metK//ldtC//ftsI//yccS//amiA//feoA//rlmG//tktA//yihW//dgt//ybdN//ydcS//qseC//rhmD//ldtD//entB//recE//elyC//yihR//bamA//truB//pheS//mepM//tauC//yfcR//yihL//dgcT//
GO_0000271_6	yhjX//recQ//fliA//cpsB//pheP//nadB//fliZ//fadK//yjjB//paaZ//yjaA//moeB//speB//helD//ppiC//yjcS//cusR//iraM//hisG//treB//mscM//nrfD//lacI//pal//hyi//adeQ//atpC//yobF//mdtJ//mglC//ycdX//ychH//gpmM//abgB//nrfD//hslV//marR//galE//dhaL//nuoN//hemL//yehA//yqeF//aer//pldB//pinQ//sbcB//tdcD//rhlB//rplP//
GO_0000272_6	narX//relE//brnQ//mngA//insI3//mhpB//
GO_0000302_5	cysA//rplK//frwD//yihR//melB//rbfA//cspI//der//yneJ//yghO//bdm//lplA//rplD//accD//mdtA//ldtB//rpiR//glxK//mdtB//yghB//ppiA//yjtD//ydjM//mdtE//chbG//yhbY//rzpR//otsA//ptsP//sapD//yiaB//
GO_0000303_6	asnS//rsmE//
GO_0000305_5	ybdG//yajR//bioD//
GO_0000372_11	cysA//
GO_0000375_9	ftsW//
GO_0000376_10	lptB//
GO_0000413_9	zapC//entD//accB//shiA//yhcD//lepA//mfd//yhjG//
GO_0000451_7	ompT//yiaJ//aldA//yraN//tus//
GO_0000453_8	dnaX//ychF//fliK//ugd//matP//
GO_0000455_9	yiiD//phnI//cueR//acrD//emrY//soxS//glnD//
GO_0000462_11	ybcQ//secD//
GO_0000469_8	yddL//
GO_0000470_10	hycH//
GO_0000478_9	bglB//
GO_0000715_6	waaL//
GO_0000716_7	luxS//
GO_0000724_8	atpC//
GO_0000725_7	yigL//rpmF//ruvC//elaB//dtpC//moaC//
GO_0000726_7	fadH//
GO_0000731_7	uspC//insA-1//entS//lasT//nadK//yfgO//dpiA//
GO_0000737_7	nrdB//
GO_0000738_7	rpsA//uxaA//mlaB//
GO_0000746_4	nikD//
GO_0000820_7	fdnH//
GO_0000902_5	ybdM//
GO_0000910_4	basR//pfkB//ydaC//uxuB//zur//glpG//zipA//malX//bisC//clpX//fabA//gltS//bluR//mhpA//avtA//rlmB//yfdC//dsdC//
GO_0000917_6	surE//ansB//ispG//uxaC//yobF//
GO_0000918_6	tolC//ydiF//dam//gpsA//
GO_0000920_3	sgrR//mlaB//narY//ybiS//ppk//
GO_0000921_6	pstS//
GO_0000966_8	nsrR//pstS//gatA//tdcB//
GO_0000967_10	nhaR//yacG//marA//
GO_0001101_4	yfaE//tqsA//wzc//ymfK//mscM//potH//mtlA//btuC//nuoE//csgD//yoeE//yhjA//pbpG//phnI//envZ//yhhZ//cdd//tyrB//ilvM//rpnA//yhjC//amiB//yrbG//sgbU//actP//iscX//
GO_0001121_7	wecB//rbsR//
GO_0001123_8	topAI//
GO_0001124_8	intF//
GO_0001407_7	yfcF//lnt//iscU//ffh//
GO_0001505_4	scpB//rdgC//dinQ//dsbB//uhpT//obgE//argS//sppA//agaD//ykfI//mug//curA//sdhB//rhlB//thiH//nudC//
GO_0001510_5	dcuS//secG//waaC//yqeA//degS//glyA//topA//sapD//gcd//lpxH//yafE//adiY//yceD//yjiQ//glcC//fimZ//rpnB//glgC//yehA//yeiG//slmA//insH-5//sspB//hicA//murB//ggt//ulaB//lpxP//potG//recG//pckA//bglB//era//yidH//fepE//soxR//mscS//clcB//dsdA//msrQ//
GO_0001514_8	yidC//
GO_0001522_7	orn//ibsC//ettA//yqiI//tauD//dedD//purU//clcA//nrdF//nrdG//cho//orn//paaJ//
GO_0001539_4	puuA//yhcN//lpxT//uraA//fumC//hisM//tamA//rlmC//vsr//dsdX//lptF//raiA//insB-2//dtpB//queC//znuC//yraH//yadK//sgcC//yohD//rsmG//fryB//lpoB//ascG//ruvA//yabI//rplL//ispA//ldrA//ligA//ybdO//
GO_0001558_5	uspG//srlB//eptB//serA//argG//mltG//fucK//greA//
GO_0001561_6	mgrB//
GO_0001666_4	bioD1//
GO_0001676_6	idnK//hisB//ppx//
GO_0001680_11	hypB//
GO_0001682_11	hycH//
GO_0001731_7	asnS//
GO_0001762_6	rlmF//
GO_0001887_4	alsK//dam//nrdG//
GO_0001896_5	glnS//mhpC//queC//priA//
GO_0001907_5	nlpE//ansB//fhuB//bssS//
GO_0001932_8	insB-2//serA//
GO_0001934_9	yjaZ//
GO_0002047_6	frmR//mtnN//
GO_0002097_8	caiD//motA//gpt//bsmA//hofO//purB//yeiL//shoB//ddlA//rimL//sgbH//uxaB//dkgB//fecB//psd//pdxK//rimI//yebG//pta//
GO_0002098_9	rutB//sufS//rpmA//cysB//dapB//alpA//tyrB//dnaJ//dacD//rpsJ//frmA//fucA//ldtB//
GO_0002099_9	nuoM//ydeP//
GO_0002100_9	prmB//
GO_0002101_9	rihB//ftsL//
GO_0002128_7	cadA//gppA//xanP//glnB//
GO_0002130_8	ubiB//
GO_0002131_9	glgC//
GO_0002132_9	purB//
GO_0002136_10	rhaM//
GO_0002143_9	trmI//map//mraZ//ybdM//ybdO//adiC//
GO_0002181_7	rplD//ilvL//
GO_0002183_5	otsB//
GO_0002184_8	ypdC//
GO_0002188_6	waaS//
GO_0002190_6	ybhR//
GO_0002192_8	lptG//
GO_0002252_3	rpmF//yghU//purF//cysP//mdtM//pspD//ptsI//intQ//hemA//yaaJ//
GO_0002790_6	pheS//tesB//napD//dpiA//ycjQ//lpxK//rnhA//
GO_0002937_9	hycH//
GO_0002938_8	purR//
GO_0002939_7	ygcO//
GO_0002943_8	frdD//
GO_0002949_8	mnmG//mnaT//rmuC//allS//
GO_0003333_7	fadI//mdtL//idnD//uspB//yeaK//betT//dmsC//mdfA//zapB//holC//yiiE//sxy//flhD//tolR//ytfE//phnP//gmk//tnaB//yjhC//gatD//pykF//dacA//araF//minD//pdxA//kdgR//sbmA//aldA//sucB//uhpB//hslV//cynS//prpC//ybfE//csgF//mutY//hcaR//yebK//plsC//shiA//rplF//paaA//csgD//yhgH//surE//yciT//betI//lspA//ydiB//
