#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tar//glk//dgoR//sapD//
GO_0000023_6	ygbL//
GO_0000025_7	gatD//
GO_0000027_7	ulaA//kefF//yidK//tatE//ymgF//melB//truC//napD//hscC//yibT//pabA//bipA//rplQ//
GO_0000028_7	yeiL//thiH//rsmI//cobC//ssuD//sufA//pdxK//treC//yraH//
GO_0000032_8	yqjH//
GO_0000041_8	araD//zur//preT//yibH//ppiA//nrfA//nac//ralR//dinG//xylA//rppH//trmA//dsdC//fabI//recT//rhmD//adiY//nuoF//rpsB//ybdG//uspG//potI//frdD//der//aer//cysP//ulaR//yfbV//ypdB//rfaE//rutF//ccmA//fur//ybdN//mdtQ//nagD//rplE//yadI//manY//
GO_0000050_5	clsB//ubiE//fkpA//ftsY//cbl//galP//ftsH//
GO_0000053_5	rnr//
GO_0000096_5	yihU//ccmC//atpC//acrE//tehB//hslJ//sgbU//uhpC//tyrR//waaU//ygeR//yjjI//dppD//focA//dut//yaiV//lnt//rhtC//cbl//yjjU//bsmA//
GO_0000097_6	yciV//yehA//ansA//dgcZ//rfbC//emrB//tdcE//hybF//mlc//flgD//panF//truB//yihI//dgcT//
GO_0000098_6	ypdA//cysH//malQ//mlc//cydD//
GO_0000101_6	bamA//mnmA//trg//mepH//fsr//hmp//hemL//gapC//yjbG//cheB//trmJ//ribF//fadI//hybG//narK//
GO_0000103_5	vsr//potA//manA//
GO_0000105_6	hdeB//coaD//aceB//kdgT//gadC//relE//guaB//cyaY//
GO_0000154_7	zitB//dcyD//hprS//cobC//cobT//frr//sstT//rplR//tolQ//ybiX//thiQ//creC//ffh//intQ//nimR//trpR//argE//ytfP//cpoB//ydfH//leuC//tig//hofP//evgA//fklB//nirD//minC//moaE//potB//ssb//phoP//cysB//
GO_0000160_5	bamC//recE//ilvD//syd//tauD//alaE//glyS//creC//carB//prmB//baeR//agaR//recO//yihI//malQ//lysC//uspE//setA//aceF//ybbW//pspD//ridA//ygeX//yciK//btuE//purN//narP//mntR//sbcD//fliG//ybfA//dosP//tnaA//norW//gltK//prfC//coaE//purN//tauC//yfcR//hdeB//hisP//gatB//
GO_0000162_7	yfcQ//kdpE//dtpB//prfB//aspA//acrE//idnD//yfcF//panF//
GO_0000255_5	ygaH//ftsI//ynaE//rplW//secG//
GO_0000256_6	moaC//ygaV//ghxP//abpA//pdxJ//
GO_0000270_7	arcB//mocA//yehT//ppiC//pepT//evgA//sdiA//lsrA//fadJ//msrB//osmC//iscS//rlmH//dsdA//appB//dmlR//yhgH//ampH//rnr//groS//lsrK//ybdG//rimJ//ycfJ//clcA//folE//ynbD//tusE//mnmC//glnK//mnaT//yjtD//phoU//pstS//uxuB//fis//ycgR//yjbG//clsA//csgA//panB//rplD//cmoM//waaS//aldA//allR//leuA//lptD//ulaR//dmsA//ybaM//nirC//dinG//qseC//rutC//fkpB//mtgA//pyrL//ptrA//feoB//hcaF//dinJ//yjaA//
GO_0000271_6	aphA//paaF//gadE//mglC//ghxP//ybdN//ychF//tldD//yidK//thiH//norV//radA//gcvP//pcm//ygdG//gatY//hemD//betB//lsrG//smrA//plsB//ygbL//mepA//artI//fucA//mcbA//hdeD//yggX//sthA//slyD//envR//rpsP//ynfK//idi//minE//skp//kbaY//yidA//csrD//rlmN//yihW//ycfS//bepA//csgB//gatC//rbsA//cspB//yqhC//rfbD//gltX//
GO_0000272_6	skp//phoU//bluR//tamB//yeeL//gntU//
GO_0000302_5	yajO//rpmB//rpoH//znuC//pdxK//zraS//ldhA//cdgI//aqpZ//ygeW//rlmL//aslB//chpB//yiaU//gatB//msrB//flgJ//ispB//ymjB//rpmG//yafC//rbsB//thiE//roxA//galK//tmk//narL//hinT//glcB//trkA//fadL//
GO_0000303_6	nikC//alaS//
GO_0000305_5	yiiD//fau//zur//
GO_0000372_11	yfcA//
GO_0000375_9	fur//
GO_0000376_10	menD//
GO_0000413_9	araE//elaB//rsfS//argD//mocA//yagU//flgK//frlB//
GO_0000451_7	lolE//valS//dpiA//uspF//phnJ//
