#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	eutR//fnr//cbrC//aroD//
GO_0000023_6	torC//
GO_0000025_7	yqaB//
GO_0000027_7	yneE//aroD//rcnR//speF//lit//yadC//ybaL//ybdZ//yfiF//glrR//leuB//cobC//rutE//
GO_0000028_7	rplD//dcm//yphC//yraR//nudG//adhE//ydcP//tdcA//cusB//
GO_0000032_8	pinE//
GO_0000041_8	rimM//map//rpsD//ade//yjfF//thiQ//recT//pitB//tyrB//ssuA//dsbB//narW//dgcQ//leuS//gutM//pliG//acpH//degQ//wza//paaB//groS//rpiR//scpB//cstA//uspF//ybjI//tusE//pnuC//aceB//gcvP//yiaU//ssuC//rplE//xanQ//nfuA//treB//mdtB//fimZ//alaC//
GO_0000050_5	kdpC//narH//ynhG//appC//purF//mntH//nagC//
GO_0000053_5	dtd//
GO_0000096_5	gltS//ldtD//ydiV//mraY//hemF//yjhC//bioP//rimL//rpsN//ybiH//rutC//ghxQ//wzc//mliC//flgF//dxs//fimE//mgtL//ycjQ//rlmD//ibpB//
GO_0000097_6	acpT//hypB//nuoI//nikB//rluE//allD//yodD//frsA//yfhH//wecE//nuoH//yagG//topAI//setB//
GO_0000098_6	proP//hslO//ubiB//mltB//raiA//
GO_0000101_6	ivy//srlD//lacY//xylA//ruvB//chaA//bamA//tisB//gspF//ygaV//yadC//glcF//glyA//dgkA//yddA//
GO_0000103_5	yciV//yccX//phnK//
GO_0000105_6	dkgB//dctR//selB//yfgI//coaA//kduI//serB//wzc//
GO_0000154_7	rpiA//entD//trxC//yfiC//gdhA//ftp//borD//gcvP//bdcA//rpsN//ligA//ilvD//fliK//elfD//fryA//ybhJ//rfaB//trg//yceD//fhuF//nfsB//treF//yhjD//puuB//rpsM//zntR//lpd//rlmB//recD//cusB//moaB//ydeM//
GO_0000160_5	yadV//argP//ubiG//queA//ptrA//rpmB//htrE//tusA//tehB//rplD//frmB//wzzB//mrdB//yciV//yfdO//hybC//hscC//shiA//malS//patA//zapC//ydcZ//yfaU//nfi//agaS//kdpD//yhjV//dppA//feaR//tktB//sulA//atpH//aldB//ycjP//hypD//ung//solA//pgk//glnS//helD//serA//trg//yrbG//
GO_0000162_7	ascF//msrC//opgB//zntA//ralR//oppA//rplX//csgB//rhaM//
GO_0000255_5	dfp//fadD//gntU//ackA//tonB//
GO_0000256_6	bglH//ppsR//ymgC//ygbN//rhmR//
GO_0000270_7	zwf//yqeF//rsmD//lolC//rplJ//sfmH//caiT//trmI//tyrR//zur//rlmL//nrdG//malQ//asnC//emrD//ykgM//adiY//nrdD//yjcS//bdm//gcvA//btuB//potF//dadA//hyfC//lgoD//ugpE//yfcG//glcD//aceK//osmF//yefM//agaV//sgcX//ymdB//gsiA//pdhR//rutC//rne//csgF//bcsQ//rnt//hisI//uxuA//malY//aroA//glgX//phnP//yegT//fhuC//ddpA//rlpA//trxA//yjjU//yiaJ//pgsA//yajL//bdcA//etp//hyfR//uxaC//cfa//tatA//
GO_0000271_6	cpxR//rluF//mhpA//mhpR//ihfB//amiA//rdgB//ygbN//chpB//arcA//oppD//hisH//ldrB//acpS//uacT//dinB//ilvM//zur//yecS//lsrC//waaP//hha//ulaF//carB//lysA//hicB//nfuA//clsA//nmpC//uxaA//yhjC//ycfL//yhaO//opgB//atpG//ccmC//rpsP//argD//tgt//potF//ihfB//menE//yhcH//ycjD//apaH//nuoF//eutA//rpnC//ndk//yfgI//
GO_0000272_6	nsrR//fepD//erpA//evgA//serC//puuC//
GO_0000302_5	cof//rfaF//recQ//nadE//yqiJ//rbsB//yghG//yajR//fiu//ftsI//artI//galE//rcnA//cynS//rpsH//entC//yggE//kch//ybjG//pheM//glpB//erfK//ygiS//speF//chaA//ccmH//zraS//mdtQ//dcuA//comR//aaeR//
GO_0000303_6	dsdA//gldA//
GO_0000305_5	rluB//hemL//rsmC//
GO_0000372_11	arcC//
GO_0000375_9	rpmB//
GO_0000376_10	dgoR//
GO_0000413_9	kdpA//surE//erfK//pdxB//sapD//atpE//rlmN//fabA//
GO_0000451_7	yafO//ygiS//aldA//mltG//rssA//
GO_0000453_8	arnF//astB//fkpA//ydiV//hypF//
GO_0000455_9	argC//cusF//udp//psuG//malP//moaE//yahK//
GO_0000462_11	abgB//cmtB//
GO_0000469_8	paaC//
GO_0000470_10	yojI//
GO_0000478_9	livJ//
GO_0000715_6	ynaE//
GO_0000716_7	uspC//
GO_0000724_8	hyfF//
GO_0000725_7	trmH//fimZ//dinG//glvB//lolB//tnaA//
GO_0000726_7	waaL//
GO_0000731_7	rplR//cyoD//murA//tadA//yjhC//hchA//lysP//
GO_0000737_7	rcnR//
GO_0000738_7	cyoD//tap//hdeD//
GO_0000746_4	rlmB//
GO_0000820_7	yagI//
GO_0000902_5	zur//
GO_0000910_4	rstB//rdgB//pnp//pliG//kefF//ybgI//yabI//murR//rnt//ubiG//srlE//ibsE//glcA//rpsG//pgrR//xylE//setC//guaD//
GO_0000917_6	glnB//malF//setB//gspF//stpA//
GO_0000918_6	ydfK//rpoD//queD//ydeO//
GO_0000920_3	iscU//lit//dmlA//narV//ygiW//
GO_0000921_6	ghoT//
GO_0000966_8	rmuC//yhjR//znuA//ydiO//
GO_0000967_10	wzc//yqiG//aldB//
GO_0001101_4	cspE//rhaT//puuA//ydiO//mnmG//aaeR//nirB//fic//yqhD//yhjC//kbp//lolA//sgcC//dam//fimH//rplP//ytfP//rffG//acrE//essD//gpp//trkA//chbR//lnt//yajO//allS//
GO_0001121_7	narG//ybdR//
GO_0001123_8	yqjA//
GO_0001124_8	hemF//
GO_0001407_7	fdx//fimH//rplI//uhpT//
GO_0001505_4	hemF//narV//yihP//ibsE//dicA//maeA//rffH//focA//intA//iraM//yqeF//yegD//crcB//yiaN//xisE//mscL//
GO_0001510_5	glnD//yccA//frmR//zinT//moeA//ubiD//uspE//yfhH//yiaT//rimJ//cmoM//cspG//ycdX//nagD//cho//dkgB//leuD//sucD//aaeB//zapD//seqA//pgaC//cas2//yqeF//csgB//ydiF//allS//ycgV//hisI//idi//arfA//ldtC//rpsK//thrS//parE//hchA//yjjX//glpG//waaA//sgbH//
GO_0001514_8	xylE//
GO_0001522_7	rpsN//dacC//lsrD//tsf//puuE//ivbL//citC//cpoB//uvrD//acnB//pdxB//dctA//raiA//
GO_0001539_4	mtgA//puuD//yebS//fau//nrfC//glnD//hyaA//fdoI//bioB//wecE//potB//cobC//yebG//yehC//yddL//ybcL//ibaG//ttdT//trmI//cysG//yhbX//sdhE//manX//cheW//amiD//yhjV//pgm//recR//ynaE//nagK//yidK//
GO_0001558_5	ybhJ//gcvT//dnaJ//mgtA//malF//hns//maoP//pdeD//
GO_0001561_6	glvB//
GO_0001666_4	rutE//
GO_0001676_6	putP//lysR//yadC//
GO_0001680_11	mltB//
GO_0001682_11	luxS//
GO_0001731_7	aroF//
GO_0001762_6	fabR//
GO_0001887_4	pdeR//mtnN//fliK//
GO_0001896_5	ygiN//trpS//hcaT//putA//
GO_0001907_5	yjgX//prpB//dsbD//recR//
GO_0001932_8	rhtC//citG//
GO_0001934_9	pagP//
GO_0002047_6	rhtB//nei//
GO_0002097_8	rcsF//flhE//tusD//truB//yjjI//nanR//asd//torZ//allC//ygcW//thiE//dapA//rhtB//topB//dnaT//tusA//ubiH//yihL//hokB//
GO_0002098_9	ldtA//pyrE//lsrG//lpcA//kefF//tpiA//yhdX//ubiF//topA//dgcF//selB//pgpB//nikB//
GO_0002099_9	xisR//mraY//
GO_0002100_9	rplF//
GO_0002101_9	yceD//tolQ//
GO_0002128_7	mutY//evgS//citE//ycfJ//
GO_0002130_8	secG//
GO_0002131_9	hybG//
GO_0002132_9	nlpA//
GO_0002136_10	smrA//
GO_0002143_9	yjjI//cpxR//arnD//yidQ//dgcN//envZ//
GO_0002181_7	astB//surE//
GO_0002183_5	fadM//
GO_0002184_8	yhbQ//
GO_0002188_6	pgi//
GO_0002190_6	bolA//
GO_0002192_8	pnp//
GO_0002252_3	ydbK//lepB//mrcB//scpB//yqcG//malX//leuS//malF//ycfH//aldA//
GO_0002790_6	mnmG//msbA//mcrA//aroK//pdeL//fhuB//narK//
GO_0002937_9	entS//
GO_0002938_8	lipB//
GO_0002939_7	kefG//
GO_0002943_8	hslR//
GO_0002949_8	degS//nikC//casD//cycA//
GO_0003333_7	yggT//yejA//thiM//alr//yahD//oppD//flgB//bluF//yecS//dsbD//lgoR//ydhQ//adhE//gapC//arcB//tdk//garK//murJ//ytfE//kdpA//dnaN//uxaB//recO//yedX//nrdF//mtgA//yfjR//puuR//thrS//modB//fcl//yejA//ydeI//rutD//yibH//ygbN//ydhQ//ssuB//glgB//rhmR//hofC//yihS//hypA//lolB//mrdB//potB//frdA//fabA//abgA//
GO_0005975_4	yqcG//zinT//dicA//kefC//phnK//murE//eptA//erpA//hflC//folX//lldP//flgE//priC//sdaC//deoR//rffM//pgk//rfaC//sgcB//cydC//yidD//mdtC//fabB//uxaA//dgoR//ilvB//trmA//mug//amiA//hxpA//sufD//tabA//rpmH//lhr//ybcF//minC//feaR//iscA//dtpA//ybhG//alaA//efp//clsA//ahr//secY//ydiB//elfA//ascF//hflK//recD//araE//fepB//fimB//lysO//thrL//ascF//cdaR//rffH//ycaN//fcl//rbsA//rseP//glnB//iscA//ibaG//hypD//lysO//gutM//yneJ//yfcA//ppk//putP//ubiI//cadA//waaU//cheB//mglA//xseB//zinT//yqaB//crfC//hyaB//glnP//hisH//hycI//fadJ//citC//bhsA//spy//rnr//galT//wecC//rimL//rpsS//ascG//lsrB//yihR//ilvA//narU//carA//yjfF//xylF//ybeF//mglA//ykgA//ade//cydC//aspS//bglJ//frvA//ecpR//tyrR//hyaB//fhlA//mutL//elaA//glpG//umpH//waaH//metG//caiF//nikC//clpS//rlmN//glvB//queD//paaF//lsrG//yiaU//tufA//torA//sad//gadX//ybbY//gpmM//ynjA//dsdX//dnaC//gdhA//sbcD//pheT//hflX//narY//opgD//cyoE//smpB//fhuC//ycjP//ulaC//ynfK//gppA//dsbC//yfeD//ykgF//pstC//garL//ybcF//ruvB//ydeM//xanP//rhaR//puuA//ynhG//dctA//yphF//ybhS//ecpR//potD//gcvP//ybiV//scpC//yieL//cutA//hldE//phoA//envZ//rayT//ydiQ//fliG//arnF//csrD//rseB//pdeH//fadI//hscA//yjbF//lexA//mdh//fadK//csdA//ahpC//kgtP//pyrB//mdoD//dxs//tktA//ibaG//lgoR//erpA//tilS//phoU//hypD//ybeQ//ychF//selU//fliZ//creB//agaD//xylG//lolC//yidD//pal//glyS//glpK//essD//ydjJ//cysN//glpT//tufB//arfB//ompA//yhfS//yedP//idnK//csrA//entH//nanK//rhaA//gatZ//hrpA//trpE//hybD//matP//rarA//ung//argB//lsrC//murI//recC//ygiV//moaB//zraR//lsrC//yabI//yobA//yjjQ//acpH//uxaA//ynaE//torC//yqaE//yrfG//rclR//rbsA//
GO_0005976_5	yijO//nlpA//btuR//ybdZ//sfmA//fes//bglB//yhcF//murP//ydeE//yfeD//fucA//gltD//feoC//hipA//gntR//sodC//fhlA//yifB//nuoL//araF//ahr//lsrB//rhtA//prfC//fdoG//trmL//chbG//fkpB//gadX//rlmG//ygfZ//fadB//holD//fimG//ettA//gatA//mntH//rtcB//dnaB//yccA//yjjX//recX//ibpB//adiY//rseC//metK//galT//yqhC//ybaK//lsrK//gltS//yiaM//yibT//yqiG//lipA//thrB//cspA//lrhA//
GO_0005977_6	ydiP//rpnA//mzrA//murP//xseB//rnr//yihP//dsbG//
GO_0005978_7	rppH//icd//bioH//gadX//
GO_0005979_8	mntS//
GO_0005980_7	fecD//blr//ribC//
GO_0005981_7	epmC//
GO_0005984_5	insI-2//moaB//gshA//uvrC//accB//lpp//ibsE//secE//deoA//gltD//ydfH//
GO_0005985_6	oxyR//
GO_0005986_7	glpA//
GO_0005988_6	glpA//fixC//
GO_0005990_7	prs//nlpD//
GO_0005991_6	yqeA//fabG//yhdJ//glnE//malK//
GO_0005992_7	yoaB//ettA//
GO_0005993_7	ftsP//nhaB//ispB//
GO_0005994_6	rpmA//
GO_0005995_7	yiiE//
GO_0005996_4	cusB//thiG//hyi//hemE//yghU//phnG//paaF//purL//frmB//rpsI//rsuA//xanP//mscK//ibsB//kefF//yjbB//gadB//uof//paaF//ybcF//speF//hemL//yegD//hinT//bdcA//ibpA//fruK//pnp//yjjU//zraR//rmf//bluF//pnuC//wbbK//cydB//epd//btuE//ycdY//mdtK//matP//yiaA//zraS//lsrK//recO//ugpB//fhuF//mrdA//yceO//nudC//fixB//nadE//rpiB//yibA//yahF//yhjD//hyaB//rpiA//yicJ//emrK//arnF//yagI//yfiF//pgk//rusA//ycjU//gspJ//cbpM//ychH//rpoH//zitB//viaA//garP//fhuD//frvB//pepA//waaB//yhjD//ykgO//ydcO//znuC//fepD//rhaB//
GO_0005997_6	fre//
GO_0005998_7	curA//
GO_0006000_6	kefG//kbaZ//ybcF//
GO_0006001_7	feoC//ftnA//
GO_0006002_5	yaaA//ynhG//ahr//
GO_0006004_6	insI3//arfB//tdcE//fliL//intA//yddG//
GO_0006006_6	yahB//nupC//rapA//truD//dcuC//speE//pinR//flhC//yrfG//aroP//yidL//lysS//gltX//yciK//rseC//yifB//rlmJ//btuB//narL//yehD//purD//diaA//tdcR//
GO_0006007_7	ybaL//yqeA//allS//
GO_0006011_5	ybdO//
GO_0006012_6	pitB//frlA//prmB//trpR//ppsA//thiC//rbn//ybdH//feoB//
GO_0006013_6	moeB//rplO//
GO_0006014_6	hxpB//rng//yicJ//
GO_0006015_7	yfiF//ilvM//
GO_0006020_5	yrdA//
GO_0006022_5	hipB//dsbC//tldD//ybgQ//ftsL//yibH//cueR//ppiD//eamB//hdfR//fdnG//bioH//dsbA//mazG//argE//cadB//oppC//srlR//yihS//rcnB//cysU//yihW//glpR//ycjU//curA//napF//glgB//paaA//speA//gyrB//ynaI//proX//yfiF//hemA//dacA//nagE//glnA//gph//arnT//yiiE//kilR//cobS//epmC//yjbF//minC//ppiD//hemD//cpxR//clcB//pdxK//mmuM//rhaM//ftsL//mtn//mdtG//yqgF//yahN//trpS//hexR//kefF//yaiP//fimB//ndk//
