#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	diaA//sapD//lsrK//ralR//
GO_0000023_6	yeeO//
GO_0000025_7	acs//
GO_0000027_7	cysB//uacT//atoS//groS//chaA//bcsA//nfi//rimI//murF//tas//rsmG//mrcA//ttdB//
GO_0000028_7	tsgA//radA//sgrR//glsA2//lapB//araA//ptsI//sgcC//fdhE//
GO_0000032_8	yhcD//
GO_0000041_8	hicB//dusC//dppF//frmB//yggX//potC//ampD//efeO//fadD//hprS//bioC//idi//torD//frr//rpiA//mdtE//folC//tolR//alaS//gltL//seqA//moaC//osmY//moeA//torS//ftsX//dacC//leuO//insI4//blr//rpsP//tcyN//yraN//ybiV//tgt//yddG//mntP//cysN//yajO//
GO_0000050_5	topA//tilS//evgA//codB//galK//mipA//yhaC//
GO_0000053_5	hemG//
GO_0000096_5	ybdN//ulaE//paaX//chaC//rcnR//ppiC//panD//dxs//malG//pgpB//ruvC//yehU//lapB//hsdR//holB//ycfH//holC//aaeR//bamB//bioC//asd//
GO_0000097_6	yeaV//creC//nagZ//yagJ//frwD//lpxP//purU//lipB//insB-4//speA//rhaB//hyaC//afuB//hcaT//
GO_0000098_6	yhaM//nrfC//groS//psd//gfcE//
GO_0000101_6	nagC//iraM//pbpG//hxpB//ihfA//yahB//flhC//trg//qorA//lpoB//ycfH//yqeA//endA//ydgA//ydhQ//
GO_0000103_5	tauA//dgcE//tolC//
GO_0000105_6	ampE//ligA//ybiV//yceO//rtcB//yhaC//alaS//cadB//
GO_0000154_7	hofO//ilvB//bhsA//parC//yfbR//mnaT//yeaK//rplN//sucA//ybjD//rplO//dnaK//uvrD//rihB//uspF//fabI//nagB//ligB//yjbF//aer//cpdB//pflB//proC//fecA//metH//lapB//cynX//cysH//cysI//pflB//pyrB//nimT//
GO_0000160_5	yefM//menF//yejE//entA//yegS//pinQ//thrL//aspS//tsgA//etk//feoA//suhB//nrdR//glnK//xerD//acpP//cyaY//uacT//hxpB//glpR//rng//yjaZ//yiaA//feaR//pppA//rbsB//lysS//nudF//ubiF//rpmF//dcp//hcaE//erpA//rhaS//degQ//ybdZ//gntK//murQ//nmpC//nagZ//ldhA//thyA//ibsE//
GO_0000162_7	nuoN//arnB//rbsK//chaC//cmoM//folD//ybgI//panB//sdaC//
GO_0000255_5	hha//uhpA//narW//sbcB//deaD//
GO_0000256_6	narV//yibH//waaZ//tusB//murG//
GO_0000270_7	glpB//ulaD//ccmE//paaA//yciH//yohC//fepA//tcyN//gspE//panZ//mlaF//oppA//gldA//ldtA//trkA//glgB//pta//yadK//ydiZ//dcuD//aroF//lasT//mltD//murP//ribE//aroK//eno//flgC//fumA//aas//yqjI//dinQ//atoB//proP//rnb//allS//yicJ//greB//hxpA//trpC//galP//ubiG//fadL//asmA//glxK//abpB//glpD//dsdX//ybiW//xerC//ubiG//phnG//holA//gspI//manA//lsrR//ubiX//hofN//yhbY//orn//metL//nuoE//yiaT//
GO_0000271_6	rutF//def//yfcQ//elaA//dgcT//yafQ//ypjD//cyoA//xylR//glmS//fadJ//pgaD//ssuC//hisQ//rfaQ//etp//astC//wcaJ//glvB//phnC//pbpC//wzzE//yqgB//rhlB//mntS//srmB//mdlB//pheA//citC//yadI//dcm//intE//ccmA//rpmB//uxaA//betB//yciA//rpsH//rutE//phnI//ppc//cueO//yjfP//rfaB//yfcG//ilvA//yqgB//ispB//rclR//ebgA//
GO_0000272_6	aldB//hycB//yehX//tar//mglB//mcbA//
GO_0000302_5	gnd//glnS//yneL//phoR//glnE//ytfE//mepH//holD//pheT//pepN//kduD//sodC//lysO//ppx//uxuA//ubiB//hokB//cheW//rpiR//rpmC//mdtQ//yebG//pepN//cysD//ygfX//yobA//rutC//nfuA//phoB//puuC//tldD//
GO_0000303_6	glpK//cspG//
GO_0000305_5	wrbA//adiC//dmsA//
GO_0000372_11	ycaO//
GO_0000375_9	bhsA//
GO_0000376_10	xylF//
GO_0000413_9	yhjA//dusC//fhuB//nuoL//yaiP//yidR//mlaB//rhlE//
GO_0000451_7	gcvH//dam//gppA//ybiO//hflK//
GO_0000453_8	pgaA//arnB//hxpB//pnuC//malE//
GO_0000455_9	pgpB//tldD//bcsA//cyoC//fdrA//tbpA//frr//
GO_0000462_11	gntU//rcsA//
GO_0000469_8	rffT//
GO_0000470_10	ytfR//
GO_0000478_9	ycjD//
GO_0000715_6	yfhM//
GO_0000716_7	puuP//
GO_0000724_8	lplT//
GO_0000725_7	cbeA//rbfA//fnr//aphA//mltF//yiaO//
GO_0000726_7	pcnB//
GO_0000731_7	rnt//add//hpf//rplE//uacT//maoP//ftsK//
GO_0000737_7	mngB//
GO_0000738_7	qseC//manY//eutD//
GO_0000746_4	yibA//
GO_0000820_7	yfcF//
GO_0000902_5	fimA//
GO_0000910_4	pldB//fdoI//bamA//gnsB//scpC//putA//pabC//arsR//yohC//ybcM//fsr//dosP//slt//agaI//glvC//ghrB//ilvN//hinT//
GO_0000917_6	nrfG//sgcC//yidL//coaA//panC//
GO_0000918_6	alkB//tamA//ilvM//pheT//
GO_0000920_3	yjeI//seqA//dinB//hemB//uhpB//
GO_0000921_6	pstS//
GO_0000966_8	folD//murA//sixA//yjhC//
GO_0000967_10	hiuH//narY//caiF//
GO_0001101_4	truD//yccA//gloB//puuE//chaC//cmk//sanA//fadD//narG//fadK//ssuD//cdsA//deoC//atoB//mmuP//efeO//leuO//xseB//zinT//hslO//yjaA//ilvL//trmJ//katE//yieL//cydC//
GO_0001121_7	ydcZ//fliA//
GO_0001123_8	ytfP//
GO_0001124_8	ndh//
GO_0001407_7	tusD//rimO//iraM//glsA2//
GO_0001505_4	radD//sgcR//yjjQ//oppB//ecpR//rfaH//xseA//gyrA//xanP//hokE//rsgA//norV//ptsG//insI-1//yebQ//rfaF//
GO_0001510_5	appA//pdxY//sbcC//sugE//rpsA//rutD//ydeI//ackA//aroA//dkgA//deaD//pabB//ybcL//hldE//fbp//ispG//fmt//ydiQ//flhE//ymjB//cecR//fimF//ridA//moaE//hisH//nuoL//queD//yodD//fre//opgE//gudD//lysU//yrbG//hexR//dgkA//cpsG//livH//der//dapB//yehX//
GO_0001514_8	phr//
GO_0001522_7	fabB//tsaB//mtr//yneE//sfsA//carA//psuG//uspG//wecC//ulaB//yfcV//nagD//yciE//
GO_0001539_4	hyfA//moaC//nhaA//ugpC//ilvB//csgE//yjjB//pcnB//nepI//ybiX//fucP//yjhP//yhdH//dapD//ulaD//lysP//wcaC//ompF//rnr//ghrB//topA//treF//atpA//marA//panD//tauB//fur//yebK//yagI//cdsA//truA//
GO_0001558_5	pgaA//serC//prs//norW//potD//epmA//dnaN//ybiV//
GO_0001561_6	abpA//
GO_0001666_4	shoB//
GO_0001676_6	topAI//hiuH//macA//
GO_0001680_11	tdcG//
GO_0001682_11	alr//
GO_0001731_7	napC//
GO_0001762_6	nudF//
GO_0001887_4	waaF//melA//glgS//
GO_0001896_5	yfcU//lipA//sufD//csgD//
GO_0001907_5	azoR//idnK//fabD//msrP//
GO_0001932_8	prpR//treA//
GO_0001934_9	alr//
GO_0002047_6	truC//hofN//
GO_0002097_8	tdcG//arsB//pinR//speB//rimI//yfdR//moaB//yihU//rusA//fecD//accB//kdpD//bglF//dacB//kdgK//hisG//yegD//recT//ndk//
GO_0002098_9	recO//ugpA//yidZ//ybbY//iscU//yqiH//bipA//carB//pepB//fhuC//pheM//yidD//pta//
GO_0002099_9	mnmE//thiH//
GO_0002100_9	arsC//
GO_0002101_9	exuT//dmsC//
GO_0002128_7	lldP//murR//ibsB//lldP//
GO_0002130_8	nuoB//
GO_0002131_9	lrp//
GO_0002132_9	yfaX//
GO_0002136_10	mdtI//
GO_0002143_9	idi//ybdG//cpxA//thiD//sapB//sgcE//
GO_0002181_7	yegV//hflC//
GO_0002183_5	csdA//
GO_0002184_8	proW//
GO_0002188_6	perR//
GO_0002190_6	yebZ//
GO_0002192_8	lspA//
GO_0002252_3	ftsQ//glgB//zraR//bolA//acrF//diaA//rcnA//rplC//yhjG//yhfK//
GO_0002790_6	murP//ubiX//metQ//trpA//puuA//waaC//folE//
GO_0002937_9	rlmL//
GO_0002938_8	frwC//
GO_0002939_7	tmcA//
GO_0002943_8	panB//
GO_0002949_8	wcaB//rarD//lhr//tehA//
GO_0003333_7	mdtO//exbD//yjjQ//lpoB//glpA//aceK//nagC//yjhI//yeaK//metL//ybaE//basR//ddpA//appB//ybdN//ada//speC//arnA//cpdB//exbB//argI//dkgB//torD//pncB//rutF//agaS//nadB//ynaE//gatA//yieL//moaB//fucO//mprA//lysO//ribC//msrB//cas3//cobC//mpaA//btuR//yfbU//cirA//ubiX//yhcN//hofO//narQ//sseA//yiaB//rcsB//
