#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rbsD//cobS//cysQ//ascB//
GO_0000023_6	yoaA//
GO_0000025_7	dctR//
GO_0000027_7	lspA//btuR//nupX//queC//kdgK//pdxY//astB//cbl//dcp//ccmF//yeeA//hicA//feaB//
GO_0000028_7	hcaT//rsuA//arcA//lolA//glvB//rplP//ycjW//ydiR//moaA//
GO_0000032_8	cytR//
GO_0000041_8	rfaE//mutT//yobF//fmt//btuC//bisC//mdtQ//paaF//ndk//cpsG//nuoL//envR//ptrA//nanA//rpsN//gsiD//ydcT//marR//malE//degQ//nfo//mhpT//yibT//preT//ivy//yqaB//caiE//ilvI//tauA//yibA//mdtJ//intE//gcvP//mepS//sdhC//ubiC//yahN//rusA//tolR//
GO_0000050_5	yceD//alsC//ycjD//nagD//preT//dadA//frmB//
GO_0000053_5	insK//
GO_0000096_5	ygeV//prpC//ccmF//trpA//rfbD//yccS//gadC//lpxL//eamB//accD//ppiC//uraA//emrB//mdtK//ybhJ//rpsS//hypA//rpmC//mnmC//nrdB//ybjI//
GO_0000097_6	znuC//scpC//setB//cysU//yiaU//acrB//yqjA//rpmC//waaO//proA//hprS//fliT//queF//emrD//
GO_0000098_6	mltC//sbcD//lrp//aroE//truA//
GO_0000101_6	glnP//sgbE//acrZ//cedA//zwf//dppA//mdh//yhbX//insE-1//ydfH//accC//treC//bamA//ybhF//rpmF//
GO_0000103_5	fdhE//rzpR//trmH//
GO_0000105_6	yjeI//pinR//gpmM//dicB//lacY//ydfH//waaY//lldD//
GO_0000154_7	purR//yqjI//ybeF//fixA//dcuR//ydjM//lpd//zntA//mdlB//fadK//yciT//gadX//alpA//potA//alsB//fdx//ydeE//gstB//pheP//tolA//csgD//phnI//dgoT//pyrC//leuE//ytfQ//lapB//yobF//tsgA//betT//arcB//udk//
GO_0000160_5	cdd//yjjU//crr//lplA//rcdA//ompL//yidD//pgaA//sufB//dtpC//priC//prc//yibA//gntU//leuO//tdk//tusE//yjcE//entS//nlpE//uidA//nlpA//malY//rluE//rpoE//leuD//kgtP//ybhG//modB//ybhF//asnB//yidH//zraR//casA//yphD//caiT//exuT//trmI//amiD//lipA//frmR//glpF//rhaS//
GO_0000162_7	ygjH//yhaO//fucK//fabR//yafS//clsB//pbpC//rutC//ortT//
GO_0000255_5	fruA//prfA//pcm//cheZ//ulaB//
GO_0000256_6	yghG//yhcD//dfp//yfeO//iaaA//
GO_0000270_7	oppC//luxS//pgsA//tap//lysA//rutF//fabZ//rpsQ//ycbV//thrS//ynjA//recT//bdcR//glnS//cobS//ycjQ//paaJ//pagP//sgcE//thiQ//lasT//mutS//uxaA//cysB//dbpA//araD//ybeF//ibpA//yneE//hinT//lysS//potH//alkA//pflB//fruA//potF//dgcN//cheZ//lpxL//ygiN//rnb//yqjH//ygdG//yadI//glnL//yebK//glxK//dinJ//yhjA//aceA//menD//ubiI//ftsA//ygaH//yhgF//ttdB//pdeK//mutS//selA//psd//atoS//sfsA//bamA//
GO_0000271_6	ltaE//mocA//pstS//hybF//tnaC//hslV//aslB//yebZ//holE//rplD//yehP//msrQ//yjhH//gloC//lptD//pntB//tolB//speC//ldtC//syd//yidH//mgrB//ychO//thiG//rsmI//pgl//yegS//gluQ//ycjP//gspI//asnC//kbp//ynhF//ydjH//gatA//ypdF//yfdG//rpmH//cyoE//secM//bamC//gatB//lgt//puuA//intA//basS//fumA//ytfT//mdtC//ydeP//
GO_0000272_6	gcl//panZ//ycfH//envR//mppA//guaC//
GO_0000302_5	mgrB//gsiA//sfsA//paoC//hprR//gatC//yqaA//sugE//fliL//ygfX//ilvD//dps//ydhQ//setA//pyrC//prmA//mnmA//rlmC//rlmI//yjjI//lptG//rfbX//gspE//speB//fucI//oxc//dcuA//yejB//sdaB//ycfS//mltF//
GO_0000303_6	lsrR//ompW//
GO_0000305_5	zraR//nudG//yiiM//
GO_0000372_11	nimR//
GO_0000375_9	hicA//
GO_0000376_10	manZ//
GO_0000413_9	ais//nirB//ybaL//modA//pabB//poxB//cysN//gmk//
GO_0000451_7	yejE//ybjI//hdeB//mraZ//yihR//
GO_0000453_8	bssS//brnQ//putP//treF//aroA//
GO_0000455_9	malX//hlyE//emrD//htpG//hyfF//lgoR//dhaK//
GO_0000462_11	dcm//yjjU//
GO_0000469_8	gadB//
GO_0000470_10	yijO//
GO_0000478_9	emrD//
GO_0000715_6	lexA//
GO_0000716_7	cas3//
GO_0000724_8	qseB//
GO_0000725_7	gsiD//deoB//nikE//araA//mhpC//yeeY//
GO_0000726_7	lsrA//
GO_0000731_7	yjjI//gadC//trmB//kduD//rihB//murE//yiaN//
GO_0000737_7	murP//
GO_0000738_7	fabG//astB//yidA//
GO_0000746_4	iraM//
GO_0000820_7	glnE//
GO_0000902_5	rtcB//
GO_0000910_4	exbB//sodC//tyrS//ybiH//trpA//mprA//iraD//frc//ada//ybiO//ilvN//hemC//yfaU//nhaA//avtA//ada//dkgA//rluB//
GO_0000917_6	sbcC//glgC//tatB//yraH//sfmF//
GO_0000918_6	cspI//hypD//pabA//proC//
GO_0000920_3	recJ//yoaB//ygjH//waaO//glsB//
GO_0000921_6	gntU//
GO_0000966_8	sucA//envC//pheP//hdeA//
GO_0000967_10	purD//msrP//yjaZ//
GO_0001101_4	hupB//holA//tnaC//tilS//focA//rclC//frvA//hisG//barA//mlaE//xseA//rimO//lgoT//kefG//hemA//dam//flhA//yciK//csgG//cyoE//rfaH//mtgA//fur//paaE//yhdJ//lsrB//
GO_0001121_7	mdtN//gadA//
GO_0001123_8	yaiP//
GO_0001124_8	argA//
GO_0001407_7	tpiA//srlR//rclC//metB//
GO_0001505_4	glgB//katG//dam//rihA//ybaO//tcdA//proW//eutB//yqcG//pdxA//eco//intF//ecpR//norV//motA//rlmN//
GO_0001510_5	lpxT//deoA//tdcB//fabZ//ypjD//mhpT//cynS//yqeF//pgaC//dgcF//rihA//menI//rplD//melA//gadC//mhpA//uspF//tamA//potE//opgD//yhaC//gyrB//trmI//cca//envC//cheY//sdaB//ynfF//helD//manX//rnlA//cbpM//dinQ//kch//tyrR//serC//srlE//fimE//menE//opgB//
GO_0001514_8	cspE//
GO_0001522_7	tusB//yhcF//fruK//mutS//dcyD//phnC//fryA//rsmG//lsrC//ldrB//ftnA//nagA//murB//
GO_0001539_4	rsfS//wecC//ndh//bioD2//dosP//yehY//iclR//agaW//rlmA//ydiQ//xdhB//lhr//cysE//manY//norW//ppiD//yfbV//ycfJ//xapB//napA//malS//sdhB//yfiR//ibsB//torR//chpS//sgcB//yfaV//prkB//rspB//yfaE//
GO_0001558_5	rdgB//paoC//ydaN//ydcO//yhhY//argA//yefM//sucA//
GO_0001561_6	tonB//
GO_0001666_4	topAI//
GO_0001676_6	ssuD//corA//hscA//
GO_0001680_11	rnlB//
GO_0001682_11	lexA//
GO_0001731_7	xisR//
GO_0001762_6	dmsA//
GO_0001887_4	mnmG//ddlB//yihX//
GO_0001896_5	dapB//cysD//tag//ais//
GO_0001907_5	rpmB//trmJ//rcsB//gph//
GO_0001932_8	leuO//yfcG//
GO_0001934_9	uhpB//
GO_0002047_6	flgC//ycjY//
GO_0002097_8	sppA//bdcA//btuF//gnd//kdgT//hflC//pntA//rlmN//glgA//ftsK//ldtC//sbcB//tgt//murJ//pspA//aas//wzc//dgoT//cusR//
GO_0002098_9	insF-1//adiA//dcp//ilvM//nadE//yfcP//yihP//mgrB//uhpA//rimL//fruA//ychH//ilvE//
GO_0002099_9	basS//flgF//
GO_0002100_9	hicB//
GO_0002101_9	ttdR//nuoH//
GO_0002128_7	sgbU//cysC//arsB//acrB//
GO_0002130_8	pnuC//
GO_0002131_9	dpiA//
GO_0002132_9	yqiH//
GO_0002136_10	potH//
GO_0002143_9	kefF//rplW//rpsP//yagJ//pstB//pyrD//
GO_0002181_7	cptB//ynaI//
GO_0002183_5	ybhI//
GO_0002184_8	yeeO//
GO_0002188_6	rhtA//
GO_0002190_6	yciK//
GO_0002192_8	pepB//
GO_0002252_3	rseC//xseA//waaA//era//aldA//ydiR//glcE//pnuC//garK//potH//
GO_0002790_6	hofM//metR//bdcA//yaaJ//gltD//nepI//fabA//
GO_0002937_9	raiA//
GO_0002938_8	puuC//
GO_0002939_7	fecC//
GO_0002943_8	yeeY//
GO_0002949_8	msbA//recJ//leuC//modB//
GO_0003333_7	serA//galT//tsaD//rpsI//ompR//eptA//oppB//yqeA//ydiO//prpB//ydiO//bcr//sapF//hdeB//potH//nemR//coaA//hcaR//guaB//ygaZ//sgrR//btuC//afuC//sohB//mutH//ddpA//ptsP//mutL//tdk//ygbL//tsaC//dut//nadC//dgoA//elaB//mntS//cho//hokE//kefB//mtlA//rpoA//agaC//ssuE//rsmH//mdtG//sdaB//eutK//pstA//recF//
GO_0005975_4	feoB//fumA//tqsA//sufD//dusC//mutT//ubiF//mcrA//yajR//lyxK//mglB//glpC//insE-1//tolR//ibsD//cspA//fhuF//insI1//mdtI//ebgR//bisC//actP//fsr//dauA//crcB//phnM//glpX//hyfA//lptD//ugpC//agp//malY//lapB//ycdY//nuoM//pspF//rlmM//aaeR//arfA//ybaO//cynX//yoaB//yggE//waaY//rlmN//yraK//ggt//phoR//yqaA//greB//uhpT//parC//narW//yneL//iap//curA//hipB//hemG//fkpA//nudF//ldrD//yhcD//hofN//ydbK//ydfD//fecB//clpA//melA//gpt//lexA//wzb//fadA//lolD//fruB//thrS//trmO//rlmE//rfbX//rplQ//ebgR//clcA//gudD//rfaF//lacI//glxR//paaC//mqsR//yfiF//rffT//recJ//fdnG//ybdN//kdpE//moeA//hlyE//nhaA//ymgF//rng//bepA//atoC//tdcC//glsA2//mfd//hisG//atoB//garL//rpsM//chpB//cydA//tolB//csgG//ihfB//zitB//ydeT//cusS//yhhZ//rpiA//pgrR//yhjD//gor//rpnD//nagB//dcp//yiaT//metH//ybgQ//murP//kup//mepA//cysP//gltX//wzzE//matP//epmA//lacY//ypdA//hyfC//yeiL//metK//gatC//mukB//fadK//manY//hpt//cadB//cmoM//lrhA//csgE//menI//ydcR//secB//yggX//dcyD//kefG//ilvB//rpmA//cysI//metG//hybC//aphA//glpT//viaA//carA//pinR//waaJ//aer//ymfA//yegV//ycjR//hisH//yagJ//mpaA//gsiB//yfbV//clsA//rhaS//waaP//avtA//torA//yeeJ//glpG//yidC//trxC//yeiG//lsrC//yiaO//fadJ//yhjR//ampH//dhaM//yehT//macA//flgE//qseC//ydcP//dusB//nrfG//ccmD//fimD//rpnB//atpC//ubiC//hxpA//fimB//lsrC//ndk//otsA//mhpT//lepA//pgpA//oppF//iap//ftp//acs//malE//lipA//yraR//yiaJ//rpsI//udk//lsrB//ileS//menC//cysI//tsgA//yqjI//betI//hypD//nikC//panC//menH//ghrB//cbrA//ghxQ//tolR//trxC//ybcJ//era//hpt//uvrY//clpP//metE//lpxH//yahI//ynaE//rpnD//viaA//cysH//frmR//rplB//tolB//yiaN//eptA//xapB//
