#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	zraR//garR//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	deoC//ynfE//gspI//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ftsA//pdeL//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	xylF//narK//
AcrR_FNR_Fur_SoxR	citX//
AcrR_FNR_Fur_SoxR_SoxS	gutM//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	mglA//
Ada_AidB_Lrp	metQ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	garR//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	slp//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	bglB//mnmG//csgD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	modC//ygiB//
AdiY_H-NS_IHF	ulaA//
AgaR_CRP	pstA//sufA//entF//moaB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	malP//prmC//fliG//glcG//fadB//ptsI//
AppY_ArcA_YdeO	rrlA//fhuF//ydhW//cysU//
AraC_CRP	fliC//idnR//sulA//glnL//mntP//cysI//oppA//pdeR//nrfG//
AraC_CRP_XylR	rplP//fecB//aer//
AraC_NagC	chbR//fucA//
ArcA_BetI_Cra	gutQ//torC//moaC//pspG//
ArcA_CRP_CaiF_FNR_H-NS	hpt//crr//osmY//cusC//puuR//hyfR//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ccmD//ydeN//napD//fdnG//treC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gltF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	cyoA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	betB//malF//
ArcA_CRP_Cra_Fis	gcd//
ArcA_CRP_Cra_IHF_IclR	katG//relB//fadH//
ArcA_CRP_DcuR	metL//
ArcA_CRP_DcuR_DpiA_FNR_NarL	galT//citX//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fecD//
ArcA_CRP_DnaA_FNR	hycF//
ArcA_CRP_DpiA_FNR_NarL	hybE//hycC//rrlE//ansB//mioC//agaA//
ArcA_CRP_DpiA_FlhDC	cyoE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	deoB//aldB//
ArcA_CRP_FNR	oppA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mglC//acs//fadE//
ArcA_CRP_FNR_Fis_Fur_PdhR	edd//
ArcA_CRP_FNR_Fis_IHF_NarL	astC//
ArcA_CRP_FNR_Fur	garL//csgC//ubiA//hybE//
ArcA_CRP_FNR_Fur_IHF	nuoL//focB//citG//cysH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	nuoJ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gntX//
ArcA_CRP_FNR_IHF_NarL	ugpC//
ArcA_CRP_FNR_NarL	nfsB//
ArcA_CRP_FadR	pdhR//nrfD//
ArcA_CRP_FadR_HipB	truB//
ArcA_CRP_FadR_OmpR_PhoP	citD//
ArcA_CRP_Fis_Mlc_SoxS	inaA//
ArcA_CRP_Fis_XylR	ssuA//
ArcA_CRP_Fur_GadX_MqsA	sodB//
ArcA_CRP_GatR	hyfD//moaD//lsrC//argO//yjbG//aroM//
