#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltT//gadE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	cyaR//manZ//yefM//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ftsI//gadB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	tauA//cydB//
AcrR_FNR_Fur_SoxR	lsrA//
AcrR_FNR_Fur_SoxR_SoxS	pstB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	yiaM//
Ada_AidB_Lrp	dmsD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gltB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	nfsB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	lamB//oppC//zinT//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araD//tyrR//
AdiY_H-NS_IHF	gadB//
AgaR_CRP	oppF//paaJ//casB//flhC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	rutE//uxaB//yiaN//tdcE//pdhR//pdeR//
AppY_ArcA_YdeO	folA//torD//rrsC//fimB//
AraC_CRP	metL//dctA//ugpQ//ydeM//paaE//narG//mlc//dnaN//marA//
AraC_CRP_XylR	tyrP//narK//yqjI//
AraC_NagC	ileV//pnp//
ArcA_BetI_Cra	fur//ssrS//iclR//glnP//
ArcA_CRP_CaiF_FNR_H-NS	hha//zinT//cspI//glpK//icd//acrB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	malE//narJ//napA//rplW//ccmC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dctR//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	deoC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	feoB//iraM//
ArcA_CRP_Cra_Fis	umpH//
ArcA_CRP_Cra_IHF_IclR	hyfR//yoeB//deoB//
ArcA_CRP_DcuR	rtcB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	gltA//lpxD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hyfH//
ArcA_CRP_DnaA_FNR	uidB//
ArcA_CRP_DpiA_FNR_NarL	fumC//araF//fimE//ftsW//astD//rrsA//
ArcA_CRP_DpiA_FlhDC	chbA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ompC//envZ//
ArcA_CRP_FNR	napG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	umpH//flhD//narH//
ArcA_CRP_FNR_Fis_Fur_PdhR	udp//
ArcA_CRP_FNR_Fis_IHF_NarL	dmsA//
ArcA_CRP_FNR_Fur	acrF//nuoG//cspD//prpC//
ArcA_CRP_FNR_Fur_IHF	cspA//prpD//rplW//fumA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ddlB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	napH//
ArcA_CRP_FNR_IHF_NarL	mglA//
ArcA_CRP_FNR_NarL	lamB//
ArcA_CRP_FadR	hypF//paaD//
ArcA_CRP_FadR_HipB	nuoF//
ArcA_CRP_FadR_OmpR_PhoP	cyoC//
ArcA_CRP_Fis_Mlc_SoxS	hybA//
ArcA_CRP_Fis_XylR	gyrA//
ArcA_CRP_Fur_GadX_MqsA	caiD//
ArcA_CRP_GatR	gloA//ptsI//rprA//hycD//acrD//mhpA//
ArcA_CRP_GlpR	mhpB//
ArcA_CRP_IHF	gadY//
ArcA_CRP_PuuR	nfuA//moaC//fucU//fadE//ftnA//
ArcA_CRP_RhaS	uspA//
ArcA_CRP_TreR	mhpB//lyxK//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	bamE//rbsB//
ArcA_Cra	gabD//
ArcA_Cra_FNR_H-NS_HypT	fixX//sufD//
ArcA_CysB_FNR	nuoJ//
ArcA_FNR	waaH//oppD//fadH//nikB//ftsI//hupB//malE//purM//pdeR//ydeO//malF//tauA//glpX//rrfE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	sbmC//
ArcA_FNR_Fis_IHF_NarL	idnK//gspG//gadC//gltB//hyaB//atoD//accC//hcr//rutF//ebgC//marA//cyaR//hokD//
ArcA_FNR_Fur_IHF	nuoK//
ArcA_FNR_IHF	hyfB//ygeA//lacA//
ArcA_FNR_IHF_NarL	tnaB//moeA//
ArcA_FNR_NarL	serA//qseB//guaB//modC//
ArcA_FNR_PhoP	ileV//
ArcA_FNR_PuuR	poxB//aldB//
ArcA_FadR	sufS//lsrR//modA//
ArcA_FadR_Fis	folA//hyfH//
ArcA_Fur_Lrp_ModE	hyaE//sucA//flhD//exuR//lysP//
ArcA_GlcC_IHF_PdhR	rbsR//fecC//nrfD//ftnA//yiaN//fecE//
ArcA_LexA	glpT//tnaA//
ArcA_LldR	uxaA//nuoC//ccmC//
ArcA_NarL	uidB//fadB//nuoC//hypE//idnO//pspC//rhaT//feoC//
ArcA_NtrC_PhoP_RutR	fdhF//cyaR//nikA//murP//infB//glnL//uxaA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rplD//cysM//gspI//
ArgP_CRP_FNR_Fur_Nac	fadJ//
ArgP_DnaA	flgM//garR//modB//
ArgP_Lrp	waaH//hpt//
ArgP_LysR	rplT//
ArgP_PhoB	galS//
ArgR_CRP	udp//
ArgR_CRP_Fis	hycF//ccmB//uvrA//nrdH//hyfG//pdeL//argD//flgM//
ArgR_Fis_IHF_PepA_PurR_RutR	lpd//nikC//
ArgR_H-NS_NtrC	rpsQ//hupB//narH//thrV//
ArgR_NtrC	mdtE//idnO//araH//proW//mdtC//
ArgR_PhoP	feoB//
AscG_CRP	ydeP//murE//hybD//
AscG_CRP_PhoB_PrpR	dppB//
AsnC_MraZ_Nac	cbl//
AsnC_Nac	dsdA//lsrA//
AtoC_IHF	dpiB//fimA//tyrP//higA//
BaeR_CpxR	lacA//cadC//bhsA//srlD//gspD//metE//cysU//
BaeR_CpxR_EvgA	slp//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pstC//mntP//nikA//nanM//
BasR_CpxR_PdhR	rplM//ygiB//
BasR_Fis	nuoA//
BasR_H-NS_IHF_NagC_NanR	gntK//
BasR_MarA_PutA	fadJ//
BasR_PhoP	dpiB//
BasR_QseB	cspI//fhuF//
CRP_CaiF_FNR	rrsH//pqiA//metH//chbC//
CRP_ChbR_NagC	xylB//gcvH//ssb//srlR//casA//rrsB//
CRP_ComR	ydhT//
CRP_CpxR	fadL//
CRP_CpxR_CytR	tauB//
CRP_CpxR_CytR_DnaA_IHF	metY//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	xylA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	hycC//fliJ//hdeA//rrlD//
CRP_Cra	yoeB//chbR//bolA//murP//rrlA//yciG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rrfH//osmC//safA//garP//
CRP_Cra_FNR_PdhR	ilvH//
CRP_Cra_Fis	mglA//
CRP_Cra_Fis_GlcC	dmsD//
CRP_Cra_Fis_MtlR	pdhR//rhaA//focA//
CRP_Cra_Mlc_NagC	rrfA//ndh//paaI//gatZ//hipB//puuE//
CRP_Cra_PrpR	prpB//exuT//waaH//chbF//
CRP_CreB_Fis_MalT	actP//narL//ugpB//
CRP_CsiR_H-NS_Lrp	nikR//lsrR//
CRP_CsiR_H-NS_Lrp_Nac	hyfR//cadB//sucB//
CRP_CspA_Fis	udp//
CRP_CytR	dcuA//rrlD//araE//
CRP_CytR_DeoR	gabP//sgrS//
CRP_CytR_DeoR_Fis_ModE	rob//rrlG//mlc//aslB//
CRP_CytR_Nac	oppF//
CRP_CytR_NsrR	dnaA//
CRP_DcuR_FNR_NarL	flhC//
CRP_DinJ-YafQ	glcD//
CRP_DnaA_Fis_PurR	acrB//asnC//
CRP_DpiA_ExuR	mlc//
CRP_DsdC	pgk//pyrD//
CRP_EbgR	sucA//cyoC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fimC//aldB//
CRP_ExuR	nuoH//
CRP_ExuR_FNR	napH//purR//
CRP_ExuR_OxyR_UxuR	dinI//hybB//
CRP_ExuR_UxuR	oxyR//
CRP_FNR	rhaB//
CRP_FNR_FhlA_HyfR	pspG//focB//proW//nrdF//pspD//cysA//csgF//acs//glnL//moaC//yoaG//rrfF//
CRP_FNR_Fis	cyoC//fucU//cysA//
CRP_FNR_Fis_GlpR_IHF	lyxK//ssrS//
CRP_FNR_Fis_H-NS_SlyA	rhaA//
CRP_FNR_GcvA_Lrp_PurR	gspF//mtlR//setA//
CRP_FNR_H-NS_NarL	chbR//
CRP_FNR_IHF_TdcA_TdcR	kbaZ//appA//cusS//bamE//kbaZ//moaA//ompW//
CRP_FNR_NarL	araA//gspJ//sufA//
CRP_FeaR_NsrR	mglB//
CRP_Fis	envZ//glcD//gltW//pspG//aroG//
CRP_Fis_FlhDC_GalR_GalS	nikR//metY//
CRP_Fis_FliZ_IHF_Lrp	fhlA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	serA//fnr//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	entF//araJ//hyfF//
CRP_Fis_IHF	chbR//rutB//osmC//puuA//paaH//
CRP_Fis_NanR	malG//fabB//gspE//katG//nrdA//
CRP_Fis_NtrC	rrsH//gspO//yjcH//
CRP_Fis_XylR	yedX//gatD//mdtE//
CRP_FlhDC_GalR_GalS	dcuR//
CRP_FucR	aceE//paaF//gltF//betI//rrfF//emrY//infB//
CRP_Fur	mdtA//pyrD//aroL//gadC//ygiA//guaA//nrdA//malK//deoA//
CRP_Fur_HypT_PdhR	skp//rplW//baeR//puuP//dadX//
CRP_Fur_OxyR_SoxS	yefM//
CRP_GalR_GalS	hydN//
CRP_GalR_GalS_H-NS_HU	puuC//ssuD//cusC//rplT//
CRP_GalR_GalS_NagC	edd//
CRP_GlpR	rbsC//nuoN//yjbG//
CRP_GntR	rrfD//ahpC//
CRP_GntR_IdnR	feoC//yjbE//ccmA//lgoR//fes//nanC//chiP//
CRP_GntR_IscR	gspH//
CRP_GutM_GutR_H-NS	yhcH//nuoJ//cusS//poxB//xylB//metI//rnpB//
CRP_H-NS	lsrF//
CRP_H-NS_HipAB_HipB_NtrC	chbF//
CRP_H-NS_LacI	epd//mdtF//ydeO//
CRP_H-NS_LeuO	hyfI//hisQ//pstB//cyoA//moeA//gntP//gspF//
CRP_H-NS_MqsA	rrfB//
CRP_IHF	fecA//fepA//osmY//aceF//
CRP_IHF_MprA_OmpR	aldA//
CRP_IHF_NsrR	mlc//
CRP_IHF_PaaX	waaH//hemL//rpsJ//gntX//feoC//pgaB//dmsA//fis//pspG//gltU//puuE//rbsC//
CRP_IHF_UlaR	ydhW//fadH//putP//hyaB//creD//srlD//
CRP_IHF_YiaJ	srlR//nmpC//mdtE//uxaC//hyaD//nuoM//citF//dcuD//putA//spy//
CRP_LexA	betA//
CRP_Lrp	melA//dsdC//gatD//rplB//
CRP_Lrp_Mlc	malF//
CRP_Lrp_Nac	cusB//
CRP_LsrR	yhjA//araC//metR//nupG//nuoI//paaZ//nikC//yeiL//hupB//
CRP_MalI	rrlC//hipA//hyaC//
CRP_MalT	cyoB//sodA//bamE//
CRP_MalT_PhoP	atoE//
CRP_MelR	dpiA//rrsA//ssuC//
CRP_MetJ	glnP//
CRP_MhpR	tdcE//chbR//hypB//agaW//cspI//fecD//
CRP_Mlc	aceF//zraS//
CRP_ModE	nrdA//narH//flgN//
CRP_MurR	sgrT//glpC//
CRP_Nac_NsrR_PhoB	fecC//
CRP_NadR	xylF//
CRP_NagC	pflB//rrsC//fabZ//hybG//glnP//patA//
CRP_NagC_NanR	mhpD//folA//dcuR//
CRP_NagC_PhoP	glgA//
CRP_OxyR	rrfG//
CRP_OxyR_UxuR	nanK//
CRP_PhoB	hyfG//lsrA//glcA//ackA//rrsA//argO//
CRP_PhoP	nikB//fecE//fadL//
CRP_PutA	betA//
CRP_RbsR	pheM//casB//nikA//nuoH//ygiA//dcuS//
CRP_RhaR_RhaS	glpX//fliA//
CRP_RhaS	sgrS//modB//cspI//
CRP_Rob	nrdE//
CRP_TorR	ccmF//baeR//idnO//
CRP_UhpA_UvrY	casA//
CRP_UidR_UxuR	yqjH//hdeA//csgD//
CRP_UvrY	ynfH//
CRP_YehT	cysA//
CRP_ZraR	lamB//lyxK//
