#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	lsrF//nagB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	tdcB//ilvL//ilvA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rhaT//ulaA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	mazF//sufE//
AcrR_FNR_Fur_SoxR	hyfI//
AcrR_FNR_Fur_SoxR_SoxS	gatY//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	mioC//
Ada_AidB_Lrp	sgbE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	chbB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	acnA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	hdeA//ssuC//mdtC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	tam//nrfB//
AdiY_H-NS_IHF	acrF//
AgaR_CRP	lyxK//alaV//cysI//flgM//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	sodA//yhiD//hybC//ygiA//lgoR//acrZ//
AppY_ArcA_YdeO	csrC//osmE//ilvM//mglC//
AraC_CRP	gntP//codB//cydA//uhpT//sufS//malP//hha//pspB//yciF//
AraC_CRP_XylR	gadX//astD//rimP//
AraC_NagC	cydA//accB//
ArcA_BetI_Cra	fadB//relA//thrV//tsx//
ArcA_CRP_CaiF_FNR_H-NS	nuoL//gabD//yhiD//rrfH//fecC//hmp//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nikC//ygiB//gadE//pdeR//nrdG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	atoE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	melA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nemA//fliJ//
ArcA_CRP_Cra_Fis	chiP//
ArcA_CRP_Cra_IHF_IclR	rrlG//yqjH//fliI//
ArcA_CRP_DcuR	aceB//
