#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltD//hybG//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	uvrA//gutM//tdcC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	evgA//higB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	gadB//paaC//
AcrR_FNR_Fur_SoxR	cysG//
AcrR_FNR_Fur_SoxR_SoxS	fumC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ulaC//
Ada_AidB_Lrp	proV//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	atoD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	acrE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	lsrR//pdeR//rplC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	udp//tyrP//
AdiY_H-NS_IHF	acrZ//
AgaR_CRP	galP//mpl//feaR//hycH//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	mdtE//lysA//lsrF//galE//uxaB//micF//
AppY_ArcA_YdeO	ulaG//lsrK//hycC//psiE//
AraC_CRP	fliJ//ndh//hydN//aroA//prpB//ilvA//paaH//metL//degP//
AraC_CRP_XylR	metQ//bolA//araB//
AraC_NagC	mglA//cspI//
ArcA_BetI_Cra	cysU//hypF//astB//puuR//
ArcA_CRP_CaiF_FNR_H-NS	nuoH//lpd//yjcH//dppB//caiF//pgaD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	tdcG//baeS//cusA//hybA//carB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	appX//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fadE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hyfC//cadA//
ArcA_CRP_Cra_Fis	frdD//
ArcA_CRP_Cra_IHF_IclR	agaW//metQ//hycG//
ArcA_CRP_DcuR	hupA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	nrdH//fumB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	oppD//
ArcA_CRP_DnaA_FNR	yeiL//
ArcA_CRP_DpiA_FNR_NarL	pstB//modC//fadE//lldR//glgC//prpR//
ArcA_CRP_DpiA_FlhDC	glpB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	rbsB//galK//
ArcA_CRP_FNR	yoeB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	caiD//yiaJ//acrD//
ArcA_CRP_FNR_Fis_Fur_PdhR	ftsI//
ArcA_CRP_FNR_Fis_IHF_NarL	rrlB//
ArcA_CRP_FNR_Fur	rtcA//mntH//hdeA//bglB//
ArcA_CRP_FNR_Fur_IHF	cspE//actP//ilvG_1//hemL//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	araE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	hyfH//
ArcA_CRP_FNR_IHF_NarL	rpsI//
ArcA_CRP_FNR_NarL	uhpT//
ArcA_CRP_FadR	tpx//araG//
ArcA_CRP_FadR_HipB	murF//
ArcA_CRP_FadR_OmpR_PhoP	mdtA//
ArcA_CRP_Fis_Mlc_SoxS	rutC//
ArcA_CRP_Fis_XylR	codB//
ArcA_CRP_Fur_GadX_MqsA	nrdD//
ArcA_CRP_GatR	malY//qseB//ynfG//glnL//narX//caiD//
ArcA_CRP_GlpR	ugpC//
ArcA_CRP_IHF	iraM//
ArcA_CRP_PuuR	mdtD//dsdA//nuoB//sufS//entA//
ArcA_CRP_RhaS	chiP//
ArcA_CRP_TreR	hemA//rseC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	dsdA//sufS//
ArcA_Cra	rrlE//
ArcA_Cra_FNR_H-NS_HypT	puuC//waaZ//
ArcA_CysB_FNR	napH//
ArcA_FNR	accC//galM//lldD//gutM//gabT//fecD//hemL//fixC//caiB//pstS//hycI//fimC//cusC//glnP//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cysM//
ArcA_FNR_Fis_IHF_NarL	trg//casA//mdtC//sufD//rrlC//gadY//lamB//poxB//csrC//aer//gspH//nanT//aldB//
ArcA_FNR_Fur_IHF	yjjQ//
ArcA_FNR_IHF	fixA//malS//fadJ//
ArcA_FNR_IHF_NarL	rrlA//xylF//
ArcA_FNR_NarL	bglJ//puuC//melA//hyaA//
ArcA_FNR_PhoP	cyoE//
ArcA_FNR_PuuR	gspK//frdA//
ArcA_FadR	moaA//sdhB//frdD//
ArcA_FadR_Fis	fixB//sucA//
ArcA_Fur_Lrp_ModE	ahpC//tyrR//xylF//mpl//ulaF//
ArcA_GlcC_IHF_PdhR	rbsR//carB//hha//aroA//murE//glcB//
ArcA_LexA	mtlA//gltV//
ArcA_LldR	hyfG//yhcH//hyfA//
ArcA_NarL	pck//rbsB//rrsE//murC//purA//mtlR//yqjI//ssb//
ArcA_NtrC_PhoP_RutR	nanM//entB//fecE//metB//garK//dpiA//srlR//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaJ//ilvD//cyoB//
ArgP_CRP_FNR_Fur_Nac	lsrR//
ArgP_DnaA	paaB//gcvH//sgrS//
ArgP_Lrp	ynfE//fumC//
ArgP_LysR	betB//
ArgP_PhoB	yqjI//
ArgR_CRP	uspA//
ArgR_CRP_Fis	uhpT//caiE//mpl//hyfI//glcC//sucB//eda//ascF//
ArgR_Fis_IHF_PepA_PurR_RutR	dcuD//osmC//
ArgR_H-NS_NtrC	oppD//sucA//mlc//aidB//
ArgR_NtrC	hupB//uhpT//fucR//hycD//betA//
ArgR_PhoP	ptsH//
AscG_CRP	fepB//astD//cadB//
AscG_CRP_PhoB_PrpR	gadW//
AsnC_MraZ_Nac	edd//
AsnC_Nac	nfuA//rbsD//
AtoC_IHF	prpD//araH//acnA//fixB//
BaeR_CpxR	ccmE//yiaJ//nuoE//acrZ//bglJ//frdC//gltA//
BaeR_CpxR_EvgA	pspA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	lpxC//nikA//hyfD//rutB//
BasR_CpxR_PdhR	hisQ//garP//
BasR_Fis	rpsJ//
BasR_H-NS_IHF_NagC_NanR	feoA//
BasR_MarA_PutA	hypC//
BasR_PhoP	rplV//
BasR_QseB	ssuB//yqjI//
CRP_CaiF_FNR	hybA//dmsC//yjiY//betT//
CRP_ChbR_NagC	hyfJ//ilvG_1//dps//alaT//modC//yrbL//
CRP_ComR	betA//
CRP_CpxR	metH//
CRP_CpxR_CytR	nusA//
CRP_CpxR_CytR_DnaA_IHF	betT//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gabD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	yeiL//dcuR//dinJ//rsmH//
CRP_Cra	fliJ//cusS//yhcH//tdcF//torC//xylA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nikB//fimF//rbsR//rrsA//
CRP_Cra_FNR_PdhR	fhuF//
CRP_Cra_Fis	nuoK//
