#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gloA//nuoL//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	stpA//hycD//rrlE//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	yiaN//nhaR//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	yjjQ//treB//
AcrR_FNR_Fur_SoxR	rutE//
AcrR_FNR_Fur_SoxR_SoxS	dcuR//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	tolC//
Ada_AidB_Lrp	nrdE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tolC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	aceF//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	aceA//ebgC//uhpT//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rseC//argD//
AdiY_H-NS_IHF	napB//
AgaR_CRP	hdeB//appB//feoC//puuC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	rbsD//gltA//metN//aldA//moeB//hyfC//
AppY_ArcA_YdeO	rbsC//ilvA//mhpB//ssuE//
AraC_CRP	osmE//hipA//nemA//melA//puuC//malT//rrfC//ubiC//marB//
AraC_CRP_XylR	gcvH//ynfH//ydeN//
AraC_NagC	galE//glnH//
ArcA_BetI_Cra	lacZ//bglJ//tomB//nanM//
ArcA_CRP_CaiF_FNR_H-NS	katE//ydhW//mhpA//hybD//yeaR//dmsC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ahpC//rpsO//rhaS//gdhA//bglF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nikE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	oppC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	citG//cyoD//
ArcA_CRP_Cra_Fis	gadA//
ArcA_CRP_Cra_IHF_IclR	pqiA//gspK//cusB//
ArcA_CRP_DcuR	mdtC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	ahpF//bglJ//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	putA//
ArcA_CRP_DnaA_FNR	hisM//
ArcA_CRP_DpiA_FNR_NarL	aldA//acnB//napB//nanM//gntT//agaW//
ArcA_CRP_DpiA_FlhDC	ompC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	moeB//fimD//
ArcA_CRP_FNR	nuoL//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mdtC//rseA//rhaS//
ArcA_CRP_FNR_Fis_Fur_PdhR	sdhB//
ArcA_CRP_FNR_Fis_IHF_NarL	lldP//
ArcA_CRP_FNR_Fur	idnR//ilvD//aroG//ccmD//
ArcA_CRP_FNR_Fur_IHF	tnaA//glpA//nikB//hypE//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ydhX//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ccmD//
ArcA_CRP_FNR_IHF_NarL	gltD//
ArcA_CRP_FNR_NarL	hypD//
ArcA_CRP_FadR	astB//gabT//
ArcA_CRP_FadR_HipB	nikE//
ArcA_CRP_FadR_OmpR_PhoP	pgaB//
ArcA_CRP_Fis_Mlc_SoxS	epd//
ArcA_CRP_Fis_XylR	hybO//
ArcA_CRP_Fur_GadX_MqsA	prmC//
ArcA_CRP_GatR	deoA//mhpB//ulaC//dppD//asnC//fimB//
ArcA_CRP_GlpR	araE//
ArcA_CRP_IHF	fumB//
ArcA_CRP_PuuR	ccmB//amtB//pyrC//araB//fimB//
ArcA_CRP_RhaS	bamE//
ArcA_CRP_TreR	putP//dctR//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	sodB//melA//
ArcA_Cra	purA//
ArcA_Cra_FNR_H-NS_HypT	narL//caiD//
ArcA_CysB_FNR	lsrR//
ArcA_FNR	rprA//gspH//dmsB//ydeN//nuoJ//gltF//tdcB//inaA//tolC//flgN//nanS//pheM//nagB//rrlA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	betB//
ArcA_FNR_Fis_IHF_NarL	tomB//hyfA//rpsQ//rplP//rutF//glpB//nuoF//araC//paaB//ubiC//fimB//dinJ//puuR//
ArcA_FNR_Fur_IHF	ilvM//
ArcA_FNR_IHF	galS//sgbU//hybO//
ArcA_FNR_IHF_NarL	pspG//fhlA//
ArcA_FNR_NarL	chbA//manY//skp//dcuC//
ArcA_FNR_PhoP	gatB//
ArcA_FNR_PuuR	ftsI//dsdC//
ArcA_FadR	epd//fiu//rpmC//
ArcA_FadR_Fis	rrfH//yjbE//
ArcA_Fur_Lrp_ModE	yjbF//gdhA//fepE//cysH//nhaR//
ArcA_GlcC_IHF_PdhR	fhuF//nrdG//rpsI//nuoH//fadI//yhiD//
ArcA_LexA	asr//ubiA//
ArcA_LldR	fimD//rplV//fucR//
ArcA_NarL	yfaE//dppC//guaB//rhaS//nanK//murG//rhaS//rrfG//
ArcA_NtrC_PhoP_RutR	alaV//agaW//ptsG//atoD//gnd//gcvH//hpt//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pspC//citD//deoD//
ArgP_CRP_FNR_Fur_Nac	chbF//
ArgP_DnaA	alaT//idnO//ubiA//
ArgP_Lrp	flgM//aidB//
ArgP_LysR	fabB//
ArgP_PhoB	fixA//
ArgR_CRP	ptsH//
ArgR_CRP_Fis	sdhC//pstB//glnL//betT//soxR//fis//rutA//ygiC//
ArgR_Fis_IHF_PepA_PurR_RutR	ssuD//casA//
ArgR_H-NS_NtrC	gspM//lacA//relB//murC//
ArgR_NtrC	uxaB//ycdZ//dmsA//fimG//mdtE//
ArgR_PhoP	ulaB//
AscG_CRP	alaV//dcuC//glnA//
AscG_CRP_PhoB_PrpR	puuA//
AsnC_MraZ_Nac	oppC//
AsnC_Nac	uspA//puuP//
AtoC_IHF	chbA//gatD//ubiC//carB//
BaeR_CpxR	ddlB//ugpE//glpK//puuP//yjbE//mdtC//araG//
BaeR_CpxR_EvgA	pyrD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	manY//sgrT//citF//putP//
BasR_CpxR_PdhR	gltV//uxaC//
BasR_Fis	mdtD//
BasR_H-NS_IHF_NagC_NanR	dsdX//
BasR_MarA_PutA	rplC//
BasR_PhoP	betA//
BasR_QseB	ybdN//prfA//
CRP_CaiF_FNR	nuoE//mraY//moaE//napD//
CRP_ChbR_NagC	ompF//flgN//tdcC//ccmA//glnH//mhpF//
CRP_ComR	ilvA//
CRP_CpxR	fixC//
CRP_CpxR_CytR	tam//
CRP_CpxR_CytR_DnaA_IHF	chiP//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fecA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	yiaL//chbB//leuO//tdcD//
CRP_Cra	ulaG//gspH//gspF//caiF//mtlD//purM//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hypC//ptsG//chbB//lhgO//
CRP_Cra_FNR_PdhR	ynfF//
CRP_Cra_Fis	nuoJ//
CRP_Cra_Fis_GlcC	ptsI//
CRP_Cra_Fis_MtlR	nrdE//sdhB//rrfD//
CRP_Cra_Mlc_NagC	pspB//deoA//srlR//paaC//glyA//murF//
CRP_Cra_PrpR	aceK//fliZ//mioC//bglB//
