#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rcsA//gatD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rutF//hisJ//mpl//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rcnA//fimH//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	flhD//lyxK//
AcrR_FNR_Fur_SoxR	ileT//
AcrR_FNR_Fur_SoxR_SoxS	pncB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	atoD//
Ada_AidB_Lrp	inaA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	sufA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	pspC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	yaiA//fadB//rsmH//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araD//moaD//
AdiY_H-NS_IHF	waaH//
AgaR_CRP	paaC//rplT//chbB//yjcH//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	uof//hyfA//mlc//cysP//gntK//paaZ//
AppY_ArcA_YdeO	napB//appB//agaV//chbG//
AraC_CRP	oppB//sdhB//hyaE//ygiB//rrsH//feoC//mglB//evgS//cbl//
AraC_CRP_XylR	hupB//rrsD//ugpC//
AraC_NagC	cadC//murP//
ArcA_BetI_Cra	hycE//tauD//rplV//glgP//
ArcA_CRP_CaiF_FNR_H-NS	pflB//aspC//cyoC//gspE//emrK//lpxC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fdnG//citC//actP//gadB//hycF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rutF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sroD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fadD//rrfE//
ArcA_CRP_Cra_Fis	glpQ//
ArcA_CRP_Cra_IHF_IclR	rutF//atoB//rcnB//
ArcA_CRP_DcuR	fes//
ArcA_CRP_DcuR_DpiA_FNR_NarL	lamB//mntP//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hyfG//
ArcA_CRP_DnaA_FNR	entB//
ArcA_CRP_DpiA_FNR_NarL	mtlD//rplD//ldtB//sdhC//nuoN//fecC//
ArcA_CRP_DpiA_FlhDC	yqjH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	tdcE//tauA//
ArcA_CRP_FNR	puuR//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gloA//gltA//appY//
ArcA_CRP_FNR_Fis_Fur_PdhR	ptsH//
