#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rrlH//gntT//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	lyxK//glnL//rrfB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rrlA//flgM//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	csgA//hybG//
AcrR_FNR_Fur_SoxR	glcD//
AcrR_FNR_Fur_SoxR_SoxS	acnB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	safA//
Ada_AidB_Lrp	gadB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gntP//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	nrfF//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glcC//fucR//ygeA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sgbE//uspA//
AdiY_H-NS_IHF	fixA//
AgaR_CRP	marR//ilvG_1//hypA//pspE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	csgE//chbF//murP//feoC//garL//fdhF//
AppY_ArcA_YdeO	puuD//bolA//fixC//actP//
AraC_CRP	entE//srlE//lpd//citF//csiE//nanT//lpxC//paaB//ftsI//
AraC_CRP_XylR	oppB//idnD//narK//
AraC_NagC	ycdZ//rrlH//
ArcA_BetI_Cra	hycC//aspC//ftsW//metH//
ArcA_CRP_CaiF_FNR_H-NS	ndh//hyfC//nhaR//prpR//bglG//rplV//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fepB//mntP//mlc//fepB//gadY//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rrsD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	yefM//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rrsA//hybD//
ArcA_CRP_Cra_Fis	higA//
ArcA_CRP_Cra_IHF_IclR	hipA//glmY//purA//
ArcA_CRP_DcuR	prmC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	puuA//purM//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	chbR//
ArcA_CRP_DnaA_FNR	argP//
ArcA_CRP_DpiA_FNR_NarL	cysA//fliI//caiF//tauD//pdhR//rrlD//
ArcA_CRP_DpiA_FlhDC	zraR//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	patA//yhiD//
ArcA_CRP_FNR	mraZ//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gadB//grcA//mdtD//
ArcA_CRP_FNR_Fis_Fur_PdhR	cas1//
ArcA_CRP_FNR_Fis_IHF_NarL	argD//
ArcA_CRP_FNR_Fur	ynfE//cysG//nikC//dmsA//
ArcA_CRP_FNR_Fur_IHF	gspI//sdhD//ilvE//malG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	gltA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	prmC//
ArcA_CRP_FNR_IHF_NarL	oppA//
ArcA_CRP_FNR_NarL	ulaE//
ArcA_CRP_FadR	malT//malI//
ArcA_CRP_FadR_HipB	nrfA//
ArcA_CRP_FadR_OmpR_PhoP	rrlB//
ArcA_CRP_Fis_Mlc_SoxS	yjjQ//
ArcA_CRP_Fis_XylR	napD//
ArcA_CRP_Fur_GadX_MqsA	iraM//
ArcA_CRP_GatR	cdd//rutD//metH//araG//fecA//ygiA//
ArcA_CRP_GlpR	narL//
ArcA_CRP_IHF	tdcE//
ArcA_CRP_PuuR	pck//yfaE//tauD//ilvH//nanE//
ArcA_CRP_RhaS	sdhA//
ArcA_CRP_TreR	prpR//fimI//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fdhF//rhaA//
ArcA_Cra	amtB//
ArcA_Cra_FNR_H-NS_HypT	ybiT//malE//
ArcA_CysB_FNR	norV//
ArcA_FNR	narI//galS//dmsA//galK//fabA//rplB//araC//puuR//fliE//lldR//tauD//tyrP//ulaE//fecD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	chbG//
ArcA_FNR_Fis_IHF_NarL	gabT//nusA//xylF//hcp//cysH//gnd//zraS//acnB//yjbE//casE//dctR//ccmB//hycC//
ArcA_FNR_Fur_IHF	lsrC//
ArcA_FNR_IHF	gltV//rrlE//fadA//
ArcA_FNR_IHF_NarL	melB//ubiC//
ArcA_FNR_NarL	malQ//rplP//frdB//fucO//
ArcA_FNR_PhoP	casC//
ArcA_FNR_PuuR	infB//glpT//
ArcA_FadR	gadY//mdtB//gntX//
ArcA_FadR_Fis	hdeB//glcD//
