#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	tdcE//nuoI//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	prpD//mraZ//gadC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	adiC//fadJ//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rbsD//tdcF//
AcrR_FNR_Fur_SoxR	glpC//
AcrR_FNR_Fur_SoxR_SoxS	glnP//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	araB//
Ada_AidB_Lrp	uxaB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	pspA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	astB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ilvM//mdtB//gcd//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araF//nagB//
AdiY_H-NS_IHF	lsrF//
AgaR_CRP	nrfA//ydhW//rtcB//glgP//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	csiE//uxuB//ansB//thrV//lldD//iraM//
AppY_ArcA_YdeO	rbsA//melB//gadW//mpl//
AraC_CRP	fliZ//tnaA//yrbL//galK//chbG//fecB//moaA//gspL//sdhB//
AraC_CRP_XylR	caiA//cysH//prpD//
AraC_NagC	metY//yjbG//
ArcA_BetI_Cra	phoU//tnaA//ynfH//pdeR//
ArcA_CRP_CaiF_FNR_H-NS	glgA//paaB//cyoA//yciF//xylF//hyfJ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	metI//nirC//casC//mhpC//torC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ilvI//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	csgB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	glcC//gyrA//
ArcA_CRP_Cra_Fis	ilvL//
ArcA_CRP_Cra_IHF_IclR	hypF//acnA//araH//
ArcA_CRP_DcuR	rutD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	moeB//csgD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fliJ//
ArcA_CRP_DnaA_FNR	fumB//
ArcA_CRP_DpiA_FNR_NarL	nagB//oppC//hycG//ebgA//pspB//frdC//
ArcA_CRP_DpiA_FlhDC	agaA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hybO//paaZ//
ArcA_CRP_FNR	sufB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	purH//betA//nuoH//
ArcA_CRP_FNR_Fis_Fur_PdhR	rrfF//
ArcA_CRP_FNR_Fis_IHF_NarL	ydhX//
ArcA_CRP_FNR_Fur	osmE//fixA//aceK//yciG//
ArcA_CRP_FNR_Fur_IHF	sdhB//safA//tdcC//evgS//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	eda//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ugpB//
ArcA_CRP_FNR_IHF_NarL	glcF//
ArcA_CRP_FNR_NarL	molR_1//
ArcA_CRP_FadR	sgbH//ftsA//
ArcA_CRP_FadR_HipB	nikB//
ArcA_CRP_FadR_OmpR_PhoP	dmsD//
ArcA_CRP_Fis_Mlc_SoxS	srlA//
ArcA_CRP_Fis_XylR	rhaA//
ArcA_CRP_Fur_GadX_MqsA	nanE//
ArcA_CRP_GatR	araG//argP//hupA//entH//cyoA//rrsD//
ArcA_CRP_GlpR	ahpC//
ArcA_CRP_IHF	ssuB//
ArcA_CRP_PuuR	gspH//sgbU//proV//lldR//soxR//
ArcA_CRP_RhaS	hyaD//
ArcA_CRP_TreR	ebgA//hyfC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	chbB//betA//
ArcA_Cra	nuoC//
ArcA_Cra_FNR_H-NS_HypT	srlA//gloA//
ArcA_CysB_FNR	tdcG//
ArcA_FNR	uidA//dnaN//ilvH//ptsI//treB//nuoN//phoQ//ftsZ//fixB//ptsH//agaW//rhaS//srlD//hypF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fucP//
ArcA_FNR_Fis_IHF_NarL	nrfB//malS//gadE//dnaN//tdcA//fepE//bglB//uidC//astB//lysA//nfsA//gspG//hybO//
ArcA_FNR_Fur_IHF	ulaG//
ArcA_FNR_IHF	relE//dinJ//carA//
ArcA_FNR_IHF_NarL	frdD//oppF//
ArcA_FNR_NarL	ilvA//rplP//torD//paaD//
ArcA_FNR_PhoP	pstS//
ArcA_FNR_PuuR	puuA//mhpC//
ArcA_FadR	nagA//nikC//nirD//
ArcA_FadR_Fis	purN//gltU//
ArcA_Fur_Lrp_ModE	yjbF//fis//fliK//ftsA//yoeB//
ArcA_GlcC_IHF_PdhR	entB//sdhA//glcB//qseC//asr//ihfA//
ArcA_LexA	rbsA//baeR//
ArcA_LldR	metB//mhpC//uidC//
ArcA_NarL	glnD//fucA//nanA//metN//cspI//lgoR//ydeP//entH//
ArcA_NtrC_PhoP_RutR	hipA//rpsQ//yciF//tyrP//aceB//bglB//ascF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	glyA//ilvM//ftsZ//
ArgP_CRP_FNR_Fur_Nac	nanC//
ArgP_DnaA	rseA//appC//araG//
ArgP_Lrp	cytR//dsdA//
ArgP_LysR	ackA//
ArgP_PhoB	ulaF//
ArgR_CRP	hycB//
ArgR_CRP_Fis	rrlD//nagE//ubiA//accC//iclR//ilvE//frdA//paaH//
ArgR_Fis_IHF_PepA_PurR_RutR	acnB//mdtC//
ArgR_H-NS_NtrC	yiaM//mdtE//pgaD//sucC//
ArgR_NtrC	gltD//oppC//dmsC//chbA//pgaD//
ArgR_PhoP	folA//
AscG_CRP	hdeD//dps//pspA//
AscG_CRP_PhoB_PrpR	adiA//
AsnC_MraZ_Nac	xylR//
AsnC_Nac	pyrC//entF//
AtoC_IHF	glnK//rrfF//yhiD//grcA//
BaeR_CpxR	paaF//ftsL//ascB//fucK//yaiA//norR//hyfA//
BaeR_CpxR_EvgA	deoC//
