#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	lsrA//fliH//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	hupB//slp//hcp//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	fliK//qseB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nirB//napH//
AcrR_FNR_Fur_SoxR	treB//
AcrR_FNR_Fur_SoxR_SoxS	ygeA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	puuC//
Ada_AidB_Lrp	sulA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ftnA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	gatZ//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	yhiM//acnB//cysI//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	chbR//exuT//
AdiY_H-NS_IHF	tdcA//
AgaR_CRP	hyaA//feoA//citE//metR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	idnK//ilvG_1//glcC//ybdZ//ssuD//puuD//
AppY_ArcA_YdeO	tolC//hyfJ//glcD//gutQ//
AraC_CRP	astD//rrfC//glpB//nrdI//ulaE//astE//waaY//cdd//yjbG//
AraC_CRP_XylR	purR//rplD//ydhU//
AraC_NagC	molR_1//gspI//
ArcA_BetI_Cra	rrfE//rimK//mlc//aceK//
ArcA_CRP_CaiF_FNR_H-NS	hupB//rrlD//ansB//fumA//lamB//entE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	aceE//cysU//uidA//purM//pgaD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	mhpA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	asnC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fadB//lldR//
ArcA_CRP_Cra_Fis	dcuS//
ArcA_CRP_Cra_IHF_IclR	marB//hycA//nikA//
ArcA_CRP_DcuR	murF//
ArcA_CRP_DcuR_DpiA_FNR_NarL	ccmC//manY//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	entD//
ArcA_CRP_DnaA_FNR	pnp//
ArcA_CRP_DpiA_FNR_NarL	yciE//hybE//pgk//glyA//ompR//yiaK//
ArcA_CRP_DpiA_FlhDC	ydhX//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	adiC//fimE//
ArcA_CRP_FNR	ygbA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	caiC//micF//katE//
ArcA_CRP_FNR_Fis_Fur_PdhR	glnD//
ArcA_CRP_FNR_Fis_IHF_NarL	ackA//
ArcA_CRP_FNR_Fur	acrA//ilvG_2//ilvH//rbfA//
ArcA_CRP_FNR_Fur_IHF	ftsZ//rbsR//mtlD//focB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hipB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lpxA//
ArcA_CRP_FNR_IHF_NarL	feaR//
ArcA_CRP_FNR_NarL	gltU//
ArcA_CRP_FadR	glpA//rcsA//
ArcA_CRP_FadR_HipB	nirC//
ArcA_CRP_FadR_OmpR_PhoP	fixB//
ArcA_CRP_Fis_Mlc_SoxS	fabZ//
ArcA_CRP_Fis_XylR	pgk//
ArcA_CRP_Fur_GadX_MqsA	gatC//
ArcA_CRP_GatR	araB//nuoA//spy//rpsQ//rob//hyfJ//
ArcA_CRP_GlpR	rtcA//
ArcA_CRP_IHF	tomB//
ArcA_CRP_PuuR	mraZ//moaC//fucK//gatD//oppA//
ArcA_CRP_RhaS	ygiC//
ArcA_CRP_TreR	cydC//fadE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fimF//chbG//
ArcA_Cra	nfo//
ArcA_Cra_FNR_H-NS_HypT	nagB//chbR//
ArcA_CysB_FNR	sdhD//
ArcA_FNR	codA//adiC//fepE//fliK//purN//cyoA//hyfG//mhpE//araE//fbaA//entE//bamE//mglC//uidC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cyoC//
ArcA_FNR_Fis_IHF_NarL	rplP//nanA//mntH//moaA//fabZ//fliE//nuoB//katG//oppB//fadB//soxR//dpiA//hybO//
ArcA_FNR_Fur_IHF	metB//
ArcA_FNR_IHF	puuA//iraM//entC//
ArcA_FNR_IHF_NarL	ahpF//gntT//
ArcA_FNR_NarL	ubiC//pyrC//zraS//paaF//
ArcA_FNR_PhoP	paaC//
ArcA_FNR_PuuR	rutG//cysA//
ArcA_FadR	tdcG//csgB//nrfD//
ArcA_FadR_Fis	yhjA//rrlB//
ArcA_Fur_Lrp_ModE	fiu//nikE//sucA//narL//prpD//
ArcA_GlcC_IHF_PdhR	gatB//truB//nfuA//zraS//gspL//fliG//
ArcA_LexA	nirB//rpoE//
ArcA_LldR	rhaA//hyfH//oppF//
ArcA_NarL	moeA//fucO//purN//yjcH//nikC//treB//hisQ//ftsI//
ArcA_NtrC_PhoP_RutR	yoeB//hyfD//phoU//fadD//atoD//ilvD//mpl//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	metE//ybdN//mdh//
ArgP_CRP_FNR_Fur_Nac	mdtD//
ArgP_DnaA	garK//ycdZ//galS//
ArgP_Lrp	mraY//glnH//
ArgP_LysR	aceK//
ArgP_PhoB	nuoH//
ArgR_CRP	aceA//
ArgR_CRP_Fis	nirD//srlB//fimF//alaU//nrfF//tolC//malI//glcA//
ArgR_Fis_IHF_PepA_PurR_RutR	dcuC//galR//
ArgR_H-NS_NtrC	yafQ//rrlH//glpA//atoD//
ArgR_NtrC	hisQ//dppA//xylG//pqiB//nuoG//
ArgR_PhoP	glpC//
