#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	galK//srlD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rplM//csgB//aroG//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	yjiY//nagE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	gltB//mhpC//
AcrR_FNR_Fur_SoxR	fliE//
AcrR_FNR_Fur_SoxR_SoxS	malT//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ppiA//
Ada_AidB_Lrp	cysA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	mdtD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rrsB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	sgbU//yhiM//gutM//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hdeB//casD//
AdiY_H-NS_IHF	agaW//
AgaR_CRP	entB//metQ//malM//entH//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	cyoD//ilvH//gntK//oppA//csiE//nuoN//
AppY_ArcA_YdeO	fhlA//acs//paaB//rhaB//
AraC_CRP	pspE//sufB//fliZ//qseC//bglJ//ydhW//hyfE//dsdA//degP//
AraC_CRP_XylR	rseC//cytR//hypA//
AraC_NagC	ygeA//alaU//
ArcA_BetI_Cra	hdeB//moaD//nrdH//casC//
ArcA_CRP_CaiF_FNR_H-NS	ilvH//nac//torC//ulaD//hisJ//paaG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	pspE//nikD//aidB//lhgO//melB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	puuP//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	mdh//
ArcA_CRP_Cra_FNR_NsrR_PdhR	astE//umpH//
ArcA_CRP_Cra_Fis	dppA//
ArcA_CRP_Cra_IHF_IclR	rpmC//ulaB//mtr//
ArcA_CRP_DcuR	nanK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	yjcH//hycC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rutA//
ArcA_CRP_DnaA_FNR	atoD//
ArcA_CRP_DpiA_FNR_NarL	fimD//fabZ//tolC//ugpE//osmY//galK//
ArcA_CRP_DpiA_FlhDC	fabA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	aldA//nuoK//
ArcA_CRP_FNR	prpE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	caiA//glmY//fadI//
ArcA_CRP_FNR_Fis_Fur_PdhR	cadA//
ArcA_CRP_FNR_Fis_IHF_NarL	dmsB//
ArcA_CRP_FNR_Fur	asnC//nanC//entC//fau//
ArcA_CRP_FNR_Fur_IHF	rutB//gadW//xylF//gspH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	uof//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	hydN//
ArcA_CRP_FNR_IHF_NarL	norW//
ArcA_CRP_FNR_NarL	nemA//
ArcA_CRP_FadR	eda//nuoG//
ArcA_CRP_FadR_HipB	gutQ//
ArcA_CRP_FadR_OmpR_PhoP	rrfF//
ArcA_CRP_Fis_Mlc_SoxS	fhlA//
ArcA_CRP_Fis_XylR	araE//
ArcA_CRP_Fur_GadX_MqsA	yhcH//
ArcA_CRP_GatR	chbR//dctA//yafQ//mtr//mhpC//malE//
ArcA_CRP_GlpR	acrA//
ArcA_CRP_IHF	ftnA//
ArcA_CRP_PuuR	nhaR//nupG//bamE//qseB//ydeO//
ArcA_CRP_RhaS	purH//
ArcA_CRP_TreR	chbB//hycG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	rrlG//edd//
ArcA_Cra	fliJ//
ArcA_Cra_FNR_H-NS_HypT	rrfE//hyfH//
ArcA_CysB_FNR	lpxD//
ArcA_FNR	tdcE//uxuA//glpC//slp//fixB//envZ//melR//astE//rutB//pdhR//psiE//dppC//rseB//mglC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hypA//
ArcA_FNR_Fis_IHF_NarL	gadX//araC//pspD//dinJ//cyoC//frdA//nanM//uidA//ydhX//citD//rbsB//nikE//aceE//
ArcA_FNR_Fur_IHF	lpxA//
ArcA_FNR_IHF	gltD//astC//ssuB//
ArcA_FNR_IHF_NarL	fiu//mhpE//
ArcA_FNR_NarL	yiaK//ascB//dsdC//ilvG_2//
ArcA_FNR_PhoP	paaE//
ArcA_FNR_PuuR	sufB//lsrA//
ArcA_FadR	hybB//ilvE//yiaM//
ArcA_FadR_Fis	mazE//norR//
ArcA_Fur_Lrp_ModE	paaJ//tomB//ileU//glpX//carB//
ArcA_GlcC_IHF_PdhR	nac//csrC//ilvM//hycI//pgaA//fur//
ArcA_LexA	glpK//yfaE//
ArcA_LldR	lldP//gltU//ynfG//
ArcA_NarL	gloA//ygiC//malE//fnr//mhpF//hyaA//gspK//metH//
ArcA_NtrC_PhoP_RutR	casC//cysJ//nikB//tdcB//trg//ydeP//citF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	malY//uxuA//chbB//
ArgP_CRP_FNR_Fur_Nac	glgC//
ArgP_DnaA	rnpB//ndh//alaV//
ArgP_Lrp	gltD//serC//
ArgP_LysR	ssuE//
ArgP_PhoB	tyrR//
ArgR_CRP	gntK//
ArgR_CRP_Fis	aceK//hyfH//chbR//folA//ydhY//hyfB//lldP//puuP//
ArgR_Fis_IHF_PepA_PurR_RutR	uof//mtlA//
ArgR_H-NS_NtrC	sdhB//hisQ//tomB//malM//
ArgR_NtrC	aceA//soxR//sufB//astA//soxR//
ArgR_PhoP	fepA//
AscG_CRP	gltU//cdd//rhaT//
AscG_CRP_PhoB_PrpR	puuP//
AsnC_MraZ_Nac	ptsH//
AsnC_Nac	mazG//glpK//
AtoC_IHF	acrF//metL//feaR//gspH//
BaeR_CpxR	fixC//ygiC//fucO//lsrC//aidB//rrsG//rhaR//
BaeR_CpxR_EvgA	mazG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pdeL//hyaB//ydhV//nikR//
BasR_CpxR_PdhR	dnaA//ulaA//
BasR_Fis	ybdZ//
BasR_H-NS_IHF_NagC_NanR	gcvP//
BasR_MarA_PutA	ebgA//
BasR_PhoP	hybA//
BasR_QseB	gcvP//xylF//
CRP_CaiF_FNR	rrlC//rutB//cydB//rhaR//
CRP_ChbR_NagC	paaK//ftsW//gspJ//dsdA//hycD//sgrS//
CRP_ComR	fabZ//
CRP_CpxR	aceA//
CRP_CpxR_CytR	uidB//
CRP_CpxR_CytR_DnaA_IHF	cyoB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	napD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	fliI//acrB//glpA//leuO//
CRP_Cra	glnQ//rrfB//zraS//rbsC//dmsA//ulaB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	srlE//aroP//malK//cyoA//
CRP_Cra_FNR_PdhR	nhaA//
CRP_Cra_Fis	fecB//
CRP_Cra_Fis_GlcC	mhpD//
CRP_Cra_Fis_MtlR	ascB//csgB//paaK//
CRP_Cra_Mlc_NagC	fecC//gspM//mhpE//uxuR//glnH//eda//
CRP_Cra_PrpR	gatA//ndh//bhsA//rbfA//
CRP_CreB_Fis_MalT	lsrB//hyfA//bglB//
CRP_CsiR_H-NS_Lrp	mntP//glnQ//
CRP_CsiR_H-NS_Lrp_Nac	ybdN//murD//rcsA//
CRP_CspA_Fis	sgbE//
CRP_CytR	bhsA//csrC//cadC//
CRP_CytR_DeoR	nanK//fabZ//
CRP_CytR_DeoR_Fis_ModE	araF//gltD//marR//galM//
CRP_CytR_Nac	ilvA//
CRP_CytR_NsrR	sufS//
CRP_DcuR_FNR_NarL	glnL//
CRP_DinJ-YafQ	gcvP//
CRP_DnaA_Fis_PurR	gyrA//hycB//
CRP_DpiA_ExuR	gspC//
CRP_DsdC	ilvA//rrlD//
CRP_EbgR	hyfJ//dnaA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rbsA//leuO//
CRP_ExuR	nrfG//
CRP_ExuR_FNR	ilvH//ydhX//
CRP_ExuR_OxyR_UxuR	sgrS//rcsA//
CRP_ExuR_UxuR	gltB//
CRP_FNR	rpsI//
CRP_FNR_FhlA_HyfR	focA//gadE//gspM//galT//rrsG//mdtF//fixC//xylH//casA//aroG//osmE//sufB//
CRP_FNR_Fis	chbC//narK//betA//
CRP_FNR_Fis_GlpR_IHF	nanA//ileV//
CRP_FNR_Fis_H-NS_SlyA	ebgC//
CRP_FNR_GcvA_Lrp_PurR	gltW//amtB//tdcD//
CRP_FNR_H-NS_NarL	gntK//
CRP_FNR_IHF_TdcA_TdcR	hipB//alaU//xylG//icd//fadD//mpl//pgaC//
CRP_FNR_NarL	fnr//lsrB//idnD//
CRP_FeaR_NsrR	ulaC//
CRP_Fis	frdA//sdhB//crp//pspA//hns//
CRP_Fis_FlhDC_GalR_GalS	hyfR//rplC//
CRP_Fis_FliZ_IHF_Lrp	lsrR//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	fiu//lacA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	yfaE//ydhY//deoA//
CRP_Fis_IHF	araD//agaV//asnC//melA//hybF//
CRP_Fis_NanR	nac//cadC//stpA//betA//metH//
CRP_Fis_NtrC	napF//hupB//yjjQ//
CRP_Fis_XylR	lamB//rrfE//ccmB//
CRP_FlhDC_GalR_GalS	asr//
CRP_FucR	pncB//cusC//exuT//hdeD//araJ//lldD//hypE//
CRP_Fur	sdhB//nanC//dcuC//sufC//ssb//carA//pspE//deoC//gntK//
CRP_Fur_HypT_PdhR	hha//rrsH//malM//ompR//mhpC//
CRP_Fur_OxyR_SoxS	tyrR//
CRP_GalR_GalS	agaW//
CRP_GalR_GalS_H-NS_HU	oppC//rimP//nuoM//nfsB//
CRP_GalR_GalS_NagC	rbsB//
CRP_GlpR	waaY//murP//fliG//
CRP_GntR	actP//napD//
CRP_GntR_IdnR	ydeM//lsrA//cyoB//nikC//hcp//nupG//garK//
CRP_GntR_IscR	thrV//
CRP_GutM_GutR_H-NS	caiD//nusA//ssb//yiaL//sulA//csrC//ccmH//
CRP_H-NS	caiC//
CRP_H-NS_HipAB_HipB_NtrC	rplM//
CRP_H-NS_LacI	hisP//osmE//prpR//
CRP_H-NS_LeuO	adhE//mglA//treC//deoC//pstS//uidC//hisP//
CRP_H-NS_MqsA	paaD//
CRP_IHF	fixC//exuR//gatZ//sufS//
CRP_IHF_MprA_OmpR	lsrK//
CRP_IHF_NsrR	ugpA//
CRP_IHF_PaaX	pnp//uxaA//nuoM//marB//xylH//rrsG//nuoL//nikC//citE//nfo//gspK//lyxK//
CRP_IHF_UlaR	rsmH//sdhA//murG//marB//puuR//hyaE//
CRP_IHF_YiaJ	moaB//ptsG//csgG//gltU//asr//metK//frdA//rrfF//fecA//rbsB//
CRP_LexA	ssuB//
CRP_Lrp	fimF//emrK//sgrT//rbsA//
CRP_Lrp_Mlc	srlB//
CRP_Lrp_Nac	gltU//
CRP_LsrR	gadW//hybC//napH//cyoD//ileU//ldtB//astE//cydA//mnmG//
CRP_MalI	citE//galM//nuoF//
CRP_MalT	araF//narI//xylA//
CRP_MalT_PhoP	srlB//
CRP_MelR	crr//ccmA//ydhT//
CRP_MetJ	ptsG//
CRP_MhpR	dcuB//tyrP//zraR//gdhA//glyA//cspD//
CRP_Mlc	hybD//hisQ//
CRP_ModE	carA//soxR//lsrR//
CRP_MurR	yeiL//gspL//
CRP_Nac_NsrR_PhoB	mdtF//
CRP_NadR	dnaN//
CRP_NagC	ftsI//narG//nuoK//hycA//cyoD//fdnI//
CRP_NagC_NanR	mdtF//narI//csgE//
CRP_NagC_PhoP	lrp//
CRP_OxyR	sroD//
CRP_OxyR_UxuR	ydhT//
CRP_PhoB	uhpT//nagA//patA//cysW//sdhA//mdtC//
CRP_PhoP	gatB//entA//fadB//
CRP_PutA	citF//
CRP_RbsR	uvrA//hupB//lldP//pspE//atoD//gntU//
CRP_RhaR_RhaS	hisJ//hyfG//
CRP_RhaS	napG//dps//yjiY//
CRP_Rob	rrlE//
CRP_TorR	hipB//mazE//purD//
CRP_UhpA_UvrY	hycC//
CRP_UidR_UxuR	cbl//mazG//gabD//
CRP_UvrY	lacY//
CRP_YehT	fabZ//
CRP_ZraR	hyfD//ugpA//
CadC_FNR_H-NS_LeuO_MlrA	hybC//
Cbl_CysB	nagC//gadB//purA//gltU//
Cbl_CysB_FNR_IHF	srlE//rtcB//sdhD//gatB//metN//
CdaR_FNR_Fis_Fur_H-NS	feoB//
CdaR_FNR_Fur_H-NS	glgP//nanT//rutG//ppiA//
CpxR_CsgD_FliZ	modB//ydeP//mioC//
CpxR_CysB	lldD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	alaU//
CpxR_GadE	caiA//metB//ascF//rnpB//
CpxR_H-NS	gyrA//
CpxR_NsrR	gatZ//
CpxR_RcsB	fepE//
CpxR_TyrR	nuoE//
Cra_FNR_Fis_Lrp_NarL	tcyJ//
Cra_FNR_Fur_MarA_Rob_SoxS	mdh//
Cra_FhlA_FlhDC	waaZ//
Cra_GntR_KdgR	fdnI//
Cra_GntR_KdgR_PhoB	iclR//
Cra_MarA_SoxS	fixB//
Cra_PdeL	hupB//
Cra_SgrR	hybE//moaA//frdC//
Cra_TyrR	hokD//
CreB_NagC	ftsL//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	moaA//
CsgD_FlhDC	rpoH//hybF//pnp//garL//waaH//hokD//treC//entB//rpmC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	napA//ynfF//
CspA_Fis_GadX_H-NS	atoD//
CueR_FNR_ModE	fliA//glcF//sgbE//chbC//fixA//
CusR_PhoB_YedW	osmY//gadC//gabP//sufE//gntT//cspE//hpt//
CysB_H-NS	xylB//fucK//dppF//gntP//flhC//
CysB_HypT_IHF	puuA//
CysB_IHF	chbA//cspA//
CysB_NtrC	proW//
CysB_PhoP	prpE//
DcuR_FNR_NarL	mhpF//alaT//atoE//yiaN//
DinJ-YafQ_LexA	hdeB//nrdI//
DpiA_H-NS	oppB//
DsdC_NsrR	lldP//
EvgA_FNR	fepA//galR//
EvgA_H-NS	prpR//rrfE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	malG//
EvgA_H-NS_PhoP_RcsB_YdeO	puuP//
EvgA_PhoP_RcsB_YdeO	cydA//
ExuR_UxuR	rpsQ//rrsD//
FNR_FhlA_IHF_NsrR	rpoH//mpl//fadA//pflB//uxaC//
FNR_FhlA_NarL_NarP	yjbF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	torA//purR//crp//chbR//hybO//feaR//relA//
FNR_Fis_IHF_ModE_NarL	melA//paaI//guaA//
FNR_Fis_IHF_NarL	ptsI//
FNR_Fis_IHF_NarL_RstA	lsrG//ahpF//eda//cydB//
FNR_FlhDC	gltD//
FNR_FlhDC_IscR_ModE_NarL_NarP	deoC//fucO//gltF//gcvP//fimI//fixA//torC//
FNR_FlhDC_ModE_NarL_NarP	puuC//mdtB//idnT//dcuS//lldP//cbl//rrsG//aldB//
FNR_Fur	fadD//ydeM//
FNR_Fur_GadE	ftsZ//
FNR_Fur_GadX_NtrC	rrfF//dppC//
FNR_Fur_H-NS	actP//glcB//hipA//ilvH//
FNR_Fur_MetR_NsrR	hyaD//
FNR_Fur_Nac_NtrC	ygiC//
FNR_Fur_NagC	dps//rplD//lpxA//
FNR_Fur_OxyR	gatY//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	focB//
FNR_H-NS	gltU//ulaB//
FNR_H-NS_NrdR	nirB//mntP//
FNR_IHF	rplV//sbmC//malF//tnaC//cspD//
FNR_IHF_Lrp_YeiL	gspC//
FNR_IHF_NarL_NarP_NorR	tdcA//yaiA//
FNR_IHF_PhoB	hyfJ//oppC//entA//hyfF//folA//
FNR_MalT	hybD//malQ//
FNR_ModE	bglB//malM//
FNR_NarL	chbB//fucK//ydeO//yhiM//aspA//fliE//
FNR_NarL_NarP	gntK//araA//glnG//hypA//gspK//ugpA//nuoG//lsrR//sufE//
FNR_NarL_NarP_NsrR	manZ//
FNR_NarL_NarP_NsrR_OxyR	leuO//rbsR//
FNR_NarL_NikR	torC//fimA//hyfJ//ygbA//hisP//gadA//
FNR_NsrR	fliJ//rutC//hyfR//
FNR_OxyR	ccmG//
FNR_PurR	nrdB//nrfD//
FNR_YqjI	hyfJ//
FabR_FadR	rrfA//argD//
FadR_IHF	hyfH//
FadR_IclR	tnaA//
FhlA_FlhDC	cysA//
FhlA_IHF_ModE_NsrR	ulaG//sucA//napD//nfsB//hisM//mtlD//mhpD//narI//ccmD//
FhlA_IHF_NsrR	pgaA//
Fis_Fur	hisQ//
Fis_H-NS	glgP//
Fis_H-NS_IHF_MntR_OxyR	gloA//
Fis_H-NS_Lrp	fucA//rutB//cusR//hyfC//pyrC//inaA//galK//uof//hha//rbsB//aroP//rrfH//ssuC//rrlB//puuC//ybjC//ftsL//garL//ogt//sroD//tdcB//fadJ//rrfB//nusA//
Fis_H-NS_Lrp_StpA	rutC//ptsI//
Fis_IHF	ptsI//
Fis_IHF_NtrC	csgD//hycI//
Fis_IHF_OmpR_RcsB	citG//
Fis_Lrp	crr//stpA//pflB//sucD//oxyR//hyaD//mlc//rrfA//hypB//
Fis_MazE_MazE-MazF	citX//
Fis_NarL	nuoH//
Fis_NarL_NarP_NsrR	purN//paaG//
Fis_PurR	gyrA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	cas1//ydhY//gcd//
FliZ_RutR	rrfA//
Fur_H-NS	nikB//rrsC//ulaD//safA//feoC//rbsK//tnaC//lsrG//rhaD//setA//ssrS//hycH//ycdZ//
Fur_IHF_IscR_NsrR_OxyR	trg//hyfR//narG//pstS//uxuR//gloA//
Fur_IscR_NrdR	rbsD//ynfE//rutF//dgcZ//
Fur_MetR	evgA//
Fur_MntR	rpsJ//
Fur_MntR_OxyR	metE//
Fur_OxyR	fimC//
Fur_PurR	cdd//manZ//
Fur_RcnR	metR//glnQ//
Fur_RutR	pyrC//
Fur_SoxS_Zur	gntP//
Fur_YqjI	glpF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	rrfG//ytfE//
GadE-RcsB_H-NS	narL//
GadE-RcsB_PhoB	fixA//
GadE-RcsB_Rob	focA//
GadE_GadX_H-NS_PhoP_RcsB	yefM//
GadE_H-NS_Lrp_NsrR	marR//
GadE_H-NS_MatA	focA//
GadE_H-NS_RcsAB	acrZ//
GadE_MarA_PurR	hha//
GadW_GadX_RcsB	moeB//
GalR_GalS	ccmG//
GlrR_IHF	gadW//
H-NS_IHF	ilvA//ynfE//hmp//
H-NS_IHF_Lrp	malP//feoC//rpoE//yqjI//napB//sdhA//exuT//
H-NS_LeuO	nanE//ssuB//
H-NS_LeuO_RcsB-BglJ_StpA	gadC//
H-NS_LrhA_Lrp	zraR//
H-NS_Lrp	hypB//feaB//
H-NS_Lrp_NhaR_RcsB	flgN//
H-NS_Lrp_StpA	rhaS//
H-NS_McbR	trg//fliE//pdeR//
H-NS_NhaR	nrdB//gutM//
H-NS_OmpR	aroG//
H-NS_PhoB_RcdA_RstA	ompW//
HU_IHF_TrpR_TyrR	rutA//
HU_IHF_TyrR	ssrS//
HigA_HigB-HigA	ilvG_2//yqjI//
HipAB_HipB_IHF	cyoE//paaB//
HypT_MetJ	fepB//rbsB//ynfK//
HypT_MetJ_PhoP	fimD//epd//
IHF_Lrp	gntX//nrdA//marB//ilvX//hypD//nuoL//hybA//ubiA//
IHF_NsrR	frdD//
IHF_NtrC	prpC//nagA//
IHF_PhoP	sodA//
IHF_PspF	aroG//nanM//katG//paaC//ydeP//cas1//
IHF_RcsAB	uidB//osmE//spy//cirA//
IHF_RtcR	fecB//hipA//
IHF_TyrR	moaB//
IHF_UlaR	adiA//
LexA_MraZ_PdhR	sbmC//gatY//nupG//fimF//ulaE//dppC//rrfB//ldtB//lgoR//oxyR//cas1//
LexA_MraZ_PdhR_RcsB_SdiA	mtlD//rsmH//
LexA_MraZ_PdhR_SdiA	csiE//
LexA_NagC	pgaC//
LexA_RcdA	patA//
LexA_RcsB-BglJ	fadH//
MarA_OxyR_Rob_SoxS	dppA//csgF//mpl//ssuD//
MarA_PhoP_Rob_SoxS	gspM//ftsZ//nusA//ilvH//
MarA_Rob_SoxS	yoaG//ptsI//puuC//yeaR//glcF//
MarA_SoxS	uspA//sgrS//yqjH//glcD//dmsA//
MetJ_MetR	pgaC//fliI//
MetJ_OxyR	dcuA//gatA//
MetR_PurR	relB//
MraZ_PdhR	rpsS//cspE//
Nac_PurR	rnpB//rseC//
NarL_TorR	serA//grcA//cysM//
NemR_RutR	atoA//purA//astE//
NhaR_OmpR	sbmC//glpT//gntT//fdnI//
NorR_NsrR	adiA//
NsrR_PhoB	hypB//
OxyR_SoxS	codB//
PdhR_PhoP	uxaC//
PgrR_TyrR	gcvT//
PhoB_PhoP	rrlD//
PhoP_PurR_RbsR	cspE//entC//
RelB_RelB-RelE	fimG//frdB//ilvE//
TrpR_TyrR	glnD//melA//galS//
YefM_YefM-YoeB	rhaS//gltT//
