#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hemL//sufE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	prpB//ascF//mglC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	xylF//araB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	dppF//hycH//
AcrR_FNR_Fur_SoxR	hyaC//
AcrR_FNR_Fur_SoxR_SoxS	actP//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ptsH//
Ada_AidB_Lrp	purM//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nikA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	xylA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fimA//ugpC//nrdE//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sucB//hdeB//
AdiY_H-NS_IHF	aceB//
AgaR_CRP	ptsH//rrsB//hcr//fliJ//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	metH//astE//yiaL//edd//gcd//relE//
AppY_ArcA_YdeO	nikD//nrdB//ilvM//soxR//
AraC_CRP	nirC//zraS//mdtF//carB//ihfA//rrsG//pgaC//aceB//dnaN//
AraC_CRP_XylR	dcuB//lamB//deoD//
AraC_NagC	tyrP//rimK//
ArcA_BetI_Cra	hycD//rcnB//mhpC//galT//
ArcA_CRP_CaiF_FNR_H-NS	gcvP//fixB//slp//mtr//idnO//hybC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	proV//safA//paaZ//flhD//purH//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	melB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	osmY//
ArcA_CRP_Cra_FNR_NsrR_PdhR	thrV//cysI//
ArcA_CRP_Cra_Fis	ydhV//
ArcA_CRP_Cra_IHF_IclR	truB//rrlE//gatA//
ArcA_CRP_DcuR	manX//
ArcA_CRP_DcuR_DpiA_FNR_NarL	dps//fhuF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	oppB//
ArcA_CRP_DnaA_FNR	yhjA//
ArcA_CRP_DpiA_FNR_NarL	uidA//gltV//appX//hybB//moeA//oppB//
ArcA_CRP_DpiA_FlhDC	ldtB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	dadX//pgaB//
ArcA_CRP_FNR	gabD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sroD//rrsA//gntK//
ArcA_CRP_FNR_Fis_Fur_PdhR	gspK//
ArcA_CRP_FNR_Fis_IHF_NarL	hisJ//
ArcA_CRP_FNR_Fur	rpoS//yiaO//ftnA//relE//
ArcA_CRP_FNR_Fur_IHF	hycD//rsmH//nuoG//fimI//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ahpF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	nirC//
ArcA_CRP_FNR_IHF_NarL	rrsH//
ArcA_CRP_FNR_NarL	aidB//
ArcA_CRP_FadR	glpF//gatD//
ArcA_CRP_FadR_HipB	astE//
ArcA_CRP_FadR_OmpR_PhoP	fimG//
ArcA_CRP_Fis_Mlc_SoxS	rbsK//
ArcA_CRP_Fis_XylR	rrsA//
ArcA_CRP_Fur_GadX_MqsA	ilvI//
ArcA_CRP_GatR	cysI//cyoE//phoU//rpsS//rimK//nmpC//
ArcA_CRP_GlpR	accB//
ArcA_CRP_IHF	nrfG//
ArcA_CRP_PuuR	entA//aroP//yiaK//puuR//gntP//
ArcA_CRP_RhaS	ilvG_2//
ArcA_CRP_TreR	agaV//treB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	manZ//argO//
ArcA_Cra	araJ//
ArcA_Cra_FNR_H-NS_HypT	icd//rcsA//
ArcA_CysB_FNR	ugpQ//
ArcA_FNR	pck//mdh//skp//malY//katE//hybG//glnP//proP//caiF//nikR//stpA//nagA//ybiT//fadH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	araF//
ArcA_FNR_Fis_IHF_NarL	rpoH//bglB//nuoA//hokD//betA//gspL//pgk//rhaB//sodA//mnmG//gspH//udp//pspB//
ArcA_FNR_Fur_IHF	ygiC//
ArcA_FNR_IHF	gltF//ygbA//csgE//
ArcA_FNR_IHF_NarL	glnG//feaB//
ArcA_FNR_NarL	mazE//patA//yjbF//fixB//
ArcA_FNR_PhoP	fdnG//
ArcA_FNR_PuuR	gspG//ybjC//
ArcA_FadR	paaC//yiaM//sdhA//
ArcA_FadR_Fis	fucI//aspC//
ArcA_Fur_Lrp_ModE	fdnH//tauD//flgN//exuR//yhiD//
ArcA_GlcC_IHF_PdhR	lacA//ydeN//icd//nirD//fadD//ydhV//
ArcA_LexA	mntH//araC//
ArcA_LldR	caiD//hisQ//fbaA//
ArcA_NarL	araC//gcvT//rplV//nfuA//malG//relB//modB//gcvT//
ArcA_NtrC_PhoP_RutR	chbF//hyfC//caiT//spy//araF//nrdH//nrdH//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gadE//malI//atoD//
ArgP_CRP_FNR_Fur_Nac	cysI//
ArgP_DnaA	moeA//nrdD//gntU//
ArgP_Lrp	gntX//nrdB//
ArgP_LysR	yhjA//
ArgP_PhoB	puuD//
ArgR_CRP	dpiA//
ArgR_CRP_Fis	ssuE//pgk//ugpQ//fabA//pyrD//fliH//rrsC//cbl//
ArgR_Fis_IHF_PepA_PurR_RutR	gltA//mdtA//
ArgR_H-NS_NtrC	gatY//yjiY//rplM//proP//
ArgR_NtrC	gatB//malX//gspE//metK//leuO//
ArgR_PhoP	mhpE//
AscG_CRP	nrdH//glnD//dcuB//
AscG_CRP_PhoB_PrpR	gadE//
AsnC_MraZ_Nac	pncB//
AsnC_Nac	dcuS//ilvH//
AtoC_IHF	gltA//paaA//hyfI//ilvG_2//
BaeR_CpxR	betI//hybG//rpsQ//ccmE//fecD//leuO//nrdE//
BaeR_CpxR_EvgA	zwf//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rplC//fadE//oppB//ssb//
BasR_CpxR_PdhR	uxaC//deoB//
BasR_Fis	nrdB//
BasR_H-NS_IHF_NagC_NanR	hcr//
BasR_MarA_PutA	tcyJ//
BasR_PhoP	gloA//
BasR_QseB	modB//cas2//
CRP_CaiF_FNR	ascF//cusC//glgA//marA//
CRP_ChbR_NagC	folA//ccmA//higB//ompR//narJ//ssuC//
CRP_ComR	srlR//
CRP_CpxR	astA//
CRP_CpxR_CytR	aslB//
CRP_CpxR_CytR_DnaA_IHF	narX//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	pgaC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	tauC//hlyE//argG//rutE//
CRP_Cra	nuoH//glgA//puuA//cyoA//acnB//hisM//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	asr//fliI//nrdH//hpt//
CRP_Cra_FNR_PdhR	gadC//
CRP_Cra_Fis	epd//
CRP_Cra_Fis_GlcC	gltW//
CRP_Cra_Fis_MtlR	hypC//gspH//deoA//
CRP_Cra_Mlc_NagC	nagC//ydeP//mntH//sgrT//zwf//alaT//
