#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rutG//inaA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gspH//sgrT//iclR//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	proP//ybfN//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ssuE//lsrG//
AcrR_FNR_Fur_SoxR	ybfN//
AcrR_FNR_Fur_SoxR_SoxS	chbF//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	citF//
Ada_AidB_Lrp	ftnA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ssrS//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ackA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	gltB//pspE//srlD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ulaB//nrdF//
AdiY_H-NS_IHF	gltU//
AgaR_CRP	lhgO//lyxK//dpiA//araH//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	mraY//lsrC//torD//fliJ//ybdZ//ccmF//
AppY_ArcA_YdeO	chbG//csgD//fliC//xylG//
AraC_CRP	moaD//nuoE//cydA//hybA//nikE//glmY//pspD//sucA//glcD//
AraC_CRP_XylR	tauC//casD//gspE//
AraC_NagC	malX//hycI//
ArcA_BetI_Cra	pyrC//cusR//sucB//relB//
ArcA_CRP_CaiF_FNR_H-NS	glyA//higB//gspC//frdD//csgE//fimF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	tyrR//aroA//dppF//lacZ//cyoE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ydeN//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	tdcC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ccmH//rhaR//
ArcA_CRP_Cra_Fis	argD//
ArcA_CRP_Cra_IHF_IclR	nrdD//malM//astA//
ArcA_CRP_DcuR	cydD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	guaB//hypE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gapA//
ArcA_CRP_DnaA_FNR	fbaA//
ArcA_CRP_DpiA_FNR_NarL	glcG//gadC//ugpQ//yedX//ydhT//fdhF//
ArcA_CRP_DpiA_FlhDC	gyrA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	yqjI//cas2//
ArcA_CRP_FNR	tomB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yeaR//yoeB//nfo//
ArcA_CRP_FNR_Fis_Fur_PdhR	ftsW//
ArcA_CRP_FNR_Fis_IHF_NarL	asnC//
ArcA_CRP_FNR_Fur	ydeM//cas1//rrfE//glnA//
ArcA_CRP_FNR_Fur_IHF	aroL//nirC//ileU//murC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	yecR//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rhaR//
ArcA_CRP_FNR_IHF_NarL	paaC//
ArcA_CRP_FNR_NarL	eda//
ArcA_CRP_FadR	sbmC//hyaF//
ArcA_CRP_FadR_HipB	fliH//
ArcA_CRP_FadR_OmpR_PhoP	nanA//
ArcA_CRP_Fis_Mlc_SoxS	fdnG//
ArcA_CRP_Fis_XylR	lldR//
ArcA_CRP_Fur_GadX_MqsA	caiC//
ArcA_CRP_GatR	gadE//cydA//agaA//gadY//tdcG//fdhF//
ArcA_CRP_GlpR	alaU//
ArcA_CRP_IHF	hybG//
