#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	katG//emrK//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	astB//rrsB//aceF//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	fumB//manY//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	frdA//lldP//
AcrR_FNR_Fur_SoxR	pgaD//
AcrR_FNR_Fur_SoxR_SoxS	appX//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	yjjQ//
Ada_AidB_Lrp	fimE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	glnK//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	fadA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	rhaS//metY//feoB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hdeB//nfuA//
AdiY_H-NS_IHF	serC//
AgaR_CRP	nanA//norR//dadX//nusA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	gspE//metN//rrsD//gadX//ugpQ//ilvD//
AppY_ArcA_YdeO	safA//pstB//bglG//nuoC//
AraC_CRP	fimH//nupG//cyoC//araH//narH//cydC//csgA//ybjN//tam//
AraC_CRP_XylR	nrdA//mraZ//dgcZ//
AraC_NagC	cysI//tauA//
ArcA_BetI_Cra	glnL//gabD//ulaA//tolC//
ArcA_CRP_CaiF_FNR_H-NS	hypB//lpxA//caiE//betB//garR//aroP//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	rbsA//ydeO//rrfH//mtlA//napA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	actP//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	waaZ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	cysU//rplM//
ArcA_CRP_Cra_Fis	ndh//
ArcA_CRP_Cra_IHF_IclR	cysH//cusF//gltD//
ArcA_CRP_DcuR	galK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	slp//lsrB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	appC//
ArcA_CRP_DnaA_FNR	gnd//
ArcA_CRP_DpiA_FNR_NarL	hyfC//acrF//frdC//rtcB//fimF//ileV//
ArcA_CRP_DpiA_FlhDC	serC//
