# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Sat Nov 24 00:18:00 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/complex_regulons//complete_gus/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	0		0		0	*	0	0	-0.0
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	0		0		0	*	0	0	-0.0
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	2	AcrD-AcrA-TolC,AcrA-TolC-AcrB,	0		6	*re11,*re7,*re10,*re5,*re8,*re9,*	6	6	0.0
AcrR_FNR_Fur_SoxR	0		0		0	*	0	0	-0.0
AcrR_FNR_Fur_SoxR_SoxS	0		0		0	*	0	0	-0.0
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	0		0		0	*	0	0	-0.0
Ada_AidB_Lrp	1	AidB,	0		1	*re3,*	1	0	0.0
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	1	GadA,	0		1	*re3,*	1	0	0.0
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	0		0		0	*	0	0	-0.0
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	0		0		0	*	0	0	-0.0
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	2	GadB,GadC,	2	GadC,GadB,	1	*re4,re6,*	2	1	1.0
AdiY_H-NS_IHF	1	AdiA,	0		1	*re3,*	1	0	0.0
AgaR_CRP	1	KbaY-KbaZ,	0		1	*re11,*	1	0	0.0
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	0		0		0	*	0	0	-0.0
AppY_ArcA_YdeO	2	AppC-AppB,AppA,	1	AppA,	3	*re6,*re10,re11,re9,re8,re7,*re14,*	7	1	0.2
AraC_CRP	6	AraG-AraH-AraF,AraE,AraA,AraB,YgeA,AraD,	5	AraB,AraD,AraA,AraG-AraH-AraF,AraE,	2	*re11,re13,re15,re17,*re24,*	5	1	0.7
AraC_CRP_XylR	2	XylA,XylB,	2	XylB,XylA,	2	*re9,*re6,re8,*	3	0	0.7
AraC_NagC	0		0		0	*	0	0	-0.0
ArcA_BetI_Cra	3	BetA,BetT,BetB,	3	BetB,BetT,BetA,	1	*re10,re6,re13,re7,re8,*	5	1	1.0
ArcA_CRP_CaiF_FNR_H-NS	5	CaiC,CaiD,CaiA,CaiB,CaiT,	5	CaiD,CaiC,CaiA,CaiT,CaiB,	1	*re10,re12,re14,re8,re17,*	5	1	1.0
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	2	CyoD-CyoA-CyoB-CyoC,CyoE,	0		2	*re13,*re8,*	2	1	0.0
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	4	Lpd,AceE-AceF-Lpd,Lpd-GcvP-GcvH-GcvT,SucA-SucB-Lpd,	4	AceE-AceF-Lpd,Lpd-GcvP-GcvH-GcvT,Lpd,SucA-SucB-Lpd,	3	*re3,*re7,*re10,re11,re17,re13,re14,re15,re4,re18,re19,re20,re5,re9,re6,*	14	0	0.7
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	1	AcnA,	1	AcnA,	1	*re3,re4,re5,*	2	0	1.0
ArcA_CRP_Cra_FNR_NsrR_PdhR	3	AceE-AceF-Lpd,AceE,AceF,	3	AceE,AceE-AceF-Lpd,AceF,	1	*re10,re4,re5,re6,re9,re8,*	6	0	1.0
ArcA_CRP_Cra_Fis	1	AcnB,	1	AcnB,	2	*re3,re4,re6,*re5,*	3	0	0.5
ArcA_CRP_Cra_IHF_IclR	3	AceK,AceA,AceB,	3	AceK,AceB,AceA,	2	*re10,re9,*re5,re11,re7,*	4	0	0.8
ArcA_CRP_DcuR	1	DctA,	0		6	*re5,*re4,*re8,*re6,*re3,*re7,*	6	6	0.0
ArcA_CRP_DcuR_DpiA_FNR_NarL	0		0		0	*	0	0	-0.0
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	1	FumB,	0		2	*re3,*re4,*	2	0	0.0
ArcA_CRP_DnaA_FNR_MarA_Rob_SoxS	1	AldA,	0		2	*re3,*re4,*	2	0	0.0
ArcA_CRP_DpiA_FNR_NarL	3	CitC,CitG,CitX,	3	CitX,CitC,CitG,	1	*re14,re16,re8,*	3	0	1.0
ArcA_CRP_DpiA_FlhDC	1	Mdh,	0		1	*re3,*	1	0	0.0
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	0		0		0	*	0	0	-0.0
ArcA_CRP_FNR	1	FumA,	0		2	*re3,*re4,*	2	0	0.0
ArcA_CRP_FNR_Fis_FlhDC_GlpR	1	GlpA-GlpB-GlpC,	0		1	*re6,*	1	0	0.0
ArcA_CRP_FNR_Fis_Fur_PdhR	0		0		0	*	0	0	-0.0
ArcA_CRP_FNR_Fis_IHF_NarL	1	PflB,	1	PflB,	1	*re3,re4,*	2	0	1.0
ArcA_CRP_FNR_Fur	0		0		0	*	0	0	-0.0
ArcA_CRP_FNR_Fur_IHF	4	SucA-SucB-Lpd,SucA,SucD-SucC,SucB,	4	SucA,SucA-SucB-Lpd,SucD-SucC,SucB,	1	*re10,re6,re16,re8,re14,re9,*	5	0	1.0
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	1	SodA,	0		1	*re3,*	1	0	0.0
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	1	FumC,	0		1	*re3,*	1	0	0.0
ArcA_CRP_FNR_IHF_NarL	1	FocA,	0		1	*re3,*	1	1	0.0
ArcA_CRP_FNR_NarL	0		0		0	*	0	0	-0.0
ArcA_CRP_FadR	1	FadD,	1	FadD,	1	*re4,re5,re6,re7,re8,*	5	4	1.0
ArcA_CRP_FadR_HipB	1	FadH,	0		1	*re3,*	1	0	0.0
ArcA_CRP_FadR_OmpR_PhoP	1	FadL,	0		1	*re3,*	1	1	0.0
ArcA_CRP_Fis_Mlc_SoxS	1	PtsG-Crr,	1	PtsG-Crr,	1	*re5,re6,*	2	2	1.0
ArcA_CRP_Fis_XylR	0		0		0	*	0	0	-0.0
ArcA_CRP_Fur_GadX_MqsA	0		0		0	*	0	0	-0.0
ArcA_CRP_GatR	3	GatY-GatZ,GatC-GatB-GatA,GatD,	3	GatY-GatZ,GatD,GatC-GatB-GatA,	3	*re14,re9,*re10,*re17,re19,*	4	2	0.6
ArcA_CRP_GlpR	1	GlpD,	0		1	*re3,*	1	0	0.0
ArcA_CRP_IHF	1	GltA,	0		1	*re3,*	1	0	0.0
ArcA_CRP_PuuR	4	PuuB,PuuD,PuuC,PuuE,	4	PuuB,PuuD,PuuC,PuuE,	2	*re11,*re10,re16,re14,re12,re7,re9,*	7	0	0.8
ArcA_CRP_RhaS	1	RhaT,	0		2	*re4,*re3,*	2	2	0.0
ArcA_CRP_TreR	2	TreC,TreB-Crr,	2	TreB-Crr,TreC,	1	*re5,re7,*	2	1	1.0
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	3	CadB,LdcI,CadA,	3	LdcI,CadA,CadB,	1	*re4,re7,re8,*	3	2	1.0
ArcA_Cra	1	Icd,	1	Icd,	1	*re3,re4,re5,*	3	0	1.0
ArcA_Cra_FNR_H-NS_HypT	1	CydA-CydB-CydX,	0		1	*re5,*	1	1	0.0
ArcA_CysB_FNR	0		0		0	*	0	0	-0.0
ArcA_DpiA_H-NS	0		0		0	*	0	0	-0.0
ArcA_FNR	3	DcuC,AckA,Tpx,	1	DcuC,	4	*re17,*re16,*re19,re20,re21,*re37,*	6	3	0.2
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	1	Ndh,	0		3	*re3,*re4,*re5,*	3	0	0.0
ArcA_FNR_Fis_IHF_NarL	1	NuoA-NuoH-NuoJ-NuoK-NuoL-NuoM-NuoN-NuoI-NuoG-NuoF-NuoE-NuoC-NuoB,	0		2	*re17,*re16,*	2	2	0.0
ArcA_FNR_Fur_IHF	0		0		0	*	0	0	-0.0
ArcA_FNR_IHF	2	PrmC,HemA,	0		2	*re5,*re8,*	2	0	0.0
ArcA_FNR_IHF_NarL	2	UbiA,UbiC,	2	UbiC,UbiA,	1	*re4,re6,*	2	0	1.0
ArcA_FNR_NarL	3	MoeB,CydD-CydC,MoeA,	2	MoeA,MoeB,	3	*re7,*re11,re14,re13,*re8,*	4	2	0.4
ArcA_FNR_PhoP	0		0		0	*	0	0	-0.0
ArcA_FNR_PuuR	2	PuuA,PuuP,	2	PuuA,PuuP,	1	*re4,re6,*	2	1	1.0
ArcA_FadR	3	FadJ,FadE,FadI,	3	FadE,FadI,FadJ,	1	*re10,re11,re12,re21,re15,re16,re17,re18,re19,re20,re22,re31,re39,re29,re37,re28,re36,re9,re5,re32,re24,re40,re41,re42,re6,re33,re25,re7,re34,re26,re8,re35,re27,re30,re38,*	35	0	1.0
ArcA_FadR_Fis	2	FadA,FadB,	2	FadA,FadB,	1	*re10,re11,re17,re25,re32,re30,re22,re14,re33,re4,re5,re15,re23,re6,re16,re24,re7,re18,re26,re8,re19,re27,re9,re20,re28,re31,re21,re29,*	28	0	1.0
ArcA_Fur_Lrp_ModE	2	OppB-OppC-OppD-OppF-MppA,OppC-OppD-OppF-OppB-OppA,	0		3	*re10,*re9,*re8,*	3	3	0.0
ArcA_GlcC_IHF_PdhR	3	GlcA,GlcB,GlcD-GlcE-GlcF,	3	GlcD-GlcE-GlcF,GlcA,GlcB,	3	*re10,*re12,re15,re16,re8,*re9,*	6	3	0.6
ArcA_LexA	1	UvrB-UvrC-UvrA,	0		1	*re7,*	1	0	0.0
ArcA_LldR	2	LldP,LldD,	2	LldP,LldD,	2	*re9,*re10,re6,re5,re8,*	5	3	0.7
ArcA_NarL	1	HybA-HybB-HybO-HybC,	0		1	*re11,*	1	1	0.0
ArcA_NtrC_PhoP_RutR	6	RutA,RutD,RutC,RutB,RutG,RutE,	6	RutC,RutA,RutD,RutB,RutE,RutG,	1	*re10,re14,re12,re13,re16,re18,re20,re9,re23,*	9	1	1.0
ArgP_CRP_DnaA_Fis_H-NS_NrdR	1	NrdA-NrdB,	1	NrdA-NrdB,	1	*re10,re6,re7,re8,re9,*	5	0	1.0
ArgP_CRP_FNR_Fur_Nac	1	GdhA,	0		1	*re3,*	1	0	0.0
ArgP_DnaA	1	RecF-RecR-RecO,	0		1	*re9,*	1	0	0.0
ArgP_Lrp	2	ArgO,LysP,	0		3	*re4,*re5,*re7,*	3	3	0.0
ArgP_LysR	1	LysA,	0		1	*re3,*	1	0	0.0
ArgP_PhoB	0		0		0	*	0	0	-0.0
ArgR_CRP	1	ArgG,	0		1	*re3,*	1	0	0.0
ArgR_CRP_Fis	3	Pnp,PNPase,TruB,	0		3	*re16,*re15,*re24,*	3	0	0.0
ArgR_Fis_IHF_PepA_PurR_RutR	1	CarB-CarA,	1	CarB-CarA,	1	*re5,re6,re7,*	3	0	1.0
ArgR_H-NS_NtrC	2	HisQ-HisP-HisM-ArgT,HisP-HisM-HisQ-HisJ,	0		4	*re12,*re11,*re7,*re10,*	4	4	0.0
ArgR_NtrC	5	AstD,AstA,AstB,AstC,AstE,	5	AstE,AstB,AstC,AstA,AstD,	1	*re11,re12,re16,re14,re9,re7,*	6	0	1.0
ArgR_PhoP	1	ArgD,	1	ArgD,	1	*re3,re4,*	2	0	1.0
AscG_CRP	2	AscB,AscF,	2	AscF,AscB,	1	*re10,re6,re8,re5,re9,*	5	3	1.0
AscG_CRP_PhoB_PrpR	0		0		0	*	0	0	-0.0
AsnC_MraZ_Nac	0		0		0	*	0	0	-0.0
AsnC_Nac	1	MnmE-MnmG,	1	MnmE-MnmG,	1	*re6,re7,re8,*	3	0	1.0
AtoC_IHF	3	AtoA-AtoD,AtoB,AtoE,	3	AtoE,AtoB,AtoA-AtoD,	1	*re12,re7,re9,*	3	1	1.0
BCCP_FadR	1	AccC,	0		1	*re6,*	1	0	0.0
BaeR_CpxR	1	TolC-MdtC-MdtB-MdtA,	0		3	*re13,*re14,*re12,*	3	3	0.0
BaeR_CpxR_EvgA	1	AcrD-AcrA-TolC,	0		1	*re4,*	1	1	0.0
BasR_CRP_CpxR_Cra_CsgD_FliZ_H-NS_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	1	CsgE-CsgG,	0		1	*re8,*	1	1	0.0
BasR_CpxR_PdhR	0		0		0	*	0	0	-0.0
BasR_Fis	0		0		0	*	0	0	-0.0
BasR_H-NS_IHF_NagC_NanR	0		0		0	*	0	0	-0.0
BasR_MarA_PutA	1	PutA,	1	PutA,	1	*re3,re5,re4,*	2	0	1.0
BasR_PhoP	0		0		0	*	0	0	-0.0
BasR_QseB	0		0		0	*	0	0	-0.0
BtsR_CRP	1	BtsT,	0		1	*re3,*	1	1	0.0
CRP_CaiF_FNR	0		0		0	*	0	0	-0.0
CRP_ChbR_NagC	3	ChbG,ChbA-ChbC-ChbB,ChbF,	3	ChbG,ChbA-ChbC-ChbB,ChbF,	1	*re10,re15,re9,re17,re14,re18,*	6	2	1.0
CRP_ComR	0		0		0	*	0	0	-0.0
CRP_CpxR	0		0		0	*	0	0	-0.0
CRP_CpxR_CytR	1	PpiA,	0		1	*re3,*	1	0	0.0
CRP_CpxR_CytR_DnaA_IHF	0		0		0	*	0	0	-0.0
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	1	OmpF,	0		39	*re17,*re22,*re28,*re6,*re18,*re29,*re33,*re31,*re35,*re16,*re41,*re39,*re40,*re19,*re37,*re3,*re23,*re27,*re30,*re12,*re24,*re11,*re21,*re14,*re34,*re26,*re4,*re36,*re15,*re25,*re32,*re5,*re38,*re8,*re9,*re13,*re7,*re20,*re10,*	39	39	0.0
CRP_CpxR_GlrR_IHF_NtrC_RcsB	0		0		0	*	0	0	-0.0
CRP_Cra	6	Pgk,Mpl,GapA,Pck,FbaA,Epd,	6	Pgk,Mpl,GapA,Pck,FbaA,Epd,	2	*re10,re11,re8,re13,re20,re21,re18,*re15,re16,*	8	0	0.9
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	3	NirC,CysG,NirD-NirB,	3	NirC,CysG,NirD-NirB,	2	*re13,re15,*re10,re9,re6,re7,re8,*	7	1	0.8
CRP_Cra_FNR_PdhR	0		0		0	*	0	0	-0.0
CRP_Cra_Fis	3	MtlA,MtlD,EIIMtl,	3	MtlD,EIIMtl,MtlA,	1	*re12,re8,re9,*	3	2	1.0
CRP_Cra_Fis_GlcC	0		0		0	*	0	0	-0.0
CRP_Cra_Mlc_NagC	4	PtsG-Crr,TreB-Crr,MurP-Crr,ManZ-ManY-ManX,	4	PtsG-Crr,MurP-Crr,ManZ-ManY-ManX,TreB-Crr,	1	*re10,re12,re14,re17,re18,re19,re20,re21,re22,re9,*	10	10	1.0
CRP_Cra_PrpR	4	PrpC,PrpB,PrpD,PrpE,	4	PrpE,PrpC,PrpB,PrpD,	1	*re11,re14,re8,re13,re9,re6,*	5	0	1.0
CRP_CreB_Fis_MalT	1	MalK-MalF-MalG-MalE,	0		3	*re7,*re8,*re6,*	3	3	0.0
CRP_CsiR_H-NS_Lrp	1	LhgO,	0		1	*re5,*	1	0	0.0
CRP_CsiR_H-NS_Lrp_Nac	3	GabT,GabD,GabP,	3	GabT,GabD,GabP,	1	*re10,re9,re5,re7,*	4	1	1.0
CRP_CspA_Fis	1	GyrA-GyrB,	0		1	*re4,*	1	0	0.0
CRP_CytR	1	Udp,	0		1	*re6,*	1	0	0.0
CRP_CytR_DeoR	2	NupG,Tsx,	0		11	*re6,*re12,*re11,*re14,*re4,*re5,*re8,*re9,*re13,*re7,*re10,*	11	11	0.0
CRP_CytR_DeoR_Fis_ModE	4	DeoD,DeoC,DeoB,DeoA,	4	DeoD,DeoB,DeoC,DeoA,	1	*re10,re14,re15,re16,re18,re17,re19,re20,re6,re7,re9,re12,re21,*	12	0	1.0
CRP_CytR_Nac	1	NupC,	0		9	*re3,*re6,*re7,*re10,*re5,*re8,*re9,*re4,*re11,*	9	9	0.0
CRP_CytR_NsrR	1	Cdd,	1	Cdd,	1	*re3,re4,*	2	0	1.0
CRP_DcuR_FNR_NarL	1	DcuB,	1	DcuB,	1	*re3,re4,re5,re7,re6,*	5	5	1.0
CRP_DinJ-YafQ	0		0		0	*	0	0	-0.0
CRP_DnaA_Fis_PurR	2	GuaB,GuaA,	2	GuaA,GuaB,	1	*re4,re5,re6,re8,*	4	0	1.0
CRP_DpiA_ExuR	1	ExuT,	0		2	*re3,*re4,*	2	2	0.0
CRP_DsdC	2	DsdA,DsdX,	2	DsdA,DsdX,	1	*re4,re5,re7,*	3	1	1.0
CRP_EbgR	0		0		0	*	0	0	-0.0
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	1	TolC-MdtE-MdtF,	0		1	*re5,*	1	1	0.0
CRP_ExuR	1	UxaB,	0		1	*re3,*	1	0	0.0
CRP_ExuR_FNR	2	UxaC,UxaA,	2	UxaC,UxaA,	2	*re4,re8,re7,*re6,*	3	0	0.7
CRP_ExuR_OxyR_UxuR	2	UxuA,UxuB,	2	UxuB,UxuA,	1	*re4,re6,*	2	0	1.0
CRP_ExuR_UxuR	0		0		0	*	0	0	-0.0
CRP_FNR	0		0		0	*	0	0	-0.0
CRP_FNR_FhlA_HyfR	1	HyfG-HyfI-HyfA-HyfB-HyfC-HyfD-HyfE-HyfF-HyfH,	0		1	*re16,*	1	0	0.0
CRP_FNR_Fis	2	AnsB,AsnII,	0		1	*re5,*	1	0	0.0
CRP_FNR_Fis_GlpR_IHF	2	GlpQ,GlpT,	2	GlpQ,GlpT,	1	*re4,re5,re7,*	3	1	1.0
CRP_FNR_Fis_H-NS_SlyA	0		0		0	*	0	0	-0.0
CRP_FNR_GcvA_Lrp_PurR	3	Lpd-GcvP-GcvH-GcvT,GcvT,GcvP,	3	GcvP,GcvT,Lpd-GcvP-GcvH-GcvT,	1	*re6,re7,re8,re9,*	4	0	1.0
CRP_FNR_H-NS_NarL	0		0		0	*	0	0	-0.0
CRP_FNR_IHF_TdcA_TdcR	5	TdcE,TdcC,TdcD,TdcB,TdcG,	5	TdcB,TdcC,TdcD,TdcE,TdcG,	1	*re10,re11,re15,re12,re13,re16,re24,re20,re21,re25,re18,*	9	2	1.0
CRP_FNR_NarL	2	DcuA,AspA,	2	AspA,DcuA,	1	*re10,re5,re7,re8,re9,*	5	4	1.0
CRP_FeaR_NsrR	1	FeaB,	0		1	*re3,*	1	0	0.0
CRP_Fis	2	AldB,ProP,	0		3	*re12,*re7,*re13,*	3	2	0.0
