#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b0066//b1073//
AcrR	b4637//b2912//b4415//b3831//b3916//b0432//b1323//b2485//b0676//b3057//b3569//
Ada	b2499//sroD//b2579//b2728//
AdiY	b1101//b2800//b1392//b3709//b0378//b1333//b0776//b1012//
AgaR	b4101//b1016//b2911//b0931//b1576//b3688//b0874//b0511//b1669//b4104//b0093//
AidB	b2893//
AlaS	b3958//
AllR	b2975//b4039//b3707//b1283//b1224//b2715//b1163//b4381//b0083//
AllS	b1131//b3452//b1707//
AlsR	b1905//b1187//b4266//b0860//b0311//b3661//
AppY	b3625//b2662//b0511//b3569//b4291//b0085//b3127//b1006//b3773//b1409//
AraC	b0152//b1679//b2784//b1951//b2371//b0226//b3132//b0864//b2582//b2407//b3165//b3164//b1434//b0435//
ArgP	b3708//b2990//b3225//b1821//b2143//b4098//b0733//b0606//b0973//b1488//b0161//b2429//b0849//b2605//
ArgR	b0786//b2091//b1591//b0763//b0696//b4613//b2368//b3477//b3514//b0998//b1277//b1564//b0819//b1092//b4292//b1409//b0894//b2159//b1784//b2280//b2666//b1591//b4267//b1810//b2731//b2106//b4073//b2825//b4670//b4618//b3326//b1430//b0337//b4467//b3749//b1717//b2076//b0085//
ArsR	b1597//b3270//b2375//
AscG	b2507//b0728//b0113//b3794//b0781//
AsnC	b3941//b1400//b3093//b3508//
AtoC	b3967//b2197//b2537//b2541//
BaeR	b1514//b0575//b0377//b1590//b0411//b0594//b1501//b0294//
BasR	b1327//b2489//b1718//b0685//b0781//b1379//b1092//b3478//b0484//b1887//b1948//b1010//b3966//
BetI	b2105//b0473//b0304//b3117//
BirA	b2167//b3330//b3956//b0839//b1430//
BluR	b3581//b3329//b3118//b4411//
BolA	b0043//b0447//
CadC	b4039//b4033//b1826//
CaiF	b1203//b2559//b3113//b0074//b0451//b2207//b2365//b1817//b2486//b0334//
Cbl	b2392//b3125//b1674//b0411//b2470//b0593//b0786//b2163//b1443//
CdaR	b0513//b1706//b0688//b0904//b0398//b2729//b2702//b1166//b1303//b2223//
CecR	b0977//b1305//b0688//b1925//b2481//
