#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1563//b3156//
AcrR	b3070//b1442//b0335//b3169//b2904//b2421//b2630//b2239//b1735//b0763//b4030//
Ada	b1074//b1072//b4006//b2281//
AdiY	b1819//b0976//b3270//b3082//b3966//b4087//b3011//b1900//
AgaR	b4095//b3118//b3408//b1670//b0115//b3702//b2289//b3429//b3729//b3441//b3491//
AidB	b0347//
AlaS	b0511//
AllR	b2717//b1275//b0019//b4062//b2482//b2551//b2009//b0040//b2286//
AllS	b1650//b1850//b0687//
AlsR	b3431//b2280//b0605//b4400//b3136//b2075//
AppY	b2482//b3169//b1488//b2370//b0887//b2980//b3515//b1615//b2507//b0765//
AraC	b4468//b1287//b1649//b2674//b4063//b0509//b1900//b2528//b4124//b1717//b3185//b4357//b3035//b0365//
ArgP	b4177//b0301//b2538//b4289//b2799//b2489//b3614//b2149//b1008//b1714//b1241//b3800//b0428//b2530//
ArgR	b2841//b1476//b1818//b3013//b2422//b2751//b1498//b0755//b1949//b4260//b0069//b3326//b2060//b3169//b3332//b2542//b3730//b0313//b0980//b2893//b4698//b1887//b1006//b2538//b1327//b4160//b4014//b2537//b1430//b0114//b2722//b0799//b0198//b4072//b4260//b3565//b4088//b1861//
ArsR	b0762//b0589//b1728//
AscG	b1378//b3518//b2825//b3558//b3942//
AsnC	b1784//b0378//b3502//b2710//
AtoC	b3184//b1306//b1323//b0112//
BaeR	b3403//b3960//b2750//b0756//sroC//b4095//b0091//b1429//
BasR	b1486//b2078//b3558//b4035//b2316//b1187//b4310//b2499//b3417//b1940//b4383//b2200//b1805//
BetI	b4139//b2476//b0430//b1474//
BirA	b2725//b3037//b2531//b1321//b2149//
BluR	b1588//b0091//b2222//b3784//
BolA	b0863//b3415//
CadC	b0377//b1166//b4059//
CaiF	b3021//b4094//b2366//b0451//b0156//b0976//b4599//b0820//b0093//b2379//
Cbl	b1623//b4030//b1679//gadF//b4441//b1818//b1879//b2077//b1546//
CdaR	b0653//b2085//b1575//b3256//b1516//b3707//b1008//b3006//b0872//b0072//
CecR	b1109//b4322//b4039//b1258//b1622//
ChbR	b0584//b0806//b0185//b4287//b0475//b0517//
ComR	b3707//
CpxR	b0934//b1305//b2316//b3333//b0114//b3578//b1394//b2937//b4209//b1718//b4416//b2616//b3037//b3791//b2601//b3432//b0892//b0383//b0873//b3940//b2572//b0075//b2755//b4036//b0677//b3081//b3327//b3479//b0066//b4054//b0708//b0061//b3416//b1673//b1791//b0303//b1385//b1109//b3431//b1078//b3061//b3190//b3788//b2552//b0974//b1718//b2323//b1474//b2732//b0593//b0162//b3057//b0812//b3680//b2237//b0755//b1589//b0937//b4044//b4076//b1810//b3741//b0781//b4106//b3748//b0758//b3558//b2659//b3502//b0509//
