#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b0089//b3728//
AcrR	b1091//b2284//b2779//b0301//b0367//b3741//b2977//b1198//b1621//b0679//b3516//
Ada	b1072//b1947//b2207//b2481//
AdiY	b3363//b3213//b0335//b3327//b0337//b0776//b1225//b3225//
AgaR	b2713//b0523//b4097//b1517//b2215//b2762//b4153//b4523//b2198//b2242//b1714//
AidB	b1409//
AlaS	b0277//
AllR	b3794//b3070//b1588//b0087//b2500//b4100//b0723//b3429//b1616//
AllS	b0654//b1535//b3256//
AlsR	b4196//b1078//b1081//b1003//b4018//b1746//
AppY	b4293//b0382//b1440//b4415//b1237//b3223//b4347//b0783//b3725//b1334//
AraC	b1926//b1676//b1563//b2373//b4029//b1407//b3787//b1003//b1399//b3517//b4125//b1409//b2373//b1388//
ArgP	b4637//b0998//b1223//b0397//b3507//b2309//b2000//b0763//b1569//b4468//b3666//b1945//b0151//b1265//
ArgR	b3612//b3093//b3469//b2281//b1241//b1091//b1942//b3128//b1658//b2156//b0377//b2470//b1379//b1973//b2697//b1651//b0512//b3924//b1941//b0578//b0708//b3037//b1623//b2800//b1922//b3136//b3450//b2570//b4637//b2728//b1530//b2676//b4198//b3794//b0928//b2800//b4159//b0293//
ArsR	b2726//b0508//b1010//
AscG	b1288//b3723//b3170//efeU_2//b1737//
AsnC	b4279//b2237//b1441//b3956//
AtoC	b4613//b0337//b0311//b2291//
BaeR	b3729//b4599//b2722//b1970//b1741//b0980//b4592//b1399//
BasR	b3011//b2559//b2195//b3789//b0043//b2310//b0095//b1244//b1129//b2308//b1576//b2573//b0564//
BetI	b0197//b3083//b0241//b4076//
BirA	b1546//b3441//b0020//b3831//b0348//
BluR	b4599//b1009//b0334//b1245//
BolA	b1247//b1039//
CadC	b2367//b1077//b0341//
CaiF	b0338//b3161//b0075//b3057//b3408//b0113//b1394//b2687//b2239//b4026//
Cbl	b4396//b3167//b0439//b3938//b3027//b3076//b3449//b2762//b2820//
CdaR	b4152//b2731//b1325//b2674//b1061//b0085//b4289//b2476//b2925//b3255//
CecR	b3430//b0088//b1079//b4016//b2573//
ChbR	b0849//b3479//b2206//b1588//b4093//b0303//
ComR	b2686//
CpxR	b4382//b2976//b2704//b2805//b4019//b0758//b0958//b1257//b2490//b4411//b0874//b4392//b2676//b0951//b3134//b3510//b1615//b2169//b1243//b3502//b1221//b2573//b2489//b1109//b1852//b3614//b1672//b0764//b2423//b1223//b0937//b0756//b1669//b3167//b0655//b1851//b1590//b3268//b1323//b3680//b0929//b3507//b4105//b0450//b1620//b3334//b1387//b2630//b1546//b2368//b0154//b4050//b1790//b4233//b4289//b0486//b1921//b3941//b4451//b2782//b0522//b0758//b0880//b0335//b3958//b2541//b3907//b4092//b3960//b1735//
Cra	b3065//b1846//b0954//b3140//b3118//b4024//b1129//b1493//b1810//b4460//b3813//b3060//b2058//b4104//b1013//b2276//b0622//b3091//b1079//b3966//b2687//b0602//b1548//b1411//b0403//b0063//b3415//sroA//b1415//b2068//b2287//b3172//b2711//b0995//b0368//b0903//b0339//b2371//b1987//b1160//b0333//b4673//b2572//b0827//b4637//b0504//b4393//b2904//b3908//b3133//b0185//b0383//b1674//b4119//b4392//b2723//b2095//b1761//b0351//b0072//b0587//b3569//b0557//b1073//b4506//b4392//b1062//b3868//b1080//b3680//b0339//b1443//b3453//b3066//b1937//b0810//b0696//b3565//b0850//
CreB	b4195//b2990//b0754//b2698//b2684//
CsgD	b4026//b0296//b1641//b2282//b3571//b0031//b1925//b3450//b2841//b4475//b4435//b0954//b0763//b3057//b1937//b0161//b2424//b1782//b1485//b1326//b2715//b2943//b4098//b0198//b2371//b0954//b0874//b0682//
CsiR	b3452//b1945//b2852//b2507//b1010//
CspA	b2838//b2666//
CueR	b0081//b0093//b1536//b3061//b4024//b0094//b2804//
CusR	b4027//b1078//b3365//b1283//b2818//b3773//b2417//b2393//b3791//b0439//b4196//b3940//
CynR	b0031//b1649//b3502//b0333//
CysB	b1988//b0333//b3139//b0894//b1717//b3060//b1826//b3070//b4416//b3428//b1132//b2289//b2717//b1497//b1851//b1888//b3025//b1734//b0383//b0067//b2221//b0180//b1288//b2752//b3066//b3729//b3957//b1476//b0511//b3027//b0303//b2751//
CytR	b0225//b0783//b3167//b1388//b2979//b1651//b4063//b1112//b2852//b1669//b2762//b0377//b1163//
Dan	b1706//b0874//b0596//b3869//
DcuR	b2202//b1498//efeU_2//b3012//b1011//b0886//b1782//b2528//b4133//
DeoR	b4196//b4289//b0035//b3268//b0385//b4074//
DhaR	b2996//b1954//b0620//b0398//
DicA	b3221//b3752//b3415//b1891//b2913//b0335//b1563//b1011//
DinJ-YafQ	b2802//b1183//b1937//
