#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b4347//b4079//
AcrR	b0872//b0382//b2762//b2675//b0083//b4040//b2558//b0093//b3038//b2706//b4662//
Ada	b1307//b4075//b0090//b3528//
AdiY	b1307//b2156//b2943//b2713//b1003//b0620//b2234//b0301//
AgaR	b2009//b0890//b1070//b4018//b3603//b3367//b3453//b1078//b4059//b1222//b2698//
AidB	b1287//
AlaS	b1042//
AllR	b4036//b1010//b0605//b2557//b3708//b1924//b0819//b3503//b1203//
AllS	b4034//b2839//b2366//
AlsR	b2093//b0792//b1712//b4439//b3558//b3164//
AppY	b4313//b0233//b0578//b3613//b1392//b2663//b0115//b4028//b0087//b1004//
AraC	b0928//b1429//b2280//b1415//b0041//b3525//b3601//b2781//b3212//b0857//b2243//b1285//b4101//b1322//
ArgP	b2205//b0347//b3172//b0048//b3037//b2465//b4240//b3924//b0197//b1790//b4132//b1634//b1072//b3603//
ArgR	b0123//b0754//b3237//b4280//b0240//b4026//b1287//b3060//b2239//b0851//b1388//b0067//b3919//b1591//b4115//b2068//b2838//b4321//b1409//b1259//b3414//b2570//b4291//b4618//b0974//b3516//b3035//b4347//b1732//b3116//b0904//b0889//b0507//b3333//b4090//b1706//b0756//b1517//
ArsR	b0473//b3575//b3925//
AscG	b0162//b1925//b2195//b3186//b4522//
AsnC	b3942//b2841//b2059//b3960//
AtoC	b1654//b2241//b3845//b3788//
BaeR	b4367//b0231//b1618//b0088//b0036//b4192//b1516//b3744//
BasR	b3510//b1109//b1300//b2762//b0819//b3906//b0750//b0516//efeU_2//b3125//b0759//b4102//b1071//
BetI	b3707//b1227//b1921//b2557//
BirA	b0338//b1474//b3363//b0784//b0040//
BluR	b0620//b2370//b2779//b1300//
BolA	b0873//b1388//
CadC	b0987//b0411//b2029//
CaiF	b3414//b3095//b1444//b4058//b2429//b2541//b0185//b4382//b2222//b0066//
Cbl	b2582//b1672//b0207//b2826//b0684//b0726//b3774//b1203//b4397//
CdaR	b3521//b1244//b4662//b2416//b1485//b2205//b0733//b4086//b2542//b0509//
CecR	b1938//b4102//b0366//b1073//b0931//
ChbR	b0509//b3571//b4152//b0464//b0605//b1073//
ComR	b3268//
CpxR	b0756//b3335//b1680//b3364//b2837//b3744//b3116//b0591//b1322//b3036//b0044//b0365//b1184//b3478//b3512//b2500//b2718//b2155//b3666//b2236//b3707//b0557//b4396//b3005//b4054//b1393//b0724//b2538//b2200//b3060//b3367//b4613//b1579//b2288//b3225//b1748//b3096//b4079//b0063//b0389//b1132//b2709//b3957//b2236//b0593//b1226//b1656//b0156//b1395//b4268//b2800//b2237//b1378//b3140//b0294//b4292//b1618//b0950//b2029//b0587//b1923//b4025//b1951//b1889//b2414//b0447//b2840//b1576//b2486//b3603//
Cra	b2168//b1747//b0887//b3367//b0333//b2421//b3237//b2801//b3870//b0852//b0839//b2278//b0237//b2476//b1304//b2720//b3157//b4376//b1012//b1948//b1511//b0889//b2720//b2106//b1400//b0805//b1925//b1093//b1072//b3749//b2712//b4133//b1940//b0933//b2987//b3022//b0887//b3413//b0604//b4032//b0162//b3190//b1061//b3956//b1716//b0066//b2096//b4468//b1791//b2421//b4072//b4383//b2927//b3508//b1857//b1729//b4443//b3480//b3902//b3581//b1493//b0759//b1970//b1535//b1112//cpxQ//b2783//b0677//b4092//b0154//b4288//b2422//b0237//b2574//b4408//b2499//b0084//b4101//b3547//
CreB	b2661//b0728//b0812//b0303//b1082//
CsgD	b0443//b2802//b2617//b0400//b1040//b0588//b4015//b1617//b4698//b2465//b2316//b0347//b1484//b2241//b3057//b1009//b3185//b3170//b4522//b2149//b1501//b0277//b0336//b4040//b0698//b2428//b4122//b0618//
CsiR	b4090//b1900//b0151//b2105//b4267//
CspA	b3012//b3911//
CueR	b0522//b2781//b4673//b4018//b0855//b2291//b2571//
CusR	b0850//b3744//b3515//b2464//b2997//b2704//b3956//b0853//b1937//b3093//b4254//b1706//
CynR	b0450//b1207//b1590//b2163//
CysB	b4396//b2826//b2231//b0377//b3666//b0756//b3725//b1848//b2725//b3437//b1201//b3491//b2823//b3437//b1259//b0450//b2713//b0793//b1441//b3479//b0979//b0075//b1587//b1389//b0679//b3514//b3516//b0392//b3333//b0461//b1415//b3139//
CytR	b2616//b4441//b4035//b4106//b1288//b4030//b2416//b2201//b4567//b1306//b1587//b0799//b0935//
Dan	b2572//b3725//b2417//b0774//
DcuR	b2508//b1440//b1164//b2195//b2482//b1304//b0862//b1716//b1746//
DeoR	b1939//b2737//b2416//b3926//b2106//b1796//
DhaR	b4265//b2425//b0778//b1076//
DicA	b1715//b2993//b2604//b2570//b3327//phnE_2//b1397//b1734//
DinJ-YafQ	b4233//b4618//b1904//
DnaA	b4085//b2239//b3227//b0337//b1848//b4471//b4187//b3359//b2759//b1622//b3517//b3578//
DpiA	b3959//b3140//b3723//b3161//b0181//b1741//cpxQ//b1941//b1762//b3135//b4310//
DsdC	b1481//b0596//b2068//
EbgR	b0385//b3013//
EnvR	b4438//b0118//
EnvY	b3725//b1263//
EvgA	b0367//b4397//b1223//b0975//b2661//b3624//b3449//b3513//b0995//b3452//b0676//b1038//b0934//b3828//b2344//b0353//b1941//b0850//b2482//
ExuR	b3364//b2231//b2485//b3846//b1073//b2094//b3330//b0584//b0240//
FabR	b2801//b4476//
FadR	b4357//b3502//b3094//b0972//b1102//b3213//b3414//b1826//b0081//b1548//b3956//b2926//b0443//b4079//b2559//b2912//b2719//b1514//b4117//b4384//b2367//b0571//b4016//
FeaR	b0031//b0432//
FhlA	b3790//b4139//b3368//b4698//b3904//b1530//b1548//b2802//b0383//b1062//b2852//b1654//b3325//b0033//b1950//b1920//b4408//b4313//b3575//b1398//b1131//b3503//b4006//b1926//b3063//b4193//b1113//b1622//b0619//b0517//
FlhDC	b3035//b2703//b1298//b0584//b1620//b3367//b2805//b0570//b2059//b0060//b2904//b3518//b0774//b4070//b0221//b0234//b3688//b0151//b4280//b2782//b1187//b0312//b1039//b1704//b1575//b4311//b0411//b3334//b3925//b1500//b2750//b0094//b0904//b0113//b3437//b3269//b4416//b1679//b1684//b2370//b1499//b2686//b1395//b3507//b3450//b0933//b4381//cpxQ//b0758//b1564//b2212//b0688//b1892//b1323//b1287//b1256//b1303//b3547//b1275//b3139//b0338//b3076//b3357//b1037//b4160//b1167//b0475//b3115//b2838//b1011//b0806//b1949//b0958//b0116//b1718//b3061//b0731//b2368//b0571//b0890//b4102//b1073//
FliZ	b3011//b4441//b3013//b2763//b2715//b4357//b3165//b3785//b0383//b4460//b2241//b1484//b3453//b2423//b4029//b3083//b2821//b2074//b1223//b2705//b3516//
FucR	b0335//b3727//b1973//b3214//b3784//b3124//b0594//
Fur	b2788//b1781//b3800//b3911//b1252//b2470//b1623//b4198//b0597//b2029//b2938//b2195//b3225//b1020//b0571//b4043//b1325//b0241//b3516//b0072//b1300//b2661//b1102//b0733//b4153//b1737//b0676//b4187//b0684//b2987//b0447//b0383//b3905//b3451//b1325//b0654//b0591//b0349//b4376//b3167//b1039//b3793//b0517//b0060//b2341//b0586//b2417//b0839//b2787//b1430//b2196//b3082//b3236//b2659//b3156//b1846//b3508//b0349//b1020//b3908//b0958//b3437//b0338//b3091//b1132//b2675//b4438//b0351//b3094//b1744//b3726//b4042//b0586//b0076//b2993//b2222//b0617//b2059//b3547//b2308//b2750//b1020//b2804//b2895//b3479//b0684//b4673//b2374//b3415//b3724//b4075//b3794//b4238//b1858//b4097//b0237//b3517//b0851//b4451//b1907//b0931//b4099//b1224//b1488//b4063//b1492//b1779//b1396//b3566//b0653//b4033//b1244//sroA//b1221//b0721//b2406//b2195//b1826//b2686//b2712//b3743//b4452//b1578//b2713//b2800//b0698//b0557//b1415//b1183//b3612//
GadE	b1819//b3165//b4365//b3357//b1410//b2542//b4267//b0485//b2752//b3753//b1718//b4062//b1900//b4138//b0827//b1564//b4013//b2095//b0062//b3418//b0061//b3481//b4089//b3924//b1061//b2537//b3938//b3942//b4443//
GadE-RcsB	b4101//b4115//molR_1//b0734//b0809//b0303//b1227//b0343//b0040//
GadW	b2762//b1892//b0827//b4613//b3065//b1498//b2428//b0293//b1589//b2203//b2078//b1713//b1576//b0593//b3567//
GadX	b3688//b0019//b4194//b3415//b2237//b3911//b2282//b2912//b2666//b2306//b2017//b1277//b2819//b4438//b2231//b4198//b4035//b3326//b2279//b4125//b0996//b2724//b4102//b2205//b0777//b1548//b3934//b2977//b0083//
GalR	b2821//b4118//b1532//b2699//b0819//b3507//b3063//b1920//b2705//b0854//
GalS	b3580//b4439//b0756//b4072//b1880//b0573//b1296//b1070//b1070//b1020//
GatR	b1037//b3038//b1037//b0697//b0974//b2673//
GcvA	b0044//b0614//b3722//b4193//b1483//
GlcC	b1061//b2529//b1818//b1546//b4599//b1225//b2703//
GlpR	b2764//b4138//b2728//b2905//b3511//b3510//b0683//b0093//b0063//
GlrR	b4254//b1247//b3604//b0151//b3186//
GntR	b0950//b0153//b3083//b2200//b0348//b1077//b0428//b0523//b3325//b2310//b2557//b4071//
GutM	b1306//b2204//b0428//b3744//b3727//b0678//b2308//
