#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1072//b4287//
AcrR	b4040//b0080//b2987//b3501//b2201//b0793//b3368//b3326//b3126//b2722//b3922//
Ada	b3065//b3749//b2903//b0682//
AdiY	b1782//b0684//b1819//b2488//b2702//b3118//b2370//b0071//
AgaR	b3934//b0034//b0678//b0998//b4452//b1222//b4439//b4289//b0880//b1160//b3958//
AidB	b3903//
AlaS	b0564//
AllR	b4106//b3067//b4233//b4096//b1616//b3478//b3518//b3956//b0975//
AllS	b2207//b1546//b1732//
AlsR	b0586//b2559//b0655//b3509//b3062//b4063//
AppY	b2159//b1846//b1982//b2759//b4138//b4070//b3414//b0892//b2487//b0439//
AraC	b2802//b1194//b0034//b0504//b3269//b1187//b0151//b0115//b1891//b1655//b2096//b2097//b2416//b2822//
ArgP	b0596//b0350//b1982//b2992//b1452//b2713//b4438//b0565//b3066//b2009//b0681//b2059//b0820//b3571//
ArgR	b2943//b0757//b0237//b1859//b3788//b4599//b4513//b3723//b3700//b1400//b1246//b4441//b4392//b1552//b1015//b1079//b1257//b0727//b0035//b2529//b0396//b2198//b4004//b4241//b2316//b1308//b0115//b0996//b2558//b2697//b3751//b1733//b0806//b2470//b1593//b2078//b3752//b0895//
ArsR	b2198//b4444//b2759//
AscG	b1081//b3578//b0861//b0722//b1276//
AsnC	b0334//b3449//b1006//b1452//
AtoC	b1075//b0515//b1608//b1160//
BaeR	b1540//b4239//b0237//b4124//b3517//b2464//b0756//b0178//
BasR	b1258//b1129//b0794//b2604//b2916//b0655//b0443//b3607//b3583//b0086//b3583//b3680//b2375//
BetI	b2538//b3564//b2663//b0154//
BirA	b1093//b0929//b3599//b3227//b4131//
BluR	b3614//b2826//b2840//b0724//
BolA	b1591//b1943//
CadC	b0460//b0679//b0871//
CaiF	b1131//b1004//b3845//b1568//b2156//b1484//b3528//b2221//b3421//b3071//
Cbl	b0392//b1335//b1036//b2673//b3063//b1888//b2840//b0179//b1487//
CdaR	b1020//b4312//b2310//b1744//b2206//b2979//b4267//b0181//b1597//b1410//
CecR	b3612//b3221//b1076//b0730//b1263//
ChbR	b0572//b0573//b2994//b1641//b0071//b0855//
ComR	b0784//
CpxR	b4267//b0895//b2242//b3432//b3828//b3271//b3165//b2341//b2242//b2990//b4266//b1243//b3133//b0399//b3507//b0794//b4013//b0151//b3728//b3268//b2719//b3270//b2406//b3511//b4506//b2063//b3461//b4039//b3115//b2464//b3906//b0696//b2277//b2759//b3408//b2429//b3508//b0777//b0970//b4094//b0954//b3605//b2993//b0198//b2150//b4197//b3269//b1513//b0593//b2723//b1499//b0931//b1389//b1970//b2938//b0293//b3137//b1530//b1729//b3413//b3451//b4006//b0460//b1860//b4267//b3477//b1679//b3137//b1166//b0727//
Cra	b2711//b2992//b2903//b3410//b3575//b0587//b2559//b4613//b1779//b1567//b3603//b0622//b2199//b2528//b4266//b1308//b2698//b0996//b2913//b1200//b2489//b2673//b4445//b0585//b1861//b0805//b0089//b0231//b3960//b4115//b3513//gadF//b0615//b2580//b0786//b1728//b1335//b2068//b2312//b0348//b1552//b2200//b1482//b1194//sroD//b1092//b1081//b4079//b2725//b4106//b2992//b0384//b2631//b0396//b4506//b4481//b1285//b0614//b1622//b3134//b3911//b2823//b3409//b4481//b0351//b3067//b1684//b0314//b2911//b0073//b3478//b4018//b3506//b1327//b2143//b3021//b2674//b2579//b1303//
CreB	b4139//b0094//b2799//b2344//b1594//
CsgD	b4070//b2977//b0616//b1569//b0677//b2803//b3793//b4523//b3724//b1131//b3645//b3184//b4397//b3061//b0234//b1941//b3256//b2553//b3332//b0334//b1857//b1913//b3139//b0153//b0585//b3166//b2368//b3477//
CsiR	b4267//b2719//b3329//b3432//b3477//
CspA	b4435//b1387//
CueR	b0070//b0809//b3127//b3786//b0592//b0774//b3066//
CusR	b0116//b2486//b1488//b4070//sroC//b1741//b0043//b1818//b1264//b2676//b3515//b1530//
CynR	b4093//b1300//b2712//b3919//
