#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2106//b2485//
AcrR	b4138//b0698//b3140//b4458//b4040//b1924//b1409//b0756//b1241//b4125//b2500//
Ada	b0383//b4072//b0841//b4396//
AdiY	b2558//b2697//b1399//b0583//b3137//b0512//b3115//b3365//
AgaR	b4004//b1732//b0341//b1818//sroD//b3125//b2713//b0954//b2091//b0431//b1783//
AidB	b1499//
AlaS	b2703//
AllR	b3269//b1400//b2243//b2997//b2393//b3026//b2709//b0463//b0892//
AllS	b0450//b0231//b1396//
AlsR	b0048//b2375//b0674//b4095//b1241//b1392//
AppY	b2243//b1109//b2572//b4002//b2159//b2075//b2660//b3060//b3426//b0150//
AraC	b3787//b0075//b3582//b0123//b4293//b1244//b2068//b0795//b3863//b3923//b0069//b0734//b0522//b0231//
ArgP	b0389//b1656//b2728//b0575//b0225//b0777//b1880//b3925//b0092//b4002//b3413//b1511//b3127//b2779//
ArgR	b3615//b2277//b1430//b4063//b2311//b1715//b0403//b1021//b3477//b1443//b1407//b4063//b0733//b4431//b3625//b1011//b1587//b0976//b0892//b2159//b3578//b0313//b1904//b1852//b4086//b3071//b0896//b2927//b2243//b1518//b1945//b2760//b2212//b2990//b3214//b3224//b4033//b1262//
ArsR	b3723//b0513//b1486//
AscG	b0855//b0166//b1706//b0294//b0086//
AsnC	b4002//b2464//b0812//b3325//
AtoC	b4122//b3500//b4613//b3923//
BaeR	b1617//b1940//b1621//b2992//b2163//b2481//b1950//b4481//
BasR	b3057//b0096//b0617//b0153//b3330//b0751//b3749//b0585//b1396//b1859//b0294//b4070//b2788//
BetI	b0041//b1654//b1943//b1487//
BirA	b0730//b2662//b2215//b4254//b1400//
BluR	b0777//b2697//b4102//b1717//
BolA	b2927//b0339//
CadC	b2286//b3409//b0622//
CaiF	b0687//b3500//b0333//b3037//b0613//b0785//b0620//b2684//b4417//b3564//
Cbl	b3063//b2823//b3021//b3006//b1207//b3813//b0221//b3708//b1260//
