#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1715//b0339//
AcrR	b0998//b0682//b0604//b0451//b3012//b0340//b1226//b2097//b3268//b1378//b0351//
Ada	b2737//b2500//b2938//b0795//
AdiY	b1093//b0035//b3906//b4025//b2059//b1622//b1081//b2375//
AgaR	b2741//b1877//b0485//b3093//b2105//b1535//b0623//b2222//b3828//b0352//b1819//
AidB	b2573//
AlaS	b0350//
AllR	b3415//b2976//b4475//b1779//b2616//b4662//b4154//b0619//b1511//
AllS	b3441//b2724//b0074//
AlsR	b1377//b1298//b0811//b3958//b0150//b2752//
AppY	b4411//b2481//b0043//b2571//b0365//b3966//b3730//b3750//b1434//b4400//
AraC	b3773//b1262//b2698//b3574//b3213//b1203//b0697//b1748//b1160//b2669//b3038//b1003//b3566//b2781//
ArgP	b1227//b3515//b0726//b4288//b1508//b0033//b0069//b0619//b3601//b3741//b1036//b2758//b1109//b3800//
ArgR	b0732//b2196//b3037//b1507//b0759//b1304//b4037//b0388//b2820//b1247//b0850//b1016//b3410//b0334//b3027//b3127//b2344//b4131//b1805//b2925//b1264//b4002//b1183//b2416//b3773//b1434//b1889//b2964//b1713//b3022//b1650//b0950//b2725//b1003//b1588//b4237//b0039//sroD//
ArsR	b1080//yegZ//b0035//
AscG	b3225//b3728//b3613//b1296//b0516//
AsnC	b3021//b2344//b2058//b0614//
AtoC	b3366//b3645//b3515//b4016//
BaeR	b4096//b4192//b1262//b1042//b1079//b2371//b1733//b2727//
BasR	b2616//b2167//b4002//b1277//b0443//b0397//b2484//b2530//b0570//b2486//b0091//b1256//b0116//
BetI	b3517//b1821//b0786//b3513//
BirA	b2788//b1304//b0925//b3067//b1434//
BluR	b3793//b4197//b4063//b3225//
BolA	b3169//b3604//
CadC	b2242//b3431//b3521//
CaiF	b0152//b1093//b0154//b4398//b1669//b4177//b1702//b4035//b3325//b3453//
Cbl	b1022//b0794//b4054//b1988//b0721//b1335//b2763//b0081//b4237//
CdaR	b0342//b3728//b3624//b2721//b1305//b3565//b1256//b3073//b0931//b1907//
CecR	b2979//b0339//b3140//b0167//b0392//
ChbR	b0571//b4313//b2601//b4511//b4070//b2203//
ComR	b1714//
