#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2481//b2486//
AcrR	b1079//b3479//b4100//b4431//b3067//b2942//b0851//b2107//b1784//b3748//b3934//
Ada	b1226//b0277//b0083//b0333//
AdiY	b0973//b0856//b0758//b0207//b0162//b2242//b0573//b4159//
AgaR	b2206//b3908//b2675//b4102//b2407//b2671//b1010//b2061//b0463//b4366//b1818//
AidB	b2062//
AlaS	b4383//
AllR	b0618//b3117//b2923//b2976//b2579//b3500//b3011//b1444//b1113//
AllS	b2531//b2801//b0751//
AlsR	b2551//b1734//b0504//b2107//b4577//b2943//
AppY	b4408//b3939//b0312//b4365//b2784//b2284//b0485//b1939//b1748//b3966//
AraC	b0338//b4092//b2782//b3006//b4002//b3506//b4592//b3813//b1091//b0464//b0033//b0793//b1617//b2709//
ArgP	b1508//b4382//b1563//b0231//b4702//b1733//b1852//b1658//b4445//b2094//b3183//b1735//b0366//b4119//
ArgR	b3432//b4086//b3013//b3413//b1073//b2824//b3172//b2557//b4511//b2156//b2096//b0895//b1514//b0606//b0652//b2205//b2370//b0972//b1487//b1101//b1718//b2465//b3237//b3077//b4481//b2488//b3924//b1078//b1245//b0977//b1486//b0795//b1079//b0925//b1482//b3661//b1165//b0118//
ArsR	b2808//b2288//b3126//
AscG	b1398//b3222//b1264//b1715//b0044//
AsnC	b1858//b2993//phnE_2//b2913//
AtoC	b1021//b2311//b1015//b3528//
BaeR	b2764//b0341//b3357//b0617//b0347//b0447//b0698//b2707//
BasR	b1784//b1007//b4322//b1654//b3061//b2662//b3903//b1805//b3166//b0067//b3409//b1618//b1247//
BetI	b3325//b4196//b2428//b0166//
BirA	b1277//b0708//b3645//b0721//b0429//
BluR	b1277//b0887//b0511//b2094//
BolA	b2415//b3366//
CadC	b1617//b1004//b1900//
CaiF	b2487//b2756//b1531//b0234//b3452//b4249//b3036//b2708//b2096//b4037//
Cbl	b3576//b2707//b1297//b3116//b3599//b3184//b3479//b2603//b0048//
CdaR	b1487//b3578//b1392//b2727//b1707//b3450//b4118//b1306//b3956//b0080//
CecR	b2528//b4074//b3547//b2163//b2195//
ChbR	b1287//b4662//b0774//b0431//b3603//b3035//
ComR	b2373//
