#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1718//b4355//
AcrR	b3902//b0061//b4131//b3511//b2782//b2096//b4321//b0750//b4539//b3784//b4254//
Ada	b2824//b0880//b1441//b2316//
AdiY	b0473//b4034//b0390//b1611//b1791//b2423//b1245//b4399//
AgaR	b1748//b1487//b0572//b1390//b0728//b2711//b3367//b2538//b1452//b4152//b1889//
AidB	b1945//
AlaS	b0903//
AllR	b4150//b0618//b1679//b3115//b1297//b1493//b0592//b1300//b3037//
AllS	b2289//b0785//b4382//
AlsR	b4291//b2487//b1129//b0729//b2699//b0722//
AppY	b0234//b3026//b0522//b3750//b0987//b2235//b1548//b1263//b2068//b4029//
AraC	b3708//b4097//b4152//b0779//b4063//b0095//b1415//b0964//b0335//b4072//b2927//b0035//b0485//b4366//
ArgP	b2280//b0095//b1735//b0779//b2805//b2476//b0367//b3726//b0602//b4321//b3138//b0431//b1488//b1737//
ArgR	b0509//b3791//b1818//b1038//b1277//b3359//b2284//b3911//b3256//b2342//b3510//b2092//b1521//b1737//b2223//b3167//b0810//b3269//b2235//b3666//b2912//b4115//b0892//b2916//b1073//b0198//b0486//b1988//b2782//b3410//b3625//b2465//b2911//b1061//b2803//b0998//sroC//b0411//
ArsR	b4037//b0685//b1335//
AscG	b0931//b0038//b0973//b3828//b3604//
AsnC	b3221//b3922//b0087//b2277//
AtoC	b2712//b1780//b1004//b2573//
BaeR	b1198//b2803//b0514//b3742//b1535//b2107//b3575//b1747//
BasR	b0614//b0872//b1622//b3829//b1744//b1207//b0975//b3255//b1717//b0652//b1246//b2542//b0774//
BetI	b2826//b0385//b3432//b3908//
BirA	b3417//b1578//b1036//b3567//b3870//
BluR	b3919//b4291//b1921//b0765//
BolA	b1022//b2705//
CadC	b0349//b1781//b4366//
