#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b3501//b3167//
AcrR	b0997//b2574//b4416//b1130//b1907//b2079//b1623//b3008//b4637//b0166//b2725//
Ada	b3096//b0085//b0682//b1003//
AdiY	b1226//b3725//b1733//b0861//b2661//b1951//b3922//b3123//
AgaR	b1081//b4131//b0514//b1434//b2685//b0684//b0618//b1621//b1738//b1302//b0430//
AidB	b0366//
AlaS	b3784//
AllR	b4035//b2704//b1658//b2697//b4024//b1942//b4481//b0928//b4309//
AllS	b2196//b2530//b0509//
AlsR	b1670//b2937//b1546//b2213//b1016//b0697//
AppY	b2824//b1779//b2741//b3428//b0811//b1901//b4522//b3453//b2571//b4209//
AraC	b1486//b1851//b1634//b2243//b3139//b1039//b2195//b1500//b0513//b3137//b1430//b1546//b1617//b1615//
ArgP	b3750//b0020//b3073//b1819//b1113//b1900//b1275//b4365//b0776//b1306//b1748//b0887//b1297//b0978//
ArgR	b3366//b0034//b1616//b3452//b4039//b3957//b1948//b0857//b2707//b1007//b3525//b4705//b0864//b4511//b0178//b3123//b4054//b2825//b0674//b3576//b4002//b2570//b1198//b3800//b4197//b1333//b3188//b3269//b2406//b2662//b2364//b1397//b0179//b1713//b4291//b1166//b1391//b0293//
ArsR	b4088//b4198//b1587//
AscG	b1200//b0594//b0595//b3941//b1298//
AsnC	b2671//b2997//b4241//b1858//
AtoC	b4042//b4324//b1649//b1022//
BaeR	b2818//b1905//b0890//b1851//b2235//b0585//b3449//b1655//
BasR	b3784//b3432//b2097//b1615//b4439//b0167//b3184//b2537//b1444//b1393//b2096//b1387//b3612//
BetI	b0240//b4086//b3113//b2078//
BirA	b1818//b2764//b1950//b3022//b0623//
BluR	b3156//b1335//b4016//b2149//
BolA	b0337//b0970//
CadC	b1575//b3785//b1531//
CaiF	b1717//b2240//b1904//b0038//b4073//b2803//b3624//b2980//b4384//b1260//
Cbl	b1680//b0367//b0734//b2198//b3828//b4088//b4102//b4039//b2789//
CdaR	b0763//b3186//b1738//b3368//b4150//b1434//b4042//b3225//b0819//b0351//
CecR	b3076//b1243//b1252//b0116//b1308//
ChbR	b1970//b1746//b2492//b3927//b3607//b0849//
ComR	b3753//
CpxR	b0586//b2754//b2085//b4059//b3327//b0851//b1300//b1076//b1038//b2490//b2781//b3413//b4058//b3222//b2369//b0721//b2143//b1654//b4005//b0855//b3924//b1945//b0764//b3331//b2017//b1008//b2725//b2916//b1430//b0682//b0980//b2718//b1878//b4079//b2029//b3509//b1021//b0198//b0811//b1384//b4355//b3222//b3026//b1203//b4089//b4124//b0765//b1223//b0557//b1259//b0486//b0504//b4260//b4043//b0179//b4312//b4662//b2307//b1037//b3140//b4525//b3060//b3437//b0782//b2605//b2163//b0451//b0331//b1166//b2541//
Cra	b0681//b4513//b3063//b2375//b3428//b2708//b4024//b1821//b4098//b4014//b1877//b1323//b0301//b3190//b2705//b4036//b4160//b1569//b3469//b3495//b3073//b0511//b3583//b2616//b1501//b2697//b2925//b4002//b0677//b2987//b1922//b1901//b2243//b2764//b3938//b1221//b3094//b3186//b1784//b1442//b1902//b0378//b3172//b1818//b2803//b1622//b0514//b3513//b3430//b3507//b2665//b2531//b2095//b1679//b0441//b2373//b1222//b4101//b3773//b3906//b3791//b2905//b0034//b2202//b0987//b0462//b4195//b0431//b4133//b3730//b3165//b0964//b2241//b3511//b0564//b2309//b2993//b4457//b0034//
CreB	b2819//b1649//b2286//b4291//b3680//
CsgD	b1948//b4237//b2155//b4099//b2470//b4034//b0460//b1532//b0931//b2617//b1007//b0451//b3421//b3268//b1507//b1904//b3510//b1518//b3960//b1303//b1900//b3133//b2942//b4415//b2483//b4381//b3788//b4030//
CsiR	b3365//b2215//b3094//b0085//b4029//
CspA	b0475//b0039//
CueR	b2196//b0087//b0613//b4132//b3115//b1921//b4241//
CusR	b2784//b2755//b3271//b1531//b2574//b3934//b0073//b1075//b3170//b3907//b1076//b2279//
CynR	sroA//b1113//b0020//b3127//
CysB	b0936//b1735//b0093//b2341//b1564//b2388//b3744//b0451//b0400//b3185//b1434//b3426//b0041//b1016//b2724//b3961//b0033//b3225//b3912//b3506//b0592//b1129//b0447//b3661//b3093//b0231//b1805//b4702//b2237//b3605//b3452//b0123//
CytR	b2278//b1074//b3924//b1852//b0751//b0368//b3846//b4613//b0411//b1672//b2722//b0617//b3083//
Dan	b1650//b4411//b1589//b0034//
DcuR	b2029//b3564//b2464//b4003//b4004//b2316//b1237//b0587//b1892//
DeoR	b4125//b2925//b3469//b0112//b0762//b3566//
DhaR	b2964//b2711//b0573//b3332//
DicA	b3565//b4366//b0970//b2061//b4396//b4086//b2375//b4237//
DinJ-YafQ	b1682//b4268//b1568//
DnaA	b0682//b3960//b2762//b4094//b4411//b4522//b0619//b3012//b2755//b4016//b0511//b3666//
DpiA	b2062//b3512//b3403//b0933//b2783//b0811//b0841//b0225//b4280//b0618//b3547//
DsdC	b3062//b1394//b1513//
EbgR	b2279//b1590//
EnvR	b4089//b1003//
EnvY	b1671//b3364//
EvgA	b4032//b0596//b0925//b2499//b1781//b0987//b1702//b0856//b3601//b4030//b2167//b0509//b1258//b3125//b2600//b2078//b2825//b2674//b3831//
ExuR	b2366//b0595//b1276//b1878//b0349//b2802//b3863//b2489//b3067//
FabR	b2277//b2661//
FadR	b2552//b0799//b0853//b4467//b0928//b3364//b2406//b1937//b2424//b4445//b0973//b2288//b3916//b2537//b1914//b2996//b3076//b4354//b3845//b1744//b1891//b1907//b1012//
FeaR	b0970//b0856//
FhlA	b2803//b1654//b3688//b1988//b4027//b3774//b4237//b0839//b3940//b3421//b4577//b1305//b4035//b2756//b1385//b0864//b1594//b3576//b0114//b1327//b2000//b1781//b0366//b4240//b1568//b1301//b2698//b1258//b1706//b2720//
