# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Mon Nov 26 08:19:26 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
EG10022	aceA	ISOCIT-CLEAV-RXN//
EG10023	aceB	MALSYN-RXN//
EG10024	aceE	RXN0-1134//RXN0-1134//RXN0-1133//RXN0-1132//PYRUVDEH-RXN//RXN-12583//RXN-12508//
EG10025	aceF	RXN0-1134//RXN0-1133//RXN0-1133//RXN0-1132//PYRUVDEH-RXN//
EG10029	ada	RXN-17824//RXN-17823//2.1.1.63-RXN//
EG10031	adhE	ALCOHOL-DEHYDROG-RXN//ACETALD-DEHYDROG-RXN//ALCOHOL-DEHYDROG-GENERIC-RXN//
EG10034	alaS	ALANINE--TRNA-LIGASE-RXN//
EG10035	aldA	LACTALDDEHYDROG-RXN//GLYCOLALD-DEHYDROG-RXN//
EG10036	puuC	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN//RXN0-3922//AMINOBUTDEHYDROG-RXN//RXN0-5455//
EG10037	alkB	RXN-18739//RXN0-7280//RXN-18738//RXN0-986//RXN0-7275//RXN-18737//
EG10039	amn	AMP-NUCLEOSID-RXN//
EG10040	ampC	BETA-LACTAMASE-RXN//
EG10049	appA	RXN0-5462//RXN-17493//RXN-17490//RXN-17489//RXN-17495//RXN-10940//
EG10052	araA	ARABISOM-RXN//
EG10053	araB	RXN0-5116//
EG10055	araD	RIBULPEPIM-RXN//
EG10063	argA	N-ACETYLTRANSFER-RXN//
EG10064	argB	ACETYLGLUTKIN-RXN//
EG10065	argC	N-ACETYLGLUTPREDUCT-RXN//
EG10066	argD	SUCCINYLDIAMINOPIMTRANS-RXN//ACETYLORNTRANSAM-RXN//
EG10067	argF	ORNCARBAMTRANSFER-RXN//
EG10068	argG	ARGSUCCINSYN-RXN//
EG10069	argI	ORNCARBAMTRANSFER-RXN//
EG10078	aroF	DAHPSYN-RXN//
EG10079	aroG	DAHPSYN-RXN//
EG10080	aroH	DAHPSYN-RXN//
EG10082	aroL	SHIKIMATE-KINASE-RXN//
EG10085	ascB	RXN0-5295//6-PHOSPHO-BETA-GLUCOSIDASE-RXN//
EG10091	asnA	ASNSYNA-RXN//
EG10092	asnB	ASNSYNB-RXN//GLUTAMIN-RXN//ASNSYNA-RXN//
EG10095	aspA	ASPARTASE-RXN//
EG10096	aspC	2.6.1.7-RXN//ASPAMINOTRANS-RXN//TYROSINE-AMINOTRANSFERASE-RXN//PHEAMINOTRANS-RXN//CYSTEINE-AMINOTRANSFERASE-RXN//
EG10109	betA	CHD-RXN//
EG10110	betB	BADH-RXN//
EG10114	bglB	RXN0-5295//6-PHOSPHO-BETA-GLUCOSIDASE-RXN//RXN0-5297//
EG10117	bioA	DAPASYN-RXN//
EG10118	bioB	RXN-17473//2.8.1.6-RXN//
EG10119	bioC	RXN-11475//
EG10120	bioD	DETHIOBIOTIN-SYN-RXN//
EG10121	bioF	7KAPSYN-RXN//RXN-11484//
EG10131	cadA	LYSDECARBOX-RXN//
EG10134	carA	CARBPSYN-RXN//RXN-13202//GLUTAMIN-RXN//
EG10135	carB	CARBPSYN-RXN//RXN-13202//GLUTAMIN-RXN//
EG10137	cdd	CYTIDEAM2-RXN//CYTIDEAM-RXN//
EG10144	chbF	6-PHOSPHO-BETA-GLUCOSIDASE-RXN//RXN0-7002//
EG10153	moeA	RXN-8348//
EG10154	moeB	RXN-11361//
EG10175	cynS	RXN-12893//R524-RXN//
EG10176	cynT	RXN0-5224//
EG10182	cyoE	HEMEOSYN-RXN//
EG10185	cysC	ADENYLYLSULFKIN-RXN//
EG10186	cysD	SULFATE-ADENYLYLTRANS-RXN//
EG10187	cysE	SERINE-O-ACETTRAN-RXN//
EG10188	cysG	UROPORIIIMETHYLTRANSA-RXN//RXN-13403//DIMETHUROPORDEHYDROG-RXN//RXN-8675//SIROHEME-FERROCHELAT-RXN//
EG10189	cysH	1.8.4.8-RXN//
EG10190	cysI	SULFITE-REDUCT-RXN//
EG10191	cysJ	SULFITE-REDUCT-RXN//NADPH-DEHYDROGENASE-FLAVIN-RXN//
EG10192	cysK	RXN-15129//ACSERLY-RXN//LCYSDESULF-RXN//
EG10193	cysM	RXN-15129//SULFOCYS-RXN//ACSERLY-RXN//LCYSDESULF-RXN//
EG10194	cysN	SULFATE-ADENYLYLTRANS-RXN//
EG10203	dacC	RXN-16649//
EG10206	dapB	RXN-14014//
EG10207	dapD	TETHYDPICSUCC-RXN//
EG10214	ddlB	DALADALALIG-RXN//
EG10217	accD	RXN0-5055//
EG10219	deoA	THYM-PHOSPH-RXN//URA-PHOSPH-RXN//
EG10220	deoB	D-PPENTOMUT-RXN//PPENTOMUT-RXN//
EG10221	deoC	DEOXYRIBOSE-P-ALD-RXN//
EG10222	deoD	ADENPHOSPHOR-RXN//DEOXYGUANPHOSPHOR-RXN//PNP-RXN//DEOXYADENPHOSPHOR-RXN//DEOXYINOPHOSPHOR-RXN//INOPHOSPHOR-RXN//RXN0-5199//
EG10224	dgkA	DIACYLGLYKIN-RXN//
EG10232	dmsA	DIMESULFREDUCT-RXN//
EG10233	dmsB	DIMESULFREDUCT-RXN//
EG10234	dmsC	DIMESULFREDUCT-RXN//
EG10249	dsdA	RXN-15581//DSERDEAM-RXN//
EG10256	eda	RXN-13990//OXALODECARB-RXN//KDPGALDOL-RXN//
EG10257	edd	PGLUCONDEHYDRAT-RXN//
EG10258	eno	2PGADEHYDRAT-RXN//
EG10259	entA	DHBDEHYD-RXN//
EG10260	entB	RXN-15891//RXN-15890//ISOCHORMAT-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//
EG10261	entC	ISOCHORSYN-RXN//
EG10262	entD	RXN-15891//RXN-15890//RXN-15889//ENTDB-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//
EG10263	entE	RXN0-6442//RXN-15891//RXN-15890//RXN0-5208//DHBAMPLIG-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//
EG10264	entF	RXN-15891//RXN-15891//RXN-15890//RXN-15890//ENTG-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//ENTF-RXN//
EG10265	lpxC	UDPACYLGLCNACDEACETYL-RXN//
EG10273	fabA	4.2.1.59-RXN//4.2.1.58-RXN//RXN-9533//RXN-9537//3-HYDROXYDECANOYL-ACP-DEHYDR-RXN//RXN-9520//RXN-9655//4.2.1.61-RXN//5.3.3.14-RXN//
EG10274	fabB	RXN-9531//RXN-9535//RXN-9539//RXN-9516//RXN-9523//MALONYL-ACPDECARBOX-RXN//RXN0-2141//RXN-10658//3-OXOACYL-ACP-SYNTH-RXN//RXN-9527//RXN-11479//RXN-10654//3-OXOACYL-ACP-SYNTH-BASE-RXN//
EG10276	accC	BIOTIN-CARBOXYL-RXN//
EG10277	fabH	ACP-S-ACETYLTRANSFER-RXN//2.3.1.180-RXN//
EG10278	fadA	RXN-17795//RXN-17782//RXN-14394//KETOACYLCOATHIOL-RXN//RXN-17791//RXN-17778//RXN-17787//RXN-17799//
EG10279	fadB	RXN-17776//RXN-17798//RXN-17785//OHBUTYRYL-COA-EPIM-RXN//RXN0-5393//RXN-17794//RXN-17781//RXN-17797//ENOYL-COA-HYDRAT-RXN//RXN-14393//OHACYL-COA-DEHYDROG-RXN//RXN-17790//RXN0-5391//RXN-17777//RXN-17793//RXN-7931//RXN-17780//ENOYL-COA-DELTA-ISOM-RXN//RXN-17786//RXN-17789//
EG10282	fbaA	F16ALDOLASE-RXN//SEDOBISALDOL-RXN//
EG10285	fdhF	FHLMULTI-RXN//RXN0-3281//
EG10299	fes	RXN-14478//RXN0-1661//RXN0-6938//RXN-14477//RXN-14479//
EG10316	lpxD	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN//
EG10326	folA	DIHYDROFOLATEREDUCT-RXN//
EG10330	frdA	R601-RXN//
EG10331	frdB	R601-RXN//
EG10332	frdC	R601-RXN//
EG10333	frdD	R601-RXN//
EG10337	fruK	1PFRUCTPHOSN-RXN//
EG10341	ftsI	RXN-16659//
EG10348	fucA	DARABALDOL-RXN//FUCPALDOL-RXN//
EG10349	fucI	FUCISOM-RXN//DARABISOM-RXN//
EG10350	fucK	DARABKIN-RXN//FUCULOKIN-RXN//
EG10351	fucO	LACTALDREDUCT-RXN//GLYCOLALDREDUCT-RXN//
EG10355	fucU	RXN0-5298//
EG10357	fumB	D--TARTRATE-DEHYDRATASE-RXN//FUMHYDR-RXN//
EG10358	fumC	FUMHYDR-RXN//
EG10361	gabT	GABATRANSAM-RXN//ACETYLORNTRANSAM-RXN//
EG10362	galE	UDPGLUCEPIM-RXN//
EG10363	galK	GALACTOKIN-RXN//
EG10366	galT	GALACTURIDYLYLTRANS-RXN//
EG10367	gapA	GAPOXNPHOSPHN-RXN//
