# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Fri Nov 23 12:16:12 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10001	alr	ALARACECAT-RXN//
EG10004	dfp	P-PANTOCYSLIG-RXN//P-PANTOCYSDECARB-RXN//
EG10016	garL	KDGALDOL-RXN//
EG10017	ispB	RXN-8992//
EG10022	aceA	ISOCIT-CLEAV-RXN//
EG10023	aceB	MALSYN-RXN//
EG10024	aceE	RXN0-1134//RXN0-1134//RXN0-1133//RXN0-1132//PYRUVDEH-RXN//RXN-12583//RXN-12508//
EG10025	aceF	RXN0-1134//RXN0-1133//RXN0-1133//RXN0-1132//PYRUVDEH-RXN//
EG10027	ackA	ACETATEKIN-RXN//PROPKIN-RXN//
EG10030	add	ADENODEAMIN-RXN//ADDALT-RXN//
EG10031	adhE	ALCOHOL-DEHYDROG-RXN//ACETALD-DEHYDROG-RXN//ALCOHOL-DEHYDROG-GENERIC-RXN//
EG10032	adk	DTDPKIN-RXN//UDPKIN-RXN//CDPKIN-RXN//RXN-14074//ADENYL-KIN-RXN//GDPKIN-RXN//DCDPKIN-RXN//DGDPKIN-RXN//
EG10034	alaS	ALANINE--TRNA-LIGASE-RXN//
EG10035	aldA	LACTALDDEHYDROG-RXN//GLYCOLALD-DEHYDROG-RXN//
EG10036	puuC	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN//RXN0-3922//AMINOBUTDEHYDROG-RXN//RXN0-5455//
EG10039	amn	AMP-NUCLEOSID-RXN//
EG10041	ampD	RXN0-5225//
EG10045	ansA	ASPARAGHYD-RXN//
EG10046	ansB	ASPARAGHYD-RXN//
EG10051	apt	ADENPRIBOSYLTRAN-RXN//
EG10052	araA	ARABISOM-RXN//
EG10053	araB	RXN0-5116//
EG10055	araD	RIBULPEPIM-RXN//
EG10063	argA	N-ACETYLTRANSFER-RXN//
EG10064	argB	ACETYLGLUTKIN-RXN//
EG10065	argC	N-ACETYLGLUTPREDUCT-RXN//
EG10066	argD	SUCCINYLDIAMINOPIMTRANS-RXN//ACETYLORNTRANSAM-RXN//
EG10067	argF	ORNCARBAMTRANSFER-RXN//
EG10068	argG	ARGSUCCINSYN-RXN//
EG10069	argI	ORNCARBAMTRANSFER-RXN//
EG10071	argS	ARGININE--TRNA-LIGASE-RXN//
EG10073	aroA	2.5.1.19-RXN//
EG10074	aroB	3-DEHYDROQUINATE-SYNTHASE-RXN//
EG10075	aroC	CHORISMATE-SYNTHASE-RXN//
EG10076	aroD	3-DEHYDROQUINATE-DEHYDRATASE-RXN//
EG10077	aroE	SHIKIMATE-5-DEHYDROGENASE-RXN//
EG10078	aroF	DAHPSYN-RXN//
EG10079	aroG	DAHPSYN-RXN//
EG10080	aroH	DAHPSYN-RXN//
EG10081	aroK	SHIKIMATE-KINASE-RXN//
EG10082	aroL	SHIKIMATE-KINASE-RXN//
EG10088	asd	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN//
