# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	mcrB//
go_0000025_7	rimK//
go_0000027_7	bioD//cysG//rlmM//pgsA//
go_0000028_7	insI-1//
go_0000032_8	purA//
go_0000041_8	hemF//
go_0000050_5	fbaA//rsmB//yfdR//rffC//aspC//
go_0000053_5	fes//
go_0000096_5	apaH//
go_0000101_6	nudF//
go_0000103_5	sthA//rlmF//
go_0000105_6	pphA//ushA//trpA//gshB//ygeX//garD//spoT//
go_0000160_5	rnb//
go_0000162_7	yieF//glcB//ynfE//puuC//paoC//thiM//purL//prpB//srlD//
go_0000270_7	udp//narG//hcaC//leuB//speC//mhpB//zwf//ddlA//gltD//tktB//
go_0000271_6	waaH//
go_0000302_5	dbpA//
go_0000303_6	ndk//treF//
go_0000305_5	
go_0000372_11	
go_0000413_9	glgA//deoD//yrfG//fadK//accC//rlmB//trmA//
go_0000453_8	hyaB//kduI//sodB//ldtB//
go_0000455_9	prpD//relA//lsrG//kduD//rihC//cpsG//yjiA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	hisG//
go_0000726_7	asnA//
go_0000731_7	tadA//serC//
go_0000737_7	
go_0000738_7	prmB//feaB//
go_0000746_4	
go_0000820_7	rlmI//
go_0000902_5	
go_0000910_4	nadE//ybhA//sodC//
go_0000917_6	
go_0000918_6	
go_0000920_3	frlB//
go_0000921_6	
go_0000967_10	rluB//
go_0001101_4	appA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	lysS//
go_0001510_5	clsA//adhE//
go_0001514_8	ravA//
go_0001522_7	paaJ//metL//rluE//entD//
go_0001558_5	
go_0001561_6	spoT//
go_0001676_6	asd//
go_0001680_11	fbp//
go_0001682_11	ppiA//napB//
go_0001731_7	
go_0001762_6	mltF//
go_0001887_4	menF//dgoD//
go_0001896_5	mobA//
go_0002047_6	pyrH//pgaB//
go_0002097_8	kdsC//
go_0002098_9	aroE//rsmE//argI//gpmA//
go_0002099_9	ubiX//hypF//
go_0002100_9	umuD//
go_0002101_9	uvrC//
go_0002128_7	phnP//
go_0002131_9	nrfD//
go_0002132_9	abgA//
go_0002136_10	ppk//
go_0002143_9	cdh//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	lpxK//
go_0002938_8	apaH//
go_0002939_7	dut//
go_0002943_8	deoB//
go_0002949_8	glk//avtA//yieF//
go_0003333_7	ansB//ahr//waaJ//tehB//puuD//prs//ahpC//phnL//mltD//trpS//hemC//puuE//fadD//
go_0005975_4	eptA//moeB//lpxL//caiB//torY//ascB//hisB//argS//bioF//yhdJ//fabA//pphB//gloC//cysN//tyrB//argF//
go_0005976_5	tsaB//
go_0005977_6	adiA//
go_0005978_7	speB//ydiF//cpdB//torC//
go_0005980_7	sdhB//acs//ispU//
go_0005986_7	paaA//
go_0005990_7	mocA//
go_0005992_7	fabI//aldB//
go_0005993_7	nadC//guaC//glcE//
go_0005995_7	nanE//
go_0005998_7	hypF//
go_0006000_6	fabB//
go_0006001_7	bfr//eno//
go_0006002_5	gph//metG//truB//
go_0006006_6	menE//ilvA//entC//rlmL//dkgB//
go_0006007_7	patZ//puuE//
go_0006011_5	paaK//
go_0006012_6	gltB//
go_0006013_6	mazG//
go_0006014_6	pgi//
go_0006015_7	araB//fkpA//
go_0006020_5	paaE//
go_0006044_7	nadB//
go_0006046_8	cdd//asnS//
go_0006047_5	rlmJ//garR//
go_0006048_6	aphA//sdhA//murQ//queG//
go_0006053_8	hycB//
go_0006062_8	appA//
go_0006071_6	rph//fau//
go_0006072_6	der//
go_0006082_4	lpxL//
go_0006083_6	lpxM//mutH//adk//
go_0006086_8	tag//tmk//
go_0006090_8	dmsC//rnd//nadA//tsaC//sdhA//rffM//bglB//
go_0006094_7	purC//narG//kdgK//mrcA//lplA//phnG//gatD//lysS//ilvD//
go_0006096_6	bioA//aspA//pcm//rlmI//citE//ribB//nadD//dacA//bglA//paaH//lpxH//gapA//pphB//
go_0006097_5	umpG//fucK//frdD//fadI//paaJ//
go_0006098_6	gloB//ppiA//cmk//alsK//nrfC//
go_0006099_4	rutE//accB//nemA//ybjI//dcm//nrdA//cpsG//rnt//alaC//waaA//phnH//wcaJ//tmcA//
go_0006103_5	mtlD//nemA//sgbU//rnt//
go_0006104_6	paaB//
go_0006105_5	ppiA//
go_0006106_8	nagA//
go_0006107_8	
go_0006108_8	nanK//cpdA//gltD//malZ//
go_0006113_5	rbsD//eno//
go_0006115_6	eutB//
go_0006124_6	
go_0006144_6	
go_0006145_7	lldD//
go_0006146_8	appA//
go_0006148_9	manA//
go_0006149_9	ribB//
go_0006150_9	ilvN//
go_0006152_7	truC//ldtA//phnI//edd//speF//
go_0006154_6	katG//
go_0006161_9	gatD//
go_0006163_6	srlD//
go_0006164_7	leuS//sdaA//phnO//yihV//
go_0006166_6	recO//
go_0006168_7	pdxK//yfcG//
go_0006171_9	
go_0006172_9	surA//
go_0006177_9	glcF//
go_0006178_7	rffT//
go_0006183_9	gntK//
go_0006189_10	hisS//sad//
go_0006203_8	rlmC//waaF//
go_0006206_6	sdhC//ldtB//mutS//
go_0006207_8	sucA//aceF//pgpB//yqaB//puuE//
go_0006208_7	pflB//rdgB//menC//yjhH//tpiA//cadA//
go_0006209_6	rhaB//
go_0006210_8	cof//
go_0006212_6	cysQ//gpmA//waaP//dgoA//fucK//csdA//fadD//mutL//uxaA//rlmM//
go_0006217_9	gshA//
go_0006218_9	gstA//
go_0006220_6	entB//
go_0006221_7	glcD//panD//yqaB//
go_0006222_9	
go_0006225_9	fucI//
go_0006226_9	sseA//thrC//
go_0006227_9	folX//
go_0006231_9	ldtD//
go_0006233_9	aldA//
go_0006235_9	tynA//
go_0006241_9	lpxL//
go_0006259_5	ispU//treF//zwf//
go_0006260_6	iscS//pyrB//psd//ulaD//prmB//hyi//nrdA//
go_0006261_7	ispF//yfaU//btuE//
go_0006265_6	fabH//suhB//
go_0006266_6	eptC//fadK//rsmI//
go_0006267_5	
