# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	thiG//
go_0000025_7	ascB//
go_0000027_7	nadE//purL//glcB//cobS//
go_0000028_7	rdgB//
go_0000032_8	rdgB//
go_0000041_8	lsrK//
go_0000050_5	serS//rbsK//cobB//wrbA//azoR//
go_0000053_5	kduD//
go_0000096_5	dmsC//
go_0000101_6	ampD//
go_0000103_5	fadI//galE//
go_0000105_6	katE//ddlB//appA//ssuE//dacC//ubiD//waaY//
go_0000160_5	tilS//
go_0000162_7	clsB//manA//yihX//scpB//frdC//lpcA//uxuA//rsmB//sucC//
go_0000270_7	yhdH//dhaL//speG//glnA//mrcA//patD//gadB//gldA//hyaC//cyaA//
go_0000271_6	nrdB//
go_0000302_5	galM//
go_0000303_6	insI-1//mrcA//
go_0000305_5	
go_0000372_11	
go_0000413_9	glxR//phnN//lldD//hyaB//coaA//birA//fklB//
go_0000453_8	tsaB//murE//idnD//pgaC//
go_0000455_9	puuE//frdA//plsB//folC//gcl//malY//argH//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	mngB//
go_0000726_7	fruK//
go_0000731_7	trpD//nagK//
go_0000737_7	
go_0000738_7	rlmB//nrdA//
go_0000746_4	
go_0000820_7	sucD//
go_0000902_5	
go_0000910_4	pdxJ//mpaA//rnd//
go_0000917_6	
go_0000918_6	
go_0000920_3	nudF//
go_0000921_6	
go_0000967_10	pykF//
go_0001101_4	bioB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	idi//
go_0001510_5	glgC//prmC//
go_0001514_8	idnK//
go_0001522_7	ldtE//gmd//prpB//ruvB//
go_0001558_5	
go_0001561_6	mnmG//
go_0001676_6	mutY//
go_0001680_11	speB//
go_0001682_11	lpxD//dsdA//
go_0001731_7	
go_0001762_6	rutB//
go_0001887_4	panD//sgbU//
go_0001896_5	mutS//
go_0002047_6	ttdA//suhB//
go_0002097_8	bglX//
go_0002098_9	hcaE//glnE//argB//glk//
go_0002099_9	sucC//nth//
go_0002100_9	napB//
go_0002101_9	ndh//
go_0002128_7	hisD//
go_0002131_9	nth//
go_0002132_9	puuA//
go_0002136_10	yeiG//
go_0002143_9	bcsA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ybjI//
go_0002938_8	ldtD//
go_0002939_7	tcdA//
go_0002943_8	ileS//
go_0002949_8	mpaA//prpD//maeA//
go_0003333_7	eda//bglX//cysQ//cysE//nrdF//pgi//pgaB//der//fadH//pgpA//truD//aroA//rlmA//
go_0005975_4	menA//bioC//queF//phnH//pta//yrfG//moaE//rihA//paaZ//moaA//sgbH//gabD//yfeX//tyrA//ubiC//hemB//
go_0005976_5	pyrD//
go_0005977_6	gpt//
go_0005978_7	truD//rnd//moeB//otsB//
go_0005980_7	folA//dhaK//glcB//
go_0005986_7	gabD//
go_0005990_7	pgaB//
go_0005992_7	eutD//recF//
go_0005993_7	rlmE//rpiA//psd//
go_0005995_7	epmB//
go_0005998_7	adiA//
go_0006000_6	alaC//
go_0006001_7	mnmG//ruvA//
go_0006002_5	glcB//acpH//rihC//
go_0006006_6	trpB//nth//galE//tdh//fabG//
go_0006007_7	waaG//gcd//
go_0006011_5	dam//
go_0006012_6	malP//
go_0006013_6	cysQ//
go_0006014_6	deoB//
go_0006015_7	phnG//gpmA//
go_0006020_5	glcB//
go_0006044_7	purU//
go_0006046_8	nirB//add//
go_0006047_5	nrfC//folP//
go_0006048_6	pgpA//yjcS//rlmC//aspS//
go_0006053_8	puuC//
go_0006062_8	xylA//
go_0006071_6	ribC//menH//
go_0006072_6	gpsA//
go_0006082_4	yfeX//
go_0006083_6	purT//hemC//cynS//
go_0006086_8	gcvT//phnL//
go_0006090_8	rhaA//pabB//mltA//prmB//cysM//kbaZ//fadB//
go_0006094_7	gcl//dusB//deoD//kdsB//fklB//queA//cpsG//ushA//idnD//
go_0006096_6	caiD//hchA//lpxL//tpiA//trpD//accD//lplA//bacA//glcD//etk//pdeH//recF//fbp//
go_0006097_5	katE//tdcE//bioH//hcaD//aphA//
go_0006098_6	fadH//agp//clsC//trpB//rfbC//
go_0006099_4	ydiB//gstB//dhaL//xapA//rlmB//thrC//etk//bfr//queA//argG//tdcG//rbn//acpS//
go_0006103_5	pta//argG//murG//bacA//
go_0006104_6	nudC//
go_0006105_5	cadA//
go_0006106_8	adhP//
go_0006107_8	
go_0006108_8	gshB//malQ//deoC//cpdA//
go_0006113_5	dadA//sseA//
go_0006115_6	cysQ//
go_0006124_6	
go_0006144_6	
go_0006145_7	sseA//
go_0006146_8	leuS//
go_0006148_9	pdxY//
go_0006149_9	tilS//
go_0006150_9	ampH//
go_0006152_7	lipA//torC//hyaB//waaH//accA//
go_0006154_6	rhaB//
go_0006161_9	tesB//
go_0006163_6	mog//
go_0006164_7	arnT//rsmA//gldA//nrdF//
go_0006166_6	otsA//
go_0006168_7	dacD//ldhA//
go_0006171_9	
go_0006172_9	abgA//
go_0006177_9	malS//
go_0006178_7	yccX//
go_0006183_9	ispG//
go_0006189_10	ppk//codA//
go_0006203_8	cynS//guaB//
go_0006206_6	feaB//sseA//slyD//
go_0006207_8	yggF//eptC//cynS//rsmC//mutT//
go_0006208_7	cof//mltF//nhoA//araA//uvrA//guaD//
go_0006209_6	frdC//
go_0006210_8	gdhA//
go_0006212_6	mltD//arnT//hemL//sdhA//fadJ//ssuD//dosP//ispH//frmA//rnpA//
go_0006217_9	yihV//
go_0006218_9	ispF//
go_0006220_6	yeiG//
go_0006221_7	ymdB//paaA//rnt//
go_0006222_9	
go_0006225_9	gpsA//
go_0006226_9	wrbA//panC//
go_0006227_9	asnB//
go_0006231_9	ribE//
go_0006233_9	paaB//
go_0006235_9	argD//
go_0006241_9	nanK//
go_0006259_5	hemE//dsdA//waaU//
go_0006260_6	hdhA//slt//murD//paaZ//waaA//fruK//lplA//
go_0006261_7	uxaA//entB//waaZ//
go_0006265_6	acnA//yqaB//
go_0006266_6	waaU//aroA//panD//
go_0006267_5	
go_0006268_9	accC//thrA//
go_0006269_6	dut//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	dgoD//thiM//
go_0006281_6	ynfH//yqhD//cyoE//pgaD//xapA//hisB//pnp//asd//trmH//tsaD//patA//rhaA//patA//tdk//tsaC//mhpC//murQ//
go_0006283_8	
go_0006284_7	uxaA//phnJ//sodC//rsmA//lpxP//sufS//
go_0006285_6	araD//paaJ//dgoA//deoD//
go_0006288_8	ribB//leuS//
go_0006289_7	
go_0006298_7	cysN//otsB//recF//aroD//
go_0006301_7	
go_0006302_7	betA//luxS//
go_0006307_8	citE//dxs//mltB//dacC//recF//
go_0006308_6	moeB//talB//pgaD//pheA//
go_0006310_6	dam//proB//malQ//ydiF//gabD//
go_0006313_4	ydiB//
go_0006351_6	gatD//gcvT//
go_0006352_7	
go_0006353_7	
go_0006354_7	ribB//
go_0006355_7	ychF//
go_0006357_8	
go_0006364_9	lyxK//pdxY//aldA//tdcD//
go_0006378_8	aroF//
go_0006396_7	lipB//bioF//purN//cdd//azoR//
go_0006397_8	hemH//
go_0006399_8	ubiI//gpt//
go_0006400_7	tilS//glmM//nemA//narI//paaK//
go_0006401_6	metH//yfeW//caiD//plsB//ssuE//clsB//
go_0006402_7	clsB//mcrB//prpD//metK//menD//fadJ//mngB//
go_0006412_6	tktA//cysK//fruK//rnb//waaZ//
go_0006413_4	fabZ//
go_0006414_6	
go_0006415_7	mutY//leuS//
go_0006417_7	argG//fadB//
go_0006418_7	rfbD//pdeF//suhB//cysC//gor//purU//yciV//cdd//thiC//uxuB//add//
go_0006419_8	plsC//
go_0006420_8	galM//
go_0006421_8	napA//
go_0006422_8	plsB//
go_0006423_8	phnL//
go_0006424_8	pyrF//maeA//
go_0006425_8	glgC//
go_0006427_8	phr//
go_0006428_8	dinB//
go_0006429_8	ltaE//
go_0006430_8	selA//wzb//
go_0006431_8	entA//
go_0006432_8	nfi//
go_0006433_8	hemN//
go_0006434_8	panB//
go_0006435_8	rfaD//
go_0006436_8	otsB//
go_0006437_8	menB//
go_0006438_8	ligB//
go_0006448_8	
go_0006450_4	proB//allB//ribC//ogt//ftsI//aroH//
go_0006457_3	gstB//gloB//prs//rne//fklB//aroB//lpxL//
go_0006458_4	
go_0006464_6	waaQ//treC//phnP//cobU//kduD//fre//kbaY//guaC//
go_0006465_6	accA//patD//selA//
go_0006468_7	sseA//
go_0006470_7	nrdB//mnmE//paaZ//gmk//pdeH//
go_0006473_8	glgP//
go_0006474_6	accC//dapB//allC//
go_0006476_8	folC//
go_0006479_5	kefF//dhaL//mobA//prs//ribF//rluD//
go_0006486_5	malQ//
go_0006490_5	paaA//
go_0006508_5	ubiG//nrdF//waaO//dgkA//surA//phnN//murE//garR//mltD//gltB//yjhG//wzb//hemB//malZ//cysG//srlD//ribE//rlmF//sucB//leuB//phnG//gpp//thiM//gcvT//dxs//eutD//gmd//acnB//yidA//mocA//torA//gpt//tdcB//
go_0006515_7	lsrK//bioH//mnmG//cpsG//phnM//cysS//tdcB//
go_0006517_6	valS//aes//
go_0006518_5	edd//gatD//
go_0006523_8	purN//pyrH//
go_0006524_8	
go_0006526_8	pdxK//sdaB//amiD//nfsB//fadI//etp//speB//
go_0006527_8	maa//thrA//hchA//murI//proB//
go_0006529_7	truD//acnB//
go_0006530_7	hcaC//hemD//eptA//kdsB//
go_0006531_7	yihS//
go_0006532_8	dgcT//kbaY//azoR//
go_0006535_8	nrfD//yjcS//glgC//
go_0006537_8	puuD//
go_0006538_8	ribB//mcrB//
go_0006541_7	ispF//rsuA//rfaD//recG//puuE//
go_0006542_8	yjiA//purL//
go_0006543_8	
go_0006545_6	hypF//
go_0006546_6	hmp//rffC//hemG//
go_0006554_8	putA//ribD//nanA//
go_0006556_5	nudF//
go_0006559_6	ribC//
go_0006561_6	yfeW//murC//
go_0006563_7	murD//
go_0006564_8	yfeX//betB//glyA//cysI//
go_0006565_8	tesB//purA//entF//clsA//pdxA//
go_0006566_7	asnS//
go_0006567_8	mutL//lipA//dfp//hisA//yajO//guaC//hemC//
go_0006569_7	abgA//
go_0006571_7	dadA//rdgB//
go_0006593_7	rluF//
go_0006598_8	narG//mug//ribA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	mltD//glgB//
go_0006631_5	uxaB//recJ//fabD//trmO//serA//
go_0006633_6	bglB//patZ//ispB//murD//mrdA//hemF//glgB//gluQ//nudC//mcrB//speB//
go_0006635_6	dusB//fabG//cysN//pykA//ung//queD//oxc//trmO//patA//gmd//mmuM//katG//
go_0006636_7	
go_0006637_5	fcl//yjhG//yieF//xylA//ackA//
go_0006646_7	
go_0006650_6	
go_0006654_7	treF//
go_0006655_7	purA//hinT//
go_0006725_4	rlmF//
go_0006729_6	eutB//pyrG//
go_0006730_4	hemH//wzc//phnN//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	oxc//phnN//patZ//ilvA//yciV//gcd//pabB//rluB//yahK//clsB//glk//gloB//
go_0006749_5	melA//scpB//
go_0006750_6	rffG//rutB//
go_0006751_6	lpxC//
go_0006757_5	moeB//
go_0006760_5	ssuD//
go_0006761_7	speE//
go_0006771_5	dapB//
go_0006772_6	ppiA//cheB//
go_0006777_5	gadA//leuA//chbG//treC//rdgB//
go_0006779_6	thrS//tag//mltA//fbaA//pdxB//
go_0006780_7	frlB//
go_0006782_7	gluQ//codA//garD//pgpA//
go_0006783_5	abgB//nth//torZ//lpoB//sodC//yfcF//paoC//
go_0006790_4	rlmI//hyaA//birA//mltB//cysE//hisD//frdB//ydiF//uvrB//leuS//
go_0006791_2	bglA//frdC//xylA//
go_0006793_4	rffC//pdxY//
go_0006798_5	ampD//
go_0006799_5	nirB//
go_0006801_5	menI//avtA//ligB//
go_0006805_4	udp//panD//yjcS//tynA//
go_0006807_3	gshB//pgk//plsC//
go_0006808_4	purN//
go_0006810_4	glgP//glcF//rlmI//hisI//paaZ//bglX//lpxL//ubiF//icd//leuD//truA//rffC//queC//araD//dgoK//tmcA//uidA//torZ//eutB//tktB//xthA//ispH//rfe//yqhD//rpiA//mraY//paaF//dcyD//tadA//ndh//ascB//ubiE//aroD//gldA//bglX//solA//acnA//pheA//phnJ//betB//yihV//yagE//glcD//treC//lsrK//tmcA//ubiG//tpiA//dcm//menE//allD//lplA//arsC//thiM//rsmD//pdxH//rihA//edd//paaG//prmC//clsC//scpB//tnaA//ushA//miaB//acpH//mutT//uxaA//pyrC//ppsA//rfbD//entH//rihC//queF//tatD//gmhB//ribE//
go_0006811_5	pldB//dgcM//cueO//ttdB//thiD//ruvB//ndh//rffT//murA//fabZ//insI-1//
go_0006812_6	napC//nanA//
go_0006813_8	tdh//pykF//yigB//ahr//argS//queD//trmJ//pldB//
go_0006814_8	psuG//chbG//paaZ//gabD//
go_0006817_8	phnP//
go_0006820_6	rsmJ//azoR//cdsA//waaC//xthA//
go_0006821_8	phr//
go_0006824_8	serB//asnB//thyA//cof//
go_0006825_9	queG//
go_0006826_9	wcaJ//
go_0006828_9	garR//
go_0006829_9	ldtD//ldtE//ulaF//lacZ//ilvB//
go_0006833_6	
go_0006835_8	ispH//polB//
go_0006847_8	otsA//
go_0006855_6	pgaD//gcl//cobS//pgpA//ynfH//rsmC//trmI//aroD//fumB//zwf//rffT//clsB//nrfC//rluA//
go_0006857_7	hyi//aroC//narV//
go_0006863_7	sucC//
go_0006865_6	accC//hcaC//pyrF//ldtB//dapA//uvrB//ubiI//prpC//umuD//dut//yihT//kbaY//cmoB//gor//argB//tehB//fadK//ruvC//ftsI//kduD//lpoA//
go_0006868_7	purL//
go_0006869_6	dam//
go_0006874_8	
go_0006876_8	tpiA//
go_0006878_9	puuE//
go_0006879_9	ung//scpC//
go_0006880_4	clsC//ispH//
go_0006882_8	pagP//
go_0006883_8	gatD//selD//idnK//
go_0006884_4	
go_0006885_9	pfkA//
go_0006886_5	
go_0006928_3	phnL//
go_0006935_4	kdgK//polB//ispH//murQ//ybjI//
go_0006970_4	argK//murB//fau//cysH//glyS//galK//
go_0006972_5	tdcE//puuB//moaE//psuG//hycB//
go_0006974_5	puuE//gutQ//aspA//gpp//aroK//hdhA//nth//pgi//thiL//rbn//panE//udk//dgoK//bioD//tnaA//tmk//ybhA//rfbC//ldcC//purT//rlmE//phnL//rfaD//gluQ//pinE//rsmH//entE//purU//lpoA//coaE//alr//rihA//hemF//aphA//ddlA//glnA//wzc//pykF//ilvB//yjjG//hcp//recF//xdhB//nudC//nagB//entH//hycB//ispU//mhpC//moaE//dnaQ//gshB//galU//abgA//hyi//frmA//mltF//pck//ygjK//xdhB//pcm//menE//rluE//paaC//rpiB//pflB//cyaA//waaQ//bfr//coaA//yieF//rffH//adiA//glgA//dacD//lpd//nadC//waaO//idnK//nagZ//malZ//ldtA//ispU//gcvT//epmB//spoT//hdhA//cueO//dapB//cysK//dapD//nadC//speA//sgbH//polA//
go_0006979_4	aes//nrfC//yjjG//thiM//mcrA//nrfC//waaH//ugd//eda//epmC//mepS//yjhG//pphB//coaD//ycjU//lgoD//melA//mutL//rffM//ybjI//hinT//etp//yihU//trmJ//ispA//nrfA//
go_0006986_5	nrdE//
go_0006995_6	treA//def//
go_0007059_3	cobC//pphB//
go_0007062_4	
go_0007155_3	nadD//
go_0007165_3	pdxY//rihA//
go_0007234_5	
go_0007584_4	
go_0008033_9	plsC//tdcE//pdxJ//rrrD//mrdA//rph//argE//pgpC//
go_0008104_4	
go_0008152_2	mhpA//rsmJ//metL//ackA//rluA//phnI//hisF//serC//hyaC//selD//rluA//rsuA//yigB//rhaD//pfkB//selB//maeA//
go_0008156_8	
go_0008219_3	
go_0008272_6	rph//pcm//
go_0008295_6	lpoB//glcB//otsB//
go_0008299_5	hyi//
go_0008360_4	accA//menH//bioB//paaJ//ymdB//paaH//ilvI//moaA//coaD//ybjG//pfkB//
go_0008610_5	fucO//paaZ//menB//thiL//
go_0008615_6	rsuA//tdcE//deoA//cysE//pyrE//ttdB//acnB//
go_0008616_8	frdA//frdD//accC//menB//nth//cysD//
go_0008643_6	thiM//narY//fucI//gntK//menC//rsmD//gcd//mepS//etk//nudF//torZ//dgoK//nrdE//asd//cobB//nrdE//insI-1//waaC//
go_0008652_5	clsB//mltC//gatD//yidA//iaaA//argE//amiD//dut//
go_0008653_5	
go_0008654_5	dacA//menB//dfp//ascB//
go_0009050_6	rutC//tmk//
go_0009052_6	rlmI//pyrG//iscS//trpB//ahr//gluQ//
go_0009056_3	queD//
go_0009058_3	pfkB//rsmA//glpC//alaC//
go_0009060_6	kdsB//nirB//mak//tyrB//rph//ribA//paaZ//
go_0009061_6	moeB//pck//nrfB//deoC//dsdA//gdhA//dosP//rffT//allC//ttdB//cysH//argK//araA//rlmH//ubiE//tadA//ahpC//yeaE//recR//tsaC//trmH//
go_0009062_6	dapA//
go_0009063_5	folE//wcaJ//glcE//
go_0009070_7	acpH//
go_0009073_6	rbn//opgB//uvrB//yqaB//pnp//trmI//ppc//slyD//mobA//rpiB//narZ//
go_0009081_5	tdcB//rihC//
go_0009082_6	dnaQ//bglX//tdcE//ilvI//ndk//cpsB//rsgA//
go_0009085_8	tdk//
go_0009086_7	entB//coaA//lpcA//polB//idi//
go_0009088_8	glpD//rdgB//
go_0009089_6	nhoA//ubiI//tnaA//ispF//hyaA//rhaA//
go_0009090_8	frlB//nadA//sodB//malY//
go_0009092_7	fabH//
go_0009093_7	
go_0009094_6	ldtA//abgA//mnmE//
go_0009097_7	gstB//ydiO//asnA//fadH//hisH//
go_0009098_7	yciV//ubiG//trpE//fbaA//tadA//nfi//
go_0009099_7	pagP//mhpD//rsmA//pfkB//cysQ//argG//fabH//
go_0009102_6	otsB//guaA//selB//ampD//bglA//ampD//mtgA//pdeH//nadD//
go_0009103_6	waaJ//napB//narZ//guaD//folX//lplA//nadE//tadA//waaA//
go_0009106_5	yieF//
go_0009107_6	bfr//ispF//
go_0009108_6	accC//
go_0009116_5	metL//alsK//
go_0009142_7	argB//
go_0009143_7	fabZ//
go_0009152_8	ppiC//
go_0009157_8	gdhA//
go_0009166_7	mcrA//nhoA//
go_0009168_9	purD//
go_0009220_8	allB//aroH//
go_0009224_9	lyxK//
go_0009226_6	trpE//rfaD//
go_0009228_7	ligA//rlmL//murE//treC//maeA//pnp//sad//thiH//ilvN//
go_0009229_6	uxaB//purF//
go_0009231_6	argB//aceA//rph//phr//purB//uxaB//hemL//
go_0009234_7	btuE//ygeX//glk//napA//eda//yieF//ubiA//galU//rlmA//
go_0009236_6	rluE//murI//paaH//fkpA//rihA//malP//
go_0009237_4	cysK//dgt//
go_0009239_6	pbpC//ilvH//panD//purN//mtlD//tadA//lsrG//ybiV//
go_0009240_6	fabD//
go_0009242_6	yciA//ydiB//murI//ruvB//pgsA//eutD//garK//pdxJ//
go_0009243_7	mltD//
go_0009244_7	garD//amiD//thrC//frdC//nrdB//truA//accA//lysA//caiB//malZ//galU//aphA//mcrB//etk//glxK//nrdD//guaC//tdk//pgaC//yfcF//paaH//rfbC//
go_0009245_6	mnmG//thiH//dosP//dmsC//pflB//yfdR//nadC//gadB//pfkB//
go_0009246_6	abgA//purA//dusB//ydiO//murI//pcm//
go_0009249_6	lpcA//uxuA//zwf//
go_0009250_7	
go_0009251_7	aroL//
go_0009252_7	rfbB//rutD//curA//fes//lpxK//thiC//umuD//yihU//rsmI//paaK//spoT//rsmE//sucA//adeD//hisI//bglA//phnG//gstB//ynfF//pyrG//truB//thiE//yqhD//kefF//thiD//
go_0009253_8	malQ//sucC//idnD//alaA//yahK//tyrA//ampH//treF//treF//rluD//
go_0009254_8	idnK//sdhD//pabC//ispH//caiB//yqjH//cfa//tyrB//murE//lpxD//rlmL//
go_0009257_8	metK//mdh//trmH//ackA//
go_0009263_6	argA//mrcA//
go_0009264_6	valS//allD//
go_0009265_7	tktA//
go_0009266_4	hcaB//nrdA//hcaE//cmoB//tdk//nagB//
go_0009267_5	tyrA//lpoA//
go_0009268_4	ackA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	entD//
go_0009297_6	
go_0009298_7	speD//wecB//fucA//
go_0009305_7	galK//
go_0009306_4	
go_0009311_5	
go_0009314_4	mtn//poxB//tktB//glpC//yccX//xylA//yeaG//murA//galU//ubiG//purU//miaB//aspS//mtlD//dusC//argI//nfi//
go_0009372_5	nrfD//xylA//tsaD//
go_0009396_6	ruvB//yidA//
go_0009398_7	prs//
go_0009401_7	aroC//ulaE//sthA//folA//purC//speD//aroL//argA//avtA//rnd//wrbA//menD//adhE//murC//pphB//ldtA//ispA//mraY//folM//ackA//
go_0009403_5	
go_0009405_4	
go_0009407_3	murA//
go_0009408_4	purU//ravA//hypF//gutQ//pgaB//fabI//hemG//nanA//accD//rimK//lacZ//tpiA//acpS//guaA//mhpC//kefF//rutB//thiG//folP//hchA//nudF//tynA//btuE//mrcB//trpB//tyrA//
go_0009409_4	abgB//caiD//
go_0009410_4	nanE//
go_0009411_6	argE//queA//aldB//fadA//yajO//rnt//moeB//nanA//glnS//
go_0009416_5	murE//epmB//
go_0009423_8	dbpA//cmoB//phnG//rfbB//
go_0009432_5	puuC//tgt//upp//ppx//hyaB//
go_0009435_9	gudD//mrcB//queC//trmD//ilvI//
go_0009436_6	lpxC//wzc//lpxD//nagZ//
go_0009437_5	
go_0009438_5	
go_0009440_6	ybjG//hchA//umuC//
go_0009442_7	coaD//amyA//ubiG//paaA//purN//
go_0009443_5	entE//aroA//cynT//
go_0009446_6	guaD//guaB//
go_0009447_6	fruK//plsB//glmM//menH//ftsI//dgkA//hisD//ubiH//
go_0009450_6	ileS//yieF//prpC//udk//
go_0009451_6	rbn//chbF//fadK//yfbR//
go_0009593_4	
go_0009597_5	
go_0009636_4	yihT//accC//thrB//yfcG//waaF//
go_0009637_6	
go_0009651_5	
go_0009697_5	rlmG//
go_0009758_2	rlmM//
go_0009785_5	
go_0009970_6	rihC//nfsB//bioC//
go_0009972_10	mcrA//
go_0009992_5	speG//yfbR//mdh//
go_0010033_4	
go_0010038_5	
go_0010039_6	gntK//
go_0010041_7	frlB//ribC//
go_0010042_6	uxaB//
go_0010043_6	purB//recR//
go_0010045_6	hisH//
go_0010106_6	
go_0010124_4	waaJ//ubiX//speB//yhdJ//trpS//pphB//gloA//thiM//
go_0010133_7	gpmM//
go_0010139_7	pagP//
go_0010165_6	yieF//cdd//acs//pgaC//mak//wcaJ//gpp//phnO//
go_0010212_5	def//
go_0010226_6	fumA//
go_0010243_5	
go_0010272_6	deoA//
go_0010273_4	kdsC//metF//pepD//
go_0010312_3	insI-1//
go_0010332_6	
go_0010350_6	
go_0010438_6	aroE//rffM//
go_0010447_5	bglX//trmO//
go_0010468_6	hpt//
go_0010498_6	ubiA//ydiO//pgaD//dgcT//
go_0010501_7	fadI//cynT//
go_0010557_7	
go_0010608_7	rrrD//
go_0010628_7	
go_0010629_7	nagB//
go_0010676_7	
go_0010699_4	arnT//phnO//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	rpiA//pcm//yahK//adiA//frdD//folE//ydiB//hisC//umpG//
go_0015031_5	truB//psd//wcaJ//carA//glpA//maa//phnJ//tsaC//
go_0015074_6	
go_0015628_5	
go_0015670_6	gutQ//
go_0015673_9	putA//
go_0015675_9	gpsA//
go_0015679_10	fadJ//
go_0015682_8	waaZ//
go_0015684_9	yfbR//ynfF//scpC//arnT//
go_0015685_8	leuB//serS//
go_0015687_7	galT//
go_0015688_6	asnB//waaZ//
go_0015689_8	dgcM//
go_0015691_9	ttdB//rimK//
go_0015692_8	astB//
go_0015693_9	tag//
go_0015696_6	rfbD//
go_0015698_7	metB//
go_0015699_8	fumA//
go_0015700_8	dmsA//
go_0015706_6	gmd//ribD//eutB//
go_0015707_6	mcrB//murF//miaB//purB//
go_0015709_6	srlD//
go_0015710_8	rfaE//yccX//
go_0015712_7	pabA//
go_0015718_8	glnE//
go_0015721_7	ppiA//opgB//lpcA//
