# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	recF//
go_0000025_7	pinE//
go_0000027_7	gldA//yhdH//rnb//cysS//
go_0000028_7	sgbE//
go_0000032_8	nagK//
go_0000041_8	wecC//
go_0000050_5	cadA//ldtD//glpX//plsC//ftsI//
go_0000053_5	rsmI//
go_0000096_5	serS//
go_0000101_6	waaL//
go_0000103_5	pldB//maeA//
go_0000105_6	rhaD//lpxC//bfr//ubiF//argE//rluE//rfbD//
go_0000160_5	ogt//
go_0000162_7	dnaE//aldA//hemC//rlmB//narZ//rluB//nudG//ispU//rluE//
go_0000270_7	tsaE//umpG//yfiC//clsC//cobT//mog//rutC//dmsA//nudF//moaA//
go_0000271_6	ruvB//
go_0000302_5	cysC//
go_0000303_6	thrA//yieH//
go_0000305_5	
go_0000372_11	
go_0000413_9	menD//bglA//glyA//dmsB//aspC//thiI//fes//
go_0000453_8	rfbB//dadA//mnmA//rfaD//
go_0000455_9	ubiG//tcdA//hemG//pgsA//bioA//pdeF//folD//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	waaF//
go_0000726_7	aroG//
go_0000731_7	pinE//rdgB//
go_0000737_7	
go_0000738_7	gmhB//menD//
go_0000746_4	
go_0000820_7	def//
go_0000902_5	
go_0000910_4	nanK//mhpD//asd//
go_0000917_6	
go_0000918_6	
go_0000920_3	allD//
go_0000921_6	
go_0000967_10	patA//
go_0001101_4	ispU//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	rfe//
go_0001510_5	hemG//bioA//
go_0001514_8	purU//
go_0001522_7	pphA//narG//argC//thiI//
go_0001558_5	
go_0001561_6	mutM//
go_0001676_6	torA//
go_0001680_11	rfbC//
go_0001682_11	pabC//aldB//
go_0001731_7	
go_0001762_6	speC//
go_0001887_4	glgB//preT//
go_0001896_5	ispF//
go_0002047_6	deoD//ispA//
go_0002097_8	luxS//
go_0002098_9	mhpB//ribE//purF//glgP//
go_0002099_9	betB//folM//
go_0002100_9	ansB//
go_0002101_9	entF//
go_0002128_7	relA//
go_0002131_9	kbaZ//
go_0002132_9	malZ//
go_0002136_10	ada//
go_0002143_9	cynS//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	malY//
go_0002938_8	phnO//
go_0002939_7	pfkB//
go_0002943_8	spoT//
go_0002949_8	waaA//nanA//fadD//
go_0003333_7	dcyD//mngB//argD//treC//moaD//roxA//nrfC//yjjG//aceA//gmk//leuC//rnpA//bioF//
go_0005975_4	ymdB//gudD//xapA//ubiX//recG//ilvN//speG//edd//waaH//nadA//waaL//glgX//pta//moeA//trmD//ppsA//
go_0005976_5	yihT//
go_0005977_6	recO//
go_0005978_7	cpdB//recR//proS//cheR//
go_0005980_7	dacD//guaC//ubiX//
go_0005986_7	coaA//
go_0005990_7	narG//
go_0005992_7	cysH//frdC//
go_0005993_7	insI-2//tehB//pdeR//
go_0005995_7	alsE//
go_0005998_7	sufS//
go_0006000_6	iaaA//
go_0006001_7	dosP//rlmL//
go_0006002_5	aroC//lgoD//dcyD//
go_0006006_6	tktA//gltX//lpxT//rsmB//murD//
go_0006007_7	dgoA//kduI//
go_0006011_5	folM//
go_0006012_6	entD//
go_0006013_6	hypB//
go_0006014_6	ilvC//
go_0006015_7	upp//rhaD//
go_0006020_5	yidA//
go_0006044_7	yjhG//
go_0006046_8	rutE//gpsA//
go_0006047_5	gshA//gloB//
go_0006048_6	purD//pagP//rlmF//nrdF//
go_0006053_8	ilvE//
go_0006062_8	trpE//
go_0006071_6	yqhD//ynfF//
go_0006072_6	cysQ//
go_0006082_4	metE//
go_0006083_6	mepS//phnN//paaB//
go_0006086_8	nudB//prpD//
go_0006090_8	arnA//tktA//ahr//hyi//argS//ydiF//rfaD//
go_0006094_7	speA//araB//pdxB//dmsC//mobA//hflX//yqhD//asnS//queC//
go_0006096_6	ydfG//gntK//ruvA//narV//lpoA//menC//ushA//yihV//argK//xthA//hcaC//aroF//dsdA//
go_0006097_5	opgE//murG//gcvP//entF//iscS//
go_0006098_6	appA//cobB//ravA//ubiE//hemG//
go_0006099_4	alaC//ilvC//glgB//cpsG//phoA//pyrF//birA//fdhF//eutB//umpG//fcl//lpxP//hisI//
go_0006103_5	cobT//ilvB//dinB//menH//
go_0006104_6	glcE//
go_0006105_5	cdsA//
go_0006106_8	acs//
go_0006107_8	
go_0006108_8	gpsA//guaC//folX//cysN//
go_0006113_5	rluF//fabZ//
go_0006115_6	murA//
go_0006124_6	
go_0006144_6	
go_0006145_7	nudC//
go_0006146_8	phnG//
go_0006148_9	arnB//
go_0006149_9	glmU//
go_0006150_9	torA//
go_0006152_7	recR//phr//yfaU//rluF//gcd//
go_0006154_6	mmuM//
go_0006161_9	argH//
go_0006163_6	citE//
go_0006164_7	iaaA//alaA//eno//dmsC//
go_0006166_6	yqhD//
go_0006168_7	purB//srlD//
go_0006171_9	
go_0006172_9	rlmD//
go_0006177_9	nrfB//
go_0006178_7	pabA//
go_0006183_9	hpt//
go_0006189_10	queA//bcsA//
go_0006203_8	gatZ//mrdA//
go_0006206_6	ygjK//pyrF//wecB//
go_0006207_8	guaD//pncB//hcaE//yqhD//metB//
go_0006208_7	fre//torZ//trpS//mocA//ribB//fadI//
go_0006209_6	purB//
go_0006210_8	patZ//
go_0006212_6	ldtB//cysH//sodA//metF//scpB//pbpC//tesB//folA//mmuM//cof//
go_0006217_9	proS//
go_0006218_9	plsC//
go_0006220_6	lpxK//
go_0006221_7	eutB//guaB//adeD//
go_0006222_9	
go_0006225_9	phr//
go_0006226_9	lpxL//truC//
go_0006227_9	pgpC//
go_0006231_9	pck//
go_0006233_9	metK//
go_0006235_9	ppiA//
go_0006241_9	lgoD//
go_0006259_5	mrcA//kdsC//etk//
go_0006260_6	lpxH//idnK//hisI//upp//dbpA//pcm//idi//
go_0006261_7	poxB//polA//hmp//
go_0006265_6	yfaU//acnA//
go_0006266_6	glnA//dosP//umpH//
go_0006267_5	
go_0006268_9	yeaG//maeA//
go_0006269_6	yggF//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	pyrE//metC//
go_0006281_6	hisS//glgC//waaF//dmlA//bioB//cof//ldtB//ilvD//ppsA//phnH//cysN//patA//rutC//rlmI//pgk//galM//fadJ//
go_0006283_8	
go_0006284_7	nemA//glyA//nudF//gnd//aphA//mazG//
go_0006285_6	asnS//mtn//fadJ//leuC//
go_0006288_8	putA//yfeX//
go_0006289_7	
go_0006298_7	maeA//glgC//pabC//aspA//
go_0006301_7	
go_0006302_7	rhaM//lysU//
go_0006307_8	hcaB//pgaB//gldA//argC//pheT//
go_0006308_6	gnd//ldcA//guaA//dusB//
go_0006310_6	rihB//napC//leuS//dhaM//gor//
go_0006313_4	tdh//
go_0006351_6	puuB//pgaB//
go_0006352_7	
go_0006353_7	
go_0006354_7	cobB//
go_0006355_7	paaK//
go_0006357_8	
go_0006364_9	aroE//speC//rph//fklB//
go_0006378_8	xylB//
go_0006396_7	scpB//rffT//slyD//puuA//rsmA//
go_0006397_8	hisF//
go_0006399_8	yfdR//nudF//
go_0006400_7	murD//sodA//paaA//nrdF//yfdR//
go_0006401_6	pdeL//rffT//trmJ//metL//argF//eptA//
go_0006402_7	arnA//ilvN//ybiV//sad//cmoA//caiD//aroE//
go_0006412_6	bcsA//argG//fadB//narZ//ruvA//
go_0006413_4	xylA//
go_0006414_6	
go_0006415_7	hemF//ndk//
