#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b2714//b3312//b1058//b3766//
GO_0000023_6	b2551//
GO_0000025_7	b2684//
GO_0000027_7	b0427//b3231//b4078//b2751//b1101//b2867//b1497//b4062//b1022//b2290//b3442//b0433//b0263//
GO_0000028_7	b2236//b1830//b0511//b0019//b4187//b0481//b4093//b1978//b0470//
GO_0000032_8	b3895//
GO_0000041_8	b2774//b0804//b2548//b0060//b1990//b1518//b3918//b2133//b1512//b4054//b1535//b3712//b2709//b3954//b0220//b1257//b3584//b3292//b1660//b4050//b0225//b2021//b1329//b2262//b2078//b2898//b0369//b0323//b2150//b0759//b3981//b4089//b2818//b2132//b0842//b0798//b0183//b2417//b0607//
GO_0000050_5	b1058//b0524//b2245//b0448//b3182//b1409//b3745//
GO_0000053_5	b0892//
GO_0000096_5	b2688//b0776//b3148//b0081//b3929//b0758//b2678//b1162//b0101//b1879//b1391//b2945//b3788//b3204//b0588//b3805//b2143//b3241//b1563//b0644//b4241//
GO_0000097_6	b2500//b0363//b0972//b1004//b1284//b0764//b2164//b3189//b3541//b4194//b0942//b1186//b0026//b0860//
GO_0000098_6	b1409//b3361//b1817//b0153//b4005//
GO_0000101_6	b4203//b2619//b3117//b2340//b0928//b2705//b1104//b2491//b2548//b1512//b4083//b2615//b3960//b3009//b2126//
GO_0000103_5	b0765//b1275//b3192//
GO_0000105_6	b4077//b3778//b1535//b0608//b1062//b2674//b3632//b0622//
GO_0000154_7	b0134//b3553//b3526//b2987//b0887//b1132//b0019//b3480//b0622//b3456//b3116//b0213//b2798//b0942//b0174//b0135//b1748//b0336//b0652//b2323//bioP//b2047//b0555//b0614//b2358//b2386//b3539//b3507//b2260//hiuH//b0435//b3041//
GO_0000160_5	b1756//b1501//b0198//b1185//b4213//b0539//b2324//b1104//b1339//b3056//b0183//b0241//b2575//b3050//b2168//b3235//b1314//b4532//b1104//b0766//b3930//b0171//b2946//b0272//b1779//b4300//b1317//b2292//b3139//b0696//b1082//b0603//b1838//b0022//b3824//b2725//b1241//b0637//b2091//b3430//b0621//b2709//b2074//
GO_0000162_7	b4349//b0741//b0554//b2291//b2557//b3935//b0476//b2813//b1861//
GO_0000255_5	b1008//b3989//b2669//b1259//b1492//
GO_0000256_6	b1767//b0956//b1540//b0613//b0195//
GO_0000270_7	b0178//b3415//b2529//b4559//b1817//b2076//b3399//b4393//b0446//b3746//b0473//b2580//b3878//b3321//b3544//b2338//b3105//b0431//b3351//b2128//b3491//b0727//b3791//b3189//b3697//b3052//b3110//b1798//b1261//b2196//b3916//b0149//b3500//b0948//b2679//b3512//b0254//b2154//b0211//b3985//b4170//b1433//b1040//b3860//b1833//b2502//b3556//b1160//b3310//b4214//b1497//b0386//b2184//b4484//b0796//b3828//b1617//b3628//b0903//b1010//b4095//b2004//b3676//
GO_0000271_6	b2235//b2987//b3068//b1062//b2744//b2009//b0583//b0599//b1638//b0063//b3110//b0698//b3247//b3769//b2479//b3958//b1857//b3667//b0574//b0546//b0441//b0183//b1579//b1185//b3148//b3712//b0518//b1061//b1441//b2835//b2318//b0095//b3475//b0424//b2734//b0771//b1186//b3288//b2604//b3787//b1833//b0892//b1291//b4160//b3895//b0829//b0947//b2568//b1756//b2483//
GO_0000272_6	b3712//b0932//b2243//b2676//b2910//b1761//
GO_0000302_5	b0577//b1736//b3368//b0933//b0732//b0476//b1133//b3941//b2476//b0640//b0576//b1650//yeeL//b0059//b1774//b1554//b0962//b0336//b3749//b0806//b0008//insI4//b0603//b1281//b1110//b0002//b0830//b3819//b3394//b3017//b1328//
GO_0000303_6	b0196//b0405//
GO_0000305_5	b4372//b0097//b0767//
GO_0000372_11	b2756//
GO_0000375_9	b1713//
GO_0000376_10	b0820//
GO_0000413_9	b3804//b4506//b2587//b0993//b3671//b1944//b2037//b1612//
GO_0000451_7	b0330//b0486//b1955//b3887//b3952//
GO_0000453_8	b3462//b1084//b4189//b2839//b3185//
GO_0000455_9	b2311//b4365//b0240//b3877//b3320//b3904//b3823//
GO_0000462_11	b1034//b3311//
GO_0000469_8	b4399//
GO_0000470_10	b3089//
GO_0000478_9	b3447//
GO_0000715_6	b0398//
GO_0000716_7	b1162//
GO_0000724_8	b3666//
GO_0000725_7	b4299//b1390//b0478//b2092//b2927//b0890//
GO_0000726_7	b0425//
GO_0000731_7	b3428//b3258//b2260//b1300//b3834//b0529//b4169//
GO_0000737_7	b4203//
GO_0000738_7	b0038//b0363//b3213//
GO_0000746_4	b1039//
GO_0000820_7	b0398//
GO_0000902_5	b3636//
GO_0000910_4	b3250//b0733//b0875//b0733//b1988//b2888//b4131//b3940//b0166//b3401//b1445//b2748//b0040//b3876//b3651//b3540//b0429//b0650//
GO_0000917_6	b0639//b0368//b1094//b2199//b3470//
GO_0000918_6	insI4//b1276//b1863//b0649//
GO_0000920_3	b3730//b2501//b1012//b1944//b0059//
GO_0000921_6	b3252//
GO_0000966_8	b1661//b3026//b0819//b4510//
