# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tdcD//
go_0000025_7	fabA//
go_0000027_7	fabI//alaA//yigB//selB//
go_0000028_7	xylB//
go_0000032_8	galE//
go_0000041_8	maeA//
go_0000050_5	folP//menC//adk//hcaE//pdeR//
go_0000053_5	ampD//
go_0000096_5	sad//
go_0000101_6	ppk//
go_0000103_5	pgpC//paaJ//
go_0000105_6	coaA//gcvH//pta//tag//serS//yqjH//guaB//
go_0000160_5	panC//
go_0000162_7	glgC//yjcS//fruK//bfr//moaA//gcvT//nrdF//proA//recO//
go_0000270_7	queG//kefF//cobT//sucC//dxs//murC//dfp//insI-2//rsgA//tsaD//
go_0000271_6	murC//
go_0000302_5	pphA//
go_0000303_6	phnP//putA//
go_0000305_5	
go_0000372_11	
go_0000413_9	galU//ribD//gloB//nrfD//acnA//fabH//lpxD//
go_0000453_8	rlmF//yahK//truB//pdxK//
go_0000455_9	otsB//puuA//glyS//dbpA//pphA//yidA//ribB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	rlmF//
go_0000726_7	serB//
go_0000731_7	menE//eda//
go_0000737_7	
go_0000738_7	cadA//mnmG//
go_0000746_4	
go_0000820_7	alkB//
go_0000902_5	
go_0000910_4	gstB//nudB//murI//
go_0000917_6	
go_0000918_6	
go_0000920_3	gloC//
go_0000921_6	
go_0000967_10	katE//
go_0001101_4	gpp//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	phnI//
go_0001510_5	ppiC//lgoD//
go_0001514_8	ydiB//
go_0001522_7	pyrC//ynfH//napC//iaaA//
go_0001558_5	
go_0001561_6	nrdF//
go_0001676_6	dxs//
go_0001680_11	ghrB//
go_0001682_11	aroB//tdcE//
go_0001731_7	
go_0001762_6	rnpA//
go_0001887_4	queG//pdeF//
go_0001896_5	argB//
go_0002047_6	phoA//opgE//
go_0002097_8	umuD//
go_0002098_9	pgm//ackA//moaA//ldhA//
go_0002099_9	hemL//queF//
go_0002100_9	eptA//
go_0002101_9	alaS//
go_0002128_7	epd//
go_0002131_9	guaD//
go_0002132_9	ycaO//
go_0002136_10	atoB//
go_0002143_9	hemG//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	glcE//
go_0002938_8	coaA//
go_0002939_7	cobC//
go_0002943_8	cysD//
go_0002949_8	cmk//yjcS//lysU//
go_0003333_7	narI//mraY//dgkA//cfa//waaS//rpiB//rihC//hchA//fruK//eutB//alaA//rluD//acpH//
go_0005975_4	menB//yciA//moaE//entD//cueO//nrfC//gldA//aroF//hemC//mobA//tgt//galM//sdhC//asnA//pyrG//rlmB//
go_0005976_5	rlmL//
go_0005977_6	nudB//
go_0005978_7	kdsD//tsaC//dxr//patD//
go_0005980_7	queD//suhB//argC//
go_0005986_7	fadH//
go_0005990_7	yhdJ//
go_0005992_7	folE//ldtB//
go_0005993_7	dgkA//gph//moaE//
go_0005995_7	mutM//
go_0005998_7	nhoA//
go_0006000_6	nanK//
go_0006001_7	pdeF//narH//
go_0006002_5	ispF//yeaG//lpd//
go_0006006_6	mtgA//puuB//mhpC//proC//umuD//
go_0006007_7	dgkA//ndk//
go_0006011_5	nrdF//
go_0006012_6	hisH//
go_0006013_6	garD//
go_0006014_6	nirD//
go_0006015_7	nanA//cheR//
go_0006020_5	argG//
go_0006044_7	dkgA//
go_0006046_8	tyrA//gadA//
go_0006047_5	treF//mnmC//
go_0006048_6	garL//frmB//nanK//tag//
go_0006053_8	hyaC//
go_0006062_8	ligA//
go_0006071_6	ldtD//dgkA//
go_0006072_6	kefF//
go_0006082_4	mpaA//
go_0006083_6	aroB//gudD//napA//
go_0006086_8	glcE//waaJ//
go_0006090_8	suhB//thrS//recG//dapF//mutM//wrbA//moaE//
go_0006094_7	atoB//paaA//lpxK//aroE//carA//fabZ//uidA//pykF//patA//
go_0006096_6	ybcF//folC//entC//melA//lacZ//rsmD//yihS//thiD//acpT//dadA//preT//pagP//dgcT//
go_0006097_5	ilvM//amyA//rsmE//malS//pyrF//
go_0006098_6	mobA//rhaM//queA//glyS//yfdR//
go_0006099_4	thiL//adhP//rfaE//aspA//fadE//leuS//waaZ//adiA//psuG//accD//speG//deoD//eda//
go_0006103_5	ybjI//araB//tdcE//malY//
go_0006104_6	folC//
go_0006105_5	fumB//
go_0006106_8	dacD//
go_0006107_8	
go_0006108_8	rluE//metE//lpd//pdxH//
go_0006113_5	lysA//dacD//
go_0006115_6	nanE//
go_0006124_6	
go_0006144_6	
go_0006145_7	hemD//
go_0006146_8	epd//
go_0006148_9	rlmE//
go_0006149_9	murF//
go_0006150_9	tsaB//
go_0006152_7	trmD//frc//dkgB//dapF//dadA//
go_0006154_6	entA//
go_0006161_9	umpH//
go_0006163_6	ppsA//
go_0006164_7	pgpB//aroH//sseA//yfcF//
go_0006166_6	nrdD//
go_0006168_7	thiE//yidA//
go_0006171_9	
go_0006172_9	waaG//
go_0006177_9	frmB//
go_0006178_7	asnA//
go_0006183_9	alkB//
go_0006189_10	ilvH//pgaC//
go_0006203_8	zwf//treC//
go_0006206_6	rfbB//glgB//purN//
go_0006207_8	alkA//ppiC//rutD//dapD//tmcA//
go_0006208_7	nudC//pflB//proB//speD//hemC//pheA//
go_0006209_6	nagK//
go_0006210_8	serB//
go_0006212_6	rimK//rlmF//rlmD//hisF//ybjI//mnmC//etp//gcvP//aroH//mnaT//
go_0006217_9	dgcT//
go_0006218_9	tig//
go_0006220_6	dmsA//
go_0006221_7	trmL//waaJ//ampD//
go_0006222_9	
go_0006225_9	manA//
go_0006226_9	nadC//trpD//
go_0006227_9	glcD//
go_0006231_9	mnmA//
go_0006233_9	hisG//
go_0006235_9	pcm//
go_0006241_9	fumA//
go_0006259_5	gpmM//sodB//glyA//
go_0006260_6	tpiA//aroK//hcaB//ruvA//lpcA//nudG//ampH//
go_0006261_7	ldcA//fadM//fucK//
go_0006265_6	lpxB//yeaE//
go_0006266_6	thrA//frmA//gpsA//
go_0006267_5	
go_0006268_9	glpB//phnI//
go_0006269_6	pphB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	psuG//bglB//
go_0006281_6	phnG//pgpB//glyS//citC//fabA//uxaB//fabG//hyaC//aroG//dadA//rsmD//cmoA//rihC//hypF//leuA//cpdA//add//
go_0006283_8	
go_0006284_7	mrcA//mcrB//yidA//hyaA//yieF//argC//
go_0006285_6	avtA//mutY//pck//der//
go_0006288_8	gudD//sbcB//
go_0006289_7	
go_0006298_7	mltC//wcaJ//prs//manA//
go_0006301_7	
go_0006302_7	mraY//thiD//
go_0006307_8	nudF//umpG//ftnA//hypB//nanK//
go_0006308_6	waaJ//menF//lplA//sucA//
go_0006310_6	yciA//rhaM//hisG//mltA//yjjG//
go_0006313_4	nirD//
go_0006351_6	sdhD//adhE//
go_0006352_7	
go_0006353_7	
go_0006354_7	astB//
go_0006355_7	guaB//
go_0006357_8	
go_0006364_9	paaZ//puuA//ribD//serB//
go_0006378_8	gabD//
go_0006396_7	ycaO//fucA//tsaE//yjjG//argI//
go_0006397_8	cmoB//
go_0006399_8	pdeH//sseA//
go_0006400_7	tesB//fabD//rlmH//dcyD//murG//
go_0006401_6	fbp//rluD//rph//acpT//nadE//sseA//
go_0006402_7	metC//treA//sgbE//kdsB//puuE//thrS//entF//
go_0006412_6	phnJ//yjhH//xdhB//ppiA//trpC//
go_0006413_4	dbpA//
go_0006414_6	
go_0006415_7	puuB//kdsA//
go_0006417_7	mnmE//ahpC//
go_0006418_7	caiB//selD//moeA//recR//fadI//ilvE//frlC//arnA//rlmE//ubiI//pagP//
go_0006419_8	cynT//
go_0006420_8	talB//
go_0006421_8	metG//
go_0006422_8	aroB//
go_0006423_8	tynA//
go_0006424_8	spoT//rhaD//
go_0006425_8	rlmJ//
go_0006427_8	sgbU//
go_0006428_8	kbaZ//
go_0006429_8	metB//
go_0006430_8	rne//dfp//
go_0006431_8	yfbR//
go_0006432_8	hisS//
go_0006433_8	kefF//
go_0006434_8	rluD//
go_0006435_8	frlB//
go_0006436_8	cueO//
go_0006437_8	deoD//
go_0006438_8	guaB//
go_0006448_8	
go_0006450_4	rsmB//dusB//hisF//nrdF//hmp//dapB//
go_0006457_3	kdsC//tig//waaQ//citX//argE//fumC//uvrB//
go_0006458_4	
go_0006464_6	udp//puuE//ppiA//azoR//serA//ppiC//ulaF//iaaA//
go_0006465_6	tktB//idi//argB//
go_0006468_7	preT//
go_0006470_7	menD//miaB//araB//pdxY//gatD//
go_0006473_8	selB//
go_0006474_6	xthA//rsmB//upp//
go_0006476_8	mutH//
go_0006479_5	cdd//ruvB//mmuM//metG//slt//abgB//
go_0006486_5	argF//
go_0006490_5	rlmE//
go_0006508_5	moeB//pabA//gmd//mhpA//rihA//gcd//asnB//acpT//prpC//frdA//hdhA//hpt//malS//eutB//uvrB//menH//guaD//astC//suhB//paaC//valS//tdcB//ubiE//ndh//wzc//asd//ddlA//thiH//bacA//phnM//ldtE//dusB//frmA//
go_0006515_7	bcsA//rsmD//ppsA//glnS//waaG//treC//paaC//
go_0006517_6	aceA//paaE//
go_0006518_5	tdcD//nagB//
go_0006523_8	tyrB//ispF//
go_0006524_8	
go_0006526_8	birA//lpxH//insI-1//pyrE//bioC//hpt//psuG//
go_0006527_8	csdA//yigB//spoT//ispF//clsC//
go_0006529_7	ugd//menC//
go_0006530_7	melA//nrdB//rlmF//rihC//
go_0006531_7	fadK//
go_0006532_8	hchA//mnaT//dusB//
go_0006535_8	phnO//mocA//proA//
go_0006537_8	katE//
go_0006538_8	fabH//gatY//
go_0006541_7	gltX//fkpA//argB//nudB//plsB//
go_0006542_8	preT//dmsB//
go_0006543_8	
go_0006545_6	xapA//
go_0006546_6	ampD//waaU//cpdA//
go_0006554_8	cysK//pck//yjhH//
go_0006556_5	aroE//
go_0006559_6	udk//
go_0006561_6	rlmG//ynfF//
go_0006563_7	yfdR//
go_0006564_8	ilvB//coaA//clsB//pagP//
go_0006565_8	katG//nrfD//ynfF//ulaD//lpxB//
go_0006566_7	araD//
go_0006567_8	dgkA//ahpC//rffT//metL//sodB//ppk//trmO//
go_0006569_7	uvrB//
go_0006571_7	citX//idi//
go_0006593_7	napC//
go_0006598_8	truC//atoB//curA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	queC//cheB//
go_0006631_5	gstA//nrdD//cof//insI-2//menC//
go_0006633_6	glpA//waaH//tmk//rhaD//alr//tdcE//lldD//nrdA//accB//tmcA//rsmH//
go_0006635_6	epmC//narY//polB//fkpA//nudC//paaB//hisF//ydiO//cyoE//nagK//pabB//gltX//
go_0006636_7	
go_0006637_5	thiC//nadK//fumB//hemN//rluA//
go_0006646_7	
go_0006650_6	
go_0006654_7	treA//
go_0006655_7	nirD//fabB//
go_0006725_4	nagA//
go_0006729_6	guaB//mutY//
go_0006730_4	nadB//yieF//accB//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	metE//pyrF//nrfA//phoA//menB//thrS//aceF//gcd//dacD//tilS//folM//nfsB//
go_0006749_5	yciV//alkA//
go_0006750_6	glpK//hypF//
go_0006751_6	nanA//
go_0006757_5	ubiG//
go_0006760_5	rrrD//
go_0006761_7	tktB//
go_0006771_5	mltC//
go_0006772_6	trpD//glpD//
go_0006777_5	nhoA//moaD//tdcE//queC//clsA//
go_0006779_6	acpT//tynA//moaA//mcrB//lpxB//
go_0006780_7	lyxK//
go_0006782_7	malY//mhpC//astB//rpiB//
go_0006783_5	phoA//cdh//yagE//rutA//tcdA//murD//miaB//
go_0006790_4	araA//ppc//lpoA//frlC//thiI//thiL//dapA//chbG//rsmA//allD//
go_0006791_2	lpxT//eptB//menB//
go_0006793_4	ispF//rhaD//
go_0006798_5	nudG//
go_0006799_5	mepS//
go_0006801_5	argB//waaZ//hinT//
go_0006805_4	ribD//moaE//mmuM//gpmA//
go_0006807_3	mobA//nrfB//dcyD//
go_0006808_4	metC//
go_0006810_4	gntK//rffT//dnaE//treA//fumC//cpdA//accB//cysD//kbaY//rutE//yfbR//ldtD//sdaB//citX//entC//glxK//paaH//ansA//tpiA//garL//mltA//lysC//umpH//arnT//talB//folM//sdhB//ybhA//lpcA//cheB//waaQ//ydiF//menA//yhdJ//pheA//argH//truA//cynS//glk//ribE//umpH//tsaC//ymdB//aroB//gltX//folD//accA//sodB//mnmC//ybiV//scpB//wecB//torY//serA//lpxM//cysD//glmS//gmhB//yjiA//gmhB//betA//pyrE//rsgA//prpC//rne//scpC//btuE//murF//ydiO//waaU//puuC//rsgA//deoC//rlmD//trmD//mcrA//dmsA//
go_0006811_5	glgX//aldA//gatY//asnB//sthA//clsB//aroE//rrrD//queG//ubiE//aroK//
go_0006812_6	ldcA//sdhB//
go_0006813_8	wecB//cyaA//rbsK//serB//mmuM//clsB//pdeR//lpxP//
go_0006814_8	tnaA//gpsA//tyrS//xthA//
go_0006817_8	pgm//
go_0006820_6	bioC//dcd//nrfC//wzc//alr//
go_0006821_8	truC//
go_0006824_8	thiC//maeA//hemH//garD//
go_0006825_9	cmk//
go_0006826_9	menI//
go_0006828_9	yihT//
go_0006829_9	pgpC//fklB//frdD//dgoD//argA//
go_0006833_6	
go_0006835_8	gcl//ubiI//
go_0006847_8	nagZ//
go_0006855_6	hisB//yfdR//hisB//hcp//nrfC//nudB//glpX//pheA//hypB//folC//hyi//slyD//selB//cueO//
go_0006857_7	sodC//mcrB//fucA//
go_0006863_7	sad//
go_0006865_6	fucA//yrfG//rluB//purA//alsK//talB//gltX//ybhA//pdeH//pgaB//fdhF//rbsD//trpE//treC//ndh//sbcB//trmI//ldcA//cpdB//glk//yjiA//
go_0006868_7	hcp//
go_0006869_6	ygeX//
go_0006874_8	
go_0006876_8	mnmG//
go_0006878_9	btuR//
go_0006879_9	sdaA//spoT//
go_0006880_4	argH//rsmA//
go_0006882_8	ulaG//
go_0006883_8	der//waaB//pbpC//
go_0006884_4	
go_0006885_9	ldhA//
go_0006886_5	
go_0006928_3	lsrG//
go_0006935_4	ddlA//tyrB//sgbH//queA//lpxD//
go_0006970_4	speG//rlmB//fucA//adhE//fdhF//sgbE//
go_0006972_5	rpiB//sodB//waaH//leuC//hypF//
go_0006974_5	oxc//wzc//feaB//fabG//rffG//yggF//phnO//cpsB//rlmJ//purL//gadA//cmoB//glmU//clsA//waaO//dusB//rsmB//ravA//birA//fabD//ispU//fabG//umuD//accD//rlmC//phnH//bacA//arnB//yahK//ubiE//glnE//galK//gloC//rluE//dgcT//thyA//wzc//waaP//add//metB//nemA//plsB//gcvH//bioF//waaZ//fumC//recF//aceA//pdeF//idi//pldB//nrdF//umpH//pgl//nrdE//bioC//murC//folD//yfaU//entF//argI//tpiA//kefF//glk//lsrK//epmC//uvrC//gudD//frlC//sdaB//rlmJ//mdh//menB//nadA//thiL//treF//proA//adhP//uvrB//ltaE//pdxY//bcsA//upp//mtgA//yihX//kefF//prmB//glgA//argF//pyrF//ghrB//add//aroH//prs//mtn//
go_0006979_4	oxc//slt//scpB//pncB//nrfC//sodA//ilvI//truC//ribA//pldB//cof//cmk//phnI//bioF//waaJ//umpH//leuS//waaL//leuS//clsC//galE//insI-2//citC//relA//adhP//bacA//
go_0006986_5	rsmE//
go_0006995_6	bioF//psuG//
go_0007059_3	tsaE//suhB//
go_0007062_4	
go_0007155_3	rsmE//
go_0007165_3	panC//murF//
go_0007234_5	
go_0007584_4	
go_0008033_9	idnO//guaC//trmO//entE//aspC//tilS//nrfC//carB//
go_0008104_4	
go_0008152_2	rsmA//phnP//yegS//rlmB//queG//yjjX//ldtC//yihU//codA//hyaC//tig//hisG//dusC//menI//pyrF//yagE//dsdA//
go_0008156_8	
go_0008219_3	
go_0008272_6	rsmH//hisA//
go_0008295_6	gadA//fbaA//waaB//
go_0008299_5	thiG//
go_0008360_4	prpB//mtn//patD//frlB//queD//mnaT//thrB//sucC//thiL//pabB//bioA//
go_0008610_5	aroL//cysN//mtlD//speG//
go_0008615_6	sdhC//bglB//udk//pyrD//udk//fcl//dbpA//
go_0008616_8	paoC//sthA//bacA//lysU//btuR//cyoE//
go_0008643_6	kduI//ribD//hyaA//adhP//torZ//aldA//tag//napB//trpA//chbG//ydiF//hisG//ttdB//rlmB//ssuE//nrdD//cpsG//csdA//
go_0008652_5	proB//guaA//rluC//mnmA//frmA//epmA//dacC//rluE//
go_0008653_5	
go_0008654_5	araA//pheT//sbcB//nth//
go_0009050_6	waaC//xylB//
go_0009052_6	tesB//hisI//dgcZ//coaA//ldtE//uidA//
go_0009056_3	thiH//
go_0009058_3	bfr//prpD//slt//lyxK//
go_0009060_6	ppk//tesB//serB//cmoA//abgA//tauD//rph//
go_0009061_6	ansB//waaC//dacC//cobB//menC//cmoA//xylA//nrdD//purA//bacA//ubiD//uxaB//rnpA//hemL//patZ//ssuD//yciA//murD//mrcB//aroK//purD//
go_0009062_6	yeiG//
go_0009063_5	hpt//gatY//paaJ//
go_0009070_7	rffT//
go_0009073_6	rhaD//hypB//kduI//malP//pgsA//rsmH//rdgB//puuB//cysM//galK//kdsB//
go_0009081_5	hemG//purD//
go_0009082_6	rdgB//fucO//clsB//queG//glcB//thrB//yqhD//
go_0009085_8	talB//
go_0009086_7	fadM//ftnA//add//paaG//ilvB//
go_0009088_8	speB//folC//
go_0009089_6	dinB//pyrB//hinT//wecB//ubiH//thyA//
go_0009090_8	dgt//pyrG//mobA//accC//
go_0009092_7	rnd//
go_0009093_7	
go_0009094_6	menE//uxaC//hypF//
go_0009097_7	yghU//ruvA//yahK//pbpC//maeA//
go_0009098_7	malP//patZ//metK//guaB//asd//bglX//
go_0009099_7	glpX//murD//bioB//cheB//nadE//epd//truC//
go_0009102_6	acpT//xdhB//tdk//glcF//ydiF//speF//glyS//ampD//folC//
go_0009103_6	mgsA//serC//aroK//allC//entC//paaK//metL//fadA//moaA//
go_0009106_5	torA//
go_0009107_6	dld//poxB//
go_0009108_6	patD//
go_0009116_5	mtgA//ubiF//
go_0009142_7	thiC//
go_0009143_7	mutS//
go_0009152_8	ugd//
go_0009157_8	pgm//
go_0009166_7	sseA//eptA//
go_0009168_9	lldD//
go_0009220_8	tyrB//sgbE//
go_0009224_9	hyaC//
go_0009226_6	cysE//sdhC//
go_0009228_7	waaY//pflB//betA//menA//ydiO//cfa//mocA//nirB//ilvB//
go_0009229_6	metH//waaL//
go_0009231_6	kduD//yfcG//recJ//glpD//gatY//cyaA//rffG//
go_0009234_7	clsA//entA//rhaD//fadB//rlmG//iaaA//nagZ//epd//ltaE//
go_0009236_6	putA//thiM//add//trmJ//bioH//truB//
go_0009237_4	maeA//serS//
go_0009239_6	ravA//uxuB//ybcF//sdhB//caiB//gpmA//mltB//ispF//
