# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ygjK//
go_0000025_7	pyrF//
go_0000027_7	metE//eptA//uxaB//cmk//
go_0000028_7	speF//
go_0000032_8	fadM//
go_0000041_8	guaD//
go_0000050_5	ampH//fumC//ybjI//rbsD//ldtB//
go_0000053_5	sdaB//
go_0000096_5	ldcC//
go_0000101_6	mtn//
go_0000103_5	nrfA//sgbE//
go_0000105_6	ribB//fabG//rhaB//rsmI//trpE//phnP//hemC//
go_0000160_5	torA//
go_0000162_7	gshB//pdxK//napC//tilS//kdsC//phnG//def//hcaD//fucO//
go_0000270_7	rsmF//xylA//ybiV//yciV//serS//ycjU//paaC//katE//aroK//uxuA//
go_0000271_6	ilvC//
go_0000302_5	ubiX//
go_0000303_6	pepD//torZ//
go_0000305_5	
go_0000372_11	
go_0000413_9	feaB//prmB//nth//thiM//waaA//cpsB//citC//
go_0000453_8	yjjX//ugd//icd//dxs//
go_0000455_9	gcd//slt//rlmG//idnK//dapF//metH//leuB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	sodB//
go_0000726_7	ldtC//
go_0000731_7	pyrE//deoC//
go_0000737_7	
go_0000738_7	glpA//rpiA//
go_0000746_4	
go_0000820_7	mpaA//
go_0000902_5	
go_0000910_4	hisA//rne//epmB//
go_0000917_6	
go_0000918_6	
go_0000920_3	alaS//
go_0000921_6	
go_0000967_10	allD//
go_0001101_4	serC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pcm//
go_0001510_5	atoB//orn//
go_0001514_8	narI//
go_0001522_7	gatY//dacC//rsuA//scpC//
go_0001558_5	
go_0001561_6	gadB//
go_0001676_6	dut//
go_0001680_11	galT//
go_0001682_11	thiH//proB//
go_0001731_7	
go_0001762_6	gnd//
go_0001887_4	uvrC//garK//
go_0001896_5	dacD//
go_0002047_6	lgoD//cynT//
go_0002097_8	hcaC//
go_0002098_9	glcF//narV//sbcB//ispH//
go_0002099_9	trmO//dbpA//
go_0002100_9	yjjX//
go_0002101_9	pnp//
go_0002128_7	mnmG//
go_0002131_9	lpxH//
go_0002132_9	abgA//
go_0002136_10	astB//
go_0002143_9	mdh//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ispH//
go_0002938_8	hisI//
go_0002939_7	murE//
go_0002943_8	rhaD//
go_0002949_8	yajO//valS//udp//
go_0003333_7	arsC//dcyD//thiI//acpH//murE//fabI//murB//rffH//thiL//ssuD//folE//puuE//nirB//
go_0005975_4	cysS//eutD//insI-2//ribA//thrC//dacD//hycB//puuE//purA//treF//ruvB//hyi//rnt//gluQ//mocA//thiM//
go_0005976_5	btuR//
go_0005977_6	prs//
go_0005978_7	etp//ligA//polA//glgA//
go_0005980_7	aroC//mnmG//ispA//
go_0005986_7	pdxH//
go_0005990_7	ushA//
go_0005992_7	pheT//mltD//
go_0005993_7	spoT//argF//lpcA//
go_0005995_7	ybhA//
go_0005998_7	puuA//
go_0006000_6	yqaB//
go_0006001_7	ansA//cobT//
go_0006002_5	coaD//sdhA//relA//
go_0006006_6	thiH//dapA//mobA//zwf//mrdA//
go_0006007_7	bcsA//ilvM//
go_0006011_5	rluC//
go_0006012_6	frdB//
go_0006013_6	tauD//
go_0006014_6	glgC//
go_0006015_7	aroF//hisS//
go_0006020_5	fucA//
go_0006044_7	fumC//
go_0006046_8	tauD//dgkA//
go_0006047_5	waaO//ldhA//
go_0006048_6	mltA//waaO//glcB//ftnA//
go_0006053_8	prmB//
go_0006062_8	tesB//
go_0006071_6	fadB//mak//
go_0006072_6	lpd//
go_0006082_4	glcF//
go_0006083_6	ispB//gcvT//malS//
go_0006086_8	dam//gatY//
go_0006090_8	garR//pta//ppiA//rpe//pdxB//mnaT//rffC//
go_0006094_7	mnmE//aceB//purD//cpdA//pykA//proS//maeA//nudC//dhaL//
go_0006096_6	phnH//trmD//glmU//icd//adk//fadM//tsaB//pgl//dacC//phnO//murB//ogt//rhaM//
go_0006097_5	eptB//gloC//rph//tdcD//entH//
go_0006098_6	rutA//glpC//eptB//mltC//gapA//
go_0006099_4	aceA//mltD//gutQ//yihV//mltB//napA//trpA//ygjK//truA//pykF//tsaC//cynS//bglB//
go_0006103_5	rutD//phnI//sgbE//pepD//
go_0006104_6	puuC//
go_0006105_5	ampD//
go_0006106_8	mnmG//
go_0006107_8	
go_0006108_8	nrfC//glgA//fadI//proS//
go_0006113_5	fadH//rlmH//
go_0006115_6	gpmM//
go_0006124_6	
go_0006144_6	
go_0006145_7	fadH//
go_0006146_8	ilvH//
go_0006148_9	ulaD//
go_0006149_9	fadD//
go_0006150_9	ugd//
go_0006152_7	hemF//ndk//garK//katE//ubiA//
go_0006154_6	cpsG//
go_0006161_9	hisC//
go_0006163_6	sodB//
go_0006164_7	selB//dgt//pldB//pyrC//
go_0006166_6	yjiA//
go_0006168_7	dnaQ//narZ//
go_0006171_9	
go_0006172_9	pdeR//
go_0006177_9	fumB//
go_0006178_7	uxaC//
go_0006183_9	rluD//
go_0006189_10	sdhD//nudC//
go_0006203_8	panB//paaG//
go_0006206_6	alaS//thrS//panD//
go_0006207_8	ilvA//mnmG//aroE//dacC//ubiD//
go_0006208_7	yqhD//araB//lysU//kdsB//speE//hcaB//
go_0006209_6	gloA//
go_0006210_8	sodA//
go_0006212_6	poxB//gabD//gloA//dhaM//paaG//ldtD//ddlA//tesB//dhaM//ppc//
go_0006217_9	aldB//
go_0006218_9	hisH//
go_0006220_6	dusC//
go_0006221_7	purN//allB//murC//
go_0006222_9	
go_0006225_9	glmU//
go_0006226_9	ubiE//acnB//
go_0006227_9	xylB//
go_0006231_9	rluA//
go_0006233_9	rffT//
go_0006235_9	ispH//
go_0006241_9	fadB//
go_0006259_5	waaO//pfkB//ahr//
go_0006260_6	aes//purL//putA//lpoB//ybjG//gph//paoC//
go_0006261_7	aceA//tgt//rimK//
go_0006265_6	pnp//ynfE//
go_0006266_6	waaP//relA//ispU//
go_0006267_5	
go_0006268_9	paaB//glyS//
go_0006269_6	tsaE//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	mrdA//fadD//
go_0006281_6	purU//ribD//cysE//pgaC//mnmC//nadA//gltD//ldtA//insI-1//aroK//mhpD//frmB//bioB//selA//rfbD//pgaD//rhaA//
go_0006283_8	
go_0006284_7	rfbB//napB//apt//gdhA//gutQ//asd//
go_0006285_6	rihA//dcd//waaP//hcaE//
go_0006288_8	ushA//accB//
go_0006289_7	
go_0006298_7	frdA//thiH//paaA//patD//
go_0006301_7	
go_0006302_7	ugd//guaC//
go_0006307_8	argC//yhdH//ybjG//suhB//speF//
go_0006308_6	sdaA//yfeX//glgC//araB//
go_0006310_6	epd//guaA//slt//pheT//thrB//
go_0006313_4	waaG//
go_0006351_6	truC//umuC//
go_0006352_7	
go_0006353_7	
go_0006354_7	glyA//
go_0006355_7	proS//
go_0006357_8	
go_0006364_9	dhaL//bfr//agp//wecB//
go_0006378_8	relA//
go_0006396_7	ldtC//yihX//fadJ//amyA//ulaG//
go_0006397_8	fabD//
go_0006399_8	guaB//gabD//
go_0006400_7	zwf//murG//ssuD//entA//metK//
go_0006401_6	kdsC//cheR//ubiA//kbaZ//aroB//bfr//
go_0006402_7	tdcE//mnmE//rihA//serC//lysU//citE//adeD//
go_0006412_6	manA//asnA//waaQ//nrdD//metK//
go_0006413_4	lpxK//
go_0006414_6	
go_0006415_7	coaD//leuA//
go_0006417_7	guaB//hemD//
go_0006418_7	preA//gph//agp//fabG//mutH//nadE//gpmM//gloA//nanK//ispU//dmsA//
go_0006419_8	cysH//
go_0006420_8	pgpA//
go_0006421_8	opgB//
go_0006422_8	rnt//
go_0006423_8	ldtA//
go_0006424_8	panC//luxS//
go_0006425_8	ugd//
go_0006427_8	narV//
go_0006428_8	ycaO//
go_0006429_8	ulaE//
go_0006430_8	rsmJ//scpC//
go_0006431_8	mhpC//
go_0006432_8	speF//
go_0006433_8	rutA//
go_0006434_8	guaA//
go_0006435_8	paaG//
go_0006436_8	rlmI//
go_0006437_8	thiI//
go_0006438_8	ilvA//
go_0006448_8	
go_0006450_4	cobC//lpxP//waaL//pgk//serA//tyrA//
go_0006457_3	rnb//pncB//arnA//rlmA//sbcB//rsmG//yigL//
go_0006458_4	
go_0006464_6	puuC//moaE//phnH//glpA//accB//eptA//luxS//mutL//
go_0006465_6	trmI//queD//paaG//
go_0006468_7	thiE//
go_0006470_7	dosP//ugd//napA//napC//pyrF//
go_0006473_8	hemG//
go_0006474_6	ulaG//rffG//coaE//
go_0006476_8	rutA//
go_0006479_5	umuD//etp//pflB//waaG//mltD//recF//
go_0006486_5	coaA//
go_0006490_5	sdaA//
go_0006508_5	mltC//rfbB//udk//rfaE//solA//fadH//aceB//dapF//preA//chbF//fabB//thiH//dusB//gudD//ilvH//yqhD//lpxP//fucK//glmM//rpiA//miaB//uxaA//hpt//acpH//azoR//yieH//nfsB//gntK//glgC//orn//katG//rihB//atoB//
go_0006515_7	hinT//mak//ynfE//hmp//patZ//murI//rlmF//
go_0006517_6	rihB//aroG//
go_0006518_5	dosP//murC//
go_0006523_8	selA//glpD//
go_0006524_8	
go_0006526_8	entA//glnE//thiI//hemF//ppsA//aspS//tdcE//
go_0006527_8	clsB//cobS//ldhA//waaP//glpA//
go_0006529_7	dgoA//lpxM//
go_0006530_7	thiD//lpxL//ddlA//yfbR//
go_0006531_7	ybiV//
go_0006532_8	narH//glgP//narY//
go_0006535_8	tehB//glpX//dapF//
go_0006537_8	fre//
go_0006538_8	pdxJ//entE//
go_0006541_7	frlB//lyxK//ulaD//yfcF//dapF//
go_0006542_8	cdh//pdxJ//
go_0006543_8	
go_0006545_6	thiD//
go_0006546_6	trmA//cysH//garD//
go_0006554_8	luxS//fucK//metC//
go_0006556_5	argG//
go_0006559_6	ubiE//
go_0006561_6	abgB//ruvA//
go_0006563_7	aroE//
go_0006564_8	der//uxaA//mnmE//rhaA//
go_0006565_8	pgaB//hemH//nagZ//rluB//hcaF//
go_0006566_7	gabD//
go_0006567_8	nrfB//nadK//yfeX//fabZ//ymdB//dcyD//nagB//
go_0006569_7	rlmM//
go_0006571_7	cysK//deoB//
go_0006593_7	ldtA//
go_0006598_8	yihX//cyaA//paaK//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	rsgA//purF//
go_0006631_5	pphA//trpA//mug//ycaO//citX//
go_0006633_6	rutA//trpB//lldD//cyaA//rnt//purC//sodA//gstA//adk//xapA//glgX//
go_0006635_6	glgA//cyoE//gpp//rsmD//phnG//bglA//nanK//thiD//tsaD//hypB//mutS//mltA//
go_0006636_7	
go_0006637_5	ubiF//chbF//citX//gph//nhoA//
go_0006646_7	
go_0006650_6	
go_0006654_7	waaU//
go_0006655_7	pdeL//nrdD//
go_0006725_4	lpxK//
go_0006729_6	aroH//rlmH//
go_0006730_4	murQ//glcB//murF//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
