# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tmcA//
go_0000025_7	entD//
go_0000027_7	ygjK//ldcC//carB//gcl//
go_0000028_7	leuB//
go_0000032_8	waaJ//
go_0000041_8	nrfC//
go_0000050_5	pphA//dmlA//thiE//mepS//dcm//
go_0000053_5	aspA//
go_0000096_5	hyaC//
go_0000101_6	glgB//
go_0000103_5	poxB//ttdA//
go_0000105_6	bcsA//ulaD//argI//argB//rluA//argS//rnpA//
go_0000160_5	pabA//
go_0000162_7	tag//puuC//lpxK//rnb//fabA//tynA//rnd//deoB//lysS//
go_0000270_7	treA//glyA//cof//thrC//entE//glcF//gpsA//leuS//trmI//hisC//
go_0000271_6	glpB//
go_0000302_5	tdcB//
go_0000303_6	katG//avtA//
go_0000305_5	
go_0000372_11	
go_0000413_9	recG//lipB//dkgB//fucI//ppx//sucD//ybjI//
go_0000453_8	ispF//abgB//truB//ybhA//
go_0000455_9	roxA//pyrF//malS//purD//rsmB//rlmJ//trmJ//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	mrcA//
go_0000726_7	rdgB//
go_0000731_7	fumB//tdk//
go_0000737_7	
go_0000738_7	puuB//lpcA//
go_0000746_4	
go_0000820_7	aroB//
go_0000902_5	
go_0000910_4	pdeL//carA//speB//
go_0000917_6	
go_0000918_6	
go_0000920_3	hmp//
go_0000921_6	
go_0000967_10	nadE//
go_0001101_4	thiE//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pta//
go_0001510_5	sufS//metK//
go_0001514_8	thiH//
go_0001522_7	murI//deoD//rnd//maeA//
go_0001558_5	
go_0001561_6	yihU//
go_0001676_6	rsmJ//
go_0001680_11	cysC//
go_0001682_11	folE//mutL//
go_0001731_7	
go_0001762_6	rluA//
go_0001887_4	eptC//ispG//
go_0001896_5	queF//
go_0002047_6	lpoB//ruvA//
go_0002097_8	lpxB//
go_0002098_9	accA//fkpB//malZ//gstB//
go_0002099_9	thiL//pfkB//
go_0002100_9	rlmM//
go_0002101_9	malS//
go_0002128_7	wzb//
go_0002131_9	tatD//
go_0002132_9	menB//
go_0002136_10	nanE//
go_0002143_9	leuS//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	phnN//
go_0002938_8	hchA//
