# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rrrD//
go_0000025_7	hisD//
go_0000027_7	mutT//ung//ribE//bcsA//
go_0000028_7	acnB//
go_0000032_8	murC//
go_0000041_8	acpT//
go_0000050_5	rlmI//guaC//amiD//pgaB//ycaO//
go_0000053_5	paoC//
go_0000096_5	ftnA//
go_0000101_6	ymdB//
go_0000103_5	torY//pgpC//
go_0000105_6	maa//deoA//polA//frlB//cobC//caiD//sthA//
go_0000160_5	aroA//
go_0000162_7	gpmA//ssuE//allC//asnS//dapD//dmsB//menA//mdh//glmU//
go_0000270_7	sucB//lpoB//mltA//thiL//nrdD//mltC//polA//slt//murQ//rrrD//
go_0000271_6	chbF//
go_0000302_5	yfdR//
go_0000303_6	yegS//ubiI//
go_0000305_5	
go_0000372_11	
go_0000413_9	polB//fumA//ddlA//thrB//galU//speE//gadB//
go_0000453_8	pdxH//rlmA//yjjG//waaU//
go_0000455_9	gldA//rlmB//lpoB//mmuM//ppsA//cysI//dapF//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	mhpD//
go_0000726_7	queC//
go_0000731_7	mltD//pheA//
go_0000737_7	
go_0000738_7	nagB//truA//
go_0000746_4	
go_0000820_7	glcE//
go_0000902_5	
go_0000910_4	agp//aroD//kdsB//
go_0000917_6	
go_0000918_6	
go_0000920_3	rhaD//
go_0000921_6	
go_0000967_10	metL//
go_0001101_4	fabH//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	fabG//
go_0001510_5	rluB//pdeL//
go_0001514_8	nhoA//
go_0001522_7	alaC//polA//serA//arnB//
go_0001558_5	
go_0001561_6	leuB//
go_0001676_6	nagA//
go_0001680_11	cobT//
go_0001682_11	mnmA//phnJ//
go_0001731_7	
go_0001762_6	uidA//
go_0001887_4	gcvT//pyrD//
go_0001896_5	metE//
go_0002047_6	alr//narV//
go_0002097_8	hflX//
go_0002098_9	ugd//miaA//epmC//waaL//
go_0002099_9	thiL//paaK//
go_0002100_9	ribB//
go_0002101_9	gpt//
go_0002128_7	uvrA//
go_0002131_9	betB//
go_0002132_9	pheT//
go_0002136_10	aroH//
go_0002143_9	cfa//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	purU//
go_0002938_8	hypB//
go_0002939_7	fabA//
go_0002943_8	yfeW//
go_0002949_8	araA//cysQ//nfi//
go_0003333_7	gstA//betA//rdgB//garR//gatD//ndh//rsmB//paaE//metL//hisD//eno//mnmE//rsmE//
go_0005975_4	mdh//truA//waaQ//folE//yfcF//zwf//menC//hcaB//ligA//gadA//cfa//pabA//ydiB//phnN//aspS//glmU//
go_0005976_5	gloA//
go_0005977_6	pepD//
go_0005978_7	nadE//recF//serB//pgpB//
go_0005980_7	napA//dhaL//add//
go_0005986_7	zwf//
go_0005990_7	ilvM//
go_0005992_7	ycjU//thiE//
go_0005993_7	mcrA//menF//rfaE//
go_0005995_7	lsrG//
go_0005998_7	ubiE//
go_0006000_6	cysH//
go_0006001_7	rluD//hpt//
go_0006002_5	tdcE//mutM//ybiV//
go_0006006_6	umuC//cheR//moeB//insI-2//tynA//
go_0006007_7	hemH//pykA//
go_0006011_5	thrB//
go_0006012_6	pdeF//
go_0006013_6	glcB//
go_0006014_6	yciV//
go_0006015_7	speE//ldtD//
go_0006020_5	dnaQ//
go_0006044_7	fkpA//
go_0006046_8	astB//serA//
go_0006047_5	alsE//tktB//
go_0006048_6	ubiE//speA//ileS//lpcA//
go_0006053_8	surA//
go_0006062_8	malP//
go_0006071_6	tyrB//rlmA//
go_0006072_6	selD//
go_0006082_4	epmB//
go_0006083_6	dapA//dgoK//rnpA//
go_0006086_8	murD//gstA//
go_0006090_8	ulaF//adeD//menF//pdxJ//entE//rlmA//rpiB//
go_0006094_7	paaK//ppiA//bioC//etk//mnmE//scpC//fabG//nadC//hemA//
go_0006096_6	speE//moaA//scpB//nrdD//pphA//mngB//lpxT//nrdA//araD//bioD//birA//mtn//hisC//
go_0006097_5	betB//miaB//guaC//phnJ//rnb//
go_0006098_6	dhaL//lplA//ndh//betA//dgoD//
go_0006099_4	pyrF//cdsA//birA//argG//speA//sgbH//cadA//pgl//hisG//rffM//ubiD//fabH//ynfH//
go_0006103_5	gstB//paaJ//alsK//rluA//
go_0006104_6	pepD//
go_0006105_5	sucD//
go_0006106_8	ubiH//
go_0006107_8	
go_0006108_8	uvrA//fumA//dfp//iaaA//
go_0006113_5	cyaA//rnb//
go_0006115_6	etk//
go_0006124_6	
go_0006144_6	
go_0006145_7	udp//
go_0006146_8	acnB//
go_0006148_9	miaA//
go_0006149_9	leuC//
go_0006150_9	codA//
go_0006152_7	gutQ//scpB//gstB//pgpC//rluC//
go_0006154_6	ssuD//
go_0006161_9	rsmB//
go_0006163_6	narG//
go_0006164_7	ydiF//mltF//dgcZ//arnB//
go_0006166_6	yihU//
go_0006168_7	ribB//mobA//
go_0006171_9	
go_0006172_9	adhE//
go_0006177_9	lpoB//
go_0006178_7	mdh//
go_0006183_9	araD//
go_0006189_10	folM//selD//
go_0006203_8	alaS//rsmD//
go_0006206_6	slyD//coaA//recJ//
go_0006207_8	fucI//serA//bglB//mrcA//pheT//
go_0006208_7	sdhD//hyi//yccX//trmA//nirD//curA//
go_0006209_6	fucO//
go_0006210_8	yfcG//
go_0006212_6	murA//asd//napC//umuD//fucA//recG//garL//kduD//pgsA//pta//
go_0006217_9	ubiD//
go_0006218_9	malP//
go_0006220_6	purC//
go_0006221_7	ndk//glgC//tdcE//
go_0006222_9	
go_0006225_9	malZ//
go_0006226_9	pgpB//fucA//
go_0006227_9	nrfC//
go_0006231_9	trmA//
go_0006233_9	ldtE//
go_0006235_9	panB//
go_0006241_9	ulaE//
go_0006259_5	sbcB//hisI//dapB//
go_0006260_6	epmB//maeA//tilS//cobC//umpH//fes//yjhG//
go_0006261_7	def//bioF//tilS//
go_0006265_6	cyaA//acpH//
go_0006266_6	speE//frlB//dgoK//
go_0006267_5	
go_0006268_9	hinT//citG//
go_0006269_6	hisF//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	fumB//hcaF//
go_0006281_6	rfbD//queC//ttdA//guaD//putA//dusC//thiI//ulaG//moeB//acpT//aldB//dusB//ldtE//trmH//pgl//cpdB//otsB//
go_0006283_8	
go_0006284_7	ndh//citG//treA//moaA//miaB//rfe//
go_0006285_6	argG//gnd//malP//ispG//
go_0006288_8	phnM//pdxA//
go_0006289_7	
go_0006298_7	phr//otsA//rfbD//glk//
go_0006301_7	
go_0006302_7	valS//add//
go_0006307_8	menC//hemN//rsmA//mepS//yeaG//
go_0006308_6	epmB//umuD//dmsB//eutD//
go_0006310_6	sgbE//udp//sufS//nagZ//nadD//
go_0006313_4	gltD//
go_0006351_6	trmH//menD//
go_0006352_7	
go_0006353_7	
go_0006354_7	pdeR//
go_0006355_7	glmS//
go_0006357_8	
go_0006364_9	tsaC//glk//galK//btuR//
go_0006378_8	mrcA//
go_0006396_7	ilvN//ubiI//paaH//upp//scpC//
go_0006397_8	yigB//
go_0006399_8	frdD//pdxY//
go_0006400_7	yihV//ubiF//manA//purL//yfcF//
go_0006401_6	ligB//eutB//fabH//tag//puuE//upp//
go_0006402_7	galM//aceF//yfeX//aroF//chbF//dacD//ynfF//
go_0006412_6	thrA//hemL//nudB//ppx//aroC//
go_0006413_4	glcF//
go_0006414_6	
go_0006415_7	fadH//sodB//
go_0006417_7	rbn//scpB//
go_0006418_7	patZ//argD//gstA//aroB//dusC//dld//mraY//frdC//trpA//dut//serA//
go_0006419_8	phnH//
go_0006420_8	acpH//
go_0006421_8	glgB//
go_0006422_8	hemB//
go_0006423_8	etp//
go_0006424_8	udp//hisC//
go_0006425_8	pldB//
go_0006427_8	hcaB//
go_0006428_8	cysS//
go_0006429_8	trmA//
go_0006430_8	mltF//waaL//
go_0006431_8	sodA//
go_0006432_8	ubiE//
go_0006433_8	deoA//
go_0006434_8	cysC//
go_0006435_8	katE//
go_0006436_8	yfaU//
go_0006437_8	ilvN//
go_0006438_8	pgaB//
go_0006448_8	
go_0006450_4	tyrA//garD//fklB//gapA//metG//nagB//
go_0006457_3	paaJ//frmA//ubiF//gpt//udp//sdhC//adiA//
go_0006458_4	
go_0006464_6	kbaY//cfa//abgA//aphA//ispF//nadB//add//apaH//
go_0006465_6	dacA//allC//ispU//
go_0006468_7	thiC//
go_0006470_7	hemN//prs//nadE//ugd//ribA//
go_0006473_8	waaB//
go_0006474_6	alkA//pheT//yqjH//
go_0006476_8	yihS//
go_0006479_5	moaD//apt//hisF//etp//pgpB//xapA//
go_0006486_5	trpC//
go_0006490_5	aspA//
go_0006508_5	ribF//yrfG//adk//rutE//dacC//pnp//yjjX//aroA//fabH//frdC//ubiH//aceF//purF//galM//yjhH//mltF//ilvC//nrdD//trpD//pyrC//hisC//wzb//waaL//menE//napC//hisB//pykF//yccX//yeiG//ilvE//bioH//ynfF//yfcF//
go_0006515_7	accB//queA//insI-1//galE//pheT//ppsA//ubiX//
go_0006517_6	hemN//proC//
go_0006518_5	alaC//moaD//
go_0006523_8	rihA//waaJ//
go_0006524_8	
go_0006526_8	dmsB//ydiO//tig//menF//cysE//nagZ//galT//
go_0006527_8	pnp//cfa//nrdF//dapA//speE//
go_0006529_7	bglB//fucI//
go_0006530_7	prpC//phnG//uidA//dapB//
go_0006531_7	rlmC//
go_0006532_8	pinE//frdA//ada//
go_0006535_8	proA//upp//purN//
go_0006537_8	guaD//
go_0006538_8	hemN//thiG//
go_0006541_7	thyA//ybiV//pdeR//ulaG//mnmC//
go_0006542_8	adeD//pgpC//
go_0006543_8	
go_0006545_6	pgaB//
go_0006546_6	hisI//ulaD//uvrC//
go_0006554_8	fdhF//tdk//yfiC//
go_0006556_5	murD//
go_0006559_6	pncB//
go_0006561_6	recF//rluA//
