# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	lacZ//
go_0000025_7	cobS//
go_0000027_7	cobU//garR//ispF//wcaJ//
go_0000028_7	otsA//
go_0000032_8	hcaC//
go_0000041_8	thiH//
go_0000050_5	betB//gatY//panC//cysS//hyi//
go_0000053_5	mltF//
go_0000096_5	cheB//
go_0000101_6	bioH//
go_0000103_5	serC//asnB//
go_0000105_6	lsrG//yeiG//galK//frmA//valS//trpA//queG//
go_0000160_5	narI//
go_0000162_7	rsgA//etp//queG//menI//speA//aroA//kdsB//argI//pinE//
go_0000270_7	argK//pgm//psuG//pdxH//fabG//btuE//yihT//ilvC//narG//feaB//
go_0000271_6	aldB//
go_0000302_5	purT//
go_0000303_6	yfbR//mutT//
go_0000305_5	
go_0000372_11	
go_0000413_9	psuG//uxuA//waaP//rnt//recR//plsC//aroK//
go_0000453_8	truD//mpaA//yajO//recG//
go_0000455_9	hmp//nrdA//thiI//dxs//hcaF//phnH//metB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	sodC//
go_0000726_7	recR//
go_0000731_7	aroE//glpC//
go_0000737_7	
go_0000738_7	sucA//ubiG//
go_0000746_4	
go_0000820_7	yihU//
go_0000902_5	
go_0000910_4	rph//dadA//yihT//
go_0000917_6	
go_0000918_6	
go_0000920_3	ddlB//
go_0000921_6	
go_0000967_10	citX//
go_0001101_4	rph//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	waaH//
go_0001510_5	yigB//metB//
go_0001514_8	lpcA//
go_0001522_7	katE//ubiF//nfsB//tig//
go_0001558_5	
go_0001561_6	ybiV//
go_0001676_6	nirD//
go_0001680_11	tpiA//
go_0001682_11	rluD//dut//
go_0001731_7	
go_0001762_6	rsmI//
go_0001887_4	mltA//trmI//
go_0001896_5	paaA//
go_0002047_6	fucI//mrcB//
go_0002097_8	rlmG//
go_0002098_9	rffT//ldtD//fucA//umpH//
go_0002099_9	xapA//rfe//
go_0002100_9	dxs//
go_0002101_9	mobA//
go_0002128_7	pdxA//
go_0002131_9	tynA//
go_0002132_9	sucA//
go_0002136_10	dadA//
go_0002143_9	pfkB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	mobA//
go_0002938_8	mhpA//
go_0002939_7	ghrB//
go_0002943_8	cysS//
go_0002949_8	yfeX//aspC//yeiG//
go_0003333_7	mltD//garD//napC//thiG//aspC//hemG//plsB//mgsA//xapA//fes//caiB//nfi//aceF//
go_0005975_4	relA//gltD//ndh//ubiE//clsC//cmoB//otsB//ttdA//ispF//hyaC//mutS//cysH//leuD//puuE//mhpB//malP//
go_0005976_5	prpD//
go_0005977_6	nhoA//
go_0005978_7	pyrC//mhpA//guaC//moaE//
go_0005980_7	treA//aroK//gatZ//
go_0005986_7	fumC//
go_0005990_7	gstB//
go_0005992_7	ycaO//moeA//
go_0005993_7	folA//ilvB//yccX//
go_0005995_7	leuC//
go_0005998_7	frdA//
go_0006000_6	nadB//
go_0006001_7	ulaE//argI//
go_0006002_5	lysS//phr//sodB//
go_0006006_6	entF//tdh//deoC//pabC//ttdB//
go_0006007_7	ldcC//ybhA//
go_0006011_5	rbsK//
go_0006012_6	lpxH//
go_0006013_6	narH//
go_0006014_6	glk//
go_0006015_7	rnd//trmD//
go_0006020_5	queF//
go_0006044_7	tag//
go_0006046_8	sdhD//leuD//
go_0006047_5	nfi//metC//
go_0006048_6	ribB//clsC//ubiI//rimK//
go_0006053_8	pdxK//
go_0006062_8	aroA//
go_0006071_6	yghU//pinE//
go_0006072_6	tauD//
go_0006082_4	tdcD//
go_0006083_6	fumB//cadA//lpoB//
go_0006086_8	clsC//dkgA//
go_0006090_8	aroK//eda//phr//gabD//nadK//dgcZ//lpxM//
go_0006094_7	chbG//murC//hyaA//folX//argK//guaD//ldtC//dhaL//lpoB//
go_0006096_6	murA//cfa//dacA//phnJ//appA//bglX//mcrA//tag//mutH//umpG//yjhH//menE//ilvB//
go_0006097_5	hisB//phnO//allB//yajO//arnA//
go_0006098_6	folC//hemE//rffT//moaD//rlmI//
go_0006099_4	glpK//hisC//purA//waaA//aroB//entB//rlmL//hyaC//argI//ilvI//cmk//mtgA//yciA//
go_0006103_5	mazG//gpmM//dusC//fucA//
go_0006104_6	nanA//
go_0006105_5	mnmC//
go_0006106_8	kdsC//
go_0006107_8	
go_0006108_8	frdA//rluD//yieF//ileS//
go_0006113_5	glcB//narY//
go_0006115_6	murQ//
go_0006124_6	
go_0006144_6	
go_0006145_7	araB//
go_0006146_8	tdcD//
go_0006148_9	nth//
go_0006149_9	ilvA//
go_0006150_9	fbaA//
go_0006152_7	uxaA//umpH//hinT//dgcZ//atoB//
go_0006154_6	ribA//
go_0006161_9	tyrS//
go_0006163_6	pgaB//
go_0006164_7	hemC//ynfF//rbn//ribF//
go_0006166_6	ubiI//
go_0006168_7	torY//ileS//
go_0006171_9	
go_0006172_9	tehB//
go_0006177_9	ruvB//
go_0006178_7	mtgA//
go_0006183_9	ppiC//
go_0006189_10	tdcD//tsaB//
go_0006203_8	cpsB//waaA//
go_0006206_6	aroE//rhaB//acpS//
go_0006207_8	speE//waaP//trpS//hemG//alkA//
go_0006208_7	argC//rlmI//yeaE//pyrD//aspS//yegS//
go_0006209_6	kbaZ//
go_0006210_8	serS//
go_0006212_6	fumA//rihC//kdsA//trmI//hemL//cysS//yfiC//phnH//argF//yjiA//
go_0006217_9	umuC//
go_0006218_9	phnJ//
go_0006220_6	rnb//
go_0006221_7	gabT//tyrA//ybcF//
go_0006222_9	
go_0006225_9	umuD//
go_0006226_9	nagB//ybjI//
go_0006227_9	speB//
go_0006231_9	panB//
go_0006233_9	mltF//
go_0006235_9	truC//
go_0006241_9	cobT//
go_0006259_5	ltaE//tig//asnS//
go_0006260_6	hcaE//alkA//galM//tpiA//sdhA//hcaC//gntK//
go_0006261_7	trmI//xthA//trmL//
go_0006265_6	mltB//yegS//
go_0006266_6	rihC//moaA//yciA//
go_0006267_5	
go_0006268_9	ispF//lpoB//
go_0006269_6	purU//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	alkB//opgE//
go_0006281_6	waaZ//gstA//tynA//mhpB//eno//tilS//hflX//ldtD//ugd//pdeR//tsaE//pinE//idnO//trpD//fabH//paaK//trmJ//
go_0006283_8	
go_0006284_7	dgcT//rffC//rluB//ligB//sdaB//btuR//
go_0006285_6	argG//carA//pheA//trmD//
go_0006288_8	tktB//hmp//
go_0006289_7	
go_0006298_7	thiI//ruvA//ravA//narY//
go_0006301_7	
go_0006302_7	idi//glxK//
go_0006307_8	gdhA//prmB//rffG//glgA//hemC//
go_0006308_6	aspC//dgcZ//coaE//aroG//
go_0006310_6	ackA//gpmA//yfbR//polA//paaC//
go_0006313_4	mog//
go_0006351_6	aroC//menF//
go_0006352_7	
go_0006353_7	
go_0006354_7	puuD//
go_0006355_7	ada//
go_0006357_8	
go_0006364_9	hemC//caiD//fabD//nadB//
go_0006378_8	serC//
go_0006396_7	fumA//queC//arnT//leuS//treA//
go_0006397_8	gltX//
go_0006399_8	deoC//rhaD//
go_0006400_7	mmuM//accD//carB//torZ//kdgK//
go_0006401_6	fadI//clsB//ulaF//phnI//dgoD//uvrB//
go_0006402_7	guaA//fabB//lpxT//tatD//gpmA//kdsA//ubiE//
go_0006412_6	ilvC//torY//rlmJ//ybjG//mrdA//
go_0006413_4	pgpA//
go_0006414_6	
go_0006415_7	kefF//murC//
go_0006417_7	murC//pheT//
go_0006418_7	btuE//fadB//maeA//ilvN//yqjH//ushA//guaC//galM//phnP//glgX//rluF//
go_0006419_8	hyaC//
go_0006420_8	garR//
go_0006421_8	speB//
go_0006422_8	ispB//
go_0006423_8	malZ//
go_0006424_8	pgl//yahK//
go_0006425_8	bioB//
go_0006427_8	yihX//
go_0006428_8	wrbA//
go_0006429_8	pdeR//
go_0006430_8	galE//pepD//
go_0006431_8	rsuA//
go_0006432_8	narG//
go_0006433_8	cpsB//
go_0006434_8	ybjG//
go_0006435_8	waaL//
