#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b2603//b2174//b3869//b3875//
GO_0000023_6	b2688//
GO_0000025_7	b3625//
GO_0000027_7	bioD2//b4113//b0047//b1119//b2023//b1007//b2068//b4320//b2540//b1855//b1265//b0908//b0854//
GO_0000028_7	b2557//b0473//b2616//b3486//b0830//b0418//b2197//b0063//b2924//
GO_0000032_8	b0534//
GO_0000041_8	b4246//b2532//b2399//b0972//b2260//b2837//b0880//b1330//b0894//b2710//b0465//b3399//b4133//b0276//b1518//b0408//b0170//b3903//b0566//b4702//b2494//b1859//b4312//b4187//b0932//b3911//b2365//b2474//b3592//b3641//b2235//b0314//b4453//b3062//b3905//b3331//b2508//b1710//b1826//
GO_0000050_5	b1828//b1740//b4076//b0524//b0733//b0159//b1117//
GO_0000053_5	b4052//
GO_0000096_5	b1262//b0438//b3998//b4478//b1202//b3265//b2148//b2465//b0805//b2741//b1200//b0717//b3916//b2701//b2920//b1117//b4379//b3849//b2008//b4170//b2933//
GO_0000097_6	b4180//b4152//b2943//b0296//b3558//b1337//b1695//b0511//b0553//b1662//b1390//b0129//b2407//b0970//
GO_0000098_6	b0060//b1015//b3230//b0599//b0038//
GO_0000101_6	b0650//b3699//b2108//b0624//b2061//b1189//b0962//qorA//srkA//hexR//b3011//b0002//b0272//b1399//b0466//
GO_0000103_5	b0093//b1244//b2289//
GO_0000105_6	b3479//b2335//b0677//b1711//b4471//b1194//b0486//b0507//
GO_0000154_7	b1112//b2684//b2037//b0611//b0759//b1677//b2241//b1617//b3685//b3264//b3475//b1212//b4511//b2529//b0571//b4064//b0460//b1511//yjgX//b0911//b1538//b1621//b3590//b3786//b0099//b2708//b2717//b3633//b0405//b0305//b1924//b2341//
GO_0000160_5	b3705//b3613//b0889//b3843//b4326//b3310//b3574//b3730//b4242//b3926//b3210//b2378//b2313//b1609//b3942//b2338//b1881//b2354//b0449//b1661//b3558//b3744//b1711//b2558//b2093//b4197//b3083//b2344//b3390//b2103//b3857//xisR//b1421//b1653//b3148//b0022//b1046//b0811//b3426//b4225//b1625//b3249//b2008//
GO_0000162_7	b1092//b2053//b1223//b1222//b3934//b3018//b0535//b0486//b1047//
GO_0000255_5	b1592//b1427//b3316//b3353//b1864//
GO_0000256_6	b0838//b1062//b1625//b3404//b2892//
