#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b3236//b3934//b0662//b0303//
GO_0000023_6	b4705//
GO_0000025_7	b1360//
GO_0000027_7	b2905//b3083//b0331//b3925//b1734//b0341//b1379//b2510//b2313//b1890//b2159//b3355//b3512//
GO_0000028_7	b3700//b1774//b3189//b3806//b3169//b0960//b1764//b0932//b3429//
GO_0000032_8	b3413//
GO_0000041_8	b0070//b0990//b3313//b0729//b0973//b1080//b2297//b0793//b3361//b0053//b0590//b3018//b1313//b4026//b1859//b1855//b0957//b2545//b0006//b1991//b0080//b4089//b2777//b3566//b1110//b0483//b2177//b0627//b2662//b3281//b3497//b1943//b1743//b3625//b2836//b4266//b1375//b2934//b3066//
GO_0000050_5	b2567//b3292//b4357//b4662//b2511//b2318//b2696//
GO_0000053_5	b0887//
GO_0000096_5	b0935//b4159//b3307//b2233//b1466//b1341//b0002//b2451//b2341//b0854//b4055//b2342//b2264//b0937//b0714//bioP//b1738//b0406//b4453//b3525//b1274//
GO_0000097_6	b2566//b2037//b4022//b1098//b2067//b0756//b3114//b3064//b3990//b3227//b1545//b3461//b3872//b2551//
GO_0000098_6	b0087//b2206//b1625//b0376//b2556//
GO_0000101_6	b0998//b2752//b4207//b1552//b1257//b2545//b0459//b3125//b0207//b3966//b1384//b0924//b2979//b3607//b4389//
GO_0000103_5	b3290//b0180//b2338//
GO_0000105_6	b3019//b3075//b2077//b4480//b2910//b4040//b0896//b3584//
GO_0000154_7	b3192//b1081//b0168//b1110//b3336//b2385//b0915//b1613//b2052//b0857//b1288//b1716//b3626//b3053//b1944//b0341//b1988//b1392//b3017//b2822//b2726//b1404//b0080//b0480//b4664//b2991//b2920//b0526//b1927//b2340//b4123//b2673//
GO_0000160_5	b2530//b1226//b0305//b2156//b2212//b2209//b1216//b0276//b4399//b2869//b1716//b0973//b0963//b0688//b4142//b0621//b2665//b2608//b3311//b0087//b3720//b2138//b2600//b2898//b3064//b3688//b4133//b4040//b4602//b3009//b4203//b2890//b1552//b3676//b4662//b3973//b3271//b2498//b3025//b0624//b3708//b0852//b2914//
GO_0000162_7	b3778//b2399//b3339//b2796//b1550//b3824//b0461//b2256//b1103//
GO_0000255_5	b4319//b0723//b1951//b4202//b2429//
GO_0000256_6	b3400//b3633//b1508//b0460//b0918//
GO_0000270_7	b4088//b2836//b2750//b2215//b1235//b3358//b1943//b1370//b0584//b3021//b1575//b0732//b0661//b2146//b4367//b2256//b1888//b1235//b1544//b1314//b0535//b3845//b4035//b4313//b0090//b2622//glsA1//b0734//b3780//b4075//b0440//b1246//b1297//b0375//b0214//b1238//b1073//b2991//b3481//b1554//b3026//b0619//b3260//b1182//b4544//b3243//b3567//b0136//b3481//b1599//b2945//b1165//b1334//b4235//b0726//b0830//b3542//b0135//b2976//b1174//b1111//b4350//b0939//
GO_0000271_6	b3584//b3185//b2740//b0325//b1264//b0417//b2592//b1286//b1412//b0386//b2935//b1678//b2047//b3636//b1878//b0304//b1776//hxpA//b0902//b3743//b2374//b2679//b1135//b3301//b0350//b1098//b3704//b3261//b4428//b3232//b2412//b1525//b2958//b2919//b3866//b0153//b2975//b3836//b0871//b1440//b1198//b0847//b3409//b1985//b2560//b1203//b3167//b1829//b2559//b2009//
GO_0000272_6	b0900//b2370//b2597//b4528//b0644//b3406//
GO_0000302_5	b2385//b2538//b2606//b3387//b2780//b0573//b4365//b3169//b4382//b4353//b1377//b2029//b1951//gpr//b0470//b3783//b3032//b3746//b4123//b1262//b3960//b0443//b3826//b1218//b3479//b2610//b3124//b4178//b4027//b2870//b1508//
GO_0000303_6	b1990//b0504//
GO_0000305_5	b3931//b3343//b0551//
GO_0000372_11	b2556//
GO_0000375_9	b3357//
GO_0000376_10	b2938//
GO_0000413_9	b0058//b0144//b4269//b3026//b3661//b0807//b2916//b0388//
GO_0000451_7	b1334//b1774//b0683//b4155//b2201//
GO_0000453_8	b3956//b1801//b3633//b3417//b2365//
GO_0000455_9	b1176//b1253//b3564//b0770//b1886//b1205//b3905//
GO_0000462_11	b3966//b0312//
GO_0000469_8	b2209//
