# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	pepD//
go_0000025_7	murC//
go_0000027_7	menC//cmoB//mgsA//yghU//
go_0000028_7	chbF//
go_0000032_8	narY//
go_0000041_8	eptC//
go_0000050_5	citC//sdaB//ileS//entA//astC//
go_0000053_5	nudG//
go_0000096_5	valS//
go_0000101_6	pck//
go_0000103_5	gstB//alsE//
go_0000105_6	mepS//miaB//carB//galT//csdA//dapF//glpK//
go_0000160_5	waaB//
go_0000162_7	alr//recJ//frmB//moaD//dapA//recR//ldtE//folC//tktA//
go_0000270_7	yjiA//paaC//pdxA//ogt//cfa//ung//wzb//ahpC//yggF//rutC//
go_0000271_6	rluD//
go_0000302_5	hisB//
go_0000303_6	hdhA//edd//
go_0000305_5	
go_0000372_11	
go_0000413_9	leuB//pepD//nagB//leuS//aphA//allC//ada//
go_0000453_8	cpsG//uidA//rsmA//dld//
go_0000455_9	fabA//melA//pnp//fadD//waaH//mngB//speG//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	nadB//
go_0000726_7	ulaG//
go_0000731_7	waaL//mcrA//
go_0000737_7	
go_0000738_7	nadD//sgbE//
go_0000746_4	
go_0000820_7	dfp//
go_0000902_5	
go_0000910_4	glxK//lpxK//cadA//
go_0000917_6	
go_0000918_6	
go_0000920_3	proA//
go_0000921_6	
go_0000967_10	tmk//
go_0001101_4	feaB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	entH//
go_0001510_5	dmsB//amiD//
go_0001514_8	ttdA//
go_0001522_7	ilvM//phnN//glyA//bcsA//
go_0001558_5	
go_0001561_6	metL//
go_0001676_6	malZ//
go_0001680_11	cheB//
go_0001682_11	nrfA//queA//
go_0001731_7	
go_0001762_6	trmI//
go_0001887_4	tesB//sgbE//
go_0001896_5	rutE//
go_0002047_6	murE//alsE//
go_0002097_8	rpe//
go_0002098_9	ilvB//rlmA//hcaD//dhaL//
go_0002099_9	pyrE//ispG//
go_0002100_9	azoR//
go_0002101_9	queD//
go_0002128_7	phnI//
go_0002131_9	feaB//
go_0002132_9	bcsA//
go_0002136_10	yfeW//
go_0002143_9	fabH//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ddlA//
go_0002938_8	guaA//
go_0002939_7	fadM//
go_0002943_8	serC//
go_0002949_8	yfcF//fucI//umpG//
go_0003333_7	nrdE//epd//hcaE//phnO//trmH//purF//pgi//gatD//araD//prpC//ymdB//gldA//preA//
go_0005975_4	argC//uvrC//accC//nadC//cobB//dusC//ppiC//nrdF//pdxH//appA//rpiB//nagZ//malS//argF//selB//cyaA//
go_0005976_5	ubiG//
go_0005977_6	rluA//
go_0005978_7	entA//pagP//dmsB//abgB//
go_0005980_7	sthA//phr//prpD//
go_0005986_7	gltX//
go_0005990_7	xthA//
go_0005992_7	fadI//ychF//
go_0005993_7	folM//rsmC//sthA//
go_0005995_7	ubiG//
go_0005998_7	trpD//
go_0006000_6	thiI//
go_0006001_7	recG//cmk//
go_0006002_5	fau//dhaK//rutB//
go_0006006_6	ddlA//ispH//uvrC//iscS//mnmG//
go_0006007_7	tyrB//ybhA//
go_0006011_5	thiI//
go_0006012_6	ltaE//
go_0006013_6	pykA//
go_0006014_6	dnaQ//
go_0006015_7	gcd//sbcB//
go_0006020_5	btuR//
go_0006044_7	lpxB//
go_0006046_8	ppc//paaG//
go_0006047_5	napA//ppsA//
go_0006048_6	fadA//solA//cdsA//cpsG//
go_0006053_8	speE//
go_0006062_8	dam//
go_0006071_6	proB//ushA//
go_0006072_6	prmB//
go_0006082_4	cheR//
go_0006083_6	metE//pbpC//pabC//
go_0006086_8	argF//cynT//
go_0006090_8	treA//ung//nudF//asnB//hcaB//ppc//purA//
go_0006094_7	murD//napC//ubiE//purB//gcvP//purB//ubiC//glmS//recR//
go_0006096_6	fabB//guaD//carB//gudD//pdxK//pnp//kdgK//cpsB//dcyD//hchA//hisF//umuD//dbpA//
go_0006097_5	ldtA//hisC//waaO//entA//argD//
go_0006098_6	purC//eda//chbF//menD//purF//
go_0006099_4	alkB//yigL//ulaE//pdxJ//icd//nagK//aroL//waaY//abgA//pyrF//fabG//glgC//clsB//
go_0006103_5	glcF//ydiB//bioD//mutL//
go_0006104_6	hchA//
go_0006105_5	aroF//
go_0006106_8	ansA//
go_0006107_8	
go_0006108_8	alr//hemC//hisB//fdhF//
go_0006113_5	slt//mog//
go_0006115_6	acnA//
go_0006124_6	
go_0006144_6	
go_0006145_7	gcvP//
go_0006146_8	ddlA//
go_0006148_9	lpoB//
go_0006149_9	hemG//
go_0006150_9	hyi//
go_0006152_7	folC//lpoA//dnaE//dapD//epd//
go_0006154_6	guaD//
go_0006161_9	ung//
go_0006163_6	thiD//
go_0006164_7	sufS//scpB//nth//tyrB//
go_0006166_6	cpdA//
go_0006168_7	bglA//folP//
go_0006171_9	
go_0006172_9	nadK//
go_0006177_9	yigL//
go_0006178_7	pagP//
