# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ldtE//
go_0000025_7	metH//
go_0000027_7	treC//ruvA//sthA//purL//
go_0000028_7	garK//
go_0000032_8	rluE//
go_0000041_8	aroE//
go_0000050_5	gabT//hisD//pgpA//abgA//ansA//
go_0000053_5	queD//
go_0000096_5	lpxB//
go_0000101_6	gshB//
go_0000103_5	panE//ndh//
go_0000105_6	phnG//uxaA//metL//ispF//proA//hycB//rbsD//
go_0000160_5	ybhA//
go_0000162_7	adk//aroF//hisG//aceA//mazG//arnT//pflB//lysS//rsgA//
go_0000270_7	gudD//fau//fucA//nrfD//hisS//yfaU//wecC//frdB//spoT//panE//
go_0000271_6	betB//
go_0000302_5	adhP//
go_0000303_6	acpT//cysD//
go_0000305_5	
go_0000372_11	
go_0000413_9	ackA//citX//rluE//idnO//maeA//napC//oxc//
go_0000453_8	yihU//phnI//phnL//glgX//
go_0000455_9	speA//rhaB//mtgA//nagK//trmH//speA//cobB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	glnE//
go_0000726_7	mmuM//
go_0000731_7	ybhA//fabA//
go_0000737_7	
go_0000738_7	argF//sdhA//
go_0000746_4	
go_0000820_7	sdaB//
go_0000902_5	
go_0000910_4	glpC//guaA//coaD//
go_0000917_6	
go_0000918_6	
go_0000920_3	pphA//
go_0000921_6	
go_0000967_10	clsC//
go_0001101_4	tag//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	ruvB//
go_0001510_5	paaJ//moeB//
go_0001514_8	ulaD//
go_0001522_7	rfbD//epmB//mngB//trpD//
go_0001558_5	
go_0001561_6	argE//
go_0001676_6	napC//
go_0001680_11	rfbD//
go_0001682_11	lpxM//sodC//
go_0001731_7	
go_0001762_6	dgkA//
go_0001887_4	yrfG//umuC//
go_0001896_5	ulaE//
go_0002047_6	sdhB//hmp//
go_0002097_8	adk//
go_0002098_9	ppsA//gapA//cysQ//fadK//
go_0002099_9	rsgA//rlmH//
go_0002100_9	rhaM//
go_0002101_9	hisI//
go_0002128_7	thrB//
go_0002131_9	fadH//
go_0002132_9	hyaC//
go_0002136_10	adk//
go_0002143_9	hemG//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	fruK//
