# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rph//
go_0000025_7	garK//
go_0000027_7	malQ//fadD//purT//phnH//
go_0000028_7	rutE//
go_0000032_8	ttdA//
go_0000041_8	rnb//
go_0000050_5	yihX//ubiG//mutY//psd//cheR//
go_0000053_5	hyi//
go_0000096_5	yqaB//
go_0000101_6	pgsA//
go_0000103_5	moeB//truD//
go_0000105_6	ruvA//frlC//treF//yfeW//ubiA//ldtD//ribF//
go_0000160_5	hypB//
go_0000162_7	tcdA//speD//yfcG//btuE//dapF//tdh//narI//yihT//dbpA//
go_0000270_7	dacA//rnd//tdcB//xylA//phnN//rnd//fdhF//paaC//gluQ//yjiA//
go_0000271_6	proB//
go_0000302_5	narY//
go_0000303_6	cynS//mazG//
go_0000305_5	
go_0000372_11	
go_0000413_9	hisG//ispA//coaA//mug//ispG//yieH//nirB//
go_0000453_8	narV//waaA//gph//thrS//
go_0000455_9	sucA//fabH//fadH//astC//hemE//yfcF//pgaC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	napC//
go_0000726_7	maeA//
go_0000731_7	fadJ//ydfG//
go_0000737_7	
go_0000738_7	maeA//recO//
go_0000746_4	
go_0000820_7	treF//
go_0000902_5	
go_0000910_4	nrdA//yfeW//cysS//
go_0000917_6	
go_0000918_6	
go_0000920_3	dmsB//
go_0000921_6	
go_0000967_10	pgpA//
go_0001101_4	malQ//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	dgcM//
go_0001510_5	tsaB//frlC//
go_0001514_8	pdxY//
go_0001522_7	ppk//proB//folA//bioH//
go_0001558_5	
go_0001561_6	thiD//
go_0001676_6	alaA//
go_0001680_11	rfbD//
go_0001682_11	mobA//glpB//
go_0001731_7	
go_0001762_6	kdsD//
go_0001887_4	ldcC//cueO//
go_0001896_5	entB//
go_0002047_6	fabD//lpxM//
go_0002097_8	yqhD//
go_0002098_9	hemE//gdhA//hyi//nrfB//
go_0002099_9	dcm//uxuB//
go_0002100_9	uxuB//
go_0002101_9	rluE//
go_0002128_7	dxr//
go_0002131_9	ruvA//
go_0002132_9	puuE//
go_0002136_10	ubiI//
go_0002143_9	cpsG//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ubiX//
go_0002938_8	pinE//
go_0002939_7	ynfH//
go_0002943_8	dapB//
go_0002949_8	thiM//sbcB//dcm//
go_0003333_7	dsdA//ubiI//araD//gcd//aldA//mnaT//rlmB//uvrA//rsmD//kduD//rutE//murI//sdhD//
go_0005975_4	sdaA//aroF//yhdH//metB//fadH//slyD//tesB//ribB//ilvD//wzc//fabG//sucA//dcd//asnB//gpt//glgB//
go_0005976_5	mog//
go_0005977_6	gshB//
go_0005978_7	mraY//dxr//dcd//gcvH//
go_0005980_7	ldtC//rnd//yjjG//
go_0005986_7	thiH//
go_0005990_7	lyxK//
go_0005992_7	gldA//yigB//
go_0005993_7	glk//mobA//phnG//
go_0005995_7	eda//
go_0005998_7	mltB//
go_0006000_6	folX//
go_0006001_7	metB//csdA//
go_0006002_5	murF//hcaF//nirD//
go_0006006_6	nrdA//rrrD//alr//tsaC//rluF//
go_0006007_7	aspC//waaB//
go_0006011_5	yihS//
go_0006012_6	hcaE//
go_0006013_6	truA//
go_0006014_6	mcrA//
go_0006015_7	mcrA//mak//
go_0006020_5	glpD//
go_0006044_7	folM//
go_0006046_8	galM//nrfA//
go_0006047_5	pykF//pgaC//
go_0006048_6	hcaE//tdh//fre//paaH//
go_0006053_8	cysM//
go_0006062_8	dbpA//
go_0006071_6	lpxC//spoT//
go_0006072_6	otsB//
go_0006082_4	uxaC//
go_0006083_6	cysK//aldB//treC//
go_0006086_8	pdxH//rhaA//
go_0006090_8	dcyD//yeiG//lpxK//wecB//hemB//hmp//uxuA//
go_0006094_7	yieH//rsmI//patA//lpxC//katE//asd//mmuM//aroC//dgkA//
go_0006096_6	ldtB//serA//wcaJ//rne//glk//waaL//hcaC//fabA//ybiV//leuC//pgi//pgm//fadB//
go_0006097_5	kduI//narV//lpxC//tehB//tdcD//
go_0006098_6	rdgB//cheB//pheA//ldtD//ispF//
go_0006099_4	aroA//cynT//malZ//glcF//mmuM//fadB//waaO//rlmI//queA//yihT//ung//ldtE//hcaF//
go_0006103_5	glcE//amiD//lpxH//acs//
go_0006104_6	pgi//
go_0006105_5	bioH//
go_0006106_8	accB//
go_0006107_8	
go_0006108_8	guaA//ubiF//thiH//fcl//
go_0006113_5	hisG//tdk//
go_0006115_6	pheA//
go_0006124_6	
go_0006144_6	
go_0006145_7	gadB//
go_0006146_8	alkB//
go_0006148_9	rihB//
go_0006149_9	ydiF//
go_0006150_9	ydiF//
go_0006152_7	pyrE//gpmA//prs//coaA//hemB//
go_0006154_6	recF//
go_0006161_9	speC//
go_0006163_6	waaB//
go_0006164_7	nfi//eptC//yidA//nhoA//
go_0006166_6	dcd//
go_0006168_7	dinB//galE//
go_0006171_9	
go_0006172_9	luxS//
go_0006177_9	rsmG//
go_0006178_7	purA//
go_0006183_9	pheS//
go_0006189_10	upp//tmcA//
go_0006203_8	glxR//ilvE//
go_0006206_6	yahK//phnM//uxaB//
go_0006207_8	paaB//ascB//mltF//mraY//citX//
go_0006208_7	tig//murD//pgk//dacC//sufS//pepD//
go_0006209_6	abgA//
go_0006210_8	pgk//
go_0006212_6	pinE//rhaD//hycB//yagF//tadA//pyrH//aroB//cynT//trmO//speD//
go_0006217_9	waaZ//
go_0006218_9	ubiC//
go_0006220_6	cmoA//
go_0006221_7	pdxB//bioA//ydiB//
go_0006222_9	
go_0006225_9	proS//
go_0006226_9	cdd//fadE//
go_0006227_9	trpS//
go_0006231_9	mutL//
go_0006233_9	trmA//
go_0006235_9	scpC//
go_0006241_9	yciA//
go_0006259_5	poxB//arsC//argK//
go_0006260_6	add//argI//napA//hyi//paaZ//murA//poxB//
go_0006261_7	fkpB//kdsA//narY//
go_0006265_6	tgt//mltB//
go_0006266_6	clsB//gmhB//hflX//
go_0006267_5	
go_0006268_9	recG//pgi//
go_0006269_6	tsaE//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	epmA//mocA//
