# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	mnmA//
go_0000025_7	dusC//
go_0000027_7	apaH//nudF//eda//lplA//
go_0000028_7	queD//
go_0000032_8	tcdA//
go_0000041_8	ubiH//
go_0000050_5	waaF//speC//pfkA//psuG//entD//
go_0000053_5	lplA//
go_0000096_5	aceB//
go_0000101_6	cmoA//
go_0000103_5	dgcZ//thrC//
go_0000105_6	rfbC//eptC//yqaB//ilvB//ynfF//tdh//xylB//
go_0000160_5	dapB//
go_0000162_7	btuR//mngB//puuE//hemE//fadI//yrfG//umpH//paaE//mutY//
go_0000270_7	rlmG//tdcE//folC//argA//cysI//rnt//prs//mnmG//pykA//nanE//
go_0000271_6	pnp//
go_0000302_5	truD//
go_0000303_6	bglA//entB//
go_0000305_5	
go_0000372_11	
go_0000413_9	mngB//aroC//ilvM//trpS//katE//rsuA//btuR//
go_0000453_8	ahpC//accB//yjcS//cysS//
go_0000455_9	cysE//cpdB//ubiE//rutD//moaD//ligB//sucB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	otsB//
go_0000726_7	fucI//
go_0000731_7	clsA//selD//
go_0000737_7	
go_0000738_7	aphA//alsE//
go_0000746_4	
go_0000820_7	asnA//
go_0000902_5	
go_0000910_4	betB//mutM//pphB//
go_0000917_6	
go_0000918_6	
go_0000920_3	dmsA//
go_0000921_6	
go_0000967_10	narG//
go_0001101_4	prpD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	purU//
go_0001510_5	kbaY//murB//
go_0001514_8	dbpA//
go_0001522_7	yqaB//ssuE//cysE//rfbC//
go_0001558_5	
go_0001561_6	csdA//
go_0001676_6	ychF//
go_0001680_11	preT//
go_0001682_11	napB//ybjG//
go_0001731_7	
go_0001762_6	yjhG//
go_0001887_4	cynS//coaD//
go_0001896_5	yghU//
go_0002047_6	fes//lipB//
go_0002097_8	yqaB//
go_0002098_9	yihX//ldcA//cysK//garR//
go_0002099_9	rlmF//narY//
go_0002100_9	edd//
go_0002101_9	nrfA//
go_0002128_7	truC//
go_0002131_9	glgC//
go_0002132_9	lacZ//
go_0002136_10	frlB//
go_0002143_9	pgaB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	glcD//
go_0002938_8	yhdH//
go_0002939_7	opgE//
go_0002943_8	thrA//
go_0002949_8	pyrF//dld//ppiA//
go_0003333_7	murC//psuG//yieH//csdA//spoT//gdhA//apaH//pncB//galM//yihS//cmk//torZ//pheT//
go_0005975_4	hemA//sucA//narI//paaG//purA//ychF//phnN//malZ//yfcG//rfe//thyA//fadD//guaC//leuD//glgP//yihS//
go_0005976_5	thyA//
go_0005977_6	rutA//
go_0005978_7	pta//yagE//kefF//add//
go_0005980_7	dkgA//etk//fucO//
go_0005986_7	nudG//
go_0005990_7	cysH//
go_0005992_7	rffH//gpt//
go_0005993_7	hisH//tdcG//ydiB//
go_0005995_7	rlmD//
go_0005998_7	wrbA//
go_0006000_6	phnG//
go_0006001_7	miaA//recJ//
go_0006002_5	coaD//trpC//nudG//
go_0006006_6	glpX//cysQ//pgaD//proB//kdsB//
go_0006007_7	ispU//murC//
go_0006011_5	trpB//
go_0006012_6	narV//
go_0006013_6	paaC//
go_0006014_6	moeA//
go_0006015_7	trpC//glgA//
go_0006020_5	curA//
go_0006044_7	glgC//
go_0006046_8	pyrC//hisD//
go_0006047_5	paaB//rlmM//
go_0006048_6	avtA//araD//edd//rsgA//
go_0006053_8	leuA//
go_0006062_8	rluF//
go_0006071_6	bcsA//truD//
go_0006072_6	yihU//
go_0006082_4	yjcS//
go_0006083_6	nrfC//hyi//mutH//
go_0006086_8	phr//dgoK//
go_0006090_8	yjcS//astB//gcvP//tadA//polB//fabI//ilvD//
go_0006094_7	moaD//mug//trpA//solA//luxS//malZ//hcaD//glyS//paaF//
go_0006096_6	opgB//phnM//gadA//torC//cadA//ascB//mrcA//mrdA//hinT//leuD//ampH//rsmI//cobB//
go_0006097_5	nudC//nirB//add//mrcA//gcvH//
go_0006098_6	cheB//cyaA//yjhH//acpS//ansA//
go_0006099_4	pbpC//rutC//dhaK//kduD//hemG//aroD//thrB//luxS//queA//atoB//dapF//citG//opgB//
go_0006103_5	sdhC//nanE//gloC//fkpA//
go_0006104_6	dhaK//
go_0006105_5	glpX//
go_0006106_8	pyrF//
go_0006107_8	
go_0006108_8	mhpB//galM//cyoE//folC//
go_0006113_5	tehB//allD//
go_0006115_6	gnd//
go_0006124_6	
go_0006144_6	
go_0006145_7	ilvA//
go_0006146_8	fucO//
go_0006148_9	mltF//
go_0006149_9	kduD//
go_0006150_9	opgB//
go_0006152_7	nudG//asd//prmB//dmsA//uxuB//
go_0006154_6	mog//
go_0006161_9	gatY//
go_0006163_6	mutM//
go_0006164_7	ymdB//trpS//leuB//waaC//
go_0006166_6	torZ//
go_0006168_7	gor//valS//
go_0006171_9	
go_0006172_9	glk//
go_0006177_9	thrS//
go_0006178_7	wzb//
go_0006183_9	rsmA//
go_0006189_10	cobB//pgm//
go_0006203_8	cyoE//cysQ//
go_0006206_6	yjjX//puuC//glpK//
go_0006207_8	gmd//cyaA//ligB//adk//yccX//
go_0006208_7	purU//treF//gloC//mocA//sdhC//gudD//
go_0006209_6	rihA//
go_0006210_8	thrS//
go_0006212_6	betA//abgA//rihC//scpC//gpmM//aldA//mhpB//insI-1//pabA//waaZ//
go_0006217_9	ispH//
go_0006218_9	glpX//
go_0006220_6	ybjG//
go_0006221_7	xylB//bacA//pdeR//
go_0006222_9	
go_0006225_9	cobU//
go_0006226_9	bglX//fcl//
go_0006227_9	thyA//
go_0006231_9	glxK//
go_0006233_9	serS//
go_0006235_9	glmS//
go_0006241_9	gpt//
go_0006259_5	alaS//ilvE//queD//
go_0006260_6	menH//panC//dxs//galT//ycjU//entH//ppx//
go_0006261_7	bioH//ruvA//gatY//
go_0006265_6	ddlA//yhdH//
go_0006266_6	dacA//sucD//aphA//
go_0006267_5	
go_0006268_9	rfaD//ydiF//
go_0006269_6	hflX//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	waaO//tnaA//
go_0006281_6	tdcE//selB//gpmA//tyrB//aroG//fklB//sodC//chbF//rsmE//mhpB//purF//speC//amiD//fadK//bioA//dapF//speG//
go_0006283_8	
go_0006284_7	hyi//abgB//gpmM//dadA//waaY//nrdB//
go_0006285_6	purC//umpH//pfkB//purU//
go_0006288_8	mnaT//aroA//
go_0006289_7	
go_0006298_7	gntK//fabI//purT//alkA//
go_0006301_7	
go_0006302_7	mnmE//cpsG//
go_0006307_8	glcE//folC//pgaD//ldtA//idnK//
go_0006308_6	orn//rluE//mmuM//purD//
go_0006310_6	cynS//argG//dhaM//menI//mrcB//
go_0006313_4	torC//
go_0006351_6	hflX//nadK//
go_0006352_7	
go_0006353_7	
go_0006354_7	wcaJ//
go_0006355_7	argK//
go_0006357_8	
go_0006364_9	yjiA//opgB//mltF//accD//
go_0006378_8	hisS//
go_0006396_7	cueO//pgm//kefF//sad//alaC//
go_0006397_8	lpoA//
go_0006399_8	entB//mtgA//
go_0006400_7	cheB//alsE//gmd//miaA//folP//
go_0006401_6	pgaC//rutE//aceB//wzc//prpD//kbaZ//
go_0006402_7	speE//arnB//narV//cmoA//tdh//fdhF//cdh//
go_0006412_6	yqhD//rfbB//icd//citX//phnJ//
go_0006413_4	fre//
go_0006414_6	
go_0006415_7	tynA//ispU//
go_0006417_7	accC//gadB//
go_0006418_7	paaJ//glgX//ilvI//folM//cmoA//aroL//bglB//selB//coaD//lpxD//rutC//
go_0006419_8	preT//
go_0006420_8	nrdB//
go_0006421_8	gltB//
go_0006422_8	ahr//
go_0006423_8	rimK//
go_0006424_8	cpdA//betA//
go_0006425_8	araD//
go_0006427_8	gor//
go_0006428_8	ybjG//
go_0006429_8	ftsI//
go_0006430_8	pheT//mnaT//
go_0006431_8	ubiC//
go_0006432_8	epmA//
go_0006433_8	nanK//
go_0006434_8	eutD//
go_0006435_8	cueO//
go_0006436_8	accB//
go_0006437_8	fabG//
go_0006438_8	miaA//
go_0006448_8	
go_0006450_4	sdhB//orn//menF//proA//lysU//dsdA//
go_0006457_3	ynfE//serB//deoC//fcl//rbsK//tauD//folD//
go_0006458_4	
go_0006464_6	ribA//eda//dgoD//paaK//hisG//fabA//yqhD//tktA//
go_0006465_6	betA//mpaA//fcl//
go_0006468_7	ppiA//
go_0006470_7	rsgA//hcp//dapA//eutB//ribF//
go_0006473_8	wcaJ//
go_0006474_6	paaZ//lpxM//yfeX//
go_0006476_8	ilvB//
go_0006479_5	rlmA//rutC//ldcC//ybjG//rsmF//cynT//
go_0006486_5	lysC//
go_0006490_5	yggF//
go_0006508_5	dxs//rutA//ubiE//trmL//napB//tgt//apt//yfdR//lpd//phnM//waaP//yieF//fabD//thiD//ynfF//pncB//dgcZ//arnB//kduD//ung//mraY//lpxM//pabA//gpsA//ygeX//yhdH//proS//gabD//aspC//yciV//insI-2//ulaF//tnaA//
go_0006515_7	murI//rfe//pphA//cfa//citG//frlC//gstA//
go_0006517_6	pdxA//menA//
go_0006518_5	nfsB//mak//
go_0006523_8	astB//lpxD//
go_0006524_8	
go_0006526_8	hflX//hemC//clsB//leuC//sseA//sucD//queA//
go_0006527_8	waaZ//fumA//bfr//gstA//waaP//
go_0006529_7	dfp//eno//
go_0006530_7	yfaU//uvrB//alkB//ampD//
go_0006531_7	ydfG//
go_0006532_8	gadA//prmB//dbpA//
go_0006535_8	allD//fumA//glmU//
go_0006537_8	mutL//
go_0006538_8	deoD//preT//
go_0006541_7	wzb//alsE//rsmG//yeaG//rutA//
go_0006542_8	ubiD//glmU//
go_0006543_8	
go_0006545_6	truD//
go_0006546_6	dapA//hflX//tktB//
go_0006554_8	glpD//yihX//selB//
go_0006556_5	mnmE//
go_0006559_6	sdhC//
go_0006561_6	metB//lipB//
go_0006563_7	glcB//
go_0006564_8	maa//xylA//hemC//moeB//
go_0006565_8	ispB//queC//ilvD//eptC//fadK//
go_0006566_7	dld//
go_0006567_8	pyrD//ribC//cadA//glgP//idnD//tesB//ttdB//
go_0006569_7	glpK//
go_0006571_7	rluD//trmD//
go_0006593_7	uidA//
go_0006598_8	tdcB//arnB//ychF//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	gshA//nadK//
go_0006631_5	coaE//waaQ//bglB//fcl//purD//
go_0006633_6	ilvC//bglX//gudD//trmO//polB//fucI//murE//rnb//xthA//leuD//mhpB//
