# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ltaE//
go_0000025_7	mepS//
go_0000027_7	serB//ravA//ghrB//truB//
go_0000028_7	dxr//
go_0000032_8	ribA//
go_0000041_8	ndk//
go_0000050_5	ycaO//rlmC//tktA//narV//mltA//
go_0000053_5	fadH//
go_0000096_5	xylA//
go_0000101_6	ldtA//
go_0000103_5	cobT//frmB//
go_0000105_6	fbaA//kduD//pbpC//fadJ//phnI//aspS//rpiA//
go_0000160_5	gltB//
go_0000162_7	katG//menB//ychF//pheS//sseA//waaO//fucK//rfbB//fucK//
go_0000270_7	tpiA//waaF//glpD//dcm//epmC//cmoA//gltB//menA//fau//galU//
go_0000271_6	tdcB//
go_0000302_5	yahK//
go_0000303_6	nadE//rluF//
go_0000305_5	
go_0000372_11	
go_0000413_9	uvrB//tcdA//iscS//gcvT//curA//glnS//fbaA//
go_0000453_8	trmI//surA//mnmE//ubiI//
go_0000455_9	ispF//deoB//metF//adhP//epmA//glyA//nhoA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	hemF//
go_0000726_7	accD//
go_0000731_7	mngB//uxaC//
go_0000737_7	
go_0000738_7	trmL//tnaA//
go_0000746_4	
go_0000820_7	paaZ//
go_0000902_5	
go_0000910_4	ftnA//metL//aroK//
go_0000917_6	
go_0000918_6	
go_0000920_3	panE//
go_0000921_6	
go_0000967_10	umuD//
go_0001101_4	tmcA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	nagB//
go_0001510_5	purD//serA//
go_0001514_8	malP//
go_0001522_7	pabC//lyxK//mhpD//dgcT//
go_0001558_5	
go_0001561_6	iaaA//
go_0001676_6	murA//
go_0001680_11	rnt//
go_0001682_11	caiB//purL//
go_0001731_7	
go_0001762_6	folM//
go_0001887_4	sucA//recR//
go_0001896_5	hemN//
go_0002047_6	paaA//hisC//
go_0002097_8	frdB//
go_0002098_9	metG//ppiA//rluA//torA//
go_0002099_9	dusB//cpdB//
go_0002100_9	truC//
go_0002101_9	rhaA//
go_0002128_7	nagA//
go_0002131_9	sbcB//
go_0002132_9	hcaF//
go_0002136_10	ackA//
go_0002143_9	miaA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	fkpB//
go_0002938_8	fdhF//
go_0002939_7	maa//
go_0002943_8	rhaM//
go_0002949_8	dacA//slt//trpC//
go_0003333_7	recF//murE//trmI//accD//ampD//deoB//asd//rsmA//fucI//paaG//fabH//tilS//mraY//
