#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b3603//b2292//b3747//b2987//
GO_0000023_6	b0591//
GO_0000025_7	b0604//
GO_0000027_7	b3262//b0611//b2717//b3032//b1774//b4170//b0894//b1407//b0113//b0186//b2841//b2235//b0596//
GO_0000028_7	b4258//b3540//b3591//b3235//b3872//b2765//b0092//b0695//b1522//
GO_0000032_8	b2009//
GO_0000041_8	b1764//b3138//b0162//b4510//b3534//b0545//b3249//b1347//b1185//b2571//b0467//b0088//b2161//b3008//b1696//b3195//b0953//b2052//b1918//b2698//b2163//b0896//b0243//b0284//b1579//b3650//b3839//b1449//b4320//b4166//b2630//b2634//b3474//b1078//b1732//b1564//b1831//b3730//b1225//
GO_0000050_5	b1135//b2837//b3882//b1896//b4318//b3779//b3877//
GO_0000053_5	b4532//
GO_0000096_5	b1374//b1851//b3201//b2926//b0070//b3351//b2836//b2770//b1521//b2690//b3089//b1243//b0995//b0009//b1799//b3364//b0287//b4319//b4100//b3636//yjgX//
GO_0000097_6	b4252//b2164//b0414//b0397//b2290//b0789//b2545//b3667//b1337//b0774//b2430//b0983//b4314//b3500//
GO_0000098_6	b3727//b3395//b2148//b4155//b3386//
GO_0000101_6	b3860//b3726//b4028//b3831//b1518//b3863//b3627//insI1//b4154//b0350//b1092//b2417//b1686//b1905//b0980//
GO_0000103_5	b2224//b2065//b4259//
GO_0000105_6	b0298//b1184//b3688//b2422//b4506//b3933//b1610//b2318//
GO_0000154_7	b2017//b2524//b3417//b0662//b3880//b2413//yjgX//b3256//b1918//b1038//b0960//b3787//b4313//b1197//b0460//gpr//b1107//b0080//b0451//b3551//b2787//b2354//b4231//b1732//b1399//b2501//b4557//b2032//b4379//b0697//b0638//b2717//
GO_0000160_5	b3199//b1439//b0874//b3927//b1749//b0152//b3341//b3137//b4119//b2248//b0103//b0238//b0836//b0156//b2113//b3528//b3350//b4147//b2379//b0480//b0168//b0598//b3156//b1163//b2170//b3590//b0805//b4384//b3516//b1264//b2235//b2306//b2336//b3935//b1290//b2533//b2844//b1731//b1645//b2761//b3368//b0339//b0509//
GO_0000162_7	b1710//b2129//b0619//b0877//b4239//b2519//b2266//b0996//b1970//
GO_0000255_5	b0661//b1615//b0890//b4129//b0927//
GO_0000256_6	b4637//b1021//b3064//b4025//b4702//
GO_0000270_7	b3949//b3256//b3479//b0565//b1639//b1021//b3881//b4481//b1900//b4026//b3310//b1434//b3491//b3451//b4000//b1392//b4035//b0143//b0940//b3076//b0378//b4222//b0794//b4202//b3934//b1512//b0817//b0394//b1897//b3925//b3307//b0890//b0804//b2040//b1409//b0344//b4557//b1812//b1593//b3304//b2407//b1281//b3357//b1122//b2110//b2608//b2536//b3493//b1128//b0061//b1663//b0497//b0394//b4251//b0862//b0589//b2053//b3706//b3509//b3305//maoP//b0399//b1375//
GO_0000271_6	b0963//b0356//b0144//b1112//b1781//b1660//b0149//b2385//b0819//b3170//b4687//b2628//b1207//b3784//b0421//b2169//b3256//b2920//b4003//b4195//b0798//b1222//b0009//b1210//b1992//b2470//b3899//b3912//b0692//b2324//b4665//b0808//b2946//b1041//b2017//b0861//b0623//b0003//b3301//b0386//b0215//b0721//b2109//b4323//b2058//b4324//b1492//b4040//b2032//b0585//
GO_0000272_6	b3125//b2438//b3891//b3424//b4337//b1636//
GO_0000302_5	b4071//b1215//b0298//b0871//b2005//b1139//b2541//b0799//b3387//b3146//b2797//b4239//b0697//b3166//b1939//b2979//b1246//b1293//b2728//b1375//ftp//b1735//b4096//b0431//b3229//b3342//b0929//b1530//b2202//b3705//b4055//
GO_0000303_6	b2690//b2594//
GO_0000305_5	b2890//b0054//b0394//
GO_0000372_11	b2047//
GO_0000375_9	b2819//
GO_0000376_10	b2268//
GO_0000413_9	b4144//b1489//b1832//b2215//b0765//b3705//b4099//b0256//
GO_0000451_7	b1100//b4415//b1008//b2677//b3691//
GO_0000453_8	b0531//b1804//b3620//b4372//b0893//
GO_0000455_9	b1163//b2702//b1256//b3578//b1222//b1130//b0918//
GO_0000462_11	b0350//b0406//
GO_0000469_8	b2497//
GO_0000470_10	b0097//
GO_0000478_9	b0118//
GO_0000715_6	b0962//
GO_0000716_7	b1563//
GO_0000724_8	b4506//
GO_0000725_7	b0844//b4042//b2277//b0313//b3011//b3702//
GO_0000726_7	b4667//
GO_0000731_7	b0478//b1391//b0948//b1994//b0478//b1782//b2670//
GO_0000737_7	b2620//
GO_0000738_7	b2670//b1340//b2179//
GO_0000746_4	b4124//
GO_0000820_7	b2486//
GO_0000902_5	b2570//
GO_0000910_4	b4421//b0398//b0225//b4020//b0914//b1011//b3404//b3287//b3030//b1824//b4235//b2979//b0781//b2539//b0425//b4050//b1395//b1252//
GO_0000917_6	b2718//b3260//b1812//b0511//b4337//
GO_0000918_6	b2898//b0847//b3386//b2066//
GO_0000920_3	b3985//b2801//b0112//b2595//b3355//
GO_0000921_6	b2406//
GO_0000966_8	b3194//b3622//b0808//b0388//
GO_0000967_10	b3279//b1791//b2430//
GO_0001101_4	b2718//b3387//b2344//b2131//b1707//b3558//b0850//b2758//b3592//b4237//b0007//b2491//b2154//b1010//b4191//b3791//b3121//b1046//b1209//b1994//b2958//b0762//b0470//b2438//b1557//b0840//
GO_0001121_7	b1682//b1224//
GO_0001123_8	b0065//
GO_0001124_8	b0448//
GO_0001407_7	b0178//b0231//gapC//b4637//
GO_0001505_4	b4018//b0318//b2726//selU//b0023//b3091//b3313//glsA//b2005//b0127//b2803//b4384//b4367//b3205//b2493//b2675//
GO_0001510_5	b2845//b4059//b0693//b1337//b3584//b0413//b3311//b2354//b0035//b1733//b0993//b0530//b0980//b3385//b3507//b3269//b3201//b3665//b3849//b3135//b1956//b1176//b0974//b4098//b3846//b2380//b1046//b2385//b0082//b0644//maoP//b1129//b1753//b0377//b1601//b0565//b2674//b1333//b3779//b2048//
GO_0001514_8	b0785//
GO_0001522_7	b4241//b0413//b1363//b3126//b3584//b1570//b3667//b0692//b2620//b2989//b4367//b1107//b2755//
GO_0001539_4	b4259//b3794//b3232//b2409//b1956//b4249//b4315//b3567//b0650//b0533//b4428//b3110//b1301//b0140//b1913//b2061//b1926//b1218//b0237//b4022//b0030//b1174//b2511//b0847//b0404//b0677//b0103//b0675//b3892//b1677//b2126//
GO_0001558_5	b1084//b3432//b0757//b3209//b3336//b0405//b4313//b2157//
GO_0001561_6	b0534//
GO_0001666_4	b0049//
GO_0001676_6	b3528//b2934//b3096//
GO_0001680_11	b0941//
GO_0001682_11	b0921//
GO_0001731_7	b3481//
GO_0001762_6	b0183//
GO_0001887_4	b3825//b4112//b4076//
GO_0001896_5	b4207//b1766//b3451//b4304//
GO_0001907_5	b1919//b0020//b2751//b4122//
GO_0001932_8	b0238//b0983//
GO_0001934_9	b0038//
GO_0002047_6	b3498//b0591//
GO_0002097_8	b3393//b0064//b1175//b0914//b2491//b1625//b4232//b0233//b4323//b4213//b4020//b1298//b0847//maoP//b0940//b3330//b1879//b1865//b4225//
GO_0002098_9	b3497//b3521//b2836//b1277//b1448//b3684//b2527//b2684//b0034//b3456//b0774//b4195//b1988//
GO_0002099_9	b1728//b0937//
GO_0002100_9	b2340//
GO_0002101_9	b1198//b2245//
GO_0002128_7	b2945//b3863//b0444//b0611//
GO_0002130_8	b4544//
GO_0002131_9	b0427//
GO_0002132_9	b0545//
GO_0002136_10	b1779//
GO_0002143_9	b1388//b0068//b4077//b2580//b2927//b0710//
GO_0002181_7	b0009//b3522//
GO_0002183_5	b2062//
GO_0002184_8	b3093//
GO_0002188_6	b1237//
GO_0002190_6	b0294//
GO_0002192_8	b1858//
GO_0002252_3	b3047//b1737//b0256//b1932//b3442//b0974//b1096//b1698//b3793//b0270//
GO_0002790_6	b1693//b2914//b4098//b0990//b1410//b3867//b0123//
GO_0002937_9	b1299//
GO_0002938_8	b1830//
GO_0002939_7	b2269//
GO_0002943_8	b2344//
GO_0002949_8	b0594//b2929//b3416//b1271//
GO_0003333_7	b3124//b3438//b0758//b2313//b2945//b2762//b2208//b1286//b3347//b1664//b2235//b3576//b0476//b2903//b1340//b1407//b2679//b3143//b1215//b2630//b4170//b2553//b0053//b2688//b0585//maoP//b4316//b2253//b1220//b4139//b1609//b3019//b3892//b0173//b2130//b0191//b3124//b0167//b1078//b2789//b1780//b2939//b2020//b2933//b2529//b3541//b1236//b2539//b3199//
