# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ligA//
go_0000025_7	yqaB//
go_0000027_7	wcaJ//yajO//miaB//waaB//
go_0000028_7	idnO//
go_0000032_8	hflX//
go_0000041_8	metF//
go_0000050_5	paaB//carA//argC//puuD//mutM//
go_0000053_5	plsB//
go_0000096_5	mrcA//
go_0000101_6	fbaA//
go_0000103_5	tadA//lacZ//
go_0000105_6	truB//menA//nfi//hemB//hemL//hisS//deoB//
go_0000160_5	ribC//
go_0000162_7	eptB//pabA//ubiD//rbsD//insI-2//selD//aroL//ruvA//ispG//
go_0000270_7	talB//mutY//frlC//clsB//pfkB//argA//tatD//rutE//tdk//paaZ//
go_0000271_6	apaH//
go_0000302_5	valS//
go_0000303_6	mrcB//rbn//
go_0000305_5	
go_0000372_11	
go_0000413_9	yagF//frmB//wecC//speG//pyrD//ynfF//trmO//
go_0000453_8	accA//cysG//melA//gldA//
go_0000455_9	phnN//pdeF//thiH//amiD//truD//uxuA//nagA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	ilvD//
go_0000726_7	nrfD//
go_0000731_7	selA//ubiH//
go_0000737_7	
go_0000738_7	pyrH//mutH//
go_0000746_4	
go_0000820_7	purU//
go_0000902_5	
go_0000910_4	metL//rsmE//fabI//
go_0000917_6	
go_0000918_6	
go_0000920_3	garL//
go_0000921_6	
go_0000967_10	prmC//
go_0001101_4	gadA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mhpB//
go_0001510_5	entE//dapF//
go_0001514_8	preT//
go_0001522_7	bioF//ubiX//mobA//yigB//
go_0001558_5	
go_0001561_6	panB//
go_0001676_6	fadM//
go_0001680_11	pheT//
go_0001682_11	rhaA//ampD//
go_0001731_7	
go_0001762_6	glgP//
go_0001887_4	lpxL//ynfH//
go_0001896_5	speD//
go_0002047_6	dapA//serB//
go_0002097_8	accC//
go_0002098_9	puuE//ubiH//eptA//hycB//
go_0002099_9	fucA//ackA//
go_0002100_9	trmL//
go_0002101_9	bioD//
go_0002128_7	yqhD//
go_0002131_9	garD//
go_0002132_9	arsC//
go_0002136_10	nanK//
go_0002143_9	gshA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	torZ//
go_0002938_8	puuB//
go_0002939_7	nagA//
go_0002943_8	fabG//
go_0002949_8	mobA//frmB//trpA//
go_0003333_7	cdsA//sbcB//frdC//hpt//gdhA//sseA//kdsC//tdk//ltaE//surA//cysI//astB//hyi//
go_0005975_4	aspA//lpxP//gmhB//bfr//waaP//cynS//ynfF//pdxK//uvrC//frc//ydfG//citC//ispA//otsB//aceF//sdaB//
go_0005976_5	gmd//
go_0005977_6	pyrD//
go_0005978_7	pyrD//kefF//rnd//mcrB//
go_0005980_7	fabG//pgaB//gpp//
go_0005986_7	yihX//
go_0005990_7	lysS//
go_0005992_7	bacA//mocA//
go_0005993_7	uxuA//tktA//folA//
go_0005995_7	torA//
go_0005998_7	yigL//
go_0006000_6	tsaE//
go_0006001_7	icd//ribB//
go_0006002_5	gluQ//epd//murD//
go_0006006_6	tgt//fadB//sucC//ung//speB//
go_0006007_7	rfe//udp//
go_0006011_5	recG//
go_0006012_6	appA//
go_0006013_6	pdeR//
go_0006014_6	epmA//
go_0006015_7	yajO//galT//
go_0006020_5	yeaE//
go_0006044_7	lyxK//
go_0006046_8	gloC//folP//
