# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	uxuA//
go_0000025_7	prmB//
go_0000027_7	gcl//ldtC//guaB//ltaE//
go_0000028_7	cobB//
go_0000032_8	pphA//
go_0000041_8	recR//
go_0000050_5	kduI//mltB//waaS//glpD//ung//
go_0000053_5	rsmC//
go_0000096_5	astB//
go_0000101_6	menH//
go_0000103_5	gmhB//solA//
go_0000105_6	uxuA//deoD//pgpB//rlmE//pagP//puuE//ynfE//
go_0000160_5	bacA//
go_0000162_7	yahK//dusB//thiL//entC//alaC//ldtD//alaS//accA//argE//
go_0000270_7	folC//recF//aphA//gloB//ravA//menE//lipA//gldA//patD//treF//
go_0000271_6	ldtC//
go_0000302_5	hemG//
go_0000303_6	fruK//thiH//
go_0000305_5	
go_0000372_11	
go_0000413_9	chbF//rrrD//argE//narG//rutB//yfeW//ppx//
go_0000453_8	sthA//ldhA//waaP//truB//
go_0000455_9	yihT//sodB//mutT//ruvB//bioB//pncB//dmsC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	insI-1//
go_0000726_7	rffM//
go_0000731_7	pagP//trmL//
go_0000737_7	
go_0000738_7	treC//selB//
go_0000746_4	
go_0000820_7	cysM//
go_0000902_5	
go_0000910_4	yihS//rdgB//slyD//
go_0000917_6	
go_0000918_6	
go_0000920_3	gph//
go_0000921_6	
go_0000967_10	hisG//
go_0001101_4	citC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	kbaY//
go_0001510_5	malZ//fabH//
go_0001514_8	pagP//
go_0001522_7	glpD//dhaK//ydiO//adhP//
go_0001558_5	
go_0001561_6	sdhD//
go_0001676_6	ldtC//
go_0001680_11	lsrG//
go_0001682_11	lsrK//gltD//
go_0001731_7	
go_0001762_6	folX//
go_0001887_4	alr//murE//
go_0001896_5	aroC//
go_0002047_6	serB//umpG//
go_0002097_8	lsrG//
go_0002098_9	mnmG//glcE//aroH//ulaE//
go_0002099_9	glyS//preA//
go_0002100_9	fabG//
go_0002101_9	fkpB//
go_0002128_7	prpB//
go_0002131_9	trpC//
go_0002132_9	argE//
go_0002136_10	arnA//
go_0002143_9	gadB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	dcm//
go_0002938_8	nrdD//
go_0002939_7	rlmD//
go_0002943_8	folM//
go_0002949_8	queD//lysA//pnp//
go_0003333_7	thrA//lipB//rlmJ//pdeR//ribF//lysU//rsmF//hemD//dbpA//pcm//glcF//gcvT//pyrB//
go_0005975_4	narV//mog//mngB//gatZ//nadB//gpp//fumB//pgm//paaH//sgbH//acs//arnA//scpC//valS//paaB//glxK//
go_0005976_5	nrdF//
go_0005977_6	yfcG//
go_0005978_7	rlmB//pgsA//melA//truA//
go_0005980_7	rihA//cobU//preT//
go_0005986_7	rlmH//
go_0005990_7	waaH//
go_0005992_7	dcm//waaA//
go_0005993_7	pykF//ampD//hcaE//
go_0005995_7	malZ//
go_0005998_7	cobU//
go_0006000_6	dut//
go_0006001_7	pagP//mtgA//
go_0006002_5	kdsA//astB//hcaC//
go_0006006_6	mnmA//murA//rne//fcl//lpxC//
go_0006007_7	srlD//plsB//
go_0006011_5	prs//
go_0006012_6	thiE//
go_0006013_6	epmC//
go_0006014_6	hmp//
go_0006015_7	ynfH//rbn//
go_0006020_5	rihB//
go_0006044_7	dcm//
go_0006046_8	ilvE//glyS//
go_0006047_5	codA//nrdE//
go_0006048_6	rsmD//yfaU//yfcG//yjjX//
go_0006053_8	glgA//
go_0006062_8	nanE//
go_0006071_6	sdhA//waaP//
go_0006072_6	dgcM//
go_0006082_4	gshA//
go_0006083_6	trmA//ada//rutE//
go_0006086_8	icd//cobT//
go_0006090_8	mltC//relA//galU//tsaD//poxB//scpC//ileS//
go_0006094_7	acs//mutT//yfcF//coaD//aroB//rhaB//ileS//polA//argF//
go_0006096_6	rsmI//gutQ//thiM//asnS//paaZ//ygeX//opgE//alkB//serC//mutY//entA//sgbU//murI//
go_0006097_5	udp//murF//cyoE//cpsG//tmk//
go_0006098_6	panD//leuA//gor//fau//yihX//
go_0006099_4	nanK//pgaB//glnE//aldB//nagB//ybiV//lpoA//ahr//fadA//deoA//menC//srlD//speD//
go_0006103_5	fumA//ynfF//lpxB//dgt//
go_0006104_6	pgaD//
go_0006105_5	epd//
go_0006106_8	alaC//
go_0006107_8	
go_0006108_8	mnaT//idi//cysQ//nadB//
go_0006113_5	aroA//wecB//
go_0006115_6	glcD//
go_0006124_6	
go_0006144_6	
go_0006145_7	srlD//
go_0006146_8	patA//
go_0006148_9	thrS//
go_0006149_9	patZ//
go_0006150_9	acpS//
go_0006152_7	tynA//paaC//kefF//murD//fklB//
go_0006154_6	cmk//
go_0006161_9	rsmC//
go_0006163_6	fau//
go_0006164_7	rluE//rutC//ribA//rfaD//
go_0006166_6	asnB//
go_0006168_7	rluB//kdsD//
go_0006171_9	
go_0006172_9	codA//
go_0006177_9	ribC//
go_0006178_7	lpoA//
go_0006183_9	lpxL//
go_0006189_10	yajO//bacA//
go_0006203_8	rhaM//nagA//
go_0006206_6	nagZ//dmsB//pabC//
go_0006207_8	agp//wrbA//thiM//yjcS//rbsD//
go_0006208_7	glnE//adhE//xylB//lpxT//ftsI//arnA//
go_0006209_6	umpG//
go_0006210_8	glgB//
go_0006212_6	cobS//amyA//opgE//recF//valS//dmsC//xylA//tauD//pinE//rluB//
go_0006217_9	acpH//
go_0006218_9	sthA//
go_0006220_6	rutE//
go_0006221_7	fumA//truD//garD//
go_0006222_9	
go_0006225_9	cpdA//
go_0006226_9	otsB//nudG//
go_0006227_9	waaG//
go_0006231_9	malS//
go_0006233_9	waaA//
go_0006235_9	alsK//
go_0006241_9	wecC//
go_0006259_5	dfp//thiL//adk//
go_0006260_6	purA//napA//mutH//pldB//pphB//aroE//cysQ//
go_0006261_7	cdsA//nrfD//epmB//
go_0006265_6	mhpD//dcyD//
go_0006266_6	ymdB//rnd//rffC//
go_0006267_5	
go_0006268_9	appA//murD//
go_0006269_6	nrfA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	gpsA//yigB//
go_0006281_6	bioC//menE//otsA//pflB//paoC//purL//oxc//ruvC//folP//preA//ssuD//edd//sdhB//dnaE//ldtD//rnd//suhB//
go_0006283_8	
go_0006284_7	mutT//ldtA//alaS//rnpA//trpD//putA//
go_0006285_6	uxaC//nrdD//guaB//gor//
go_0006288_8	alkA//gudD//
go_0006289_7	
go_0006298_7	ribC//ulaD//tsaD//metG//
go_0006301_7	
go_0006302_7	recJ//fklB//
go_0006307_8	ycjU//phnG//narV//uxaC//fadD//
go_0006308_6	yjcS//uvrC//deoB//epd//
go_0006310_6	yciV//malY//cmk//sodA//dapB//
go_0006313_4	sgbE//
go_0006351_6	ybhA//udk//
go_0006352_7	
go_0006353_7	
go_0006354_7	eptB//
go_0006355_7	uxuB//
go_0006357_8	
go_0006364_9	hcaC//rne//fabD//tag//
go_0006378_8	speG//
go_0006396_7	birA//glpD//purN//rlmM//ybhA//
go_0006397_8	gloB//
go_0006399_8	tyrA//feaB//
go_0006400_7	tsaE//rhaB//ispH//birA//wrbA//
go_0006401_6	cyoE//btuE//metB//sbcB//relA//yciV//
go_0006402_7	cobC//malZ//hcp//proB//gcd//rnd//waaZ//
go_0006412_6	ispB//yajO//tmk//rihC//fabZ//
go_0006413_4	waaU//
go_0006414_6	
go_0006415_7	puuD//uxaC//
go_0006417_7	waaO//nudC//
go_0006418_7	dacD//avtA//deoC//glnA//lpxM//phnN//pldB//hisF//nrfA//yieH//tadA//
go_0006419_8	rnb//
go_0006420_8	ilvC//
go_0006421_8	pflB//
go_0006422_8	mrdA//
