# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	glnA//
go_0000025_7	allD//
go_0000027_7	wzb//mcrA//pepD//gltD//
go_0000028_7	caiB//
go_0000032_8	torA//
go_0000041_8	katE//
go_0000050_5	cynT//hisI//fucK//adhE//rimK//
go_0000053_5	paaK//
go_0000096_5	rihA//
go_0000101_6	frdA//
go_0000103_5	bfr//sdaA//
go_0000105_6	psd//thiC//yhdJ//luxS//speF//glcF//yjjG//
go_0000160_5	sbcB//
go_0000162_7	aroH//ulaF//rhaM//mltB//cdh//kduI//aspA//torY//asnS//
go_0000270_7	serC//alaA//melA//nadK//nrfD//guaC//mhpD//ndk//pheT//gcvP//
go_0000271_6	srlD//
go_0000302_5	alsK//
go_0000303_6	tyrB//sseA//
go_0000305_5	
go_0000372_11	
go_0000413_9	glgX//phnN//tnaA//fucI//aspC//speA//rsmA//
go_0000453_8	dkgA//waaP//aceA//garL//
go_0000455_9	glcE//ygjK//dadA//rsmC//allC//yfbR//menA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	hyaA//
go_0000726_7	ydfG//
go_0000731_7	tdh//yfiC//
go_0000737_7	
go_0000738_7	folP//ispF//
go_0000746_4	
go_0000820_7	lpxP//
go_0000902_5	
go_0000910_4	gmk//menF//pgpC//
go_0000917_6	
go_0000918_6	
go_0000920_3	btuE//
go_0000921_6	
go_0000967_10	wzc//
go_0001101_4	trpS//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	tcdA//
go_0001510_5	cpsB//coaD//
go_0001514_8	yfaU//
go_0001522_7	nadA//gdhA//nfi//waaY//
go_0001558_5	
go_0001561_6	kdsB//
go_0001676_6	scpC//
go_0001680_11	rlmI//
go_0001682_11	fklB//pabB//
go_0001731_7	
go_0001762_6	gldA//
go_0001887_4	purD//entA//
go_0001896_5	asnA//
go_0002047_6	cadA//patD//
go_0002097_8	rlmE//
go_0002098_9	nadA//ubiF//der//ruvA//
go_0002099_9	xapA//folD//
go_0002100_9	fadB//
go_0002101_9	yccX//
go_0002128_7	yfiC//
go_0002131_9	truB//
go_0002132_9	bfr//
go_0002136_10	ldcC//
go_0002143_9	phr//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	mtlD//
go_0002938_8	pykA//
go_0002939_7	yegS//
go_0002943_8	allD//
go_0002949_8	yihV//tdcE//cpdA//
go_0003333_7	ppk//fabI//lsrK//cysN//dxs//tpiA//yrfG//fadB//folX//deoA//moaD//trpD//glpA//
go_0005975_4	gcvP//csdA//dapB//btuR//dgcZ//glpD//fabZ//pgk//rlmF//metL//nagK//entD//gpmM//gor//pgaC//dgoD//
go_0005976_5	yfaU//
go_0005977_6	ldtE//
go_0005978_7	adhP//serC//metF//yfbR//
go_0005980_7	trpC//ilvD//aroK//
go_0005986_7	metB//
go_0005990_7	tmcA//
go_0005992_7	fadB//torA//
go_0005993_7	pphB//pgpB//speF//
go_0005995_7	pdxJ//
go_0005998_7	gshB//
go_0006000_6	murD//
go_0006001_7	acpT//gltD//
go_0006002_5	hycB//glgB//hycB//
go_0006006_6	fbaA//rlmJ//rluE//acnB//ilvB//
go_0006007_7	puuD//hinT//
go_0006011_5	sgbE//
go_0006012_6	lldD//
go_0006013_6	mog//
go_0006014_6	prpB//
go_0006015_7	psd//slyD//
go_0006020_5	mpaA//
go_0006044_7	dgcM//
go_0006046_8	ribD//aroC//
go_0006047_5	nhoA//rihB//
go_0006048_6	alr//polB//ttdB//rfaD//
go_0006053_8	ansB//
go_0006062_8	waaQ//
go_0006071_6	napB//rutE//
go_0006072_6	cobS//
go_0006082_4	plsB//
go_0006083_6	murF//tdk//rsgA//
go_0006086_8	pgpB//cysN//
go_0006090_8	fucK//upp//trmA//chbG//cpdA//glyS//pncB//
go_0006094_7	ispG//menB//lpxL//hisF//trpS//trpD//preT//malS//sbcB//
go_0006096_6	thiL//sodB//panD//tcdA//slyD//idnK//dmsC//alsE//waaA//murF//clsC//feaB//acnB//
go_0006097_5	selD//cyoE//pck//speG//waaH//
go_0006098_6	tynA//napB//moaD//cyoE//rlmF//
go_0006099_4	pgsA//puuD//murG//lpoB//ftsI//rfbD//ubiE//glmU//ada//treF//nadE//trpE//scpB//
go_0006103_5	carB//fadA//glpC//mngB//
go_0006104_6	napB//
go_0006105_5	xapA//
go_0006106_8	rpiB//
go_0006107_8	
go_0006108_8	cobU//hemE//trmL//ribE//
go_0006113_5	queC//nirD//
go_0006115_6	rihB//
go_0006124_6	
go_0006144_6	
go_0006145_7	yciV//
go_0006146_8	torZ//
go_0006148_9	nrdB//
go_0006149_9	lipB//
go_0006150_9	rfaE//
go_0006152_7	rihB//yfbR//murQ//hmp//coaD//
go_0006154_6	rpiB//
go_0006161_9	caiD//
go_0006163_6	queA//
go_0006164_7	ubiE//adk//suhB//fadH//
go_0006166_6	waaP//
go_0006168_7	deoD//deoA//
go_0006171_9	
go_0006172_9	galU//
go_0006177_9	rsmA//
go_0006178_7	abgA//
go_0006183_9	cyoE//
go_0006189_10	sdhD//garD//
go_0006203_8	frmB//queD//
go_0006206_6	putA//hemF//prmB//
go_0006207_8	rffT//uvrB//gltB//menH//yeaE//
go_0006208_7	ampH//rhaA//tig//acpS//hisG//glgA//
go_0006209_6	pdxA//
go_0006210_8	mdh//
go_0006212_6	puuC//gadB//xylB//dcd//pheT//rluD//hemE//yeaG//gluQ//ileS//
go_0006217_9	rutB//
go_0006218_9	menE//
go_0006220_6	rnd//
go_0006221_7	waaH//pabA//accB//
go_0006222_9	
go_0006225_9	pflB//
go_0006226_9	cfa//ubiE//
go_0006227_9	yeiG//
go_0006231_9	nrdA//
go_0006233_9	ydiB//
go_0006235_9	aroA//
go_0006241_9	aspA//
go_0006259_5	queA//csdA//purU//
go_0006260_6	sdhB//lgoD//ilvB//ybjI//fabI//amyA//otsA//
go_0006261_7	tdcE//lpxL//recO//
go_0006265_6	mazG//waaY//
go_0006266_6	nagA//treA//wrbA//
go_0006267_5	
go_0006268_9	ilvH//pflB//
go_0006269_6	rutB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	asnB//galU//
go_0006281_6	argA//thrA//lgoD//yjcS//gldA//yieF//menE//yqhD//kdgK//glpK//aspS//rlmE//metC//rffH//garR//menC//fucO//
go_0006283_8	
go_0006284_7	aceA//dnaQ//clsA//ispF//menH//nrdE//
go_0006285_6	phnH//rfaD//sucA//yrfG//
go_0006288_8	galK//feaB//
go_0006289_7	
go_0006298_7	mcrB//eptB//fre//menE//
go_0006301_7	
go_0006302_7	folM//eptA//
go_0006307_8	pgsA//purU//ispH//phnG//deoB//
go_0006308_6	epmA//hchA//yfiC//argS//
go_0006310_6	rimK//maa//polA//folC//trpE//
go_0006313_4	ygeX//
go_0006351_6	nhoA//waaQ//
go_0006352_7	
go_0006353_7	
go_0006354_7	caiB//
go_0006355_7	thiE//
go_0006357_8	
go_0006364_9	rlmA//hypF//pdeL//yahK//
go_0006378_8	kdsD//
go_0006396_7	paaZ//rdgB//epmB//yfdR//manA//
go_0006397_8	puuD//
go_0006399_8	gpmA//tmcA//
go_0006400_7	ulaG//malZ//dapA//mnmA//eno//
go_0006401_6	kbaZ//dapA//yjhH//lpxM//caiD//trmD//
