# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rhaD//
go_0000025_7	coaD//
go_0000027_7	aceB//etp//cyoE//pgpA//
go_0000028_7	bacA//
go_0000032_8	ampD//
go_0000041_8	ppc//
go_0000050_5	psd//rffT//rbn//aceB//cysI//
go_0000053_5	rfaD//
go_0000096_5	rluC//
go_0000101_6	puuB//
go_0000103_5	araD//nudG//
go_0000105_6	entB//folP//mcrB//ubiX//iaaA//mrcA//serB//
go_0000160_5	trpB//
go_0000162_7	preA//paaE//yigL//speD//kbaZ//argK//hemC//glmS//fumA//
go_0000270_7	recR//entD//glxR//miaB//murD//mutY//rpiB//gstA//recO//atoB//
go_0000271_6	yfdR//
go_0000302_5	yihX//
go_0000303_6	ybcF//speB//
go_0000305_5	
go_0000372_11	
go_0000413_9	cysK//gapA//mhpC//glpB//bioA//otsB//hisA//
go_0000453_8	ldtE//yghU//hisD//yghU//
go_0000455_9	nadC//tesB//glmU//entH//nudC//cysQ//rfbB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	frdD//
go_0000726_7	thrC//
go_0000731_7	maa//wecB//
go_0000737_7	
go_0000738_7	murI//rsmI//
go_0000746_4	
go_0000820_7	rlmD//
go_0000902_5	
go_0000910_4	aceA//dam//purN//
go_0000917_6	
go_0000918_6	
go_0000920_3	narY//
go_0000921_6	
go_0000967_10	cueO//
go_0001101_4	iscS//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	maa//
go_0001510_5	fabI//glgX//
go_0001514_8	hyi//
go_0001522_7	ybhA//thrB//asnB//gpsA//
go_0001558_5	
go_0001561_6	ribF//
go_0001676_6	cueO//
go_0001680_11	ppiC//
go_0001682_11	glxK//sdaA//
go_0001731_7	
go_0001762_6	rfaD//
go_0001887_4	tsaD//speB//
go_0001896_5	ubiE//
go_0002047_6	fau//rimK//
go_0002097_8	rluF//
go_0002098_9	tdh//moaD//nirB//tktA//
go_0002099_9	nudG//pyrH//
go_0002100_9	pyrB//
go_0002101_9	tgt//
go_0002128_7	argD//
go_0002131_9	yciV//
go_0002132_9	trpC//
go_0002136_10	mltB//
go_0002143_9	hisH//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	gdhA//
go_0002938_8	lysC//
go_0002939_7	sthA//
go_0002943_8	lpxD//
go_0002949_8	arnA//wecC//hisH//
go_0003333_7	rhaB//gutQ//xapA//rdgB//paaE//hflX//aceA//trmH//pbpC//hypB//dgkA//dld//pagP//
go_0005975_4	rlmD//eutB//mhpB//lpxB//citX//mgsA//cof//ravA//cadA//mcrB//dld//aldA//dgcZ//nudC//truC//dsdA//
go_0005976_5	thyA//
go_0005977_6	guaD//
go_0005978_7	napB//cysM//ribD//gmhB//
go_0005980_7	ldtE//gshB//cysG//
