# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	frmA//
go_0000025_7	hcaF//
go_0000027_7	gcvH//ycaO//dgt//rlmE//
go_0000028_7	rluC//
go_0000032_8	glpD//
go_0000041_8	ygjK//
go_0000050_5	gcvP//sodC//ynfE//phnG//hypB//
go_0000053_5	rihC//
go_0000096_5	glpD//
go_0000101_6	csdA//
go_0000103_5	ftsI//fes//
go_0000105_6	lsrG//glpD//sdaA//ldtA//glnA//rutE//tatD//
go_0000160_5	dgcT//
go_0000162_7	paoC//pyrE//citX//yahK//lpoB//purT//trmL//pepD//yjhH//
go_0000270_7	nrdA//argD//roxA//pyrE//yjcS//accD//aroA//bglB//phnP//aroG//
go_0000271_6	tdcE//
go_0000302_5	xthA//
go_0000303_6	panE//ilvA//
go_0000305_5	
go_0000372_11	
go_0000413_9	ispB//cynS//hemB//speD//bioB//gstA//ndh//
go_0000453_8	ispF//entH//valS//katG//
go_0000455_9	waaP//gpsA//mug//sdaA//rsmA//pncB//astC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	yeaG//
go_0000726_7	narV//
go_0000731_7	purD//pyrD//
go_0000737_7	
go_0000738_7	gatY//waaY//
go_0000746_4	
go_0000820_7	gshB//
go_0000902_5	
go_0000910_4	yfiC//truC//ybjG//
go_0000917_6	
go_0000918_6	
go_0000920_3	glpA//
go_0000921_6	
go_0000967_10	recO//
go_0001101_4	ackA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	psuG//
go_0001510_5	purL//ycaO//
go_0001514_8	poxB//
go_0001522_7	ubiD//ydiF//mnmA//rnpA//
go_0001558_5	
go_0001561_6	speE//
go_0001676_6	cheR//
go_0001680_11	eptC//
go_0001682_11	abgA//paaF//
go_0001731_7	
go_0001762_6	recR//
go_0001887_4	rluA//ydiO//
go_0001896_5	dcyD//
go_0002047_6	umuC//murQ//
go_0002097_8	argA//
go_0002098_9	dxs//phnG//uxaB//glnA//
go_0002099_9	fdhF//galM//
go_0002100_9	argC//
go_0002101_9	pyrD//
go_0002128_7	glcE//
go_0002131_9	carA//
go_0002132_9	slyD//
go_0002136_10	pyrH//
go_0002143_9	mutH//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	araB//
go_0002938_8	uxaC//
go_0002939_7	ubiC//
go_0002943_8	phr//
go_0002949_8	treF//slt//nrdA//
