# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	pta//
go_0000025_7	gcd//
go_0000027_7	puuA//hemG//moaA//lacZ//
go_0000028_7	ispB//
go_0000032_8	fabB//
go_0000041_8	xapA//
go_0000050_5	ybiV//paaF//fabD//entC//metH//
go_0000053_5	mngB//
go_0000096_5	cysK//
go_0000101_6	ybjG//
go_0000103_5	rsmJ//ispB//
go_0000105_6	dbpA//phnM//ppiA//nagA//pheA//gcvP//trmJ//
go_0000160_5	ttdB//
go_0000162_7	yagE//gcl//amiD//fklB//coaE//xylA//rutB//btuR//selD//
go_0000270_7	fabZ//ilvI//phnP//dinB//yqjH//yjcS//wecB//dam//fadK//truA//
go_0000271_6	mak//
go_0000302_5	ydiO//
go_0000303_6	rlmM//mcrB//
go_0000305_5	
go_0000372_11	
go_0000413_9	yqjH//garK//miaA//paaH//fkpB//sdaA//alaS//
go_0000453_8	hemC//thiC//paaZ//ubiF//
go_0000455_9	polB//tnaA//kdsA//uxaC//mhpC//ppiC//asnA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	yggF//
go_0000726_7	leuD//
go_0000731_7	phnJ//purF//
go_0000737_7	
go_0000738_7	dgt//rluD//
go_0000746_4	
go_0000820_7	thiD//
go_0000902_5	
go_0000910_4	alsE//mcrB//nrdA//
go_0000917_6	
go_0000918_6	
go_0000920_3	frdB//
go_0000921_6	
go_0000967_10	pabB//
go_0001101_4	lsrG//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mhpB//
go_0001510_5	aroL//aroF//
go_0001514_8	mutL//
go_0001522_7	acpT//puuA//hyaC//queA//
go_0001558_5	
go_0001561_6	pgl//
go_0001676_6	metG//
go_0001680_11	pdxB//
go_0001682_11	folP//asnB//
go_0001731_7	
go_0001762_6	pldB//
go_0001887_4	fadH//folC//
go_0001896_5	waaL//
go_0002047_6	ogt//lacZ//
go_0002097_8	hchA//
go_0002098_9	alaS//rsmH//valS//selA//
go_0002099_9	gor//nudB//
go_0002100_9	galU//
go_0002101_9	ndk//
go_0002128_7	nadC//
go_0002131_9	melA//
go_0002132_9	tatD//
go_0002136_10	narG//
go_0002143_9	azoR//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	yeiG//
go_0002938_8	argE//
