# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	murI//
go_0000025_7	lpxT//
go_0000027_7	sdhB//metE//alr//nanK//
go_0000028_7	otsB//
go_0000032_8	hisG//
go_0000041_8	pdeR//
go_0000050_5	hypB//cynS//rlmG//dgcZ//nadA//
go_0000053_5	frdC//
go_0000096_5	aroA//
go_0000101_6	menI//
go_0000103_5	cof//adeD//
go_0000105_6	rluE//etk//garD//sthA//leuA//cpdA//nadK//
go_0000160_5	entA//
go_0000162_7	aphA//ydiF//folP//aroA//trmL//fucO//hcaD//aroE//rsmH//
go_0000270_7	frdD//rnb//fumC//leuB//hflX//nrfC//carA//uxaA//cdd//nudC//
go_0000271_6	thrA//
go_0000302_5	ogt//
go_0000303_6	coaD//eutD//
go_0000305_5	
go_0000372_11	
go_0000413_9	pdeF//rluC//nadC//fabB//sad//phnH//alr//
go_0000453_8	dnaQ//adk//otsA//gdhA//
go_0000455_9	ppiC//ispU//hcaF//ubiH//hisI//paaC//tsaE//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	speG//
go_0000726_7	kbaZ//
go_0000731_7	arsC//tilS//
go_0000737_7	
go_0000738_7	napB//aroH//
go_0000746_4	
go_0000820_7	tyrB//
go_0000902_5	
go_0000910_4	ynfF//glnA//manA//
go_0000917_6	
go_0000918_6	
go_0000920_3	wrbA//
go_0000921_6	
go_0000967_10	queA//
go_0001101_4	sodC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	yieH//
go_0001510_5	garK//fkpB//
go_0001514_8	nrdF//
go_0001522_7	cof//cobS//hisG//argE//
go_0001558_5	
go_0001561_6	mtgA//
go_0001676_6	hmp//
go_0001680_11	glgP//
go_0001682_11	hemD//rph//
go_0001731_7	
go_0001762_6	coaD//
go_0001887_4	rsmD//lipB//
go_0001896_5	lpxP//
go_0002047_6	rihB//truC//
go_0002097_8	metB//
go_0002098_9	trmJ//hemH//hemA//deoD//
go_0002099_9	waaO//nemA//
go_0002100_9	plsC//
go_0002101_9	yieF//
go_0002128_7	phnI//
go_0002131_9	selB//
go_0002132_9	fucK//
go_0002136_10	sgbH//
go_0002143_9	ssuD//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	rutB//
go_0002938_8	mmuM//
go_0002939_7	rfaD//
go_0002943_8	sdaA//
go_0002949_8	ilvI//trmO//pgaD//
go_0003333_7	treF//yjcS//ispB//rne//hisF//fadA//waaH//mog//speA//accC//rluF//arsC//dsdA//
go_0005975_4	rluB//relA//pgaC//folM//ansB//slt//lpxD//ispU//mltB//yqhD//betB//ilvA//udk//hyaB//gpmA//clsA//
go_0005976_5	phnP//
go_0005977_6	dut//
go_0005978_7	rluA//gnd//garK//rne//
go_0005980_7	metE//agp//lsrG//
go_0005986_7	cobS//
go_0005990_7	glmU//
go_0005992_7	pabA//alaA//
go_0005993_7	gatY//nrdE//rnd//
go_0005995_7	ruvA//
go_0005998_7	proS//
go_0006000_6	leuB//
go_0006001_7	yghU//roxA//
go_0006002_5	ldtB//trmL//adiA//
go_0006006_6	dmsC//trpE//glcE//suhB//gcvP//
go_0006007_7	garR//folD//
go_0006011_5	epd//
go_0006012_6	yfeX//
go_0006013_6	selA//
go_0006014_6	rbsK//
go_0006015_7	amiD//argA//
go_0006020_5	rfaD//
go_0006044_7	folE//
go_0006046_8	hcaB//gstB//
go_0006047_5	nrdF//cysD//
go_0006048_6	betA//hmp//mhpD//menH//
go_0006053_8	uvrB//
go_0006062_8	eptC//
go_0006071_6	thiM//dmlA//
go_0006072_6	trmA//
go_0006082_4	galE//
go_0006083_6	nrfB//mutL//paaZ//
go_0006086_8	serB//queG//
go_0006090_8	codA//lpxB//frdC//yfcG//garK//relA//ltaE//
go_0006094_7	purU//rsmC//ilvB//ilvM//yjjX//panD//mraY//rfe//ghrB//
go_0006096_6	kdsC//abgB//ackA//phnO//ascB//amiD//folM//pgaC//gloA//nanK//rihA//gpmA//narI//
go_0006097_5	aroA//tsaD//cysI//lpxB//fklB//
go_0006098_6	rluE//argA//betB//puuA//deoB//
