# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dusB//
go_0000025_7	frmA//
go_0000027_7	aroH//yihS//cysG//ilvD//
go_0000028_7	rlmL//
go_0000032_8	fabH//
go_0000041_8	thrS//
go_0000050_5	thrS//ushA//gpsA//xapA//alr//
go_0000053_5	rfaE//
go_0000096_5	argI//
go_0000101_6	lysC//
go_0000103_5	serA//katG//
go_0000105_6	dapB//fkpA//torY//phoA//ilvI//argK//ppsA//
go_0000160_5	ugd//
go_0000162_7	purF//ada//lysS//sufS//pagP//rsgA//malP//ogt//icd//
go_0000270_7	ada//lpxH//mazG//tktB//polB//prpC//rfe//fucO//yhdJ//ispG//
go_0000271_6	xylA//
go_0000302_5	tehB//
go_0000303_6	yagF//cobB//
go_0000305_5	
go_0000372_11	
go_0000413_9	umuC//rpe//mrcB//mutH//rnd//ldcC//nanK//
go_0000453_8	glnA//psd//bglA//gloA//
go_0000455_9	queG//prmB//cyoE//sodC//gshA//hisB//bglB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	bcsA//
go_0000726_7	pgsA//
go_0000731_7	ssuE//trmI//
go_0000737_7	
go_0000738_7	ppiC//leuS//
go_0000746_4	
go_0000820_7	purL//
go_0000902_5	
go_0000910_4	sdhA//selA//adhP//
go_0000917_6	
go_0000918_6	
go_0000920_3	lacZ//
go_0000921_6	
go_0000967_10	phr//
go_0001101_4	pgk//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	fau//
go_0001510_5	uvrB//rlmM//
go_0001514_8	uxuA//
go_0001522_7	mrcB//nudG//aroG//ygjK//
go_0001558_5	
go_0001561_6	argA//
go_0001676_6	fucI//
go_0001680_11	ttdB//
go_0001682_11	dgoD//lpxL//
go_0001731_7	
go_0001762_6	thrC//
go_0001887_4	poxB//dusC//
go_0001896_5	prmB//
go_0002047_6	epmB//etk//
go_0002097_8	yagE//
go_0002098_9	tilS//dgcM//purT//lgoD//
go_0002099_9	allB//cadA//
go_0002100_9	yegS//
go_0002101_9	ugd//
go_0002128_7	hcaB//
go_0002131_9	gutQ//
go_0002132_9	moeA//
go_0002136_10	tig//
go_0002143_9	ldtB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	appA//
go_0002938_8	mnmE//
go_0002939_7	cyaA//
go_0002943_8	mtgA//
go_0002949_8	cynT//tdcB//rbsD//
go_0003333_7	pncB//rutD//yfaU//pdeR//tsaC//hycB//phnO//treA//rihC//dhaL//hcaD//betA//uxaA//
go_0005975_4	yihV//tyrA//yjjG//gudD//yccX//waaS//dosP//nanK//dacA//mtn//argF//cpdB//ybcF//gdhA//yfeW//nadA//
go_0005976_5	nadK//
go_0005977_6	wecC//
go_0005978_7	rimK//ldhA//yihT//fucK//
go_0005980_7	tdcB//ppx//ygeX//
go_0005986_7	tig//
go_0005990_7	ldtD//
go_0005992_7	mutS//lpd//
go_0005993_7	eutB//lysA//lplA//
go_0005995_7	scpB//
go_0005998_7	yeaG//
go_0006000_6	cmoB//
go_0006001_7	ampH//cobU//
go_0006002_5	rfaE//ubiA//carA//
go_0006006_6	ydfG//fadK//xylB//puuD//pdeL//
go_0006007_7	garK//yfiC//
go_0006011_5	yfaU//
go_0006012_6	hypF//
go_0006013_6	hemL//
go_0006014_6	folD//
go_0006015_7	ynfH//menF//
go_0006020_5	trmJ//
go_0006044_7	arnA//
go_0006046_8	pdeH//etk//
go_0006047_5	yihT//aroH//
go_0006048_6	murF//yihU//rlmD//ilvC//
go_0006053_8	serS//
go_0006062_8	pgaC//
go_0006071_6	ndk//sodC//
go_0006072_6	glk//
go_0006082_4	bcsA//
go_0006083_6	phnH//hyaB//kdsA//
go_0006086_8	mug//menI//
go_0006090_8	idnO//dapD//folE//yihV//queC//mrcA//dfp//
go_0006094_7	mug//ushA//narH//rnb//arnA//sucD//uxuA//nadB//pdxJ//
go_0006096_6	mcrA//ulaG//serA//ycjU//trpS//mak//ppiA//ybjG//cyoE//ddlB//lpxD//metF//psd//
go_0006097_5	phnL//uxaA//hcaB//uxuB//patD//
go_0006098_6	serC//lysA//acpH//glcF//rihA//
go_0006099_4	xthA//argC//speD//ybiV//leuC//eutD//rlmI//gadB//cynS//truD//serB//pheA//moeB//
go_0006103_5	birA//adiA//ubiC//metK//
go_0006104_6	entA//
go_0006105_5	rlmM//
go_0006106_8	rluB//
go_0006107_8	
go_0006108_8	pyrC//xdhB//polB//yciV//
go_0006113_5	hisA//pflB//
go_0006115_6	gltB//
go_0006124_6	
go_0006144_6	
go_0006145_7	paaF//
go_0006146_8	waaG//
go_0006148_9	alsE//
go_0006149_9	gcvH//
go_0006150_9	ygjK//
go_0006152_7	murD//ispG//pepD//gshA//paoC//
go_0006154_6	glpC//
go_0006161_9	moaD//
go_0006163_6	cobT//
go_0006164_7	puuC//mdh//ssuD//puuA//
go_0006166_6	nrdE//
go_0006168_7	sdhD//speA//
go_0006171_9	
go_0006172_9	pgi//
go_0006177_9	clsA//
go_0006178_7	waaQ//
go_0006183_9	fabD//
go_0006189_10	argA//malY//
go_0006203_8	lacZ//cheB//
go_0006206_6	pdeR//hcp//ansA//
go_0006207_8	mpaA//recG//arnT//idi//phnJ//
go_0006208_7	yfeW//pyrF//dmsA//rne//phnO//asnA//
go_0006209_6	pheT//
go_0006210_8	ghrB//
go_0006212_6	rutB//frmA//selD//bioC//ygjK//fucO//frmA//trmJ//pyrE//glxR//
go_0006217_9	ligA//
go_0006218_9	waaF//
go_0006220_6	ygjK//
go_0006221_7	nirB//ispF//nudC//
go_0006222_9	
go_0006225_9	rsmB//
go_0006226_9	rne//pdxJ//
go_0006227_9	plsC//
go_0006231_9	pflB//
go_0006233_9	hycB//
go_0006235_9	recF//
go_0006241_9	moeB//
go_0006259_5	leuS//yihX//nanA//
go_0006260_6	tatD//sgbU//paaK//ubiX//mtn//betA//murI//
go_0006261_7	sdhC//rffC//dut//
go_0006265_6	rlmL//hisD//
go_0006266_6	pfkB//narH//entE//
go_0006267_5	
go_0006268_9	luxS//hemG//
go_0006269_6	rihA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	uxaB//adeD//
go_0006281_6	pcm//pdeL//ldtE//yhdH//rbn//waaH//lpxH//yjhH//paoC//nfsB//ogt//hycB//pnp//fumC//mazG//citE//torC//
go_0006283_8	
go_0006284_7	frdC//rutB//umuC//ybjI//trpE//cysS//
go_0006285_6	manA//mngB//argD//rpe//
go_0006288_8	coaE//bacA//
go_0006289_7	
go_0006298_7	yagE//thrA//lyxK//miaB//
